@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.32266,0.32223,9,-45,0
0.28978,0.28935,6,-48,0
0.13117,0.13074,12,-42,0
0.25229,0.25186,29,-25,0
0.28481,0.28438,18,-36,0
0.31836,0.31793,25,-29,0
0.20334,0.20291,29,-25,0
0.040698,0.040268,27,-27,0
0.10789,0.10746,27,-27,0
0.19475,0.19432,10,-44,0
0.24182,0.24139,11,-43,0
0.20343,0.203,12,-42,0
0.21241,0.21198,11,-43,0
0.18877,0.18834,13,-41,0
0.17058,0.17015,12,-42,0
0.18923,0.1888,14,-40,0
0.12324,0.12281,20,-34,0
0.18117,0.18074,21,-33,0
0.20525,0.20482,23,-31,0
0.2025,0.20207,17,-37,0
0.16856,0.16813,9,-45,0
0.28703,0.2866,7,-47,0
0.35312,0.35269,5,-49,0
0.11515,0.11472,11,-43,0
0.13939,0.13896,15,-39,0
0.19844,0.19801,20,-34,0
0.2098,0.20937,15,-39,0
0.1728,0.17237,13,-41,0
0.33571,0.33528,10,-44,0
0.35354,0.35311,9,-45,0
0.36897,0.36854,12,-42,0
0.3153,0.31487,9,-45,0
0.25159,0.25116,8,-46,0
0.31323,0.3128,10,-44,0
0.34629,0.34586,10,-44,0
0.45147,0.45104,12,-42,0
0.34687,0.34644,10,-44,0
0.31002,0.30958,11,-43,0
0.27434,0.27391,12,-42,0
0.31169,0.31126,8,-46,0
0.41028,0.40985,8,-46,0
0.29598,0.29554,9,-45,0
0.2438,0.24337,10,-44,0
0.17686,0.17643,12,-42,0
0.30037,0.29994,7,-47,0
0.41045,0.41002,4,-50,0
0.45844,0.45801,4,-50,0
0.31622,0.31578,12,-42,0
0.42603,0.4256,8,-46,0
0.3349,0.33447,15,-39,0
0.20031,0.19988,22,-32,0
0.30854,0.30811,22,-32,0
0.331,0.33057,29,-25,0
0.28315,0.28272,29,-25,0
0.20985,0.20942,30,-24,0
0.19907,0.19864,15,-39,0
0.27949,0.27906,12,-42,0
0.20717,0.20674,8,-46,0
0.11226,0.11183,9,-45,0
0.0037314,0.0033009,3,-51,0
0,0,1,-53,0
0.0087333,0.0087333,3,-51,0
0.034555,0.034555,12,-42,0
0.74664,0.74664,3,-51,1
0.45972,0.45972,3,-51,1
1.1881,1.1881,3,-51,1
0.62862,0.62862,2,-52,1
1.0919,1.0919,3,-51,1
1.1308,1.1308,3,-51,1
1.0108,1.0108,3,-51,1
1.3515,1.3515,5,-49,1
1.515,1.515,5,-49,1
1.6333,1.6333,9,-45,1
1.6269,1.6269,8,-46,1
1.6216,1.6216,8,-46,1
1.5576,1.5576,8,-46,1
1.4978,1.4978,5,-49,1
1.4091,1.4091,5,-49,1
1.2399,1.2399,5,-49,1
1.2232,1.2232,4,-50,1
1.2358,1.2358,6,-48,1
1.3396,1.3396,3,-51,1
1.3643,1.3643,3,-51,1
1.3906,1.3906,3,-51,1
1.4523,1.4523,3,-51,1
1.5774,1.5774,3,-51,1
1.3654,1.3654,2,-52,1
1.179,1.179,2,-52,1
1.1143,1.1143,2,-52,1
1.2296,1.2296,3,-51,1
1.0467,1.0467,3,-51,1
1.0048,1.0048,3,-51,1
0.93634,0.93634,4,-50,1
0.91678,0.91678,4,-50,1
0.62825,0.62825,4,-50,1
0.49606,0.49606,5,-49,1
0.72955,0.72955,5,-49,1
0.90363,0.90363,4,-50,1
1.1634,1.1634,5,-49,1
1.2576,1.2576,5,-49,1
1.2541,1.2541,4,-50,1
1.2202,1.2202,4,-50,1
1.2182,1.2182,4,-50,1
1.3082,1.3082,4,-50,1
1.3299,1.3299,5,-49,1
1.3482,1.3482,5,-49,1
1.3872,1.3872,4,-50,1
1.3874,1.3874,2,-52,1
1.3575,1.3575,2,-52,1
1.2732,1.2732,4,-50,1
0.75323,0.75323,2,-52,1
0.3752,0.3752,5,-49,1
1.1708,1.1708,2,-52,1
1.5179,1.5179,2,-52,1
1.6574,1.6574,2,-52,1
1.5828,1.5828,2,-52,1
1.4202,1.4202,2,-52,1
1.5692,1.5692,2,-52,1
1.5861,1.5861,2,-52,1
1.631,1.631,2,-52,1
1.5807,1.5807,2,-52,1
1.6149,1.6149,2,-52,1
1.6032,1.6032,2,-52,1
1.5803,1.5803,2,-52,1
1.5357,1.5357,2,-52,1
1.5769,1.5769,2,-52,1
1.6439,1.6439,2,-52,1
1.6544,1.6544,2,-52,1
1.6163,1.6163,2,-52,1
1.6149,1.6149,2,-52,1
1.5565,1.5565,2,-52,1
1.5517,1.5517,2,-52,1
1.6134,1.6134,2,-52,1
1.6259,1.6259,2,-52,1
1.6205,1.6205,2,-52,1
1.6331,1.6331,2,-52,1
1.6415,1.6415,7,-47,1
1.6347,1.6347,9,-45,1
1.6293,1.6293,9,-45,1
1.5966,1.5966,8,-46,1
1.5746,1.5746,8,-46,1
1.6088,1.6088,8,-46,1
1.6001,1.6001,9,-45,1
1.4829,1.4829,8,-46,1
1.3594,1.3594,9,-45,1
1.4591,1.4591,9,-45,1
1.4466,1.4466,9,-45,1
1.4016,1.4016,9,-45,1
1.3839,1.3839,9,-45,1
1.3777,1.3777,9,-45,1
1.3997,1.3997,7,-47,1
1.4587,1.4587,2,-52,1
1.5118,1.5118,2,-52,1
1.5238,1.5238,2,-52,1
1.5088,1.5088,2,-52,1
1.518,1.518,2,-52,1
1.5377,1.5377,2,-52,1
1.572,1.572,3,-51,1
1.6067,1.6067,2,-52,1
1.6051,1.6051,2,-52,1
1.5892,1.5892,2,-52,1
1.6073,1.6073,2,-52,1
1.6024,1.6024,2,-52,1
1.6207,1.6207,2,-52,1
1.6183,1.6183,2,-52,1
1.6432,1.6432,2,-52,1
1.6567,1.6567,2,-52,1
1.6646,1.6646,2,-52,1
1.6727,1.6727,2,-52,1
1.6855,1.6855,2,-52,1
1.6783,1.6783,2,-52,1
1.6887,1.6887,2,-52,1
1.728,1.728,2,-52,1
1.7325,1.7325,2,-52,1
1.7174,1.7174,2,-52,1
1.7335,1.7335,2,-52,1
1.7491,1.7491,2,-52,1
1.7816,1.7816,2,-52,1
1.7391,1.7391,2,-52,1
1.7383,1.7383,2,-52,1
1.6447,1.6447,2,-52,1
1.5561,1.5561,1,-53,1
1.1595,1.1595,2,-52,1
1.5203,1.5203,2,-52,1
1.5644,1.5644,2,-52,0
1.2419,1.2419,2,-52,0
1.4554,1.4554,2,-52,0
0.96703,0.96703,3,-51,0
0.98746,0.98746,3,-51,0
0.80319,0.80319,8,-46,0
0.45915,0.45915,8,-46,0
0.51629,0.51629,8,-46,0
0.36002,0.36002,11,-43,0
0.20534,0.20534,10,-44,0
0.37303,0.37303,8,-46,0
0.42767,0.42767,8,-46,0
0.42793,0.42793,8,-46,0
