@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.26895,0.044465,2459.5,4.8716,495.26,0.18793,0.028131,1981.2,0.61046,366.06,1
0.2713,0.038113,2554.8,4.8857,495.26,0.19028,0.021779,2076.6,0.62456,366.06,1
0.28195,0.036298,2945.7,4.8524,495.26,0.20093,0.019964,2467.4,0.59128,366.06,1
0.30455,0.033575,3179.1,4.8482,495.26,0.22353,0.017241,2700.9,0.58703,366.06,1
0.29554,0.037205,3371.8,4.9643,495.26,0.21452,0.020871,2893.6,0.70314,366.06,1
0.26148,0.045372,2821.4,5.0138,495.26,0.18045,0.029038,2343.2,0.75271,366.06,1
0.25123,0.044465,3261.3,4.9929,495.26,0.17021,0.028131,2783.1,0.73177,366.06,1
0.27281,0.044465,3196.2,5.0178,495.26,0.19179,0.028131,2718,0.75667,366.06,1
0.29305,0.045372,3408.5,5.0164,495.26,0.21203,0.029038,2930.2,0.75528,366.06,1
0.31286,0.040835,3660.2,4.9466,473.73,0.23184,0.024501,3182,0.6855,344.53,1
0.31532,0.033575,3806.9,4.9008,473.73,0.2343,0.017241,3328.7,0.63968,344.53,1
0.29869,0.03539,3282,5.0023,473.73,0.21766,0.019056,2803.8,0.74118,344.53,1
0.28476,0.03902,3287.3,4.9249,473.73,0.20374,0.022686,2809.1,0.66375,344.53,1
0.27511,0.036298,3054.7,5.0087,473.73,0.19409,0.019964,2576.5,0.74754,344.53,1
0.33742,0.037205,5276.3,5.22,452.2,0.25639,0.020871,4798.1,0.95888,323,1
0.3645,0.043557,7614.3,5.133,968.99,0.28347,0.027223,7136.1,0.87189,839.79,1
0.41747,0.036298,6096.3,5.1596,452.2,0.33645,0.019964,5618.1,0.89842,323,1
0.49345,0.032668,9570.1,5.1728,452.2,0.41243,0.016334,9091.9,0.9117,323,1
0.50677,0.036298,8895.6,5.1969,258.4,0.42575,0.019964,8417.4,0.93573,129.2,1
0.48501,0.033575,9568.8,4.9718,430.66,0.40399,0.017241,9090.6,0.71067,301.46,1
0.47137,0.030853,8731.6,4.9458,258.4,0.39035,0.014519,8253.4,0.68468,129.2,1
