@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.077156,0.045372,0.81006,15,0
0.079438,0.046279,0.81551,15,0
0.0775,0.048094,0.37629,24,0
0.070963,0.04265,0.35825,22,0
0.069913,0.043557,0.37381,22,0
0.067156,0.048094,0.32374,26,0
0.079744,0.038113,0.45425,20,0
0.10068,0.029038,0.66494,10,0
0.10582,0.029038,0.64832,8,0
0.13047,0.024501,0.46486,9,0
0.17979,0.025408,0.7457,10,0
0.21538,0.027223,0.79786,10,0
0.18404,0.03176,0.59108,11,0
0.11745,0.036298,0.35692,17,0
0.10375,0.03539,0.579,11,0
0.088458,0.03902,0.5945,14,0
0.084514,0.036298,0.3485,19,0
0.089476,0.033575,0.44225,14,0
0.072776,0.040835,0.41704,15,0
0.063586,0.044465,0.48902,20,0
0.080707,0.040835,0.62176,10,0
0.10189,0.041742,0.5947,9,0
0.10612,0.036298,0.94953,8,0
0.093063,0.03176,0.7401,8,0
0.075103,0.045372,0.41627,14,0
0.076991,0.043557,0.55716,12,0
0.083161,0.036298,0.52753,13,0
0.084231,0.045372,0.49039,15,0
0.087637,0.049909,0.37751,18,0
0.094409,0.047187,0.52716,22,0
0.10194,0.051724,0.75331,15,0
0.087345,0.059891,0.58308,20,0
0.083341,0.056261,0.76521,21,0
0.098782,0.046279,0.55202,16,0
0.099821,0.04265,0.84287,12,0
0.083442,0.053539,0.44891,18,0
0.069086,0.057169,0.466,14,0
0.064929,0.061706,0.56622,24,0
0.058517,0.066243,0.62921,25,0
0.051675,0.068058,0.44025,29,0
0.051658,0.075318,0.4492,37,0
0.066063,0.051724,0.40573,16,0
0.076006,0.03176,0.57263,17,0
0.073159,0.03902,0.60646,16,0
0.075218,0.049909,0.43208,21,0
0.074371,0.065336,0.5085,33,0
0.069592,0.062613,0.44892,28,0
0.073046,0.053539,0.4957,24,0
0.064203,0.056261,0.54215,35,0
0.053755,0.049002,0.51429,23,0
0.057696,0.04265,0.52183,11,0
0.065913,0.032668,0.7089,7,0
0.061645,0.029946,0.59588,8,0
0.046806,0.036298,0.4448,11,0
0.040432,0.049002,0.25002,29,0
0.039136,0.057169,0.28774,35,0
0.041312,0.054446,0.40544,31,0
0.034828,0.073503,0.3586,29,0
0.030693,0.077132,0.33533,41,0
0.033357,0.061706,0.28503,28,0
0.031373,0.067151,0.38742,26,0
0.035054,0.062613,0.29037,34,0
0.040713,0.048094,0.38425,22,0
0.044361,0.041742,0.42607,16,0
0.060275,0.041742,0.86692,17,0
0.06367,0.04265,0.71922,17,0
0.053179,0.040835,0.47066,16,0
0.055817,0.041742,0.62835,20,0
0.055719,0.041742,0.61378,15,0
0.047433,0.044465,0.50086,13,0
0.054388,0.045372,0.4305,24,0
0.051699,0.049002,0.34914,31,0
0.037665,0.061706,0.45306,27,0
0.034749,0.061706,0.35065,28,0
0.034479,0.067151,0.46111,24,0
0.033872,0.066243,0.41294,21,0
0.028522,0.059891,0.33758,29,0
0.038485,0.050817,0.50411,27,0
0.052006,0.034483,0.47213,18,0
0.060716,0.038113,0.42929,24,0
0.054234,0.054446,0.26344,19,0
0.044913,0.052632,0.27157,23,0
0.04473,0.045372,0.26994,20,0
0.03945,0.045372,0.28501,27,0
0.042355,0.048094,0.24443,24,0
0.047376,0.053539,0.2729,20,0
0.045213,0.046279,0.42784,21,0
0.043067,0.055354,0.43359,28,0
0.041835,0.068966,0.44025,30,0
0.04224,0.073503,0.35903,27,0
0.044509,0.064428,0.36543,28,0
0.04489,0.058984,0.48663,32,0
0.045016,0.065336,0.44369,24,0
0.037895,0.084392,0.40555,26,0
0.036997,0.07804,0.4204,30,0
0.03773,0.068058,0.44007,34,0
0.0361,0.07441,0.38939,31,0
0.04606,0.068058,0.3241,32,0
0.051892,0.068966,0.32796,31,0
0.046874,0.068058,0.57571,24,0
0.051143,0.055354,0.47053,22,0
0.062801,0.048094,0.62609,17,0
0.075789,0.048094,0.89769,8,0
0.084307,0.03176,1.1275,8,0
0.07809,0.029946,0.93699,8,0
0.069597,0.049002,0.55052,13,0
0.079034,0.056261,0.82023,14,0
0.081584,0.053539,0.73764,9,0
0.070699,0.068058,0.67433,15,0
0.060154,0.076225,0.61817,25,0
0.047221,0.071688,0.42759,40,0
0.040515,0.058984,0.37728,20,0
0.038071,0.046279,0.46073,17,0
0.045764,0.039927,0.40903,14,0
0.055151,0.038113,0.69473,11,0
0.097872,0.055354,0.47761,53,0
0.10634,0.07441,0.45737,53,0
0.095459,0.059891,0.49597,35,0
0.099095,0.049002,0.5269,21,0
0.098085,0.058076,0.47079,18,1
0.10546,0.049909,0.54233,13,1
0.10119,0.040835,0.70804,12,1
0.099743,0.043557,0.38658,13,1
0.14411,0.03902,0.85009,13,1
0.14989,0.038113,0.89687,21,1
0.11756,0.044465,0.90728,15,1
0.11913,0.041742,1.0712,19,1
0.12394,0.047187,1.1391,23,1
0.13527,0.047187,1.3912,40,1
0.13924,0.04265,1.2975,37,1
0.139,0.045372,1.3957,40,1
0.12736,0.046279,1.2726,22,1
0.10517,0.048094,1.182,29,1
0.10552,0.048094,1.0319,10,1
0.11025,0.053539,1.0072,18,1
0.10454,0.060799,0.88964,23,1
0.097794,0.056261,0.96881,18,1
0.09569,0.053539,1.0017,14,1
0.099821,0.045372,1.0753,13,1
0.11512,0.036298,1.0936,12,1
0.12173,0.033575,1.1256,11,1
0.11918,0.028131,1.2878,11,1
0.11716,0.03176,1.1699,11,1
0.10439,0.048094,0.79559,12,1
0.088837,0.054446,0.86204,12,1
0.087058,0.046279,0.77434,16,1
0.088011,0.045372,0.79782,14,1
0.085764,0.048094,0.94721,17,1
0.08929,0.050817,0.9636,16,1
0.08861,0.048094,0.69544,15,1
0.086871,0.046279,0.66933,20,1
0.086921,0.046279,0.59684,16,1
0.077942,0.049002,0.53617,24,1
0.071922,0.049002,0.64315,16,1
0.071546,0.049002,0.83252,13,1
0.08049,0.049909,0.49719,20,1
0.087282,0.040835,0.76629,13,1
0.085735,0.040835,0.42505,21,1
0.084314,0.046279,0.47874,19,1
0.08438,0.03902,0.82227,17,1
0.089093,0.041742,0.88943,13,1
0.087595,0.049909,1.0334,12,1
0.085666,0.04265,0.96041,11,1
0.080733,0.046279,1.0673,14,1
0.079133,0.067151,0.82726,22,1
0.089613,0.07804,0.85039,30,1
0.099465,0.059891,0.32162,29,1
0.10708,0.048094,0.395,27,1
0.21538,0.039927,0.8217,16,1
0.35677,0.024501,1.5081,10,1
0.41911,0.024501,1.6602,10,1
0.4034,0.024501,1.4687,10,1
0.43792,0.026316,1.2654,10,1
0.52483,0.03176,1.5344,11,1
0.61714,0.030853,1.5708,11,1
0.65645,0.028131,1.6355,11,1
0.63438,0.026316,1.5516,11,1
0.59035,0.024501,1.5711,10,1
0.53063,0.023593,1.5665,10,1
0.44252,0.023593,1.5258,10,1
0.34434,0.023593,1.4471,10,1
0.31922,0.022686,1.4326,9,1
0.29108,0.021779,1.5447,9,1
0.23984,0.027223,1.4481,9,1
0.20543,0.033575,1.2163,9,1
0.1934,0.040835,1.2746,12,1
0.18219,0.049909,1.1429,10,1
0.17371,0.049002,1.0639,20,1
0.18705,0.039927,1.2367,23,1
0.18962,0.038113,1.3536,9,1
0.1865,0.041742,1.3544,16,1
0.18928,0.03539,1.4267,9,1
0.18775,0.032668,1.4086,13,1
0.18536,0.033575,1.4436,16,1
0.17998,0.040835,1.3967,23,1
0.15683,0.065336,1.1694,40,1
0.15569,0.060799,1.16,40,1
0.17575,0.03902,1.2908,40,1
0.17516,0.034483,1.3608,40,1
0.17117,0.043557,1.1862,40,1
0.1778,0.047187,1.0773,32,1
0.21199,0.038113,1.2966,26,1
0.25276,0.03176,1.4314,20,1
0.26288,0.028131,1.4425,14,1
0.23088,0.046279,1.3557,38,1
0.19053,0.058984,1.2829,41,1
0.20923,0.048094,1.3877,27,1
