@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.36927,27,0
0.44598,24,0
0.77202,18,0
1.0807,13,0
0.85143,13,0
0.68761,13,0
1.1645,14,0
1.264,12,0
0.94687,13,0
0.85621,20,0
0.67587,15,0
0.31169,32,0
0.30475,51,0
0.25947,59,0
0.7616,25,0
0.66434,19,0
0.33653,35,0
0.32566,35,1
0.34256,37,1
0.67825,25,1
1.304,10,1
0.82724,11,1
0.56101,11,1
0.5555,11,1
0.96565,10,1
1.2981,11,1
1.3351,10,1
1.0439,27,1
0.63805,51,1
0.57937,36,1
0.64694,24,1
0.37344,41,1
0.31124,43,1
0.27988,44,1
0.42211,45,0
0.79177,16,0
0.3812,45,0
0.42431,47,0
0.35691,43,0
0.257,40,0
0.29807,51,0
0.28034,45,0
0.43697,41,0
0.52999,36,0
0.54815,33,0
0.65021,15,0
1.2905,9,0
1.3294,9,0
1.0313,10,0
1.1732,9,0
1.1229,11,0
1.1154,10,0
1.026,13,0
0.74326,10,0
1.1747,9,0
1.3894,9,0
1.2012,9,0
0.83954,9,0
0.96,13,0
0.85972,8,0
1.0148,9,0
1.1204,8,0
1.0484,8,0
1.2059,8,0
1.0313,8,0
1.0374,8,0
1.1441,8,0
0.78219,8,0
0.84458,10,0
0.60273,16,0
0.51576,15,0
0.55167,10,0
0.60966,14,0
0.45107,22,0
0.46144,27,0
0.50898,16,0
0.59676,10,0
0.58494,9,0
0.79858,14,0
0.86292,16,0
0.70638,12,0
0.6147,13,0
0.80223,13,0
0.53764,13,0
0.59347,19,0
0.3758,18,0
0.51529,20,0
0.47153,21,0
0.37902,21,0
0.51386,17,0
0.5481,11,0
0.50175,12,0
0.38871,15,0
0.76408,18,0
0.82689,11,0
0.53197,10,0
0.55837,10,0
0.81115,19,0
0.68825,18,0
1.1181,8,0
0.86619,7,0
0.59213,15,0
0.45533,18,0
0.99547,9,0
1.1528,9,0
0.79347,10,0
0.71386,14,0
0.58823,15,0
0.42411,13,0
0.47992,26,0
0.58689,25,0
0.77104,15,0
0.97685,7,0
1.3556,9,0
0.8162,9,0
0.71842,24,0
0.30223,65,0
0.43693,51,0
0.43227,63,0
0.44466,95,0
0.40274,126,0
0.40508,104,0
0.50061,85,0
0.65172,79,0
0.53065,71,0
0.66231,44,0
0.55764,30,0
0.60998,27,0
0.57948,24,0
0.42107,23,0
0.63055,15,0
0.55647,18,0
