@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
889.7,-5.7369,323,0
1282.9,-5.6605,279.93,0
994.57,-5.5386,473.73,0
887.19,-5.3494,473.73,0
748.8,-5.3895,753.66,1
1109,-5.2395,710.6,1
831.64,-5.2256,775.2,1
566.59,-5.4139,818.26,1
1366.6,-5.0357,646,1
1351.9,-4.8924,710.6,1
852.69,-5.1628,430.66,1
969.95,-5.0521,430.66,1
824.57,-4.9933,452.2,1
1130.4,-4.7443,452.2,1
995.38,-4.8291,452.2,1
1073.6,-4.847,452.2,1
906.23,-5.0297,452.2,1
699.92,-5.1023,452.2,1
635.49,-5.1759,430.66,1
978.5,-5.2719,430.66,1
940.24,-5.3235,409.13,1
713.82,-5.2725,409.13,1
795.36,-5.2328,753.66,1
806.56,-5.2367,732.13,1
877.52,-5.0793,689.06,1
919.62,-5.0718,667.53,1
817.1,-5.1003,646,1
778.93,-5.1525,624.46,1
826.63,-5.2397,559.86,1
638.66,-5.3115,538.33,1
725.91,-5.3107,516.8,1
524.47,-5.3667,473.73,1
508.5,-5.3847,473.73,1
697.75,-5.3405,473.73,1
668.67,-5.279,473.73,1
782.59,-5.2778,473.73,1
580.91,-5.3258,689.06,1
528.14,-5.4076,452.2,1
449.27,-5.3371,689.06,1
401.8,-5.3485,710.6,1
507.72,-5.321,473.73,1
714.09,-5.1763,495.26,1
690.77,-5.2743,495.26,1
605.67,-5.2447,624.46,1
592.87,-5.2309,495.26,1
511.73,-5.439,516.8,1
671.62,-5.2949,516.8,1
504.03,-5.3431,516.8,1
565.52,-5.2544,538.33,1
495.8,-5.6047,538.33,1
818.56,-5.5023,538.33,1
709.29,-5.4989,559.86,1
975.82,-5.3467,624.46,1
1678.2,-5.1996,495.26,1
3395.4,-4.7946,538.33,1
3589.3,-4.6704,538.33,1
2671,-4.9431,516.8,1
3927.7,-4.8174,538.33,1
4678.4,-4.8244,581.4,1
7068.7,-4.7798,581.4,1
6653.5,-4.3392,581.4,1
6344.2,-4.5859,581.4,1
5997.3,-4.5911,559.86,1
4842.1,-4.6322,559.86,1
4260.3,-4.7246,538.33,1
3282.2,-4.9746,538.33,1
2432.4,-4.9337,516.8,1
2522,-4.8524,516.8,1
2120.1,-5.1311,495.26,1
1698.7,-5.231,495.26,1
1959.7,-5.1026,473.73,1
1863.9,-5.2762,473.73,1
1697.2,-5.2897,473.73,1
1680.8,-5.0776,473.73,1
