@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.089476,0.033575,561.03,-5.2089,409.13,0
0.072776,0.040835,526.28,-5.1975,538.33,0
0.063586,0.044465,338.59,-5.3001,473.73,0
0.080707,0.040835,607.53,-5.0464,452.2,0
0.10189,0.041742,609.24,-5.2546,473.73,0
0.10612,0.036298,884.22,-5.3822,452.2,0
0.093063,0.03176,673.4,-5.2707,473.73,0
0.075103,0.045372,368.6,-5.4017,473.73,0
0.076991,0.043557,433.46,-5.3294,473.73,0
0.083161,0.036298,615.55,-5.2234,689.06,0
0.084231,0.045372,713.28,-5.2208,473.73,0
0.087637,0.049909,473.6,-5.3319,258.4,0
0.094409,0.047187,829.83,-5.2668,452.2,0
0.10194,0.051724,925.87,-5.2819,452.2,0
0.087345,0.059891,705.39,-5.2679,1055.1,0
0.083341,0.056261,387.8,-5.5011,1033.6,0
0.098782,0.046279,770.44,-5.4677,430.66,0
0.099821,0.04265,784.5,-5.3008,430.66,0
0.083442,0.053539,407.85,-5.4709,409.13,0
0.069086,0.057169,405.57,-5.4724,710.6,0
0.064929,0.061706,320.74,-5.4982,215.33,0
0.058517,0.066243,213.02,-5.5552,387.6,0
0.051675,0.068058,114.85,-5.7006,538.33,0
0.051658,0.075318,195.72,-5.5739,387.6,0
0.066063,0.051724,295.54,-5.55,753.66,0
0.076006,0.03176,426.1,-5.4369,710.6,0
0.073159,0.03902,477.16,-5.3296,409.13,0
0.075218,0.049909,318.81,-5.4919,279.93,0
0.074371,0.065336,666.86,-5.6224,215.33,0
0.069592,0.062613,395.52,-5.4569,236.87,0
0.073046,0.053539,415.08,-5.3913,409.13,0
0.064203,0.056261,321.23,-5.3925,129.2,0
0.053755,0.049002,176.06,-5.4643,107.67,0
0.057696,0.04265,215.69,-5.3163,107.67,0
0.065913,0.032668,303.21,-5.0474,387.6,0
0.061645,0.029946,240.3,-5.1648,409.13,0
0.046806,0.036298,111.46,-5.3063,129.2,0
0.040432,0.049002,52.876,-5.5374,366.06,0
0.039136,0.057169,93.563,-5.518,129.2,0
0.041312,0.054446,49.798,-5.506,129.2,0
0.034828,0.073503,-19.504,-5.6393,818.26,0
0.030693,0.077132,-5.3586,-5.6529,215.33,0
0.033357,0.061706,-35.915,-5.6805,129.2,0
0.031373,0.067151,-9.2414,-5.5808,409.13,0
0.035054,0.062613,63.205,-5.5613,150.73,0
0.040713,0.048094,31.892,-5.5482,107.67,0
0.044361,0.041742,166.02,-5.2644,107.67,0
0.060275,0.041742,262.96,-5.2579,925.93,0
