@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1604.4,-5.1206,452.2,224.04,0.30535,0,1
1666,-5.1577,452.2,247.2,0.31566,0,1
1677.7,-5.1592,452.2,351.52,0.20817,69.776,1
1813.3,-5.1745,430.66,443.77,0.29581,0,1
1894.9,-5.1254,452.2,399.6,0.21727,69.776,1
1644.7,-5.1561,452.2,134.25,0.49253,69.776,1
1873,-5.0313,430.66,261.84,0.75683,0,1
1718,-4.9284,452.2,553.61,0.48793,69.776,1
1516.2,-5.1279,452.2,379.42,0.38598,0,1
1907.8,-4.9865,452.2,423.11,0.74571,0,1
1703.9,-4.9049,452.2,438.09,0.57841,0,1
1682.6,-4.8501,452.2,254.52,0.58263,0,1
1626.9,-4.7649,452.2,119.72,0.47477,0,1
1700.2,-4.7555,452.2,486.9,0.22433,69.776,1
1905.8,-4.7437,473.73,605.1,0.40378,71.418,1
2084.4,-4.8242,473.73,605.48,0.31553,0,1
2257.5,-4.7024,473.73,478.31,0.27397,0,1
2287.1,-4.8561,473.73,460.19,0.42014,0,1
2072.4,-4.6297,473.73,230.87,0.70295,0,1
2235.7,-4.6427,473.73,230.23,0.36173,0,1
2119.8,-4.5734,473.73,162.03,0.38319,71.418,1
2210.9,-4.5785,495.26,391.69,0.39224,73.023,1
2258.6,-4.6406,495.26,422.6,0.3336,0,1
2369.1,-4.6264,495.26,646.74,0.23307,0,1
2611.7,-4.6641,495.26,669.51,0.2643,0,1
2712.3,-4.6564,495.26,446.55,0.5705,0,1
2758.7,-4.8039,495.26,628.43,0.6478,0,1
2426,-4.8311,495.26,111.65,0.051053,0,1
2748.4,-4.8028,495.26,588.52,0.18151,0,1
2678,-4.8448,495.26,137.23,0.3476,0,1
2762.5,-4.8527,495.26,526.97,0.094352,73.023,1
2879.1,-4.8485,473.73,428.98,0.42785,71.418,1
2890.3,-4.7771,473.73,661.58,0.29651,0,1
2576.2,-4.8117,473.73,590.41,0.23954,0,1
2619.7,-4.801,473.73,245.37,0.33685,0,1
2530.3,-4.8589,473.73,1090.9,0.88038,0,1
3560.3,-5.12,473.73,2094.3,0.66927,0,1
4994.1,-5.0339,473.73,1083.5,0.4865,71.418,1
4030.5,-5.026,452.2,2258.9,0.40519,69.776,1
7526.1,-4.9686,452.2,3045.3,0.25172,209.33,1
6494.9,-5.0005,258.4,609.16,0.53222,52.745,1
7411.8,-4.8553,430.66,1230.3,0.62541,0,1
6086.4,-4.8394,258.4,2284.6,0.19248,149.19,1
5696.8,-4.84,258.4,983.91,0.52185,74.593,1
5746.6,-4.7268,301.46,1868.2,0.28356,267.22,1
4482,-4.874,732.13,1564.6,0.38569,217.47,1
4654.2,-4.7879,430.66,1542.5,0.56259,254.78,1
3459.6,-4.7418,430.66,1403.4,0.89423,263.73,1
3515.6,-5.1251,107.67,486.42,1.0305,131.86,1
3594.2,-5.1561,107.67,1688.8,0.053002,127.39,1
1928.6,-5.124,409.13,1080.6,0.81463,66.37,1
2383.4,-4.8971,86.133,656,0.91546,113.94,1
2289.7,-4.7818,107.67,888.38,0.39385,34.047,1
1694,-4.962,107.67,827,0.43675,96.299,1
1482.2,-4.8587,279.93,356.09,0.66011,290.5,1
1865.1,-4.7826,710.6,861.6,0.1897,247.4,1
2278.3,-4.8436,107.67,338.53,1.1998,180.16,1
1965.7,-5.3771,107.67,963.48,1.4369,112.92,1
3222.8,-5.6116,344.53,444.31,0.37589,210.98,1
2088.2,-5.4274,366.06,1078.1,0.95589,166.1,1
2109.5,-5.2749,495.26,530.27,0.89409,73.023,1
1821.6,-5.1243,344.53,744.35,0.67295,161.14,1
1501.2,-5.0981,344.53,886.5,0.64628,60.905,1
774.59,-5.2882,366.06,662.07,0.96503,234.9,1
369.39,-5.4503,646,100.67,0.64253,166.8,1
829.47,-5.1367,279.93,284.25,0.99779,274.5,1
564.21,-5.0627,107.67,294.23,0.31069,34.047,1
522.6,-5.0986,258.4,232.86,0.5837,139.55,1
356.69,-5.1963,258.4,241.17,0.74985,117.94,0
196.48,-5.315,366.06,141.95,0.43858,62.78,0
151.58,-5.2687,279.93,77.561,0.1324,122.76,0
117.11,-5.3216,258.4,37.96,0.52739,0,0
176.19,-5.1642,279.93,10.403,0.64303,54.899,0
118.34,-5.1615,279.93,78.781,0.38999,54.899,0
71.297,-5.2231,258.4,51.422,0.57292,52.745,0
44.165,-5.2872,258.4,33.851,0.58072,204.28,0
19.407,-5.3507,581.4,13.425,0.27797,0,0
25.592,-5.3161,258.4,26.495,0.42909,241.71,0
-35.451,-5.42,129.2,42.594,0.86476,98.678,0
-76.76,-5.592,107.67,11.737,0.32666,152.26,0
-31.862,-5.4581,559.86,30.037,0.69829,232.92,0
-20.129,-5.4133,301.46,14.207,0.46999,213.17,0
-51.918,-5.5397,258.4,22.996,0.40773,105.49,0
-40.5,-5.4734,387.6,31.908,0.6635,144.45,0
-1.6389,-5.3789,150.73,2.3007,0.3107,90.08,0
-46.959,-5.5092,279.93,41.611,0.79291,219.6,0
-75.383,-5.6071,495.26,49.773,0.3206,178.87,0
18.768,-5.4726,150.73,28.485,0.73499,161.14,0
11.081,-5.4097,150.73,8.7752,0.48058,40.285,0
32.667,-5.3872,172.27,8.694,0.07697,149.19,0
6.4531,-5.4119,409.13,8.7537,0.35369,209.88,0
8.9179,-5.4334,387.6,7.561,0.27052,0,0
-6.3679,-5.3849,409.13,10.915,0.23483,199.11,0
-28.502,-5.4539,581.4,21.935,0.7866,79.118,0
-40.129,-5.6118,387.6,14.975,0.73115,258.4,0
