@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.25832,0.022686,2328.6,-4.3746,538.33,0.013065,1,24,1.1994,10,0.077885,0.0032083,532.6,0.35613,0,0.0075579,1,13.416,0.24559,0,0
0.27648,0.023593,2432.9,-4.3321,538.33,0.017525,2,15,1.2849,10,0.048894,0,588.81,0.12785,76.131,0.0043273,0,0,0.089117,0,0
0.27562,0.022686,2613.6,-4.3822,516.8,0.010928,1,24,1.2118,10,0.054266,0,370.37,0.25958,74.593,0.0071804,1,13.416,0.31339,2.2361,0
0.25511,0.023593,2537.8,-4.3628,516.8,0.0080894,0,0,1.1228,9,0.10249,0.007316,1150.8,0.8623,0,0.0041424,0,0,0.42435,2.1213,0
0.19327,0.027223,1569.8,-4.723,516.8,0.0066859,0,0,0.89099,9,0.079033,0.0049703,771.72,0.76865,74.593,0.0040542,0,0,0.32918,0,0
0.19047,0.025408,1779.1,-4.613,495.26,0.0031726,0,0,0.87953,9,0.019159,0.0067907,698.22,0.70294,73.023,0.0039419,0,0,0.13324,0,0
0.19712,0.023593,2117.9,-4.5088,495.26,0.016482,1,15,0.85062,9,0.044973,0.007316,595.91,0.32433,263.29,0.011196,0.70711,10.247,0.41169,2.1213,0
0.16995,0.020871,1443.8,-4.6597,215.33,0.018384,1,14,0.48103,10,0.015759,0,452.06,0.43115,96.299,0.0048692,0,2.6458,0.055954,2.2361,0
0.1942,0.023593,1834.8,-4.429,409.13,0.019061,1,14,0.86364,8,0.040625,0.012672,579.06,0.4596,187.72,0.0050543,0,2.6458,0.4073,3.4641,0
0.18695,0.034483,1809.3,-4.5643,387.6,0.021064,1,13,0.86519,7,0.066509,0.012508,587.47,0.21897,129.2,0.010602,0.70711,9.5394,0.26989,1.8708,0
