@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.012799,2,11,0.012799,2,11,1
0.019223,1,18,0.019223,1,18,1
0.035638,1,13,0.035638,1,13,1
0.032509,1,13,0.032509,1,13,1
0.020984,2,13,0.020984,2,13,1
0.039728,1,13,0.039728,1,13,1
0.045666,2,13,0.045666,2,13,1
0.061419,1,12,0.061419,1,12,1
0.060685,2,12,0.060685,2,12,1
0.01788,2,11,0.01788,2,11,1
0.014278,1,13,0.014278,1,13,1
0.020319,2,12,0.020319,2,12,0
0.046837,3,8,0.046837,3,8,0
0.036247,2,12,0.036247,2,12,0
0.019716,2,10,0.019716,2,10,0
0.025013,1,12,0.025013,1,12,0
0.025797,2,11,0.025797,2,11,0
0.010324,1,11,0.010324,1,11,0
0.016244,2,8,0.016244,2,8,0
0.02033,2,12,0.02033,2,12,0
0.01285,1,24,0.01285,1,24,0
0.016894,2,11,0.016894,2,11,0
0.0054903,0,0,0.0049376,0,0,0
0.013367,1,13,0.012642,1,13,0
0.0082204,0,0,0.0074959,0,0,0
0.0057981,0,0,0.0050736,0,0,0
0.013509,1,25,0.012784,1,25,0
0.0079168,0,0,0.0071923,0,0,0
0.0048985,0,0,0.004174,0,0,0
0.015069,1,11,0.014344,1,11,0
0.012125,2,12,0.0114,2,12,0
0.0090712,0,0,0.0083467,0,0,0
0.012395,1,19,0.011671,1,19,0
0.012166,1,11,0.011442,1,11,0
0.010542,1,29,0.0098172,1,29,0
0.0031796,0,0,0.0024551,0,0,0
0.011735,2,13,0.011011,2,13,0
0.004915,0,0,0.0041905,0,0,0
0.011077,2,13,0.010352,2,13,0
0.013762,1,11,0.013037,1,11,0
0.028289,1,13,0.027564,1,13,0
0.045617,3,11,0.044893,3,11,0
0.035134,2,10,0.034409,2,10,0
0.023707,1,11,0.022982,1,11,0
0.028512,2,11,0.027787,2,11,0
0.016741,2,9,0.016017,2,9,0
0.01513,1,23,0.014406,1,23,0
0.020334,2,9,0.019609,2,9,0
0.011372,2,8,0.010647,2,8,0
0.009524,0,0,0.0087995,0,0,0
0.018929,1,20,0.018204,1,20,0
0.013748,1,13,0.013023,1,13,0
0.010543,1,14,0.0098181,1,14,0
0.017655,2,13,0.016931,2,13,0
0.026427,3,13,0.025703,3,13,0
0.026874,1,10,0.026149,1,10,0
0.010871,1,24,0.010147,1,24,0
0.030741,2,10,0.030016,2,10,0
0.015287,2,8,0.014563,2,8,0
0.010753,1,20,0.010029,1,20,0
0.016402,1,23,0.015678,1,23,0
0.0094466,0,0,0.0087221,0,0,0
0.011312,1,29,0.010587,1,29,1
0.027112,1,24,0.026387,1,24,1
0.039487,4,13,0.038762,4,13,1
0.036575,4,8,0.035851,4,8,1
0.025129,3,11,0.024404,3,11,1
0.038692,3,8,0.037968,3,8,1
0.038021,2,11,0.037297,2,11,1
0.017863,3,8,0.017139,3,8,1
0.055866,5,3,0.055141,5,3,1
0.098077,5,3,0.097353,5,3,1
0.089261,6,3,0.088537,6,3,1
0.069883,7,3,0.069158,7,3,1
0.052916,4,8,0.052192,4,8,1
0.041582,4,8,0.040858,4,8,1
0.030775,2,11,0.030051,2,11,1
0.011193,1,19,0.010469,1,19,1
0.032537,3,11,0.031812,3,11,1
0.025623,2,10,0.024898,2,10,0
0.017898,1,9,0.017174,1,9,0
0.0556,2,14,0.054876,2,14,0
0.054212,2,14,0.053488,2,14,0
0.011169,1,15,0.010445,1,15,0
0.030664,1,12,0.02994,1,12,0
0.014293,3,11,0.013568,3,11,0
0.03355,2,13,0.032825,2,13,0
0.022408,1,12,0.021684,1,12,0
0.037683,2,12,0.036958,2,12,0
0.015939,2,11,0.015214,2,11,0
0.0090113,0,0,0.0082868,0,0,0
0.0085796,0,0,0.0078551,0,0,0
0.023191,1,18,0.022466,1,18,0
0.0091285,0,0,0.0084039,0,0,0
0.013121,2,16,0.012397,2,16,0
0.0062513,0,0,0.0055268,0,0,0
0.012037,1,14,0.011312,1,14,0
0.0033733,0,0,0.0026488,0,0,0
0.017622,1,14,0.016897,1,14,0
0.0059735,0,0,0.0052489,0,0,0
0.017451,1,13,0.016726,1,13,0
0.0084342,0,0,0.0077097,0,0,0
0.011437,1,11,0.010712,1,11,0
0.013029,1,13,0.012304,1,13,0
0.0051261,0,0,0.0044015,0,0,0
0.0089299,0,0,0.0082054,0,0,0
0.0074127,0,0,0.0066882,0,0,0
0.0066996,0,0,0.0059751,0,0,0
0.0084736,0,0,0.0077491,0,0,0
0.0071663,0,0,0.0064418,0,0,0
0.0030356,0,0,0.0023111,0,0,0
0.0078515,0,0,0.007127,0,0,0
0.006821,0,0,0.0060965,0,0,0
0.008256,0,0,0.0075315,0,0,0
0.0047893,0,0,0.0040648,0,0,0
0.0089663,0,0,0.0082417,0,0,0
0.0054613,0,0,0.0047367,0,0,0
0.0036994,0,0,0.0029748,0,0,0
0.010807,1,12,0.010083,1,12,0
0.022017,1,13,0.021292,1,13,0
0.0084578,0,0,0.0077332,0,0,0
0.010566,1,13,0.0098415,1,13,0
0.0092263,0,0,0.0085018,0,0,0
0.010897,1,14,0.010172,1,14,0
0.006641,0,0,0.0055849,0,0,0
0.013432,1,12,0.010396,1,12,0
0.011281,1,13,0.0082453,1,13,0
0.0011869,0,0,0,0,0,0
0.0049002,0,0,0.0037132,0,0,0
0.0067808,0,0,0.0055938,0,0,0
0.0037195,0,0,0.0025326,0,0,0
0.0056327,0,0,0.0044458,0,0,0
0.00062948,0,0,0,0,0,0
0.0038626,0,0,0.0032332,0,0,0
0.00052344,0,0,0,0,0,0
0.00036303,0,0,0,0,0,0
0.0070979,0,0,0.0067349,0,0,0
0.0095523,0,0,0.0091893,0,0,0
0.0046019,0,0,0.0042389,0,0,0
0.011906,1,27,0.011543,1,27,0
0.0080128,0,0,0.0076498,0,0,0
0.003474,0,0,0.003111,0,0,0
0.0076147,0,0,0.0072517,0,0,0
0.00851,0,0,0.008147,0,0,0
0.0093423,0,0,0.0089792,0,0,0
0.0019361,0,0,0.0015731,0,0,0
0.015474,1,12,0.015111,1,12,0
0.0068752,0,0,0.0065122,0,0,0
0.0033102,0,0,0.0029472,0,0,0
0.0076606,0,0,0.0072975,0,0,0
0.003288,0,0,0.002925,0,0,0
0.003812,0,0,0.003449,0,0,0
8.0147e-05,0,0,0,0,0,0
0.0031249,0,0,0.0030448,0,0,0
0.0069325,0,0,0.0068523,0,0,0
0.0038871,0,0,0.0038069,0,0,0
0.0049441,0,0,0.0048639,0,0,0
0.0034024,0,0,0.0033222,0,0,0
0.0021185,0,0,0.0020383,0,0,0
0.0025335,0,0,0.0024533,0,0,0
0.012839,1,28,0.012759,1,28,0
0.01441,1,4,0.014329,1,4,0
0.023685,1,4,0.023605,1,4,0
0.031352,2,3,0.031271,2,3,0
0.047987,2,3,0.047907,2,3,0
0.070843,4,3,0.070762,4,3,0
0.091897,4,3,0.091817,4,3,0
0.081404,4,3,0.081324,4,3,0
0.092602,2,3,0.092522,2,3,0
0.070322,2,3,0.070242,2,3,0
0.038363,3,3,0.038283,3,3,0
0.025913,2,3,0.025833,2,3,0
