@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1666,5.1577,452.2,0.052516,3,4,1593.7,0.8776,323,0.052018,3,4,1
1677.7,5.1592,452.2,0.049755,2,12,1605.5,0.87908,323,0.049256,2,12,1
1813.3,5.1745,430.66,0.074398,3,4,1741,0.8944,301.46,0.0739,3,4,1
1894.9,5.1254,452.2,0.071478,1,11,1822.7,0.84526,323,0.07098,1,11,1
1644.7,5.1561,452.2,0.056371,1,11,1572.5,0.87598,323,0.055873,1,11,1
1873,5.0313,430.66,0.048769,1,11,1800.8,0.75116,301.46,0.048271,1,11,1
1718,4.9284,452.2,0.044056,1,12,1645.7,0.64829,323,0.043558,1,12,1
1516.2,5.1279,452.2,0.042453,2,12,1444,0.84777,323,0.041954,2,12,1
1907.8,4.9865,452.2,0.046001,3,11,1835.6,0.70639,323,0.045502,3,11,1
1703.9,4.9049,452.2,0.04994,1,12,1631.6,0.62474,323,0.049441,1,12,1
1682.6,4.8501,452.2,0.044892,1,12,1610.3,0.56997,323,0.044393,1,12,1
1626.9,4.7649,452.2,0.044444,2,12,1554.6,0.48476,323,0.043945,2,12,1
1700.2,4.7555,452.2,0.044134,3,12,1627.9,0.47536,323,0.043636,3,12,1
1905.8,4.7437,473.73,0.049563,1,13,1833.5,0.46359,344.53,0.049065,1,13,1
2084.4,4.8242,473.73,0.057979,3,12,2012.2,0.5441,344.53,0.05748,3,12,1
2257.5,4.7024,473.73,0.067424,2,12,2185.3,0.42232,344.53,0.066926,2,12,1
2287.1,4.8561,473.73,0.081506,4,4,2214.9,0.57602,344.53,0.081008,4,4,1
2072.4,4.6297,473.73,0.057253,2,13,2000.1,0.34962,344.53,0.056755,2,13,1
2235.7,4.6427,473.73,0.077145,2,13,2163.4,0.36256,344.53,0.076646,2,13,1
2119.8,4.5734,473.73,0.069993,4,4,2047.5,0.29325,344.53,0.069495,4,4,1
2210.9,4.5785,495.26,0.071854,4,4,2138.6,0.29834,366.06,0.071356,4,4,1
2258.6,4.6406,495.26,0.073874,4,4,2186.3,0.36046,366.06,0.073375,4,4,1
2369.1,4.6264,495.26,0.066879,2,13,2296.8,0.34631,366.06,0.066381,2,13,1
2611.7,4.6641,495.26,0.080172,2,13,2539.4,0.38394,366.06,0.079674,2,13,1
2712.3,4.6564,495.26,0.07651,3,4,2640.1,0.37626,366.06,0.076012,3,4,1
2758.7,4.8039,495.26,0.080335,3,4,2686.4,0.52374,366.06,0.079837,3,4,1
2426,4.8311,495.26,0.082152,3,4,2353.7,0.55097,366.06,0.081654,3,4,1
2748.4,4.8028,495.26,0.077832,2,13,2676.2,0.52266,366.06,0.077334,2,13,1
2678,4.8448,495.26,0.078754,3,5,2605.8,0.56469,366.06,0.078255,3,5,1
2762.5,4.8527,495.26,0.075958,3,5,2690.2,0.57254,366.06,0.07546,3,5,1
2879.1,4.8485,473.73,0.062549,4,5,2806.8,0.56836,344.53,0.062051,4,5,1
2890.3,4.7771,473.73,0.047953,3,5,2818.1,0.49703,344.53,0.047455,3,5,1
2576.2,4.8117,473.73,0.058715,3,5,2504,0.53155,344.53,0.058217,3,5,1
2619.7,4.801,473.73,0.062084,3,5,2547.5,0.52088,344.53,0.061586,3,5,1
2530.3,4.8589,473.73,0.07806,2,4,2458,0.57882,344.53,0.077562,2,4,1
3560.3,5.12,473.73,0.042116,3,13,3488.1,0.8399,344.53,0.041618,3,13,1
4994.1,5.0339,473.73,0.012772,1,13,4921.9,0.75379,344.53,0.012274,1,13,1
4030.5,5.026,452.2,0.031637,1,14,3958.2,0.74587,323,0.031138,1,14,1
7526.1,4.9686,452.2,0.022453,1,13,7453.8,0.68846,323,0.021955,1,13,1
6494.9,5.0005,258.4,0.019798,2,13,6422.6,0.72036,129.2,0.019299,2,13,1
7411.8,4.8553,430.66,0.014358,1,12,7339.6,0.57517,301.46,0.01386,1,12,1
6086.4,4.8394,258.4,0.030628,1,13,6014.2,0.55924,129.2,0.03013,1,13,1
5696.8,4.84,258.4,0.033245,1,14,5624.5,0.55985,129.2,0.032747,1,14,1
5746.6,4.7268,301.46,0.026271,1,13,5674.3,0.44671,172.27,0.025772,1,13,1
4482,4.874,732.13,0.040551,1,13,4409.8,0.59388,602.93,0.040053,1,13,1
4654.2,4.7879,430.66,0.013638,1,12,4582,0.50775,301.46,0.01314,1,12,1
3459.6,4.7418,430.66,0.01637,1,12,3387.3,0.46166,301.46,0.015871,1,12,1
3515.6,5.1251,107.67,0.045746,1,12,3443.3,0.84503,0,0.045247,1,12,1
3594.2,5.1561,107.67,0.045254,1,13,3521.9,0.87603,0,0.044756,1,13,1
1928.6,5.124,409.13,0.03959,1,13,1856.3,0.84394,301.46,0.039092,1,13,1
2383.4,4.8971,86.133,0.035566,1,13,2311.1,0.61701,0,0.035067,1,13,1
2289.7,4.7818,107.67,0.024414,1,13,2217.4,0.50167,21.533,0.023915,1,13,1
1694,4.962,107.67,0.024094,1,12,1621.7,0.68188,21.533,0.023596,1,12,1
1482.2,4.8587,279.93,0.0042744,0,0,1410,0.57855,193.8,0.0037761,0,0,1
1865.1,4.7826,710.6,0.018133,1,13,1792.8,0.50251,624.46,0.017634,1,13,1
2278.3,4.8436,107.67,0.019648,1,14,2206,0.5635,21.533,0.01915,1,14,1
1965.7,5.3771,107.67,0.029109,3,13,1893.4,1.097,21.533,0.02861,3,13,1
3222.8,5.6116,344.53,0.064639,1,13,3150.5,1.3315,258.4,0.064141,1,13,1
2088.2,5.4274,366.06,0.028586,2,13,2015.9,1.1473,279.93,0.028088,2,13,1
2109.5,5.2749,495.26,0.052935,2,13,2037.2,0.99476,409.13,0.052437,2,13,1
1821.6,5.1243,344.53,0.016851,1,13,1749.3,0.84422,258.4,0.016353,1,13,1
1501.2,5.0981,344.53,0.015789,1,13,1428.9,0.81801,258.4,0.015291,1,13,1
774.59,5.2882,366.06,0.017511,1,13,702.33,1.0081,279.93,0.017013,1,13,1
