@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.076783,0.056261,0.023748,33,0
0.096824,0.046279,0.023067,74,0
0.0982,0.04265,0.026322,75,0
0.076942,0.050817,0.022818,22,0
0.058331,0.054446,0.019191,13,0
0.052942,0.061706,0.0084608,36,0
0.044583,0.068058,0.01358,76,0
0.035729,0.069873,0.010091,39,0
0.035697,0.075318,0.015549,50,0
0.054347,0.052632,0.014359,125,0
0.067236,0.032668,0.024706,135,0
0.063584,0.03902,0.01638,9,0
0.066307,0.049909,0.0098473,9,0
0.065221,0.065336,0.028788,33,0
0.05901,0.062613,0.017795,128,0
0.063428,0.054446,0.015194,60,0
0.051954,0.057169,0.012959,76,0
0.03842,0.049909,0.0068022,113,0
0.043537,0.043557,0.0089111,58,0
0.054188,0.032668,0.018087,37,0
0.04863,0.029946,0.019424,52,0
0.029378,0.03539,0.0046331,39,0
0.021145,0.048094,0.010511,83,0
0.019481,0.058076,0.012626,46,0
0.022333,0.058984,0.012433,56,0
0.013975,0.075318,0.0098495,111,0
0.0085512,0.073503,0.011491,82,0
0.01203,0.059891,0.0090605,75,0
0.0094859,0.063521,0.0044931,58,0
0.014212,0.058984,0.013266,70,0
0.021538,0.047187,0.0044287,45,0
0.026194,0.04265,0.015619,74,0
0.046833,0.043557,0.018849,40,0
0.051266,0.043557,0.012362,113,0
0.037706,0.041742,0.012777,142,0
0.041088,0.039927,0.01081,38,0
0.040864,0.039927,0.017366,41,0
0.030188,0.044465,0.012837,40,0
0.039204,0.045372,0.0090672,104,0
0.035685,0.049909,0.017407,37,0
0.017521,0.063521,0.013921,54,0
0.013704,0.061706,0.012372,75,0
0.01341,0.062613,0.010586,87,0
0.012667,0.061706,0.004153,81,0
0.0056499,0.058984,0.007584,48,0
0.018462,0.050817,0.0056791,22,0
0.03609,0.03539,0.011997,51,0
0.047463,0.038113,0.017431,144,0
0.039079,0.050817,0.0085544,143,0
0.027007,0.049909,0.011178,44,0
0.026759,0.046279,0.017742,51,0
0.019901,0.046279,0.017221,53,0
0.023672,0.049002,0.010593,18,0
0.030241,0.051724,0.0077022,43,0
0.027108,0.044465,0.010891,54,0
0.02398,0.057169,0.010144,85,0
0.022539,0.068966,0.013494,72,0
0.023056,0.069873,0.014572,102,0
0.02594,0.064428,0.0059681,52,0
0.026643,0.060799,0.010655,115,0
0.026755,0.062613,0.015113,76,0
0.01741,0.08167,0.013866,23,0
0.016435,0.07441,0.0095681,24,0
0.01741,0.062613,0.0073899,71,0
0.015286,0.071688,0.012707,25,0
0.028384,0.068058,0.013076,91,0
0.036022,0.07078,0.023251,25,0
0.029378,0.073503,0.015407,34,0
0.035027,0.057169,0.015162,47,0
0.050077,0.046279,0.015266,25,0
0.066665,0.046279,0.01311,47,0
0.077933,0.029946,0.020663,47,0
0.069832,0.028131,0.021679,72,0
0.058574,0.045372,0.014658,47,0
0.07059,0.050817,0.02264,59,0
0.07348,0.048094,0.015402,50,0
0.059556,0.062613,0.018884,49,0
0.045792,0.068966,0.023559,29,0
0.028772,0.063521,0.015888,60,0
0.020439,0.055354,0.015104,136,0
0.017169,0.048094,0.011333,21,0
0.027685,0.040835,0.01389,69,0
