@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
1.1593,1,0
0.591,1,0
0.23292,5,0
0.27745,3,0
0.77018,2,0
0.71855,2,0
0.3831,2,0
0.20908,3,0
0.085231,4,0
0.47323,2,0
0.22196,4,0
0.2958,4,0
0.26815,3,0
0.8387,2,0
1.2252,2,0
0.65908,2,0
0.42696,6,0
0.19594,13,0
0.06264,13,0
0.24144,11,0
0.22851,23,0
0.18146,29,0
0.52493,24,0
0.4855,18,0
0.30318,12,0
0.40476,12,0
0.74898,4,0
0.40218,6,0
0.19098,6,0
0.31389,7,0
0.46602,4,0
0.64874,2,0
0.34978,4,0
0.35576,3,0
0.25253,3,0
0.3618,3,0
0.18286,4,0
0.61059,2,0
1.0576,2,0
1.121,2,0
0.66828,2,0
0.52945,2,0
0.52891,2,0
0.70421,2,0
0.22176,2,0
0.50935,2,0
0.60561,2,0
0.57754,2,0
0.54091,2,0
0.38009,6,0
0.084161,5,0
0.0318,5,0
0.18147,8,0
0.36538,10,0
0.31767,14,0
0.4623,10,0
0.53798,6,1
0.55306,1,1
0.65058,1,1
0.58554,1,1
0.43833,2,1
0.17565,4,1
0.38534,3,1
0.57742,3,1
0.16456,7,1
0.16636,4,1
0.98861,2,1
1.2484,2,1
1.1452,2,1
0.59727,2,1
0.24415,4,1
0.19198,5,1
0.10887,5,1
0.13957,4,1
0.13308,6,1
0.24693,4,1
0.013616,6,1
0.32587,2,1
0.50409,3,1
0.42058,3,0
0.69252,3,0
0.45651,3,0
0.42273,3,0
0.84387,2,0
0.80927,2,0
0.56092,2,0
0.43293,2,0
0.4328,1,0
0.30474,3,0
0.31189,3,0
0.24437,3,0
0.5202,3,0
0.48949,4,0
0.41497,4,0
0.23473,5,0
0.65505,4,0
0.79429,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0.065406,4,1
0.47967,2,1
0.53001,3,1
0.64582,5,1
0.85346,6,1
0.89391,6,1
0.98902,6,1
1.1748,6,1
1.1495,6,1
1.0637,6,1
0.99503,6,1
1.0892,6,1
1.1708,6,1
1.183,6,1
1.2561,7,1
1.1292,7,1
1.1528,7,1
1.2801,7,1
1.2539,7,1
1.1087,7,1
1.0503,7,1
1.2788,8,1
1.3476,3,1
1.2869,2,1
1.3412,2,1
1.4218,2,1
1.3887,2,1
1.3237,2,1
1.3325,2,1
1.3331,2,1
1.2586,2,1
1.2675,2,1
1.3849,2,1
1.4528,2,1
1.4256,2,1
1.4157,2,1
1.4685,2,1
1.4681,2,1
1.4256,2,1
1.4044,2,1
1.4097,2,1
1.3574,2,1
1.4423,2,1
1.4706,2,1
1.4764,2,1
1.473,2,1
1.5719,2,1
1.4991,2,1
1.3736,2,1
1.066,2,1
1.2126,2,1
0.99703,2,1
0.11442,2,1
0.00013661,1,1
0.015722,6,1
0.0095737,5,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0065446,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00069063,5,0
7.5409e-05,1,0
0,1,0
0,1,0
0,1,0
0.011619,6,1
0.44625,2,1
0.87021,2,1
1.0122,2,1
1.0358,2,1
0.95982,3,1
0.81999,9,1
0.9125,9,1
1.16,2,1
1.1,2,1
1.0981,2,1
1.0766,2,1
1.2518,2,1
1.1664,2,1
1.0014,2,1
1.0372,2,1
1.2224,2,1
1.2074,2,1
1.0758,2,1
1.2015,2,1
1.4002,6,1
1.221,3,1
1.0276,2,1
1.0181,2,1
1.2601,2,1
1.1685,8,1
0.97413,12,1
0.96668,13,1
0.84709,13,1
0.82808,13,1
0.90275,8,1
1.0607,4,1
1.1187,3,1
0.91606,4,1
0.88445,5,1
1.0266,4,1
0.94913,4,1
0.84539,3,1
0.89177,2,1
0.99512,2,1
0.92556,4,1
1.1059,7,1
0.9929,9,1
0.71047,9,1
0.86612,8,1
0.97295,5,1
0.87396,5,1
0.67082,5,1
0.63927,5,1
0.58131,5,1
0.77794,5,1
0.67022,3,1
0.75533,5,1
0.92186,6,1
0.88893,5,1
0.97095,8,1
0.90761,8,1
0.96911,8,1
1.1199,8,1
0.99884,8,1
0.98425,9,1
1.1342,9,1
1.1923,5,1
1.2715,2,1
1.2581,9,1
1.2488,9,1
1.2852,2,1
1.1171,2,1
1.1953,2,1
1.3658,2,1
1.432,2,1
1.2538,2,1
1.2671,2,1
1.4015,2,1
1.2561,2,1
1.1667,2,1
1.2625,2,1
1.28,2,1
1.2124,2,1
1.2408,2,1
1.1231,2,1
0.99102,4,1
1.0525,5,1
1.0063,5,1
0.99196,5,1
0.99487,5,1
0.84567,5,1
0.78972,3,1
0.92366,4,1
1.03,3,1
1.0267,3,1
1.2221,3,1
1.242,3,1
0.78434,3,1
0.78355,3,1
0.89661,3,1
0.51188,3,1
