@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
477.87,4.955,839.79,0
340.98,5.1114,64.6,0
413.23,4.9827,366.06,0
412.99,5.0454,366.06,0
242.48,5.1545,344.53,0
344.74,5.2102,21.533,0
169.52,5.2794,21.533,0
271.76,5.2777,366.06,0
154.73,5.3159,602.93,0
169.81,5.1286,624.46,0
123.91,5.2018,344.53,0
58.649,5.2612,366.06,0
202.98,5.0345,236.87,0
364.29,5.1535,258.4,0
435.81,5.0408,43.066,0
395.06,5.0712,193.8,0
339.73,5.0858,323,0
252.62,5.1242,43.066,0
230.47,5.135,387.6,0
259.29,5.1538,581.4,0
411.91,5.0925,538.33,0
311.11,5.122,21.533,0
294.92,5.1434,172.27,0
219.57,5.2044,602.93,0
291.61,5.1042,409.13,0
317.73,5.1031,301.46,0
394.53,5.127,366.06,0
296.34,5.1713,387.6,0
275.16,5.2049,301.46,0
215.49,5.2107,344.53,0
257.17,5.1427,624.46,0
141.97,5.1663,366.06,0
325.53,5.2943,64.6,0
374.83,5.3401,1658.1,0
411.9,5.1458,366.06,0
367.78,5.196,366.06,0
711.03,5.0386,366.06,0
664.48,4.9926,344.53,0
776.48,4.7891,344.53,0
721.48,4.9296,344.53,0
814.81,5.1069,344.53,0
1016.7,5.0241,344.53,0
614.45,5.0625,344.53,0
782.36,5.1617,344.53,0
415.02,5.259,366.06,0
357.14,5.2682,344.53,0
180.85,5.2915,624.46,0
192.41,5.2185,646,0
267.41,5.0549,646,0
421.97,4.8987,387.6,0
1478.4,5.4684,236.87,0
1992.6,5.4278,193.8,0
1621,5.3218,387.6,0
1393.5,5.1312,387.6,0
1201.4,5.1643,667.53,1
1512.5,5.0418,624.46,1
1112.9,4.9835,689.06,1
802.04,5.1127,732.13,1
1738.9,4.8151,559.86,1
1566.1,4.6501,624.46,1
1012.3,4.9278,344.53,1
1178.3,4.8079,344.53,1
984.45,4.7657,366.06,1
1329.8,4.5566,366.06,1
1120.4,4.5969,366.06,1
1286.7,4.6524,366.06,1
1091.7,4.7633,366.06,1
851.28,4.8618,366.06,1
789.51,4.9442,344.53,1
1275,5.0767,344.53,1
1300.7,5.1108,323,1
948.65,5.0671,323,1
1080,5.0171,667.53,1
1083.3,5.0253,646,1
1176.9,4.8547,602.93,1
1187.4,4.838,581.4,1
990.73,4.8853,559.86,1
997.3,4.8988,538.33,1
1112.8,4.9785,473.73,1
886.63,5.0452,452.2,1
1053.7,5.0274,430.66,1
774.78,5.1032,387.6,1
785.87,5.1015,387.6,1
1048.5,5.0762,387.6,1
996.83,5.0259,387.6,1
1077.1,5.0392,602.93,1
855.06,5.0568,387.6,1
823.73,5.1259,366.06,1
636.09,5.0636,602.93,1
610.16,5.0739,624.46,1
740.58,5.058,387.6,1
1057.4,4.8867,409.13,1
973.68,5.0061,538.33,1
828.04,4.9732,538.33,1
821.87,4.9377,409.13,1
714.53,5.1621,430.66,1
975.92,5.0113,430.66,1
719.65,5.0985,430.66,1
799.11,4.9734,452.2,1
770.26,5.3146,452.2,1
1218.6,5.2457,430.66,1
1015.7,5.2266,473.73,1
1284.7,5.1065,559.86,1
1925,4.9715,387.6,1
3658.7,4.4892,452.2,1
3722.8,4.2431,430.66,1
2911.4,4.3315,409.13,1
4077.8,4.2428,430.66,1
4670.4,4.4053,473.73,1
6804.6,4.4445,473.73,1
6356.7,4.044,473.73,1
6245.3,4.3544,473.73,1
6074.2,4.3802,452.2,1
4948.3,4.3291,452.2,1
