@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
3722.8,538.33,1
2911.4,516.8,1
4077.8,538.33,1
4670.4,581.4,1
6804.6,581.4,1
6356.7,581.4,1
6245.3,581.4,1
6074.2,559.86,1
4948.3,559.86,1
4469.3,538.33,1
3647.9,538.33,1
2770,516.8,1
2963.5,516.8,1
2568.8,495.26,1
2132.7,473.73,1
2409.7,473.73,1
2326,473.73,1
2173.2,473.73,1
2049.3,473.73,1
1857,473.73,1
1908.1,473.73,1
2090.9,473.73,1
1748.5,473.73,1
1804.1,452.2,1
2103.4,452.2,1
1674.7,452.2,1
1896.8,452.2,1
2034.3,452.2,1
1980.4,452.2,1
2173.7,452.2,1
2252.6,473.73,1
2297.1,473.73,1
2785.6,473.73,1
3259.2,473.73,1
2755.1,473.73,1
1961.5,495.26,1
2501.2,495.26,1
2601.3,495.26,1
2801.6,495.26,1
2926.4,495.26,1
2231.9,495.26,1
2478.8,495.26,1
2863.2,516.8,1
3530.9,516.8,1
3600.9,516.8,1
4521.2,516.8,1
4579.5,516.8,1
4470,516.8,1
4894.2,516.8,1
4584.4,516.8,1
5710.3,516.8,1
5195.7,516.8,1
4481.5,516.8,1
4286.4,516.8,1
3913,516.8,1
3546.3,495.26,1
3191.1,495.26,1
3359.7,495.26,1
3356,495.26,1
4156.7,495.26,1
4216,495.26,1
5042.3,495.26,1
4445.6,495.26,1
4195.8,473.73,1
3494.8,473.73,1
2193.4,452.2,1
3006.4,430.66,1
2379.2,990.53,1
1972.8,1012.1,1
1405.9,409.13,1
1125.3,1012.1,0
1247.8,882.86,0
1786.7,1550.4,0
1056.9,1270.5,0
854.7,581.4,0
658.52,301.46,0
673.28,947.46,0
438.35,516.8,0
554.48,990.53,0
478.37,473.73,0
388.41,1012.1,0
480.66,1012.1,0
318.71,323,0
487.38,1055.1,0
281.48,990.53,0
172.15,409.13,0
367.58,366.06,0
261.38,1141.3,0
117.09,1076.7,0
53.255,409.13,0
81.421,258.4,0
87.361,495.26,0
142.44,1292,0
119.07,107.67,0
82.886,129.2,0
105.69,107.67,0
81.636,129.2,0
120.89,409.13,0
151.06,409.13,0
251.33,430.66,0
754.23,409.13,0
484.23,409.13,0
534.58,473.73,0
520.96,473.73,0
436.32,452.2,0
456.13,430.66,0
373.66,753.66,0
393.28,753.66,0
439.42,753.66,0
346.68,753.66,0
517.89,732.13,0
716.98,710.6,0
555.32,710.6,0
807.85,732.13,0
583.34,732.13,0
250.15,732.13,0
400.44,387.6,0
291.73,1141.3,0
377.93,732.13,0
144.49,732.13,0
340.11,387.6,0
627.62,1593.5,1
1061.1,646,1
3026.6,495.26,1
3969.9,516.8,1
4003.1,559.86,1
3162.9,516.8,1
4181.1,624.46,1
4363.5,559.86,1
3118.4,538.33,1
2904.8,516.8,1
2774.1,516.8,1
1957,473.73,1
1516.9,775.2,1
1249.4,753.66,1
1022.9,753.66,1
644.74,753.66,1
612.07,387.6,1
448.65,387.6,0
352.84,387.6,0
847.1,387.6,0
1910.2,2476.3,0
1100.4,1055.1,0
689.53,215.33,0
659.02,344.53,0
690.35,366.06,0
599.57,366.06,0
360.53,366.06,0
496.19,344.53,0
868.53,452.2,0
994.22,473.73,0
1068.4,473.73,0
700.17,473.73,0
779.91,473.73,0
926,495.26,0
746.19,473.73,0
686.4,452.2,0
589.31,473.73,0
759.71,473.73,0
944.19,473.73,0
697.39,473.73,0
516.24,473.73,0
621.11,473.73,0
558.8,452.2,0
591.32,473.73,0
881.05,452.2,0
983.5,452.2,0
1128.4,473.73,0
825.57,473.73,0
796.7,452.2,0
893.36,452.2,0
612.72,236.87,0
476.45,236.87,0
273.01,258.4,0
211,430.66,0
225.7,473.73,0
219.08,258.4,0
47.604,236.87,0
72.427,258.4,0
111.83,495.26,0
94.2,452.2,0
277.8,473.73,0
344.41,495.26,0
237.3,452.2,0
203.07,473.73,0
373.73,473.73,0
539.01,581.4,0
230.22,258.4,0
493.63,559.86,0
247.78,1055.1,0
582.99,301.46,0
280.83,1162.8,0
402.67,1076.7,0
286.16,258.4,0
377.64,473.73,0
555.9,473.73,0
453.89,602.93,0
589.78,473.73,0
634.06,452.2,0
501.13,409.13,0
307.17,409.13,0
330.33,452.2,0
191.9,452.2,0
332.76,409.13,0
575.14,409.13,0
633.57,409.13,0
350.9,430.66,0
508.84,516.8,0
617.47,495.26,0
294.72,258.4,0
171.51,236.87,0
188.55,258.4,0
36.87,452.2,0
33.642,1184.3,0
198.49,452.2,0
328.26,279.93,0
524.72,495.26,0
1129.6,516.8,0
352.79,258.4,0
213.03,279.93,0
243.13,452.2,0
340.66,323,0
79.868,452.2,0
178.87,516.8,0
170.26,495.26,0
178.55,452.2,0
164.72,473.73,0
362.8,473.73,0
268.6,258.4,0
293.66,473.73,0
196.38,452.2,0
288.25,452.2,0
239.31,430.66,0
83.525,452.2,0
406.15,495.26,0
349.93,516.8,0
218.08,667.53,0
492.24,430.66,0
452.36,430.66,0
458.27,473.73,0
1077.1,516.8,0
2513.2,495.26,0
1965,495.26,0
1083.6,473.73,0
957.9,473.73,0
881.46,495.26,0
894.94,495.26,0
265.41,279.93,0
620.84,236.87,0
763.9,495.26,0
632.74,473.73,0
1010.2,473.73,0
738.88,452.2,0
747.78,258.4,0
701.64,258.4,0
592.5,236.87,0
200.26,452.2,0
385.46,409.13,0
357.97,473.73,0
484.74,387.6,1
671.39,409.13,1
652.37,387.6,1
850.64,409.13,1
967.92,409.13,1
772.69,839.79,1
930.88,689.06,1
735.48,646,1
366.52,236.87,1
403.95,236.87,1
579.05,495.26,1
608.39,516.8,1
642.05,538.33,1
342.11,516.8,1
242.77,430.66,1
134.22,323,1
212.43,236.87,1
252.23,236.87,1
52.867,236.87,1
128.65,581.4,1
184.23,430.66,1
189.89,538.33,1
799.18,258.4,1
491.75,667.53,0
519.33,667.53,0
846.63,624.46,0
993.9,667.53,0
900.33,430.66,0
714.83,430.66,0
459.95,473.73,0
429.69,430.66,0
509.97,409.13,0
464.2,925.93,0
338.14,215.33,0
416.5,947.46,0
1080.7,839.79,0
1359.4,839.79,0
1105.6,839.79,0
1208.7,882.86,0
1893.1,904.39,0
1491.9,947.46,0
0,21.533,0
26.922,64.6,0
38.302,64.6,0
43.815,43.066,0
2.7605,43.066,1
0,43.066,1
844.77,64.6,1
1111.1,21.533,1
953.75,43.066,1
1048.7,1270.5,1
1223,452.2,1
1449.7,452.2,1
1666,452.2,1
1767.8,452.2,1
1759.6,452.2,1
1959,43.066,1
2001.3,473.73,1
2223.5,473.73,1
2272.2,473.73,1
2635.2,473.73,1
2493.1,495.26,1
2590.8,495.26,1
2438.9,473.73,1
2239.2,473.73,1
2190.6,473.73,1
2208.5,473.73,1
2325.2,473.73,1
2099.6,473.73,1
2168.2,495.26,1
2353.9,495.26,1
2588.8,495.26,1
2574,495.26,1
2626.7,495.26,1
2493.7,516.8,1
2576.3,516.8,1
2619.4,516.8,1
2786.7,516.8,1
2995.5,516.8,1
2929.9,516.8,1
3022.5,516.8,1
3192.8,516.8,1
3054.5,516.8,1
3529,516.8,1
3372.8,516.8,1
3153.8,516.8,1
3526.8,516.8,1
3086.5,516.8,1
3004.6,516.8,1
2980.6,516.8,1
2656.3,516.8,1
3085.7,516.8,1
3435.3,538.33,1
2509.8,538.33,1
1961.5,538.33,1
1369.6,538.33,1
1172.1,516.8,1
429.04,21.533,1
101.33,43.066,1
27.527,64.6,1
4.8003,43.066,1
28.758,21.533,1
0,43.066,0
40.387,64.6,0
66.013,43.066,0
54.497,21.533,0
6.296,43.066,0
0,64.6,0
31.23,43.066,0
37.875,21.533,0
12.022,64.6,0
14.09,64.6,0
1.081,43.066,0
44.3,21.533,0
64.424,64.6,0
26.545,64.6,0
3.2721,21.533,0
33.946,43.066,0
5.9863,43.066,0
28.545,43.066,0
18.98,21.533,0
27.775,64.6,0
0.51975,64.6,0
3.5924,43.066,0
15.105,21.533,0
14.379,43.066,0
3.1429,64.6,0
13.779,43.066,1
662.42,21.533,1
826.36,495.26,1
1196.7,473.73,1
1215,21.533,1
1425.4,473.73,1
1410.5,473.73,1
1626.2,495.26,1
1699.1,495.26,1
