@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.59341,0.59341,3,2,0
0.59424,0.59424,3,2,0
0.66576,0.66576,3,2,0
0.3052,0.3052,4,3,0
0.30599,0.30599,6,5,0
0.48823,0.48823,3,2,0
0.63807,0.63807,4,3,0
0.39088,0.39088,8,7,0
0.45878,0.45878,7,6,0
0.43947,0.43947,5,4,0
0.36601,0.36601,7,6,0
0.3975,0.3975,8,7,0
0.31893,0.31893,8,7,0
0.42339,0.42339,7,6,1
0.57397,0.57397,7,6,1
0.94369,0.94369,2,1,1
1.4767,1.4767,2,1,1
1.319,1.319,2,1,1
0.98168,0.98168,2,1,1
0.88689,0.88689,3,2,1
0.98278,0.98278,2,1,1
1.4054,1.4054,3,2,1
1.4729,1.4729,2,1,1
1.2852,1.2852,3,2,1
0.76204,0.76204,7,6,1
0.61255,0.61255,8,7,1
0.87414,0.87414,3,2,1
0.33356,0.33356,9,8,1
0.40943,0.40943,7,6,1
0.76712,0.76712,4,3,1
0.66502,0.66502,9,8,0
0.61578,0.61578,9,8,0
0.45544,0.45544,8,7,0
0.34924,0.34924,8,7,0
0.4175,0.4175,7,6,0
0.39504,0.39504,3,2,0
0.21818,0.21818,19,18,0
0.13426,0.13426,30,29,0
0.45591,0.45591,6,5,0
0.3082,0.3082,6,5,0
0.3185,0.3185,7,6,0
0.47956,0.47956,8,7,0
0.59056,0.59056,4,3,0
0.58279,0.58279,5,4,0
0.58745,0.58745,6,5,0
0.62215,0.62215,6,5,0
0.59546,0.59546,6,5,0
0.5299,0.5299,6,5,0
0.39031,0.39031,8,7,0
0.50167,0.50167,6,5,0
0.67133,0.67133,3,2,0
0.68484,0.68484,3,2,0
0.6841,0.6841,3,2,0
0.45474,0.45474,3,2,0
0.4265,0.4265,3,2,0
0.39312,0.39312,3,2,0
0.40487,0.40487,3,2,0
0.54777,0.54777,3,2,0
0.53347,0.53347,9,8,0
0.46403,0.46403,7,6,0
0.54865,0.54865,8,7,0
0.59946,0.59946,3,2,0
0.54583,0.54583,7,6,0
0.55829,0.55829,8,7,0
0.30491,0.30491,16,15,0
0.21369,0.21369,17,16,0
0.11747,0.11747,11,10,0
0.089275,0.089275,12,11,0
0.38432,0.38432,9,8,0
0.39447,0.39447,7,6,0
0.34629,0.34629,8,7,0
0.41746,0.41746,8,7,0
0.11762,0.11762,24,23,0
0.20319,0.20319,36,35,0
0.27278,0.27278,38,37,0
0.15297,0.15297,38,37,0
0.11207,0.11207,44,43,0
0.063822,0.063822,32,31,0
0.1069,0.098168,33,32,0
0.18338,0.14882,14,13,0
0.40484,0.34101,8,7,0
0.32982,0.266,7,6,0
0.46623,0.4024,5,4,0
0.3612,0.29738,3,2,0
0.53456,0.47074,3,2,0
0.35873,0.29491,7,6,0
0.49236,0.42854,4,3,0
0.48043,0.41661,4,3,0
0.50325,0.43943,4,3,0
0.15897,0.095143,21,20,0
0.19916,0.13534,19,18,0
0.22059,0.15677,15,14,0
0.17804,0.11422,17,16,0
0.17338,0.10955,21,20,0
0.44933,0.38551,13,12,0
0.33631,0.27249,7,6,0
0.17253,0.10871,10,9,0
0.35802,0.2942,7,6,0
0.12117,0.057348,19,18,0
0.22393,0.16011,18,17,0
0.12823,0.064407,18,17,0
0.1681,0.10428,20,19,0
0.18847,0.12465,18,17,0
0.17222,0.10839,18,17,0
0.19824,0.13441,20,19,0
0.14956,0.085736,27,26,0
0.13963,0.075811,23,22,0
0.13649,0.072669,24,23,0
0.15627,0.092449,22,21,0
0.28799,0.22417,23,22,0
0.2461,0.18228,26,25,0
0.15179,0.087968,23,22,0
0.21793,0.1541,27,26,0
0.18582,0.122,20,19,0
0.11938,0.055553,25,24,0
0.17952,0.11569,20,19,0
0.18577,0.12195,21,20,0
0.20343,0.1396,25,24,0
0.18962,0.12579,18,17,0
0.19438,0.13056,21,20,0
0.12231,0.058487,35,34,0
0.13021,0.066392,31,30,0
0.52189,0.45807,8,7,0
0.54103,0.47721,9,8,0
0.36018,0.29636,9,8,0
0.36824,0.30442,9,8,0
0.31167,0.24785,8,7,0
0.36202,0.2982,9,8,0
0.52067,0.45685,9,8,0
0.29196,0.22814,10,9,0
0.32907,0.26525,11,10,0
0.23541,0.17159,13,12,0
0.2778,0.21398,13,12,0
0.40566,0.34184,10,9,0
0.55756,0.49374,8,7,0
0.24452,0.1807,20,19,0
0.32146,0.25764,8,7,0
0.46812,0.40429,7,6,0
0.9397,0.87587,6,5,0
0.60804,0.54422,6,5,0
0.66772,0.6039,5,4,0
0.38332,0.3195,13,12,0
0.15648,0.092663,30,29,0
0.40486,0.34103,13,12,0
0.28004,0.21622,16,15,0
0.22762,0.1638,10,9,0
0.63413,0.57031,7,6,0
0.13871,0.074884,13,12,0
0.30036,0.23654,17,16,0
0.28999,0.22617,32,31,0
0.16429,0.10047,6,5,0
0.2393,0.17548,9,8,1
