@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0098642,0.0081948,42,38,0
0.0065858,0.0049164,53,49,0
0.0035648,0.0018954,130,126,0
0.0030833,0.0014139,46,42,0
0.0049725,0.0033031,41,37,0
0.0023634,0.00069403,102,98,0
0.0021726,0.00050324,63,59,0
0.0032224,0.001553,58,54,0
0.0028067,0.0011373,61,57,0
0.0021325,0.0004631,139,135,0
0.0019576,0.00028822,136,132,0
0.0023652,0.00069578,59,55,0
0.0020792,0.00040983,102,98,0
0.0016776,8.2091e-06,53,49,0
0.002072,0.00040258,33,29,0
0.0026185,0.00094913,114,110,0
0.0020333,0.00036389,35,31,0
0.0021981,0.00052865,39,35,0
0.0020819,0.00041248,120,116,0
0.0016426,0,90,86,0
0.0019038,0.00026117,7,3,0
0.0015354,0,28,24,0
0.0017671,0.00023169,106,102,0
0.0018848,0.00034933,42,38,0
0.0014177,0,61,57,0
0.0012717,0,45,41,0
0.0012343,0,26,22,0
0.0015631,0.00032875,96,92,0
0.0012628,2.8443e-05,116,112,0
0.0012007,0,111,107,0
0.0014413,0.00024058,60,56,0
0.0009747,0,60,56,0
0.0013405,0.00036578,66,62,0
0.0010357,6.1027e-05,65,61,0
0.0012321,0.00025737,89,85,0
0.0012255,0.00025084,42,38,0
0.0012037,0.00022903,35,31,0
0.0019099,0.00093521,106,102,0
0.0015059,0.00053119,65,61,0
0.0026587,0.001684,62,58,0
0.0027823,0.0018076,58,54,0
0.0023506,0.0013759,67,63,0
0.0023837,0.001409,117,113,0
0.002397,0.0014223,21,17,0
0.0025801,0.0016054,73,69,0
0.0024774,0.0015027,68,64,0
0.0030386,0.0020639,59,55,0
0.0044319,0.0034572,36,32,0
0.0043285,0.0033537,60,56,0
0.0025823,0.0016076,148,144,0
0.0023529,0.0013782,108,104,0
0.0022965,0.0013218,94,90,0
0.0031848,0.0022101,56,52,0
0.0014147,0.00044003,50,46,0
0.0012131,0.00023841,114,110,0
0.0010185,4.3821e-05,67,63,0
0.0015653,0.00059063,88,84,0
0.0011415,0.00016683,89,85,0
0.00094813,0,105,101,0
0.00074457,0,41,37,0
