@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.011514,0.0092862,0.044465,0.026316,0.010285,0.0086158,41,37,1
0.01036,0.0081317,0.053539,0.03539,0.011345,0.0096754,54,50,1
0.013161,0.010933,0.03176,0.013612,0.014957,0.013287,57,53,1
0.013776,0.011548,0.025408,0.0072595,0.0164,0.01473,48,44,0
0.012272,0.010044,0.023593,0.0054446,0.01176,0.01009,42,38,0
0.0074759,0.005248,0.038113,0.019964,0.0098642,0.0081948,42,38,0
0.0043124,0.0020845,0.088929,0.07078,0.0065858,0.0049164,53,49,0
0.0029858,0.00075788,0.11887,0.10073,0.0035648,0.0018954,130,126,0
0.0023971,0.00016916,0.11434,0.096189,0.0030833,0.0014139,46,42,0
0.0025065,0.00027855,0.11434,0.096189,0.0049725,0.0033031,41,37,0
0.002229,1.0106e-06,0.12704,0.10889,0.0023634,0.00069403,102,98,0
0.0018429,0,0.14882,0.13067,0.0021726,0.00050324,63,59,0
0.0018017,0,0.15064,0.13249,0.0032224,0.001553,58,54,0
0.0016858,0,0.14701,0.12886,0.0028067,0.0011373,61,57,0
0.0016838,0,0.13975,0.1216,0.0021325,0.0004631,139,135,0
0.0015937,0,0.13884,0.12069,0.0019576,0.00028822,136,132,0
0.0016213,2.7633e-05,0.14701,0.12886,0.0023652,0.00069578,59,55,0
0.0016503,5.6604e-05,0.15245,0.1343,0.0020792,0.00040983,102,98,0
0.001645,5.1336e-05,0.12976,0.11162,0.0016776,8.2091e-06,53,49,0
0.0016683,7.4598e-05,0.12341,0.10526,0.002072,0.00040258,33,29,0
0.0014711,0,0.15336,0.13521,0.0026185,0.00094913,114,110,0
0.0013076,0,0.15971,0.14156,0.0020333,0.00036389,35,31,0
0.0013672,5.9596e-05,0.16515,0.14701,0.0021981,0.00052865,39,35,0
0.0013951,8.7509e-05,0.17695,0.1588,0.0020819,0.00041248,120,116,0
0.0012238,0,0.18603,0.16788,0.0016426,0,90,86,0
0.0010825,0,0.18421,0.16606,0.0019038,0.00026117,7,3,0
0.0011544,7.1899e-05,0.17604,0.15789,0.0015354,0,28,24,0
0.0013259,0.00024339,0.15426,0.13612,0.0017671,0.00023169,106,102,0
0.0012375,0.00015508,0.16969,0.15154,0.0018848,0.00034933,42,38,0
0.0010457,0,0.20871,0.19056,0.0014177,0,61,57,0
0.0009479,0,0.22232,0.20417,0.0012717,0,45,41,0
0.0010953,0.00014745,0.20236,0.18421,0.0012343,0,26,22,0
0.0011989,0.00025095,0.16606,0.14791,0.0015631,0.00032875,96,92,0
0.0010645,0.00011661,0.18421,0.16606,0.0012628,2.8443e-05,116,112,0
0.00094367,0,0.22323,0.20508,0.0012007,0,111,107,0
0.00091538,0,0.20599,0.18784,0.0014413,0.00024058,60,56,0
0.0011283,0.00021293,0.15154,0.13339,0.0009747,0,60,56,0
0.0012635,0.00034809,0.14247,0.12432,0.0013405,0.00036578,66,62,0
0.0011172,0.00020177,0.16697,0.14882,0.0010357,6.1027e-05,65,61,0
0.0010912,0.00017586,0.16243,0.14428,0.0012321,0.00025737,89,85,0
0.0011061,0.00019072,0.1588,0.14065,0.0012255,0.00025084,42,38,0
0.0010227,0.00010736,0.16788,0.14973,0.0012037,0.00022903,35,31,0
0.0011297,0.00021436,0.16515,0.14701,0.0019099,0.00093521,106,102,0
0.0012973,0.00038191,0.16969,0.15154,0.0015059,0.00053119,65,61,0
0.001434,0.00051866,0.18784,0.16969,0.0026587,0.001684,62,58,0
0.0017267,0.0008113,0.20871,0.19056,0.0027823,0.0018076,58,54,0
0.0017151,0.0007997,0.21234,0.19419,0.0023506,0.0013759,67,63,0
0.0015268,0.00061142,0.21688,0.19873,0.0023837,0.001409,117,113,0
0.001749,0.00083367,0.20871,0.19056,0.002397,0.0014223,21,17,0
0.0019546,0.0010392,0.18784,0.16969,0.0025801,0.0016054,73,69,0
0.0019513,0.0010359,0.19782,0.17967,0.0024774,0.0015027,68,64,0
0.0021388,0.0012234,0.19056,0.17241,0.0030386,0.0020639,59,55,0
0.0024038,0.0014884,0.19056,0.17241,0.0044319,0.0034572,36,32,0
0.0024412,0.0015258,0.16969,0.15154,0.0043285,0.0033537,60,56,0
0.0021747,0.0012594,0.14338,0.12523,0.0025823,0.0016076,148,144,0
0.0032928,0.0023775,0.11162,0.093466,0.0023529,0.0013782,108,104,0
0.0037279,0.0028125,0.056261,0.038113,0.0022965,0.0013218,94,90,0
0.0028897,0.0019744,0.057169,0.03902,0.0031848,0.0022101,56,52,0
0.0028867,0.0019713,0.058076,0.039927,0.0014147,0.00044003,50,46,0
0.0025111,0.0015957,0.062613,0.044465,0.0012131,0.00023841,114,110,0
0.0015704,0.00065501,0.10436,0.086207,0.0010185,4.3821e-05,67,63,0
0.0013018,0.0003864,0.18149,0.16334,0.0015653,0.00059063,88,84,0
0.0013259,0.00041048,0.17514,0.15699,0.0011415,0.00016683,89,85,0
0.0012661,0.00035077,0.12613,0.10799,0.00094813,0,105,101,0
0.001242,0.00032659,0.11978,0.10163,0.00074457,0,41,37,0
0.0014804,0.00056504,0.11434,0.096189,0.0013141,0.00056952,33,29,0
0.0015106,0.00059519,0.13612,0.11797,0.0024421,0.0016975,32,28,0
0.0016301,0.00071476,0.11525,0.097096,0.0022516,0.0015071,33,29,0
0.0017844,0.00086906,0.087114,0.068966,0.0018841,0.0011395,37,33,0
0.0017519,0.00083652,0.10254,0.084392,0.0011368,0.00039221,44,40,0
0.001626,0.00071063,0.10799,0.089837,0.0014974,0.00075287,42,38,0
0.0014201,0.00050476,0.13067,0.11252,0.0024012,0.0016566,114,110,0
0.0012291,0.00031368,0.17423,0.15608,0.0016395,0.00089489,105,101,0
0.0013061,0.0003907,0.13158,0.11343,0.0013694,0.00062482,130,126,0
0.0013318,0.00041637,0.13249,0.11434,0.0019587,0.0012141,124,120,0
0.0012717,0.00035628,0.17423,0.15608,0.0018334,0.0010888,89,85,0
0.001763,0.00084759,0.11797,0.099819,0.0010301,0.00028556,117,113,0
0.0019851,0.0010697,0.077132,0.058984,0.0014383,0.00069377,137,133,0
0.0015506,0.00063524,0.11252,0.094374,0.0010738,0.00032927,149,145,0
0.0012183,0.00030294,0.13521,0.11706,0.001028,0.0002834,43,39,0
0.0012038,0.00028847,0.11525,0.097096,0.0007551,1.053e-05,131,127,0
0.0012695,0.00035413,0.14247,0.12432,0.00071051,0,110,106,0
0.0014328,0.00051737,0.14882,0.13067,0.0013634,0.00065285,142,138,0
0.0014336,0.0005182,0.12341,0.10526,0.0011663,0.00045582,120,116,0
0.0013578,0.00044245,0.11797,0.099819,0.001372,0.00066144,139,135,0
0.0013288,0.00041346,0.098911,0.080762,0.0010074,0.00029687,40,36,0
0.0015829,0.00066756,0.065336,0.047187,0.0011897,0.00047918,81,77,0
0.0015598,0.00064446,0.088022,0.069873,0.0013494,0.00063892,153,149,0
0.0012873,0.00037197,0.10889,0.090744,0.00094072,0.00023021,114,110,0
0.0012807,0.00036535,0.11525,0.097096,0.00073018,1.967e-05,76,72,0
0.0011184,0.00020303,0.19147,0.17332,0.0015976,0.00088713,28,24,0
0.0010853,0.00016987,0.20599,0.18784,0.0010117,0.00030119,80,76,0
0.0011919,0.00027651,0.16425,0.1461,0.0010268,0.00031624,141,137,0
0.0010129,9.7487e-05,0.17604,0.15789,0.0008272,0.00011669,127,123,0
