@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1881.6,1843.4,4.6716,0.93289,452.2,366.06,1.4254,1.3426,3,21,1
1953.5,1915.2,4.612,0.99249,452.2,366.06,1.4667,1.384,3,21,1
2037.7,1999.4,4.5662,1.0382,452.2,366.06,1.4564,1.3736,4,20,1
2038.6,2000.3,4.5699,1.0346,452.2,366.06,1.4185,1.3357,3,21,1
2031.7,1993.5,4.5764,1.028,452.2,366.06,1.3903,1.3075,4,20,1
2060.5,2022.3,4.5838,1.0206,473.73,387.6,1.4145,1.3317,4,20,1
2071.1,2032.8,4.472,1.1325,473.73,387.6,1.4765,1.3937,2,22,1
2114.1,2075.8,4.4937,1.1107,473.73,387.6,1.4856,1.4028,2,22,1
2184.7,2146.4,4.4884,1.1161,473.73,387.6,1.4991,1.4163,2,22,1
2185.4,2147.1,4.5165,1.0879,473.73,387.6,1.4656,1.3828,2,22,1
2233.7,2195.4,4.4116,1.1929,473.73,387.6,1.4584,1.3756,5,19,1
2209.6,2171.4,4.4455,1.159,473.73,387.6,1.444,1.3612,9,15,1
2173.5,2135.3,4.5813,1.0232,452.2,366.06,1.4106,1.3278,9,15,1
1924.3,1886,4.6712,0.93325,452.2,366.06,1.2956,1.2129,8,16,1
1735.5,1697.2,4.661,0.94348,452.2,366.06,1.2175,1.1347,5,19,1
1765.7,1727.5,4.5676,1.0368,452.2,366.06,1.1821,1.0993,5,19,1
1869.5,1831.2,4.5541,1.0503,452.2,366.06,1.2098,1.127,5,19,1
