@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.2976,0.29537,0.04265,0.1225,2705.1,2666.9,4.1928,1.4116,495.26,409.13,1
0.30672,0.30449,0.032668,0.13249,2833,2794.7,4.1412,1.4632,495.26,409.13,1
0.31004,0.30781,0.023593,0.14156,2888.1,2849.9,4.2368,1.3677,495.26,409.13,1
0.30616,0.30393,0.021779,0.14338,2816.9,2778.6,4.2059,1.3986,495.26,409.13,1
0.29965,0.29742,0.020871,0.14428,2819.4,2781.1,4.3005,1.304,495.26,409.13,1
0.29442,0.29219,0.022686,0.14247,2814.3,2776,4.2836,1.3208,495.26,409.13,1
0.29787,0.29564,0.028131,0.13702,2917,2878.7,4.3106,1.2938,495.26,409.13,1
0.30256,0.30033,0.028131,0.13702,2872.7,2834.4,4.2781,1.3263,495.26,409.13,1
0.29563,0.2934,0.027223,0.13793,2828.6,2790.3,4.3428,1.2616,495.26,409.13,1
0.28677,0.28454,0.033575,0.13158,2764.6,2726.3,4.3345,1.2699,473.73,387.6,1
0.27378,0.27155,0.04265,0.1225,2578.2,2539.9,4.1917,1.4127,473.73,387.6,1
0.2671,0.26487,0.046279,0.11887,2525.1,2486.8,4.1652,1.4393,473.73,387.6,1
0.26601,0.26378,0.043557,0.1216,2523.8,2485.5,4.325,1.2795,473.73,387.6,1
0.2554,0.25317,0.041742,0.12341,2587.2,2548.9,4.4136,1.1908,473.73,387.6,1
0.24925,0.24702,0.04265,0.1225,2608.4,2570.1,4.411,1.1934,473.73,387.6,1
0.24025,0.23802,0.034483,0.13067,2346.9,2308.7,4.1003,1.5041,473.73,387.6,1
0.23536,0.23313,0.033575,0.13158,2353,2314.8,4.2374,1.367,452.2,366.06,1
0.22416,0.22193,0.051724,0.11343,2203.5,2165.2,4.3355,1.2689,452.2,366.06,1
0.20329,0.20106,0.052632,0.11252,2034.4,1996.1,4.3068,1.2977,452.2,366.06,1
0.20625,0.20402,0.041742,0.12341,2063.8,2025.5,4.2084,1.396,430.66,344.53,1
0.19958,0.19735,0.039927,0.12523,1859.5,1821.3,4.4652,1.1393,430.66,344.53,1
0.19486,0.19263,0.037205,0.12795,1898,1859.7,4.3652,1.2393,796.73,710.6,1
0.22766,0.22543,0.033575,0.13158,2037.9,1999.6,4.32,1.2844,753.66,667.53,1
0.245,0.24277,0.03539,0.12976,2146.6,2108.4,4.2261,1.3783,732.13,646,1
0.21104,0.20881,0.036298,0.12886,1933.3,1895,4.3082,1.2963,710.6,624.46,1
0.15962,0.15739,0.03176,0.13339,1187.9,1149.7,4.3928,1.2116,689.06,602.93,1
0.14229,0.14006,0.036298,0.12886,1048.8,1010.5,4.4876,1.1169,689.06,602.93,1
0.12834,0.12612,0.040835,0.12432,1022,983.71,4.5219,1.0826,732.13,646,1
0.097579,0.095351,0.043557,0.1216,659.38,621.11,4.6122,0.99221,387.6,301.46,1
0.087752,0.085524,0.041742,0.12341,818.35,780.08,4.7145,0.88995,732.13,646,1
0.10492,0.1027,0.032668,0.13249,1021.4,983.14,4.6123,0.99218,732.13,646,1
0.11139,0.10916,0.033575,0.13158,966.49,928.22,4.5398,1.0647,689.06,602.93,1
0.10817,0.10594,0.033575,0.13158,584.48,546.2,4.5428,1.0616,430.66,344.53,1
0.11913,0.1169,0.030853,0.1343,1154.4,1116.1,4.3201,1.2844,710.6,624.46,1
0.11867,0.11644,0.03176,0.13339,983.25,944.98,4.293,1.3114,710.6,624.46,1
0.11602,0.11379,0.029946,0.13521,718.3,680.03,4.3291,1.2753,452.2,366.06,1
