@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2763.7,2517.8,4.8949,0.32837,473.73,344.53,1.1411,1.0944,2,6,1
2648.8,2402.9,4.7714,0.45189,452.2,323,1.1409,1.0942,2,6,1
2324.1,2078.2,4.7499,0.47333,452.2,323,1.3063,1.2596,2,6,1
2186.1,1940.2,4.859,0.36426,452.2,323,1.1929,1.1463,6,2,1
1626.6,1380.7,5.0201,0.20318,452.2,323,1.1775,1.1308,11,0,1
1495.6,1249.7,4.9619,0.2613,452.2,323,1.134,1.0873,13,0,1
1786.5,1540.7,4.8698,0.35349,452.2,323,1.1721,1.1254,14,0,1
1600.6,1354.7,4.8843,0.33891,452.2,323,1.2189,1.1723,11,3,1
1900.7,1654.8,4.8885,0.33472,452.2,323,1.3652,1.3186,9,5,1
1779,1533.1,4.9044,0.31887,452.2,323,1.2293,1.1826,9,5,1
1957.9,1712,4.8087,0.41454,452.2,323,1.3701,1.3234,2,12,1
2135,1889.1,4.8085,0.41475,473.73,344.53,1.3314,1.2847,2,12,1
2230.8,1985,4.7974,0.42589,452.2,323,1.0897,1.043,3,11,1
2471.2,2225.3,4.817,0.40623,452.2,323,1.0055,0.95886,6,8,1
2029.2,1783.3,4.9215,0.30178,452.2,323,1.0742,1.0276,7,7,1
1954.8,1708.9,4.7409,0.48231,473.73,344.53,1.3177,1.271,3,11,1
1846.1,1600.2,4.7664,0.45684,473.73,344.53,1.3845,1.3378,2,12,1
2011.1,1765.2,4.7766,0.44661,473.73,344.53,1.4551,1.4084,2,12,1
2105.4,1859.5,4.7675,0.45578,473.73,344.53,1.3839,1.3373,3,11,1
