@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.060722,0.059891,0.0147,2,10,0
0.061491,0.054446,0.0064735,0,0,0
0.053188,0.060799,0.0079749,0,0,0
0.042736,0.067151,0.0084302,0,0,0
0.040581,0.058076,0.0077837,0,0,0
0.041157,0.069873,0.016736,1,13,0
0.049187,0.071688,0.011249,1,9,0
0.057431,0.054446,0.0094006,0,0,0
0.061382,0.050817,0.004712,0,0,0
0.063413,0.049002,0.0050084,0,0,0
0.065029,0.049002,0.015817,1,10,0
0.065332,0.047187,0.0041298,0,0,0
0.07134,0.053539,0.0028436,0,0,0
0.078244,0.054446,0.0054191,0,0,0
0.076636,0.046279,0.015194,1,26,0
0.076082,0.044465,0.014863,1,26,0
0.076612,0.040835,0.0036392,0,0,0
0.075487,0.037205,0.0073539,0,0,0
0.077823,0.043557,0.0050014,0,0,0
0.077156,0.045372,0.0072337,0,0,0
0.079438,0.046279,0.012223,1,28,0
0.0775,0.048094,0.011661,1,19,0
0.070963,0.04265,0.0022487,0,0,0
0.069913,0.043557,0.0095318,0,0,0
0.067156,0.048094,0.0074443,0,0,0
0.079744,0.038113,0.0058104,0,0,0
0.10068,0.029038,0.0030615,0,0,0
0.10582,0.029038,0.00098521,0,0,0
0.13047,0.024501,0.0026277,0,0,0
0.17979,0.025408,0.0010851,0,0,0
0.21538,0.027223,0,0,0,0
0.18404,0.03176,0.00055272,0,0,0
0.11745,0.036298,0.0026443,0,0,0
0.10375,0.03539,0.0007549,0,0,0
0.088458,0.03902,0.00136,0,0,0
0.084514,0.036298,0.031662,1,12,0
0.089476,0.033575,0.0045139,0,0,0
0.072776,0.040835,0.0013786,0,0,0
0.063586,0.044465,0.0024734,0,0,0
0.080707,0.040835,0.0057985,0,0,0
0.10189,0.041742,0.0069098,0,0,0
0.10612,0.036298,0.029805,1,23,0
0.093063,0.03176,0.008011,0,0,0
0.075103,0.045372,0.010856,1,23,0
0.076991,0.043557,0.0052344,0,0,0
0.083161,0.036298,0.003555,0,0,0
0.084231,0.045372,0.0026839,0,0,0
0.087637,0.049909,0.0039235,0,0,0
0.094409,0.047187,0.017644,1,23,0
0.10194,0.051724,0.0079349,0,0,0
0.087345,0.059891,0.004132,0,0,0
0.083341,0.056261,0.015381,1,11,0
0.098782,0.046279,0.013429,3,11,0
0.099821,0.04265,0.010763,1,9,0
0.083442,0.053539,0.016846,1,10,0
0.069086,0.057169,0.026315,1,9,0
0.064929,0.061706,0.02352,1,9,0
0.058517,0.066243,0.0059491,0,0,0
0.051675,0.068058,0.013749,1,12,0
0.051658,0.075318,0.019064,1,11,0
0.066063,0.051724,0.019929,2,10,0
0.076006,0.03176,0.0238,2,11,0
0.073159,0.03902,0.008882,0,0,0
0.075218,0.049909,0.016693,1,10,0
0.074371,0.065336,0.046034,2,11,0
0.069592,0.062613,0.011997,1,9,0
0.073046,0.053539,0.020226,1,11,0
0.064203,0.056261,0.014302,2,11,0
0.053755,0.049002,0.008916,0,0,0
0.057696,0.04265,0.008874,0,0,0
0.065913,0.032668,0.0077394,0,0,0
0.061645,0.029946,0.0056316,0,0,0
0.046806,0.036298,0.0016201,0,0,0
0.040432,0.049002,0.0088871,0,0,0
0.039136,0.057169,0.01563,1,13,0
0.041312,0.054446,0.020766,1,12,0
0.034828,0.073503,0.018944,1,13,0
0.030693,0.077132,0.011972,1,15,0
0.033357,0.061706,0.0036552,0,0,0
0.031373,0.067151,0.004201,0,0,0
0.035054,0.062613,0.0088047,0,0,0
0.040713,0.048094,0.0075252,0,0,0
0.044361,0.041742,0.0084373,0,0,0
0.060275,0.041742,0.0075565,0,0,0
0.06367,0.04265,0.0011942,0,0,0
0.053179,0.040835,0.010084,1,28,0
0.055817,0.041742,0.0046924,0,0,0
0.055719,0.041742,0.0091783,0,0,0
0.047433,0.044465,0.0062723,0,0,0
0.054388,0.045372,0.0080572,0,0,0
0.051699,0.049002,0.0056568,0,0,0
0.037665,0.061706,0.017395,1,13,0
0.034749,0.061706,0.013407,1,12,0
0.034479,0.067151,0.0031719,0,0,0
0.033872,0.066243,0.010126,1,12,0
0.028522,0.059891,0.0056959,0,0,0
0.038485,0.050817,0.0073948,0,0,0
0.052006,0.034483,0.0050302,0,0,0
0.060716,0.038113,0.0056045,0,0,0
0.054234,0.054446,0.0061902,0,0,0
0.044913,0.052632,0.0039897,0,0,0
0.04473,0.045372,0.0027297,0,0,0
0.03945,0.045372,0.0024602,0,0,0
0.042355,0.048094,0.0023007,0,0,0
0.047376,0.053539,0.0048048,0,0,0
0.045213,0.046279,0.0054708,0,0,0
0.043067,0.055354,0.015747,1,21,0
0.041835,0.068966,0.011497,1,13,0
0.04224,0.073503,0.0094273,0,0,0
0.044509,0.064428,0.011584,1,13,0
0.04489,0.058984,0.0098676,0,0,0
0.045016,0.065336,0.0094569,0,0,0
0.037895,0.084392,0.012047,1,13,0
0.036997,0.07804,0.0099132,0,0,0
0.03773,0.068058,0.0078877,0,0,0
0.0361,0.07441,0.0087219,0,0,0
0.04606,0.068058,0.021693,1,28,0
0.051892,0.068966,0.022148,1,20,0
0.046874,0.068058,0.0062489,0,0,0
0.051143,0.055354,0.0088745,0,0,0
0.062801,0.048094,0.0068766,0,0,0
0.075789,0.048094,0.0032736,0,0,0
0.084307,0.03176,0.0073605,0,0,0
0.07809,0.029946,0.0079466,0,0,0
0.069597,0.049002,0.023631,2,13,0
0.079034,0.056261,0.016811,2,9,0
0.081584,0.053539,0.016741,2,9,0
0.070699,0.068058,0.024389,3,9,0
0.060154,0.076225,0.028761,4,2,0
0.047221,0.071688,0.016801,4,9,0
0.040515,0.058984,0.0098465,0,0,0
0.038071,0.046279,0.0068527,0,0,0
0.045764,0.039927,0.00072453,0,0,0
0.055151,0.038113,0.0010561,0,0,0
0.097872,0.055354,0.028907,2,11,0
0.10634,0.07441,0.054281,3,11,0
0.095459,0.059891,0.03949,2,12,0
0.099095,0.049002,0.018953,1,12,0
0.098085,0.058076,0.027406,1,12,1
0.10546,0.049909,0.013663,1,13,1
0.10119,0.040835,0.010491,1,9,1
0.099743,0.043557,0.029613,2,9,1
0.14411,0.03902,0.027284,1,14,1
0.14989,0.038113,0.020515,1,15,1
0.11756,0.044465,0.024729,1,15,1
0.11913,0.041742,0.033711,1,14,1
0.12394,0.047187,0.023531,1,14,1
0.13527,0.047187,0.020126,1,13,1
0.13924,0.04265,0.018622,1,14,1
0.139,0.045372,0.023265,2,12,1
0.12736,0.046279,0.01807,1,19,1
0.10517,0.048094,0.0054618,0,0,1
0.10552,0.048094,0.0097836,0,0,1
0.11025,0.053539,0.010762,1,12,1
0.10454,0.060799,0.034008,1,13,1
0.097794,0.056261,0.019669,1,12,1
0.09569,0.053539,0.02884,1,13,1
0.099821,0.045372,0.011637,1,10,1
0.11512,0.036298,0.017894,1,11,1
0.12173,0.033575,0.015996,2,13,1
0.11918,0.028131,0.018312,1,13,1
0.11716,0.03176,0.015339,1,11,1
0.10439,0.048094,0.023771,2,11,1
0.088837,0.054446,0.019795,1,12,1
0.087058,0.046279,0.011693,1,21,1
0.088011,0.045372,0.012835,1,10,1
0.085764,0.048094,0.010011,1,12,1
0.08929,0.050817,0.021996,1,11,1
0.08861,0.048094,0.0068792,0,0,1
0.086871,0.046279,0.020502,1,12,1
0.086921,0.046279,0.0066205,0,0,1
0.077942,0.049002,0.013355,1,26,1
0.071922,0.049002,0.027419,1,13,1
0.071546,0.049002,0.01534,1,13,1
0.08049,0.049909,0.0071419,0,0,1
0.087282,0.040835,0.004909,0,0,1
0.085735,0.040835,0.003591,0,0,1
0.084314,0.046279,0.0095795,0,0,1
0.08438,0.03902,0.0060372,0,0,1
0.089093,0.041742,0.011483,1,21,1
0.087595,0.049909,0.013962,1,12,1
0.085666,0.04265,0.019027,1,17,1
0.080733,0.046279,0.0062174,0,0,1
0.079133,0.067151,0.011478,1,10,1
0.089613,0.07804,0.026112,1,18,1
0.099465,0.059891,0.028503,1,18,1
0.10708,0.048094,0.015,1,20,1
0.21538,0.039927,0.044232,1,17,1
0.35677,0.024501,0.050284,5,5,1
0.41911,0.024501,0.053801,5,5,1
0.4034,0.024501,0.073658,4,3,1
0.43792,0.026316,0.055045,4,5,1
0.52483,0.03176,0.07601,3,13,1
0.61714,0.030853,0.052855,2,13,1
0.65645,0.028131,0.045415,1,17,1
0.63438,0.026316,0.041256,2,13,1
0.59035,0.024501,0.023924,2,16,1
0.53063,0.023593,0.033079,5,5,1
0.44252,0.023593,0.036156,4,10,1
0.34434,0.023593,0.047679,4,10,1
0.31922,0.022686,0.054478,5,10,1
0.29108,0.021779,0.055605,4,10,1
0.23984,0.027223,0.039335,5,5,1
0.20543,0.033575,0.054609,2,10,1
0.1934,0.040835,0.050501,2,10,1
0.18219,0.049909,0.041571,3,13,1
0.17371,0.049002,0.031793,3,10,1
0.18705,0.039927,0.035414,2,10,1
0.18962,0.038113,0.027602,1,13,1
0.1865,0.041742,0.020769,3,10,1
0.18928,0.03539,0.033758,2,13,1
0.18775,0.032668,0.047741,2,13,1
0.18536,0.033575,0.049075,2,13,1
0.17998,0.040835,0.039074,1,13,1
0.15683,0.065336,0.024284,2,13,1
0.15569,0.060799,0.021595,2,13,1
0.17575,0.03902,0.024976,3,13,1
0.17516,0.034483,0.022368,1,13,1
0.17117,0.043557,0.023456,1,21,1
0.1778,0.047187,0.046466,2,14,1
0.21199,0.038113,0.042925,1,14,1
0.25276,0.03176,0.040335,1,14,1
0.26288,0.028131,0.03139,1,14,1
0.23088,0.046279,0.022502,1,14,1
0.19053,0.058984,0.031036,2,13,1
0.20923,0.048094,0.044208,1,14,1
0.21764,0.050817,0.027746,2,13,1
0.22179,0.051724,0.034808,2,14,1
0.22803,0.044465,0.041639,2,14,1
0.21269,0.043557,0.031282,2,14,1
0.22184,0.044465,0.04006,2,14,1
0.25026,0.04265,0.031898,2,14,1
0.28933,0.038113,0.036416,3,14,1
0.31965,0.037205,0.030718,2,13,1
0.3313,0.033575,0.042428,2,14,1
0.33596,0.03539,0.037177,2,14,1
0.34846,0.03539,0.034965,3,14,1
0.36663,0.028131,0.029867,3,14,1
0.36761,0.03176,0.027696,3,14,1
0.37144,0.037205,0.026148,2,14,1
0.39256,0.03176,0.026768,2,14,1
0.38353,0.025408,0.043642,2,14,1
0.36551,0.028131,0.039994,3,12,1
0.37154,0.025408,0.032491,2,7,1
0.35231,0.023593,0.025669,2,9,1
0.3216,0.025408,0.035837,1,14,1
0.32724,0.024501,0.028992,2,12,1
0.39859,0.022686,0.027551,2,11,1
0.47213,0.021779,0.012799,2,11,1
0.50607,0.021779,0.019223,1,18,1
0.51667,0.020871,0.035638,1,13,1
0.49978,0.020871,0.032509,1,13,1
0.46064,0.019964,0.020984,2,13,1
0.37351,0.019964,0.039728,1,13,1
0.27884,0.019964,0.045666,2,13,1
0.21642,0.052632,0.061419,1,12,1
0.14654,0.072595,0.060685,2,12,1
0.1153,0.063521,0.01788,2,11,1
0.092104,0.069873,0.014278,1,13,1
0.080097,0.059891,0.020319,2,12,0
0.094141,0.072595,0.046837,3,8,0
0.094217,0.093466,0.036247,2,12,0
0.081864,0.087114,0.019716,2,10,0
0.070088,0.090744,0.025013,1,12,0
0.064001,0.092559,0.025797,2,11,0
0.056938,0.096189,0.010324,1,11,0
0.052343,0.098911,0.016244,2,8,0
0.056065,0.089837,0.02033,2,12,0
0.053515,0.07441,0.01285,1,24,0
0.050155,0.069873,0.016894,2,11,0
0.05323,0.07078,0.0054903,0,0,0
0.051742,0.058984,0.013367,1,13,0
0.04799,0.058076,0.0082204,0,0,0
0.043185,0.063521,0.0057981,0,0,0
0.044389,0.064428,0.013509,1,25,0
0.043541,0.072595,0.0079168,0,0,0
0.040551,0.071688,0.0048985,0,0,0
0.037222,0.07078,0.015069,1,11,0
0.030679,0.08167,0.012125,2,12,0
0.030833,0.080762,0.0090712,0,0,0
0.032041,0.083485,0.012395,1,19,0
0.035732,0.098004,0.012166,1,11,0
0.041869,0.068966,0.010542,1,29,0
0.041601,0.048094,0.0031796,0,0,0
0.0371,0.058076,0.011735,2,13,0
0.035217,0.061706,0.004915,0,0,0
0.03929,0.060799,0.011077,2,13,0
0.040401,0.077132,0.013762,1,11,0
0.045857,0.11615,0.028289,1,13,0
0.056194,0.13158,0.045617,3,11,0
0.055673,0.1225,0.035134,2,10,0
0.058412,0.090744,0.023707,1,11,0
