@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.099465,0.059891,1
0.10708,0.048094,1
0.21538,0.039927,1
0.35677,0.024501,1
0.41911,0.024501,1
0.4034,0.024501,1
0.43792,0.026316,1
0.52483,0.03176,1
0.61714,0.030853,1
0.65645,0.028131,1
0.63438,0.026316,1
0.59035,0.024501,1
0.53063,0.023593,1
0.44252,0.023593,1
0.34434,0.023593,1
0.31922,0.022686,1
0.29108,0.021779,1
0.23984,0.027223,1
0.20543,0.033575,1
0.1934,0.040835,1
0.18219,0.049909,1
0.17371,0.049002,1
0.18705,0.039927,1
0.18962,0.038113,1
0.1865,0.041742,1
0.18928,0.03539,1
0.18775,0.032668,1
0.18536,0.033575,1
0.17998,0.040835,1
0.15683,0.065336,1
0.15569,0.060799,1
0.17575,0.03902,1
0.17516,0.034483,1
0.17117,0.043557,1
0.1778,0.047187,1
0.21199,0.038113,1
0.25276,0.03176,1
0.26288,0.028131,1
0.23088,0.046279,1
0.19053,0.058984,1
0.20923,0.048094,1
0.21764,0.050817,1
0.22179,0.051724,1
0.22803,0.044465,1
0.21269,0.043557,1
0.22184,0.044465,1
0.25026,0.04265,1
0.28933,0.038113,1
0.31965,0.037205,1
0.3313,0.033575,1
0.33596,0.03539,1
0.34846,0.03539,1
0.36663,0.028131,1
0.36761,0.03176,1
0.37144,0.037205,1
0.39256,0.03176,1
0.38353,0.025408,1
0.36551,0.028131,1
0.37154,0.025408,1
0.35231,0.023593,1
0.3216,0.025408,1
0.32724,0.024501,1
0.39859,0.022686,1
0.47213,0.021779,1
0.50607,0.021779,1
0.51667,0.020871,1
0.49978,0.020871,1
0.46064,0.019964,1
0.37351,0.019964,1
0.27884,0.019964,1
0.21642,0.052632,1
0.14654,0.072595,1
0.1153,0.063521,1
0.092104,0.069873,1
0.080097,0.059891,0
0.094141,0.072595,0
0.094217,0.093466,0
0.081864,0.087114,0
0.070088,0.090744,0
0.064001,0.092559,0
0.056938,0.096189,0
0.052343,0.098911,0
0.056065,0.089837,0
0.053515,0.07441,0
0.050155,0.069873,0
0.05323,0.07078,0
0.051742,0.058984,0
0.04799,0.058076,0
0.043185,0.063521,0
0.044389,0.064428,0
0.043541,0.072595,0
0.040551,0.071688,0
0.037222,0.07078,0
0.030679,0.08167,0
0.030833,0.080762,0
0.032041,0.083485,0
0.035732,0.098004,0
0.041869,0.068966,0
0.041601,0.048094,0
0.0371,0.058076,0
0.035217,0.061706,0
0.03929,0.060799,0
0.040401,0.077132,0
0.045857,0.11615,0
0.056194,0.13158,0
0.055673,0.1225,0
0.058412,0.090744,0
0.058478,0.072595,0
0.053965,0.079855,0
0.053593,0.076225,0
0.051746,0.066243,0
0.062696,0.051724,0
0.062212,0.043557,0
0.055486,0.048094,0
0.07471,0.039927,0
0.08778,0.039927,0
0.074766,0.068058,0
0.070578,0.079855,0
0.067796,0.075318,0
0.047802,0.079855,0
0.046847,0.10617,0
0.046406,0.11252,0
0.04695,0.079855,0
0.045729,0.072595,0
0.048765,0.073503,0
0.062486,0.076225,1
0.1056,0.07441,1
0.19322,0.062613,1
0.29789,0.04265,1
0.29075,0.04265,1
0.24726,0.047187,1
0.33872,0.03176,1
0.36174,0.030853,1
0.29943,0.046279,1
0.26423,0.068058,1
0.21663,0.078947,1
0.15745,0.083485,1
0.13664,0.073503,1
0.10725,0.071688,1
0.079003,0.080762,1
0.062458,0.088929,1
0.057595,0.07804,1
0.055304,0.065336,0
0.048978,0.062613,0
0.088813,0.071688,0
0.10217,0.096189,0
0.079929,0.098004,0
0.065533,0.083485,0
0.058695,0.088929,0
0.060829,0.094374,0
0.061837,0.077132,0
0.057418,0.072595,0
0.058965,0.067151,0
0.092213,0.043557,0
0.11195,0.029038,0
0.10926,0.037205,0
0.092945,0.044465,0
0.094124,0.040835,0
0.10025,0.04265,0
0.088069,0.043557,0
0.079941,0.048094,0
