@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
332.62,325.28,4.9372,0.9522,409.13,323,0
189.14,181.79,5.0622,1.0771,129.2,43.066,0
216.94,209.59,5.2119,1.2269,366.06,279.93,0
217.25,209.91,5.2096,1.154,129.2,43.066,0
178.25,170.91,5.1557,1.0893,129.2,43.066,0
135.14,127.79,5.22,1.1535,818.26,732.13,0
126.46,119.11,5.2407,1.1743,215.33,129.2,0
100.73,93.388,5.2601,1.149,129.2,43.066,0
125.24,117.9,5.1672,1.0158,409.13,323,0
211.48,204.13,5.2336,1.0822,150.73,64.6,0
168.5,161.16,5.2153,1.0639,107.67,21.533,0
258.18,250.84,5.0073,0.85588,107.67,21.533,0
462.78,455.44,4.9598,0.80838,925.93,839.79,0
485.21,477.87,4.955,0.80363,925.93,839.79,0
348.32,340.98,5.1114,0.96001,150.73,64.6,0
420.58,413.23,4.9827,0.8313,452.2,366.06,0
420.34,412.99,5.0454,0.85411,452.2,366.06,0
249.82,242.48,5.1545,0.96318,430.66,344.53,0
352.08,344.74,5.2102,1.0189,107.67,21.533,0
176.87,169.52,5.2794,1.0881,107.67,21.533,0
279.1,271.76,5.2777,1.0864,452.2,366.06,0
162.07,154.73,5.3159,1.1247,689.06,602.93,0
177.15,169.81,5.1286,0.93737,710.6,624.46,0
131.25,123.91,5.2018,1.0105,430.66,344.53,0
65.992,58.649,5.2612,1.0699,452.2,366.06,0
210.32,202.98,5.0345,0.84325,323,236.87,0
371.64,364.29,5.1535,0.96223,344.53,258.4,0
443.16,435.81,5.0408,0.84956,129.2,43.066,0
402.41,395.06,5.0712,0.87991,279.93,193.8,0
347.07,339.73,5.0858,0.89452,409.13,323,0
259.96,252.62,5.1242,0.93291,129.2,43.066,0
237.81,230.47,5.135,0.94376,473.73,387.6,0
266.63,259.29,5.1538,0.96251,667.53,581.4,0
419.25,411.91,5.0925,0.90126,624.46,538.33,0
318.45,311.11,5.122,0.9307,107.67,21.533,0
302.27,294.92,5.1434,0.95217,258.4,172.27,0
226.91,219.57,5.2044,1.0131,689.06,602.93,0
298.95,291.61,5.1042,0.91296,495.26,409.13,0
325.07,317.73,5.1031,0.91187,387.6,301.46,0
401.87,394.53,5.127,0.93572,452.2,366.06,0
303.68,296.34,5.1713,0.98007,473.73,387.6,0
282.51,275.16,5.2049,1.0136,387.6,301.46,0
222.83,215.49,5.2107,1.0194,430.66,344.53,0
264.52,257.17,5.1427,0.95142,710.6,624.46,0
149.32,141.97,5.1663,0.97499,452.2,366.06,0
332.87,325.53,5.2943,1.103,150.73,64.6,0
382.17,374.83,5.3401,1.1488,1744.2,1658.1,0
419.25,411.9,5.1458,0.95449,452.2,366.06,0
375.13,367.78,5.196,1.0047,452.2,366.06,0
718.37,711.03,5.0386,0.84735,452.2,366.06,0
671.82,664.48,4.9926,0.80128,430.66,344.53,0
783.83,776.48,4.7891,0.59778,430.66,344.53,0
728.83,721.48,4.9296,0.73836,430.66,344.53,0
822.16,814.81,5.1069,0.91567,430.66,344.53,0
1024.1,1016.7,5.0241,0.8328,430.66,344.53,0
621.79,614.45,5.0625,0.87119,430.66,344.53,0
789.7,782.36,5.1617,0.97046,430.66,344.53,0
422.36,415.02,5.259,1.0677,452.2,366.06,0
364.49,357.14,5.2682,1.0769,430.66,344.53,0
188.2,180.85,5.2915,1.1002,710.6,624.46,0
199.75,192.41,5.2185,1.0272,732.13,646,0
274.75,267.41,5.0549,0.86361,732.13,646,0
429.31,421.97,4.8987,0.70747,473.73,387.6,0
1485.7,1478.4,5.4684,1.2771,323,236.87,0
1999.9,1992.6,5.4278,1.2366,279.93,193.8,0
1628.3,1621,5.3218,1.1305,473.73,387.6,0
1400.9,1393.5,5.1312,0.93995,473.73,387.6,0
1208.7,1201.4,5.1643,0.97301,753.66,667.53,1
1519.9,1512.5,5.0418,0.85048,710.6,624.46,1
1120.3,1112.9,4.9835,0.7922,775.2,689.06,1
809.39,802.04,5.1127,0.92139,818.26,732.13,1
1746.2,1738.9,4.8151,0.62378,646,559.86,1
1573.5,1566.1,4.6501,0.45882,710.6,624.46,1
1019.6,1012.3,4.9278,0.73649,430.66,344.53,1
1185.6,1178.3,4.8079,0.61659,430.66,344.53,1
991.79,984.45,4.7657,0.57442,452.2,366.06,1
1337.1,1329.8,4.5566,0.36533,452.2,366.06,1
1127.7,1120.4,4.5969,0.40561,452.2,366.06,1
1294.1,1286.7,4.6524,0.46109,452.2,366.06,1
1099.1,1091.7,4.7633,0.57205,452.2,366.06,1
858.62,851.28,4.8618,0.67056,452.2,366.06,1
796.85,789.51,4.9442,0.75297,430.66,344.53,1
1282.3,1275,5.0767,0.88544,430.66,344.53,1
1308,1300.7,5.1108,0.91949,409.13,323,1
956,948.65,5.0671,0.87582,409.13,323,1
1087.3,1080,5.0171,0.82578,753.66,667.53,1
1090.6,1083.3,5.0253,0.83398,732.13,646,1
1184.2,1176.9,4.8547,0.66346,689.06,602.93,1
1194.7,1187.4,4.838,0.6467,667.53,581.4,1
998.08,990.73,4.8853,0.69407,646,559.86,1
1004.6,997.3,4.8988,0.70748,624.46,538.33,1
1120.1,1112.8,4.9785,0.78725,559.86,473.73,1
893.98,886.63,5.0452,0.85388,538.33,452.2,1
1061,1053.7,5.0274,0.83617,516.8,430.66,1
782.12,774.78,5.1032,0.91196,473.73,387.6,1
793.21,785.87,5.1015,0.91024,473.73,387.6,1
1055.9,1048.5,5.0762,0.8849,473.73,387.6,1
1004.2,996.83,5.0259,0.83459,473.73,387.6,1
1084.4,1077.1,5.0392,0.8479,689.06,602.93,1
862.41,855.06,5.0568,0.86549,473.73,387.6,1
831.07,823.73,5.1259,0.93465,452.2,366.06,1
643.43,636.09,5.0636,0.87231,689.06,602.93,1
617.51,610.16,5.0739,0.88263,710.6,624.46,1
