@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11099,0.052777,0.016334,0,598.51,352.63,4.5051,0.5102,323,193.8,0.015574,0.0029353,72,58,0.39399,0.3473,2,1,0
0.16606,0.10784,0.022686,0.0063521,1357.6,1111.7,4.1814,0.18649,516.8,387.6,0.01526,0.0026206,126,112,1.1277,1.081,2,1,0
0.25277,0.19455,0.022686,0.0063521,2023,1777.1,3.985,0,516.8,387.6,0.020967,0.0083277,114,100,1.2195,1.1728,2,1,0
0.29402,0.2358,0.023593,0.0072595,2760.8,2514.9,4.0556,0.070571,516.8,387.6,0.028382,0.015743,19,5,1.2639,1.2173,2,1,0
0.29637,0.23815,0.022686,0.0063521,2889.6,2643.8,4.1077,0.12266,538.33,409.13,0.034445,0.021806,15,1,1.2762,1.2295,2,1,0
0.33279,0.27457,0.022686,0.0063521,3050.3,2804.4,4.067,0.081961,538.33,409.13,0.02424,0.011601,39,25,1.3515,1.3048,2,1,0
0.35291,0.29469,0.023593,0.0072595,3213,2967.1,4.0665,0.081419,538.33,409.13,0.025144,0.012505,33,19,1.3146,1.2679,2,1,0
0.34891,0.2907,0.022686,0.0063521,3355.2,3109.3,4.1111,0.12606,516.8,387.6,0.030904,0.018265,103,89,1.2691,1.2224,2,1,0
0.3235,0.26528,0.023593,0.0072595,3396.6,3150.7,4.1539,0.16882,516.8,387.6,0.021644,0.0090051,36,22,1.2842,1.2375,2,1,0
0.24768,0.18946,0.027223,0.010889,2200.2,1954.3,4.4357,0.45066,516.8,387.6,0.026154,0.013515,38,24,0.94572,0.89904,2,1,0
0.24377,0.18555,0.025408,0.0090744,2356.1,2110.2,4.3797,0.3947,495.26,366.06,0.024137,0.011498,27,13,1.0114,0.96474,2,1,0
0.25229,0.19407,0.023593,0.0072595,2784,2538.1,4.3152,0.33013,495.26,366.06,0.025941,0.013301,29,15,0.96074,0.91406,2,1,0
0.22009,0.16187,0.020871,0.0045372,1789.4,1543.6,4.4477,0.4627,215.33,86.133,0.024586,0.011947,24,10,0.7697,0.72301,2,1,0
0.25142,0.1932,0.023593,0.0072595,2281,2035.1,4.2209,0.23587,409.13,279.93,0.037856,0.025217,46,32,1.0462,0.99953,2,1,0
0.24207,0.18385,0.034483,0.018149,2343.6,2097.7,4.3532,0.36813,387.6,258.4,0.025123,0.012484,21,7,0.97971,0.93303,1,0,0
0.19044,0.13223,0.032668,0.016334,1890.4,1644.5,4.1514,0.16637,495.26,366.06,0.027349,0.014709,37,23,0.79388,0.7472,2,1,0
0.16196,0.10374,0.022686,0.0063521,1067.5,821.61,4.4716,0.48654,473.73,344.53,0.021502,0.0088632,39,25,1.0831,1.0364,2,1,0
0.11591,0.057691,0.034483,0.018149,819.77,573.89,4.5391,0.55409,516.8,387.6,0.027812,0.015173,24,10,0.92656,0.87988,2,1,0
0.11055,0.052328,0.040835,0.024501,948.91,703.03,4.6188,0.63375,516.8,387.6,0.029281,0.016642,22,8,1.0042,0.95756,2,1,0
0.11565,0.057435,0.03176,0.015426,647.31,401.43,4.8599,0.87488,409.13,279.93,0.028426,0.015787,44,30,0.62014,0.57346,2,1,0
0.091342,0.033125,0.026316,0.0099819,569.05,323.16,4.9818,0.99673,366.06,236.87,0.026193,0.013553,93,79,0.55381,0.50713,4,3,1
0.12037,0.062154,0.024501,0.008167,1139.8,893.88,4.881,0.89592,538.33,409.13,0.026089,0.01345,40,26,0.72662,0.67994,2,1,1
0.15569,0.097469,0.034483,0.018149,1197.9,951.99,4.8641,0.87906,473.73,344.53,0.053777,0.041138,42,28,1.0866,1.04,2,1,1
0.18298,0.12476,0.043557,0.027223,2007.9,1762,4.851,0.86596,473.73,344.53,0.064911,0.052272,44,30,1.3498,1.3031,2,1,1
0.21113,0.15291,0.04265,0.026316,2255.2,2009.4,4.8055,0.82045,473.73,344.53,0.07874,0.066101,44,30,1.4008,1.3541,2,1,1
0.23747,0.17926,0.03539,0.019056,2072.8,1826.9,4.782,0.79692,473.73,344.53,0.094455,0.081816,44,30,1.3727,1.326,2,1,1
0.24487,0.18665,0.03902,0.022686,2851.9,2606.1,4.7769,0.79181,495.26,366.06,0.09765,0.085011,42,28,1.4234,1.3768,2,1,1
0.25442,0.1962,0.044465,0.028131,3087.9,2842,4.8614,0.87631,495.26,366.06,0.090566,0.077927,41,27,1.1361,1.0894,2,1,1
0.24806,0.18984,0.046279,0.029946,3196.8,2950.9,4.7582,0.7732,495.26,366.06,0.10189,0.089247,41,27,1.1583,1.1116,3,2,1
0.24317,0.18495,0.043557,0.027223,2815.7,2569.9,4.7679,0.78289,495.26,366.06,0.098611,0.085972,41,27,1.2719,1.2252,2,1,1
0.24163,0.18341,0.043557,0.027223,2391,2145.1,4.8139,0.82887,495.26,366.06,0.092254,0.079615,41,27,1.2975,1.2508,2,1,1
0.2268,0.16858,0.049909,0.033575,2249.1,2003.2,4.8205,0.83543,495.26,366.06,0.099445,0.086806,42,28,1.2783,1.2317,3,2,1
0.24407,0.18585,0.04265,0.026316,2866.3,2620.4,4.7392,0.75414,473.73,344.53,0.090608,0.077969,42,28,1.4635,1.4168,2,1,1
0.2386,0.18038,0.047187,0.030853,2561.9,2316,4.9073,0.92224,495.26,366.06,0.089829,0.07719,42,28,1.3221,1.2754,3,2,1
0.22836,0.17014,0.052632,0.036298,2404.2,2158.3,4.8942,0.90917,495.26,366.06,0.099387,0.086748,42,28,1.3533,1.3066,6,5,1
0.24039,0.18217,0.043557,0.027223,2715.5,2469.6,4.7913,0.80628,473.73,344.53,0.093088,0.080448,42,28,1.372,1.3253,3,2,1
0.24667,0.18845,0.040835,0.024501,2848.5,2602.7,4.7683,0.78327,473.73,344.53,0.093507,0.080868,138,124,1.4308,1.3841,2,1,1
0.24038,0.18216,0.04265,0.026316,2183.2,1937.3,4.8212,0.8362,495.26,366.06,0.10603,0.093388,42,28,1.4108,1.3642,2,1,1
0.25487,0.19665,0.039927,0.023593,2746,2500.1,4.6737,0.68864,495.26,366.06,0.098331,0.085692,136,122,1.4122,1.3655,2,1,1
0.25877,0.20056,0.048094,0.03176,2905.5,2659.6,4.7117,0.72668,473.73,344.53,0.10042,0.087777,42,28,1.391,1.3443,2,1,1
0.25423,0.19602,0.054446,0.038113,2552.9,2307,4.6955,0.71043,473.73,344.53,0.11984,0.1072,43,29,1.3197,1.273,2,1,1
0.26343,0.20521,0.044465,0.028131,2926.5,2680.6,4.7943,0.80925,473.73,344.53,0.10905,0.096407,44,30,1.3851,1.3384,2,1,1
0.23745,0.17923,0.04265,0.026316,2763.7,2517.8,4.8949,0.90983,473.73,344.53,0.086379,0.073739,46,32,1.1411,1.0944,2,1,1
0.22571,0.16749,0.039927,0.023593,2648.8,2402.9,4.7714,0.78632,452.2,323,0.093406,0.080766,47,33,1.1409,1.0942,2,1,1
0.21536,0.15714,0.049002,0.032668,2324.1,2078.2,4.7499,0.76488,452.2,323,0.10621,0.093574,48,34,1.3063,1.2596,2,1,1
0.19184,0.13362,0.069873,0.053539,2186.1,1940.2,4.859,0.87395,452.2,323,0.11003,0.097386,48,34,1.1929,1.1463,6,5,1
0.17646,0.11824,0.07441,0.058076,1626.6,1380.7,5.0201,1.035,452.2,323,0.087112,0.074473,49,35,1.1775,1.1308,11,10,1
0.16137,0.10316,0.072595,0.056261,1495.6,1249.7,4.9619,0.9769,452.2,323,0.089314,0.076675,49,35,1.134,1.0873,13,12,1
0.15859,0.10038,0.078947,0.062613,1786.5,1540.7,4.8698,0.88471,452.2,323,0.098802,0.086163,49,35,1.1721,1.1254,14,13,1
0.17088,0.11266,0.072595,0.056261,1600.6,1354.7,4.8843,0.8993,452.2,323,0.091441,0.078801,50,36,1.2189,1.1723,11,10,1
0.16837,0.11015,0.065336,0.049002,1900.7,1654.8,4.8885,0.90349,452.2,323,0.10199,0.089346,49,35,1.3652,1.3186,9,8,1
0.16755,0.10933,0.058984,0.04265,1779,1533.1,4.9044,0.91934,452.2,323,0.11881,0.10617,49,35,1.2293,1.1826,9,8,1
0.19109,0.13287,0.048094,0.03176,1957.9,1712,4.8087,0.82367,452.2,323,0.11673,0.10409,48,34,1.3701,1.3234,2,1,1
0.20143,0.14321,0.050817,0.034483,2135,1889.1,4.8085,0.82346,473.73,344.53,0.099519,0.08688,47,33,1.3314,1.2847,2,1,1
0.20957,0.15135,0.058076,0.041742,2230.8,1985,4.7974,0.81232,452.2,323,0.10942,0.096777,48,34,1.0897,1.043,3,2,1
0.20323,0.14501,0.058076,0.041742,2471.2,2225.3,4.817,0.83198,452.2,323,0.11367,0.10103,48,34,1.0055,0.95886,6,5,1
0.18958,0.13137,0.056261,0.039927,2029.2,1783.3,4.9215,0.93643,452.2,323,0.1064,0.093758,47,33,1.0742,1.0276,7,6,1
0.18657,0.12835,0.059891,0.043557,1954.8,1708.9,4.7409,0.75589,473.73,344.53,0.11067,0.098027,46,32,1.3177,1.271,3,2,1
0.19379,0.13557,0.051724,0.03539,1846.1,1600.2,4.7664,0.78136,473.73,344.53,0.11201,0.099367,45,31,1.3845,1.3378,2,1,1
0.20511,0.14689,0.044465,0.028131,2011.1,1765.2,4.7766,0.79159,473.73,344.53,0.1114,0.098766,46,32,1.4551,1.4084,2,1,1
0.19721,0.13899,0.058076,0.041742,2105.4,1859.5,4.7675,0.78243,473.73,344.53,0.10362,0.090984,46,32,1.3839,1.3373,3,2,1
0.20312,0.1449,0.067151,0.050817,2260.3,2014.4,4.7671,0.78201,473.73,344.53,0.10442,0.091782,46,32,1.3852,1.3385,5,4,1
0.20671,0.14849,0.07078,0.054446,2229.8,1983.9,4.7454,0.76036,473.73,344.53,0.10082,0.08818,146,132,1.373,1.3263,4,3,1
0.1949,0.13668,0.076225,0.059891,2054,1808.1,4.8963,0.91122,452.2,323,0.10031,0.08767,48,34,1.2892,1.2425,9,8,1
