@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2186.1,1940.2,4.859,0.87395,452.2,323,0.11003,0.097386,48,34,1
1626.6,1380.7,5.0201,1.035,452.2,323,0.087112,0.074473,49,35,1
1495.6,1249.7,4.9619,0.9769,452.2,323,0.089314,0.076675,49,35,1
1786.5,1540.7,4.8698,0.88471,452.2,323,0.098802,0.086163,49,35,1
1600.6,1354.7,4.8843,0.8993,452.2,323,0.091441,0.078801,50,36,1
1900.7,1654.8,4.8885,0.90349,452.2,323,0.10199,0.089346,49,35,1
1779,1533.1,4.9044,0.91934,452.2,323,0.11881,0.10617,49,35,1
1957.9,1712,4.8087,0.82367,452.2,323,0.11673,0.10409,48,34,1
2135,1889.1,4.8085,0.82346,473.73,344.53,0.099519,0.08688,47,33,1
2230.8,1985,4.7974,0.81232,452.2,323,0.10942,0.096777,48,34,1
2471.2,2225.3,4.817,0.83198,452.2,323,0.11367,0.10103,48,34,1
2029.2,1783.3,4.9215,0.93643,452.2,323,0.1064,0.093758,47,33,1
1954.8,1708.9,4.7409,0.75589,473.73,344.53,0.11067,0.098027,46,32,1
1846.1,1600.2,4.7664,0.78136,473.73,344.53,0.11201,0.099367,45,31,1
2011.1,1765.2,4.7766,0.79159,473.73,344.53,0.1114,0.098766,46,32,1
2105.4,1859.5,4.7675,0.78243,473.73,344.53,0.10362,0.090984,46,32,1
2260.3,2014.4,4.7671,0.78201,473.73,344.53,0.10442,0.091782,46,32,1
2229.8,1983.9,4.7454,0.76036,473.73,344.53,0.10082,0.08818,146,132,1
2054,1808.1,4.8963,0.91122,452.2,323,0.10031,0.08767,48,34,1
1896.7,1650.8,4.9031,0.91802,452.2,323,0.10065,0.088008,49,35,1
1968.8,1723,4.9313,0.94625,452.2,323,0.10364,0.090999,50,36,1
1801.8,1555.9,4.8602,0.87517,452.2,323,0.11029,0.097646,51,37,1
1884.6,1638.8,4.913,0.92793,452.2,323,0.088861,0.076222,52,38,1
