@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.24407,0.18585,0.04265,0.026316,2866.3,2620.4,4.7392,0.75414,473.73,344.53,1
0.2386,0.18038,0.047187,0.030853,2561.9,2316,4.9073,0.92224,495.26,366.06,1
0.22836,0.17014,0.052632,0.036298,2404.2,2158.3,4.8942,0.90917,495.26,366.06,1
0.24039,0.18217,0.043557,0.027223,2715.5,2469.6,4.7913,0.80628,473.73,344.53,1
0.24667,0.18845,0.040835,0.024501,2848.5,2602.7,4.7683,0.78327,473.73,344.53,1
0.24038,0.18216,0.04265,0.026316,2183.2,1937.3,4.8212,0.8362,495.26,366.06,1
0.25487,0.19665,0.039927,0.023593,2746,2500.1,4.6737,0.68864,495.26,366.06,1
0.25877,0.20056,0.048094,0.03176,2905.5,2659.6,4.7117,0.72668,473.73,344.53,1
0.25423,0.19602,0.054446,0.038113,2552.9,2307,4.6955,0.71043,473.73,344.53,1
0.26343,0.20521,0.044465,0.028131,2926.5,2680.6,4.7943,0.80925,473.73,344.53,1
0.23745,0.17923,0.04265,0.026316,2763.7,2517.8,4.8949,0.90983,473.73,344.53,1
0.22571,0.16749,0.039927,0.023593,2648.8,2402.9,4.7714,0.78632,452.2,323,1
0.21536,0.15714,0.049002,0.032668,2324.1,2078.2,4.7499,0.76488,452.2,323,1
0.19184,0.13362,0.069873,0.053539,2186.1,1940.2,4.859,0.87395,452.2,323,1
0.17646,0.11824,0.07441,0.058076,1626.6,1380.7,5.0201,1.035,452.2,323,1
0.16137,0.10316,0.072595,0.056261,1495.6,1249.7,4.9619,0.9769,452.2,323,1
0.15859,0.10038,0.078947,0.062613,1786.5,1540.7,4.8698,0.88471,452.2,323,1
0.17088,0.11266,0.072595,0.056261,1600.6,1354.7,4.8843,0.8993,452.2,323,1
0.16837,0.11015,0.065336,0.049002,1900.7,1654.8,4.8885,0.90349,452.2,323,1
0.16755,0.10933,0.058984,0.04265,1779,1533.1,4.9044,0.91934,452.2,323,1
0.19109,0.13287,0.048094,0.03176,1957.9,1712,4.8087,0.82367,452.2,323,1
0.20143,0.14321,0.050817,0.034483,2135,1889.1,4.8085,0.82346,473.73,344.53,1
0.20957,0.15135,0.058076,0.041742,2230.8,1985,4.7974,0.81232,452.2,323,1
0.20323,0.14501,0.058076,0.041742,2471.2,2225.3,4.817,0.83198,452.2,323,1
0.18958,0.13137,0.056261,0.039927,2029.2,1783.3,4.9215,0.93643,452.2,323,1
0.18657,0.12835,0.059891,0.043557,1954.8,1708.9,4.7409,0.75589,473.73,344.53,1
0.19379,0.13557,0.051724,0.03539,1846.1,1600.2,4.7664,0.78136,473.73,344.53,1
0.20511,0.14689,0.044465,0.028131,2011.1,1765.2,4.7766,0.79159,473.73,344.53,1
0.19721,0.13899,0.058076,0.041742,2105.4,1859.5,4.7675,0.78243,473.73,344.53,1
0.20312,0.1449,0.067151,0.050817,2260.3,2014.4,4.7671,0.78201,473.73,344.53,1
0.20671,0.14849,0.07078,0.054446,2229.8,1983.9,4.7454,0.76036,473.73,344.53,1
0.1949,0.13668,0.076225,0.059891,2054,1808.1,4.8963,0.91122,452.2,323,1
0.18474,0.12653,0.073503,0.057169,1896.7,1650.8,4.9031,0.91802,452.2,323,1
0.16835,0.11013,0.071688,0.055354,1968.8,1723,4.9313,0.94625,452.2,323,1
0.1668,0.10859,0.062613,0.046279,1801.8,1555.9,4.8602,0.87517,452.2,323,1
