@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R4

@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.003237,0.001375,7,0
0.00569,0.003828,65,0
0.0061,0.004238,62,0
0.007019,0.005157,7,0
0.006903,0.005041,7,0
0.006553,0.004692,7,0
0.006146,0.004284,7,0
0.006801,0.004939,66,0
0.007683,0.005821,67,0
0.007488,0.005626,67,0
0.008599,0.006738,7,0
0.008313,0.006451,8,0
0.011019,0.009157,8,0
0.010309,0.008448,7,0
0.010369,0.008507,9,0
0.011386,0.009525,7,0
0.012178,0.010316,7,0
0.011984,0.010122,9,0
0.011795,0.009933,9,0
0.010195,0.008333,7,0
0.010949,0.009088,8,0
0.006158,0.004297,65,0
0.01273,0.010868,11,0
0.004245,0.002383,128,0
0.008753,0.006891,9,0
0.006861,0.004999,49,0
0.004368,0.002506,53,0
0.002975,0.001113,52,0
0.00263,0.000769,61,0
0.002204,0.000342,69,0
0.001956,0.000094,6,0
0.008565,0.006703,11,0
0.006404,0.004543,11,0
0.003091,0.001229,48,0
0.001629,0,52,0
0.001487,0,120,0
0.001513,0.000026,124,0
0.001497,0.00001,95,0
0.001549,0.000062,127,0
0.00179,0.000303,135,0
0.001605,0.000118,44,0
0.001966,0.000479,54,0
0.008472,0.006985,9,0
0.003684,0.002197,81,0
0.010998,0.009511,67,0
0.00411,0.002623,82,0
0.009675,0.008188,68,0
0.005743,0.004256,72,0
0.00509,0.003603,68,0
0.005501,0.004014,77,0
0.006456,0.004969,67,0
0.003146,0.001659,26,0
0.003561,0.002074,40,0
0.005063,0.003576,90,0
0.003979,0.002492,52,0
0.004217,0.00273,87,0
0.005628,0.004141,33,0
0.006661,0.005174,14,0
0.004928,0.003441,29,0
0.003903,0.002416,67,0
0.003071,0.001584,55,0
0.003355,0.001868,99,0
0.002378,0.000891,20,0
0.003861,0.002374,130,0
0.002788,0.001301,148,0
0.00283,0.001343,84,0
0.002954,0.001467,125,0
0.002632,0.001145,33,0
0.003202,0.001714,109,0
0.003113,0.001626,91,0
0.003094,0.001606,136,0
0.003044,0.001557,134,0
0.003265,0.001778,35,0
0.003322,0.001835,117,0
0.002743,0.001256,46,0
0.003513,0.002026,17,0
0.002532,0.001045,41,0
0.003765,0.002277,28,0
0.004791,0.003304,31,0
0.005077,0.00359,111,0
0.005072,0.003585,29,0
0.003402,0.001915,81,0
0.002908,0.001421,33,0
0.002979,0.001492,45,0
0.013564,0.012077,71,0
0.003872,0.002384,82,0
0.004209,0.002722,83,0
0.004692,0.003205,49,0
0.00561,0.004123,10,0
0.004746,0.003259,25,0
0.003532,0.002045,72,0
0.005342,0.003855,151,0
0.007185,0.005698,88,0
0.005637,0.00415,27,0
0.005257,0.00377,39,0
0.005901,0.004414,39,0
0.005445,0.003958,48,0
0.003421,0.001933,52,0
0.00449,0.003003,51,0
0.002761,0.001274,48,0
0.009781,0.008294,45,0
0.002704,0.001216,23,0
0.005251,0.003764,49,0
0.003127,0.00164,116,0
0.002614,0.001127,109,0
0.002881,0.001394,64,0
0.00284,0.001353,113,0
0.00238,0.000893,37,0
0.002726,0.001239,52,0
0.002,0.000513,33,0
0.001615,0.000128,7,0
0.002093,0.000606,109,0
0.001839,0.000352,87,0
0.006604,0.005117,26,1
0.007731,0.006244,27,1
0.013925,0.012438,10,1
0.010048,0.008561,97,1
0.023732,0.022245,140,1
0.027445,0.025958,89,1
0.017883,0.016396,69,1
0.032064,0.030577,52,1
0.052884,0.051397,50,1
0.055141,0.053654,47,1
0.052595,0.051108,41,1
0.052358,0.050871,35,1
0.041941,0.040454,31,1
0.032255,0.030768,35,1
0.018413,0.016926,41,1
0.017822,0.016335,25,1
0.014765,0.013278,114,1
0.015168,0.013681,24,1
0.010176,0.008689,126,1
0.019688,0.018201,118,1
0.011538,0.010051,93,1
0.010772,0.009285,123,1
0.008574,0.007087,54,1
0.006306,0.004819,149,0
0.002975,0.001487,76,0
0.001452,0,128,0
0.001316,0,11,0
0.004814,0.003498,19,0
0.002184,0.000868,58,0
0.002493,0.001177,110,0
0.00213,0.000814,143,0
0.00168,0.000364,119,0
0.001528,0.000212,71,0
0.003037,0.001721,60,0
0.002608,0.001292,128,0
0.002636,0.001321,56,0
0.001949,0.000633,77,0
0.002132,0.000816,105,0
0.00179,0.000474,70,0
0.002684,0.001368,92,0
0.001424,0.000108,71,0
0.026362,0,121,0
0.025511,0,68,0
0.024793,0,125,0
0.020657,0,14,0
0.021712,0.001054,20,1
0.019892,0,141,1
0.026104,0.006212,59,1
0.046163,0.026271,55,1
0.07571,0.055818,54,1
0.079864,0.059972,53,1
0.067755,0.047864,50,1
0.073765,0.053873,48,1
0.083505,0.063613,47,1
0.10162,0.081731,47,1
0.10213,0.082239,49,1
0.089098,0.069206,47,1
0.089956,0.070065,45,1
0.1139,0.094013,47,1
0.10357,0.08368,45,1
0.14023,0.12034,43,1
0.11409,0.094194,42,1
0.13963,0.11974,42,1
0.13828,0.11839,43,1
0.12397,0.10408,44,1
0.11673,0.096838,44,1
0.11043,0.090543,45,1
0.12696,0.10707,44,1
0.11133,0.091437,42,1
0.13851,0.11862,41,1
0.1203,0.10041,40,1
0.11754,0.09765,39,1
0.096768,0.076876,39,1
0.11669,0.096795,130,1
0.13228,0.11239,38,1
0.1108,0.090908,38,1
0.11869,0.098801,37,1
0.1086,0.088712,37,1
0.10856,0.088665,37,1
0.091802,0.071911,36,1
0.098744,0.078853,124,1
0.11373,0.093842,35,1
0.11271,0.092816,35,1
0.12308,0.10319,35,1
0.12809,0.1082,36,1
0.14163,0.12174,36,1
0.11382,0.093928,36,1
0.10899,0.089102,36,1
0.1069,0.087008,36,1
0.089651,0.06976,37,1
0.074984,0.055092,37,1
0.064283,0.044392,34,1
0.068449,0.048557,32,1
0.076374,0.056483,30,1
0.062399,0.042508,31,1
0.045035,0.025143,30,1
0.037521,0.01763,39,1
0.033844,0.013952,47,1
0.025778,0.005886,146,1
0.021441,0.001549,28,1
0.022065,0.002173,38,1
0.021613,0.001722,72,1
0.014663,0,130,0
0.012639,0,97,0
0.022194,0.009555,71,0
0.020252,0.007612,88,0
0.016546,0.003907,72,0
0.015574,0.002935,72,0
0.01526,0.002621,126,0
0.020967,0.008328,114,0
0.028382,0.015743,19,0
0.034445,0.021806,15,0
0.02424,0.011601,39,0
0.025144,0.012505,33,0
0.030904,0.018265,103,0
0.021644,0.009005,36,0
0.026154,0.013515,38,0
0.024137,0.011498,27,0
0.025941,0.013301,29,0
0.024586,0.011947,24,0
0.037856,0.025217,46,0
0.025123,0.012484,21,0
0.027349,0.014709,37,0
0.021502,0.008863,39,0
0.027812,0.015173,24,0
0.029281,0.016642,22,0
0.028426,0.015787,44,0
0.026193,0.013553,93,1
0.026089,0.01345,40,1
0.053777,0.041138,42,1
0.064911,0.052272,44,1
0.07874,0.066101,44,1
0.094455,0.081816,44,1
0.09765,0.085011,42,1
0.090566,0.077927,41,1
0.10189,0.089247,41,1
0.098611,0.085972,41,1
0.092254,0.079615,41,1
0.099445,0.086806,42,1
0.090608,0.077969,42,1
0.089829,0.07719,42,1
0.099387,0.086748,42,1
0.093088,0.080448,42,1
0.093507,0.080868,138,1
0.10603,0.093388,42,1
0.098331,0.085692,136,1
0.10042,0.087777,42,1
0.11984,0.1072,43,1
0.10905,0.096407,44,1
0.086379,0.073739,46,1
0.093406,0.080766,47,1
0.10621,0.093574,48,1
0.11003,0.097386,48,1
0.087112,0.074473,49,1
