@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
60.71,50.521,5.7018,0,1507.3,1485.8,0
58.713,48.524,5.5993,-0.10251,2304.1,2282.5,0
49.26,39.071,5.5316,-0.17015,2045.7,2024.1,0
47.013,36.824,5.3725,-0.3293,258.4,236.87,0
46.461,36.272,5.1589,-0.54289,150.73,129.2,0
35.7,25.511,5.0582,-0.64356,452.2,430.66,0
40.043,29.854,5.2878,-0.41393,215.33,193.8,0
28.809,18.62,4.9608,-0.74094,236.87,215.33,0
27.14,16.951,5.2824,-0.41941,193.8,172.27,0
29.594,19.405,5.3975,-0.30426,150.73,129.2,0
29.787,19.598,5.6018,-0.099996,236.87,215.33,0
25.684,15.495,5.1735,-0.52828,258.4,236.87,0
25.076,14.887,5.2668,-0.43497,215.33,193.8,0
24.62,14.431,5.2573,-0.44449,409.13,387.6,0
27.437,17.248,5.0953,-0.60651,516.8,495.26,0
24.991,14.802,4.9816,-0.72015,516.8,495.26,0
28.74,18.551,5.2488,-0.45301,516.8,495.26,0
28.654,18.465,5.0912,-0.61061,236.87,215.33,0
31.903,21.714,5.409,-0.29275,279.93,258.4,0
27.471,17.282,5.2352,-0.46653,279.93,258.4,0
26.669,16.48,5.4072,-0.29453,279.93,258.4,0
27.844,17.655,5.3768,-0.32492,279.93,258.4,0
31.271,21.082,5.4953,-0.20642,236.87,215.33,0
28.523,18.333,5.3938,-0.30797,279.93,258.4,0
27.399,17.21,5.1854,-0.51633,301.46,279.93,0
27.41,17.221,5.0995,-0.60227,258.4,236.87,0
26.427,16.238,5.2741,-0.42764,258.4,236.87,0
25.709,15.52,5.2329,-0.46885,236.87,215.33,0
24.452,14.263,5.4014,-0.30035,193.8,172.27,0
25.563,15.374,5.4244,-0.27736,172.27,150.73,0
27.511,17.322,5.1381,-0.56363,193.8,172.27,0
24.976,14.787,5.2867,-0.41505,279.93,258.4,0
24.198,14.009,5.0739,-0.62787,258.4,236.87,0
24.461,14.272,5.3307,-0.37111,258.4,236.87,0
24.751,14.562,5.1141,-0.5877,258.4,236.87,0
22.809,12.62,4.9006,-0.80117,258.4,236.87,0
21.995,11.806,5.2641,-0.43765,279.93,258.4,0
22.988,12.799,5.2535,-0.44823,258.4,236.87,0
32.458,22.269,5.6371,-0.064694,430.66,409.13,0
26.349,16.159,5.4313,-0.27043,215.33,193.8,0
24.231,14.042,5.3278,-0.37393,215.33,193.8,0
21.925,11.736,5.335,-0.36676,258.4,236.87,0
22.314,12.125,5.4903,-0.21149,258.4,236.87,0
40.665,30.476,5.5848,-0.11699,236.87,215.33,0
42.278,32.088,5.5267,-0.17505,172.27,150.73,0
40.53,30.341,5.4482,-0.25358,215.33,193.8,0
36.828,26.639,5.5018,-0.19998,279.93,258.4,0
34.175,23.986,5.412,-0.28972,409.13,387.6,0
31.559,21.37,5.3726,-0.32921,366.06,344.53,0
30.372,20.183,5.4251,-0.27664,215.33,193.8,0
38.772,28.583,5.3947,-0.30704,279.93,258.4,0
41.672,31.483,5.6461,-0.055614,107.67,86.133,0
31.021,20.832,5.5366,-0.16517,344.53,323,0
24.748,14.559,5.4797,-0.22209,86.133,64.6,0
21.58,11.391,5.4215,-0.2803,64.6,43.066,0
20.305,10.116,5.2761,-0.42564,193.8,172.27,0
21.95,11.761,5.2367,-0.46509,215.33,193.8,0
21.618,11.428,5.2756,-0.42618,21.533,0,0
30.13,19.941,5.5021,-0.1997,366.06,344.53,0
22.159,11.97,5.2887,-0.41304,344.53,323,0
25.643,15.454,5.1069,-0.59491,495.26,473.73,0
27.057,16.867,4.9473,-0.75449,172.27,150.73,0
25.701,15.511,5.1318,-0.56993,215.33,193.8,0
25.531,15.342,5.2593,-0.44248,301.46,279.93,0
24.411,14.222,5.2539,-0.44782,301.46,279.93,0
28.62,18.431,5.2004,-0.50134,301.46,279.93,0
29.092,18.902,5.2442,-0.45757,193.8,172.27,0
26.126,15.937,5.2361,-0.46567,150.73,129.2,0
26.342,16.153,5.3168,-0.38501,150.73,129.2,0
50.832,40.643,5.5249,-0.17685,193.8,172.27,0
74.089,63.9,5.6513,-0.050501,1464.3,1442.7,0
73.434,63.245,5.6323,-0.069462,2885.4,2863.9,0
62.973,52.784,5.59,-0.1118,236.87,215.33,0
55.514,45.324,5.5188,-0.18297,236.87,215.33,0
42.293,32.104,5.4844,-0.21737,172.27,150.73,0
36.271,26.081,5.3796,-0.32217,236.87,215.33,0
41.999,31.809,5.6496,-0.052136,258.4,236.87,0
74.643,64.454,5.7457,0,3940.6,3919,0
67.977,57.788,5.6987,-0.046992,2907,2885.4,0
58.661,48.472,5.6569,-0.08882,150.73,129.2,0
60.485,50.296,5.5856,-0.1601,172.27,150.73,0
62.403,52.214,5.368,-0.37776,172.27,150.73,0
55.674,45.485,5.3267,-0.41902,1141.3,1119.7,0
68.352,58.163,5.5954,-0.1503,193.8,172.27,0
65.089,54.9,5.6213,-0.12446,107.67,86.133,0
63.93,53.74,5.6607,-0.085,150.73,129.2,0
49.274,39.085,5.6457,-0.10001,193.8,172.27,0
48.854,38.665,5.5691,-0.17665,193.8,172.27,0
58.724,48.535,5.4859,-0.25983,21.533,0,0
72.557,62.367,5.4481,-0.29765,925.93,904.39,0
82.46,72.271,5.4513,-0.29442,839.79,818.26,0
83.931,73.742,5.434,-0.31175,2454.8,2433.3,0
84.04,73.851,5.4326,-0.31318,1916.5,1894.9,0
85.622,75.433,5.4505,-0.29525,2325.6,2304.1,0
94.071,83.882,5.5452,-0.20055,1938,1916.5,0
90.796,80.607,5.5087,-0.23703,2347.1,2325.6,0
95.841,85.652,5.5655,-0.18028,2454.8,2433.3,0
94.109,83.92,5.5468,-0.19899,2196.4,2174.9,0
89.133,78.944,5.4948,-0.25092,495.26,473.73,0
84.022,73.833,5.4542,-0.29158,2067.2,2045.7,0
78.313,68.124,5.4121,-0.33359,301.46,279.93,0
70.656,60.467,5.4001,-0.34565,323,301.46,0
61.033,50.844,5.4686,-0.27714,516.8,495.26,0
56.656,46.467,5.3707,-0.375,193.8,172.27,0
52.546,42.357,5.3677,-0.37803,473.73,452.2,0
51.541,41.351,5.3517,-0.39403,21.533,0,0
51.155,40.966,5.2755,-0.4702,430.66,409.13,0
70.498,60.309,5.4736,-0.27217,409.13,387.6,0
77.769,67.58,5.4284,-0.31732,1916.5,1894.9,0
74.683,64.494,5.361,-0.38472,2067.2,2045.7,0
83.633,73.444,5.461,-0.28475,301.46,279.93,0
82.918,72.729,5.4599,-0.28587,301.46,279.93,0
77.927,67.737,5.4285,-0.31724,236.87,215.33,0
100.86,90.667,5.6345,-0.11127,8075,8053.4,0
62.199,52.01,5.472,-0.27376,366.06,344.53,0
86.586,76.397,5.4679,-0.27786,150.73,129.2,0
77.603,67.414,5.3528,-0.39293,2067.2,2045.7,0
67.133,56.944,5.2355,-0.51025,172.27,150.73,0
50.607,40.418,5.0688,-0.67691,172.27,150.73,0
47.177,36.988,5.3423,-0.40348,64.6,43.066,0
47.522,37.333,5.4344,-0.31135,64.6,43.066,0
49.832,39.643,5.4158,-0.32993,64.6,43.066,0
52.814,42.625,5.5327,-0.21304,21.533,0,0
140.68,130.49,4.4432,-1.3025,667.53,646,1
841.67,831.48,4.586,-1.1598,710.6,689.06,1
666.54,656.35,4.4722,-1.2736,775.2,753.66,1
660.13,649.94,4.8548,-0.89099,559.86,538.33,1
1206.5,1196.3,4.5296,-1.2162,646,624.46,1
1540.2,1530.1,4.3542,-1.3916,710.6,689.06,1
1060,1049.8,4.5143,-1.2314,409.13,387.6,1
1133.4,1123.2,4.3783,-1.3674,430.66,409.13,1
1126.2,1116,4.2569,-1.4888,452.2,430.66,1
1322.7,1312.5,4.0254,-1.7203,452.2,430.66,1
1310.6,1300.4,3.9388,-1.8069,452.2,430.66,1
1304.3,1294.1,3.8637,-1.882,452.2,430.66,1
1181.5,1171.3,4.0757,-1.6701,452.2,430.66,1
1017.7,1007.5,4.1023,-1.6434,452.2,430.66,1
922.4,912.21,4.244,-1.5017,430.66,409.13,1
796.66,786.47,4.3047,-1.441,430.66,409.13,1
775.66,765.47,4.2886,-1.4572,409.13,387.6,1
777.61,767.42,4.3184,-1.4274,409.13,387.6,1
735.24,725.05,4.4002,-1.3455,753.66,732.13,1
669.74,659.55,4.3291,-1.4166,732.13,710.6,1
813.3,803.11,4.3405,-1.4053,689.06,667.53,1
809.04,798.85,4.2494,-1.4964,667.53,646,1
985.18,974.99,4.021,-1.7247,646,624.46,1
899.63,889.44,4.3373,-1.4085,624.46,602.93,1
748.58,738.39,4.5756,-1.1701,581.4,559.86,1
541.96,531.77,4.7488,-0.99692,538.33,516.8,1
465.52,455.33,4.7217,-1.024,495.26,473.73,1
378.27,368.08,4.6896,-1.0561,473.73,452.2,1
365.56,355.37,4.5492,-1.1965,473.73,452.2,1
368.13,357.94,4.4735,-1.2722,473.73,452.2,1
354.83,344.64,4.6022,-1.1435,473.73,452.2,1
655.76,645.58,4.9509,-0.79488,473.73,452.2,1
596.6,586.41,4.8292,-0.91659,452.2,430.66,1
436.86,426.67,4.7403,-1.0054,473.73,452.2,1
477.42,467.23,4.6878,-1.0579,473.73,452.2,1
421.6,411.41,4.6578,-1.0879,495.26,473.73,1
417.66,407.47,4.5076,-1.2382,495.26,473.73,1
399.79,389.6,4.5249,-1.2209,495.26,473.73,1
424.93,414.74,4.6057,-1.1401,495.26,473.73,1
437.54,427.35,4.5818,-1.1639,495.26,473.73,1
417.45,407.26,4.4808,-1.2649,516.8,495.26,1
415.97,405.78,4.4695,-1.2762,516.8,495.26,1
460.04,449.85,4.4835,-1.2623,516.8,495.26,1
505.54,495.36,4.3678,-1.378,516.8,495.26,1
463.73,453.54,4.397,-1.3487,538.33,516.8,1
453,442.81,4.5672,-1.1786,538.33,516.8,1
414.43,404.24,4.529,-1.2167,538.33,516.8,1
589.62,579.43,4.8364,-0.90934,559.86,538.33,1
993.48,983.29,4.7931,-0.9526,646,624.46,1
2188.1,2177.9,4.7904,-0.95534,495.26,473.73,1
3940.6,3930.4,4.3673,-1.3784,538.33,516.8,1
3936.4,3926.2,3.9116,-1.8342,538.33,516.8,1
3256.7,3246.5,4.0267,-1.7191,516.8,495.26,1
4178.4,4168.2,4.0459,-1.6999,538.33,516.8,1
5166.1,5155.9,4.2773,-1.4685,581.4,559.86,1
7601.5,7591.3,4.3571,-1.3886,581.4,559.86,1
7343,7332.8,4.0566,-1.6891,581.4,559.86,1
6616.2,6606,4.0607,-1.685,581.4,559.86,1
5761.3,5751.1,3.6061,-2.1396,559.86,538.33,1
4987.6,4977.5,3.6456,-2.1002,559.86,538.33,1
4537.1,4527,3.8054,-1.9403,538.33,516.8,1
3671,3660.8,3.9457,-1.8,538.33,516.8,1
2978.5,2968.3,3.9594,-1.7863,516.8,495.26,1
2665.6,2645.2,3.8707,-1.875,516.8,495.26,1
2126.1,2105.8,3.9154,-1.8303,495.26,473.73,1
1695.4,1675.1,3.9882,-1.7575,495.26,473.73,1
1909,1888.7,4.0715,-1.6742,473.73,452.2,1
1738.6,1718.3,4.0796,-1.6661,473.73,452.2,1
1602.3,1582,4.0084,-1.7373,473.73,452.2,1
1776.5,1756.2,3.8685,-1.8772,473.73,452.2,1
1942.6,1922.3,3.8023,-1.9435,473.73,452.2,1
1964.1,1943.8,3.8147,-1.931,473.73,452.2,1
1930.3,1910,3.7969,-1.9488,473.73,452.2,1
1845.8,1825.5,3.8546,-1.8912,473.73,452.2,1
1725.5,1705.2,3.864,-1.8818,452.2,430.66,1
1564.9,1544.6,3.9169,-1.8289,452.2,430.66,1
1452.4,1432.1,3.9625,-1.7832,452.2,430.66,1
1397.3,1377,4.0172,-1.7285,452.2,430.66,1
1482.3,1462,3.8932,-1.8526,452.2,430.66,1
1443,1422.7,3.9345,-1.8113,452.2,430.66,1
1892,1871.7,4.4543,-1.2914,452.2,430.66,1
1851.9,1831.6,4.1552,-1.5905,473.73,452.2,1
1980.3,1960,3.9815,-1.7642,473.73,452.2,1
