@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.29366,0.23544,0.03902,0.022686,0.086073,0.073433,43,29,1
0.29319,0.23498,0.03176,0.015426,0.083895,0.071256,139,125,1
0.27972,0.2215,0.03176,0.015426,0.09819,0.085551,43,29,1
0.26929,0.21107,0.03902,0.022686,0.098849,0.08621,43,29,1
0.25907,0.20086,0.036298,0.019964,0.093195,0.080556,45,31,1
0.30041,0.24219,0.03902,0.022686,0.057502,0.044863,144,130,1
0.31248,0.25427,0.049002,0.032668,0.049529,0.03689,47,33,1
0.37321,0.31499,0.038113,0.021779,0.045333,0.032694,149,135,1
0.45419,0.39598,0.030853,0.014519,0.054439,0.041799,48,34,1
0.46634,0.40812,0.034483,0.018149,0.06103,0.048391,26,12,1
0.4405,0.38228,0.03539,0.019056,0.031337,0.018698,24,10,1
0.42163,0.36341,0.032668,0.016334,0.030274,0.017635,55,41,1
0.43015,0.37193,0.029038,0.012704,0.042188,0.029549,61,47,1
0.39619,0.33797,0.034483,0.018149,0.029964,0.017325,47,33,1
0.35171,0.29349,0.037205,0.020871,0.036773,0.024134,71,57,1
0.3612,0.30298,0.03176,0.015426,0.039515,0.026876,78,64,1
0.33131,0.2731,0.03176,0.015426,0.030348,0.017709,29,15,1
0.27945,0.22123,0.045372,0.029038,0.035873,0.023234,80,66,1
0.26067,0.20245,0.049002,0.032668,0.0445,0.031861,84,70,1
0.22182,0.1636,0.041742,0.025408,0.027828,0.015189,71,57,1
0.23379,0.17557,0.029038,0.012704,0.026659,0.01402,67,53,1
0.24957,0.19135,0.019964,0.0036298,0.031753,0.019114,46,32,1
0.20686,0.14864,0.029946,0.013612,0.022399,0.0097602,25,11,1
0.17777,0.11956,0.03176,0.015426,0.021705,0.0090663,96,82,1
0.21337,0.15516,0.026316,0.0099819,0.02396,0.011321,56,42,1
0.21095,0.15273,0.028131,0.011797,0.018463,0.0058238,81,67,1
0.21216,0.15394,0.055354,0.03902,0.051863,0.039224,72,58,1
0.22761,0.1694,0.075318,0.058984,0.042435,0.029796,29,15,1
0.22586,0.16764,0.049002,0.032668,0.038307,0.025667,96,82,1
0.22126,0.16304,0.043557,0.027223,0.03334,0.020701,34,20,1
0.21018,0.15196,0.043557,0.027223,0.035051,0.022412,41,27,1
0.18751,0.1293,0.032668,0.016334,0.039125,0.026485,70,56,1
0.12706,0.068843,0.046279,0.029946,0.033799,0.02116,69,55,1
0.09912,0.040902,0.062613,0.046279,0.022218,0.0095793,33,19,1
0.10979,0.051571,0.04265,0.026316,0.022922,0.010283,62,48,1
0.1136,0.055379,0.024501,0.008167,0.0326,0.019961,37,23,1
0.099355,0.041137,0.043557,0.027223,0.021399,0.0087601,70,56,1
0.080206,0.021989,0.048094,0.03176,0.025555,0.012915,158,144,0
0.068927,0.01071,0.041742,0.025408,0.018652,0.0060126,88,74,0
0.058401,0.00018353,0.045372,0.029038,0.021748,0.0091089,65,51,0
0.057256,0,0.045372,0.029038,0.017957,0.0053181,72,58,0
0.059673,0.0024166,0.040835,0.024501,0.016843,0.0042041,128,114,0
0.056333,0,0.029038,0.012704,0.014074,0.0014345,113,99,0
0.049991,0,0.025408,0.0090744,0.014579,0.0019398,55,41,0
0.045485,0,0.034483,0.018149,0.020201,0.0075618,35,21,0
0.049019,0.0035338,0.038113,0.021779,0.013439,0.00079951,113,99,0
0.04193,0,0.045372,0.029038,0.014867,0.0022275,85,71,0
0.031241,0,0.048094,0.03176,0.013112,0.00047238,90,76,0
0.035206,0.0039653,0.045372,0.029038,0.010079,0,98,84,0
0.035214,0.0039728,0.044465,0.028131,0.011402,0.0013227,80,66,0
0.033634,0.0023937,0.049002,0.032668,0.013918,0.0038388,109,95,0
0.034515,0.0032743,0.050817,0.034483,0.014831,0.0047517,46,32,0
0.035657,0.0044165,0.043557,0.027223,0.018962,0.0088826,34,20,0
0.036783,0.0055423,0.045372,0.029038,0.017049,0.0069695,48,34,0
0.032765,0.0015244,0.056261,0.039927,0.0147,0.0046211,21,7,0
0.032147,0.00090627,0.062613,0.046279,0.015349,0.0052697,146,132,0
0.041886,0.010645,0.051724,0.03539,0.021421,0.011342,96,82,0
0.043972,0.012731,0.04265,0.026316,0.022196,0.012117,109,95,0
0.042806,0.011565,0.04265,0.026316,0.01938,0.0093009,111,97,0
0.040228,0.0089868,0.056261,0.039927,0.015021,0.0049421,115,101,0
0.042038,0.010797,0.053539,0.037205,0.011132,0.0010529,15,1,0
0.044189,0.012948,0.04265,0.026316,0.014413,0.0043338,106,92,0
0.037889,0.0066487,0.053539,0.037205,0.017243,0.007164,37,23,0
0.035848,0.0046077,0.057169,0.040835,0.016058,0.0059793,37,23,0
0.039498,0.0082575,0.051724,0.03539,0.016637,0.0065576,89,75,0
0.048556,0.017315,0.045372,0.029038,0.023924,0.013845,60,46,0
0.053635,0.022394,0.043557,0.027223,0.019982,0.0099025,33,19,0
0.053152,0.021912,0.041742,0.025408,0.021298,0.011219,34,20,0
0.057834,0.026593,0.055354,0.03902,0.020463,0.010384,104,90,0
