@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.077276,0.067197,47,40,1
0.064525,0.054446,48,41,1
0.055835,0.045756,150,143,1
0.053078,0.042999,49,42,1
0.061744,0.051665,151,144,1
0.052932,0.042852,48,41,1
0.057397,0.046265,48,41,1
0.054779,0.043647,148,141,1
0.074819,0.063687,47,40,1
0.07553,0.064398,45,38,1
0.073097,0.061965,45,38,1
0.070569,0.059437,45,38,1
0.072574,0.061442,44,37,1
0.058723,0.047591,41,34,1
0.054696,0.043564,41,34,1
0.067199,0.056067,41,34,1
0.06829,0.057158,40,33,1
0.075962,0.06483,40,33,1
0.092938,0.078706,39,32,1
0.086139,0.071907,38,31,1
0.081477,0.067245,37,30,1
0.076265,0.062033,36,29,1
0.074863,0.060631,35,28,1
0.067231,0.052999,35,28,1
0.057771,0.043539,35,28,1
0.049417,0.035185,124,117,1
0.059694,0.045462,32,25,1
0.066976,0.052744,32,25,1
0.055976,0.041744,36,29,1
0.061274,0.047042,39,32,1
0.046633,0.032401,36,29,1
0.055649,0.041417,40,33,1
0.06096,0.046728,127,120,1
0.060308,0.046076,39,32,1
0.066068,0.051836,39,32,1
0.064072,0.04984,40,33,1
0.056333,0.042101,40,33,1
0.054013,0.039781,40,33,1
0.058536,0.044304,40,33,1
0.077664,0.063431,40,33,1
0.063882,0.04965,41,34,1
0.052337,0.038105,43,36,1
0.056391,0.042159,39,32,1
0.052734,0.038502,40,33,1
0.04676,0.032528,62,55,1
0.032586,0.018354,39,32,1
0.03056,0.016328,39,32,1
0.030925,0.016693,58,51,1
0.027185,0.012953,42,35,0
0.045729,0.031497,67,60,0
0.043262,0.02903,31,24,0
0.039479,0.025247,45,38,0
0.026339,0.012107,32,25,0
0.03717,0.022938,103,96,0
0.033052,0.01882,49,42,0
0.026894,0.012662,79,72,0
0.03017,0.015937,31,24,0
0.028663,0.014431,119,112,0
0.033227,0.018995,35,28,0
0.029814,0.015582,82,75,0
0.023354,0.0091221,82,75,0
0.026967,0.012735,74,67,0
0.029331,0.015099,41,34,0
0.021181,0.0069484,39,32,0
0.027599,0.013367,117,110,0
0.022521,0.0082892,54,47,0
0.025701,0.011469,115,108,0
0.021701,0.0074685,25,18,0
0.022415,0.0081827,115,108,0
0.021148,0.0069159,31,24,0
0.028257,0.014025,13,6,0
0.021398,0.0071658,13,6,0
0.017245,0.0030127,151,144,0
0.023311,0.0090791,66,59,0
0.020803,0.0065708,74,67,0
0.025842,0.01161,46,39,0
0.022563,0.0083305,45,38,0
0.025646,0.011414,27,20,0
0.036298,0.022066,27,20,0
0.034529,0.020297,61,54,0
0.032113,0.017881,69,62,0
0.035605,0.021373,36,29,0
0.029211,0.014979,71,64,0
0.032257,0.018025,77,70,0
0.038284,0.024052,52,45,0
0.0311,0.016868,66,59,0
0.026958,0.012726,66,59,0
0.018728,0.0044957,78,71,0
0.02662,0.012388,66,59,0
0.033165,0.018933,75,68,0
0.022324,0.0080918,141,134,0
0.034934,0.020702,62,55,0
0.027162,0.01293,62,55,0
0.020707,0.006475,123,116,0
0.040506,0.026274,57,50,0
