@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.15217,0.12093,0.036298,0.019964,0.32927,0.28259,3,2,0
0.1344,0.10316,0.03539,0.019056,0.29734,0.25066,2,1,0
0.1146,0.083361,0.03902,0.022686,0.50919,0.46251,3,2,0
0.10952,0.078281,0.036298,0.019964,0.39191,0.34523,3,2,0
0.11595,0.084711,0.033575,0.017241,0.32658,0.2799,3,2,0
0.094311,0.06307,0.040835,0.024501,0.39334,0.34666,3,2,0
0.082456,0.051216,0.043557,0.027223,0.57361,0.52693,2,1,0
0.10455,0.07331,0.038113,0.021779,0.46,0.41331,3,2,0
0.13197,0.10073,0.03902,0.022686,0.5589,0.51222,2,1,0
0.13751,0.10627,0.03539,0.019056,1.0907,1.044,2,1,0
0.12066,0.089418,0.03176,0.015426,0.90459,0.85791,2,1,0
0.097386,0.066145,0.046279,0.029946,0.28392,0.23724,3,2,0
0.099794,0.068553,0.044465,0.028131,0.30703,0.26035,3,2,0
0.10776,0.076516,0.036298,0.019964,0.32656,0.27988,3,2,0
0.10911,0.077869,0.045372,0.029038,0.40293,0.35625,3,2,0
0.11356,0.082318,0.049909,0.033575,0.28686,0.24018,4,3,0
0.12235,0.091105,0.047187,0.030853,0.64856,0.60187,4,3,0
0.13213,0.10089,0.051724,0.03539,0.70045,0.65377,4,3,0
0.11324,0.082004,0.059891,0.043557,0.52856,0.48188,4,3,0
0.10802,0.076783,0.056261,0.039927,0.75779,0.71111,4,3,0
0.12806,0.096824,0.046279,0.029946,0.52962,0.48293,3,2,0
0.12944,0.0982,0.04265,0.026316,0.77467,0.72799,3,2,0
0.10818,0.076942,0.050817,0.034483,0.61789,0.57121,3,2,0
0.089572,0.058331,0.054446,0.038113,0.40969,0.363,3,2,0
0.084183,0.052942,0.061706,0.045372,0.15864,0.11195,5,4,0
0.075823,0.044583,0.068058,0.051724,0.14984,0.10316,5,4,0
0.06697,0.035729,0.069873,0.053539,0.17998,0.1333,8,7,0
0.066938,0.035697,0.075318,0.058984,0.32731,0.28063,3,2,0
0.085588,0.054347,0.052632,0.036298,0.37026,0.32358,4,3,0
0.098476,0.067236,0.032668,0.016334,0.55559,0.5089,3,2,0
0.094824,0.063584,0.03902,0.022686,0.4239,0.37722,2,1,0
0.097548,0.066307,0.049909,0.033575,0.24137,0.19469,5,4,0
0.096462,0.065221,0.065336,0.049002,0.20958,0.1629,8,7,0
0.090251,0.05901,0.062613,0.046279,0.34291,0.29623,5,4,0
0.094669,0.063428,0.054446,0.038113,0.35561,0.30893,4,3,0
0.083195,0.051954,0.057169,0.040835,0.19729,0.1199,8,7,0
0.069661,0.03842,0.049909,0.033575,0.061239,0,6,5,0
0.074778,0.043537,0.043557,0.027223,0.40169,0.34045,3,2,0
0.085428,0.054188,0.032668,0.016334,0.67941,0.61818,1,0,0
0.079871,0.04863,0.029946,0.013612,0.5586,0.49736,1,0,0
0.060619,0.029378,0.03539,0.015426,0.3339,0.27266,1,0,0
0.052386,0.021145,0.048094,0.028131,0.24228,0.18104,5,4,0
0.050722,0.019481,0.058076,0.038113,0.3087,0.24746,7,6,0
0.053574,0.022333,0.058984,0.03902,0.30343,0.24219,6,5,0
0.045216,0.013975,0.075318,0.055354,0.33019,0.26895,6,5,0
0.039792,0.0085512,0.073503,0.053539,0.16143,0.10019,8,7,0
0.043271,0.01203,0.059891,0.039927,0.1325,0.07126,6,5,0
0.040727,0.0094859,0.063521,0.043557,0.36367,0.30243,5,4,0
0.045453,0.014212,0.058984,0.03902,0.091208,0.02997,8,7,0
0.052779,0.021538,0.047187,0.027223,0.1447,0.083463,4,3,0
0.057435,0.026194,0.04265,0.022686,0.40095,0.33972,3,2,0
0.078073,0.046833,0.043557,0.023593,0.87358,0.81234,3,2,0
0.082507,0.051266,0.043557,0.023593,0.71979,0.65855,3,2,0
0.068947,0.037706,0.041742,0.021779,0.39177,0.33054,3,2,0
0.072329,0.041088,0.039927,0.019964,0.53642,0.47518,2,1,0
0.072104,0.040864,0.039927,0.019964,0.47842,0.41718,2,1,0
0.061429,0.030188,0.044465,0.024501,0.40645,0.34521,3,2,0
0.070445,0.039204,0.045372,0.025408,0.11712,0.055881,3,2,0
0.066926,0.035685,0.049909,0.029946,0.10254,0.041297,4,3,0
0.048762,0.017521,0.063521,0.043557,0.43253,0.37129,4,3,0
0.044945,0.013704,0.061706,0.041742,0.23566,0.17442,6,5,0
0.044651,0.01341,0.062613,0.04265,0.2821,0.22086,5,4,0
0.043907,0.012667,0.061706,0.041742,0.21208,0.15084,4,3,0
0.036891,0.0056499,0.058984,0.03902,0.36032,0.29908,6,5,0
0.049703,0.018462,0.050817,0.030853,0.48024,0.419,3,2,0
0.067331,0.03609,0.03539,0.015426,0.45505,0.39381,5,4,0
0.078703,0.047463,0.038113,0.018149,0.13037,0.069132,5,4,0
0.070319,0.039079,0.050817,0.030853,0.26226,0.20102,4,3,0
0.058248,0.027007,0.049909,0.029946,0.2859,0.22466,4,3,0
0.058,0.026759,0.046279,0.026316,0.21702,0.15578,4,3,0
0.051141,0.019901,0.046279,0.026316,0.31703,0.2558,6,5,0
