@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.055375,0.024134,0.066243,0.049909,0
0.052599,0.021358,0.057169,0.040835,0
0.053327,0.022087,0.068058,0.051724,0
0.063728,0.032487,0.068966,0.052632,0
0.074438,0.043197,0.053539,0.037205,0
0.07959,0.04835,0.053539,0.037205,0
0.082199,0.050958,0.051724,0.03539,0
0.084253,0.053012,0.049909,0.033575,0
0.084656,0.053415,0.048094,0.03176,0
0.092453,0.061213,0.053539,0.037205,0
0.10139,0.07015,0.053539,0.037205,0
0.099295,0.068055,0.043557,0.027223,0
0.098566,0.067325,0.04265,0.026316,0
0.099242,0.068001,0.040835,0.024501,0
0.097868,0.066627,0.038113,0.021779,0
0.10087,0.069634,0.044465,0.028131,0
0.0999,0.068659,0.046279,0.029946,0
0.10291,0.071673,0.047187,0.030853,0
0.10034,0.0691,0.049909,0.033575,0
0.091845,0.060604,0.044465,0.028131,0
0.090582,0.059342,0.043557,0.027223,0
0.086992,0.055751,0.048094,0.03176,0
0.1033,0.072064,0.038113,0.021779,0
0.13051,0.099267,0.029038,0.012704,0
0.1372,0.10596,0.029038,0.012704,0
0.16909,0.13785,0.024501,0.008167,0
0.23268,0.20144,0.025408,0.0090744,0
0.27742,0.24618,0.027223,0.010889,0
0.23682,0.20558,0.03176,0.015426,0
0.15217,0.12093,0.036298,0.019964,0
0.1344,0.10316,0.03539,0.019056,0
0.1146,0.083361,0.03902,0.022686,0
0.10952,0.078281,0.036298,0.019964,0
0.11595,0.084711,0.033575,0.017241,0
0.094311,0.06307,0.040835,0.024501,0
0.082456,0.051216,0.043557,0.027223,0
0.10455,0.07331,0.038113,0.021779,0
0.13197,0.10073,0.03902,0.022686,0
0.13751,0.10627,0.03539,0.019056,0
0.12066,0.089418,0.03176,0.015426,0
0.097386,0.066145,0.046279,0.029946,0
0.099794,0.068553,0.044465,0.028131,0
0.10776,0.076516,0.036298,0.019964,0
0.10911,0.077869,0.045372,0.029038,0
0.11356,0.082318,0.049909,0.033575,0
0.12235,0.091105,0.047187,0.030853,0
0.13213,0.10089,0.051724,0.03539,0
0.11324,0.082004,0.059891,0.043557,0
0.10802,0.076783,0.056261,0.039927,0
0.12806,0.096824,0.046279,0.029946,0
0.12944,0.0982,0.04265,0.026316,0
0.10818,0.076942,0.050817,0.034483,0
0.089572,0.058331,0.054446,0.038113,0
0.084183,0.052942,0.061706,0.045372,0
0.075823,0.044583,0.068058,0.051724,0
0.06697,0.035729,0.069873,0.053539,0
0.066938,0.035697,0.075318,0.058984,0
0.085588,0.054347,0.052632,0.036298,0
0.098476,0.067236,0.032668,0.016334,0
0.094824,0.063584,0.03902,0.022686,0
0.097548,0.066307,0.049909,0.033575,0
0.096462,0.065221,0.065336,0.049002,0
0.090251,0.05901,0.062613,0.046279,0
0.094669,0.063428,0.054446,0.038113,0
0.083195,0.051954,0.057169,0.040835,0
0.069661,0.03842,0.049909,0.033575,0
0.074778,0.043537,0.043557,0.027223,0
0.085428,0.054188,0.032668,0.016334,0
0.079871,0.04863,0.029946,0.013612,0
