@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
2287.4,2249.1,4.7653,0.83919,473.73,387.6,0.11501,0.11334,46,1
2149.9,2111.7,4.5053,1.0992,452.2,366.06,0.1265,0.12483,147,1
2098.3,2060.1,4.5778,1.0266,452.2,366.06,0.13051,0.12884,48,1
1998.9,1960.6,4.6164,0.98807,452.2,366.06,0.12533,0.12366,48,1
1828.9,1790.6,4.7082,0.89623,452.2,366.06,0.12602,0.12435,49,1
1783.8,1745.5,4.6883,0.91614,452.2,366.06,0.1175,0.11583,49,1
1822.7,1784.4,4.6731,0.9314,452.2,366.06,0.11251,0.11084,50,1
1820.9,1782.6,4.6545,0.94994,452.2,366.06,0.12269,0.12102,50,1
1838.8,1800.6,4.6404,0.96403,452.2,366.06,0.13289,0.13122,49,1
1881.6,1843.4,4.6716,0.93289,452.2,366.06,0.13278,0.13111,49,1
1953.5,1915.2,4.612,0.99249,452.2,366.06,0.14616,0.14449,48,1
2037.7,1999.4,4.5662,1.0382,452.2,366.06,0.12673,0.12506,47,1
2038.6,2000.3,4.5699,1.0346,452.2,366.06,0.13332,0.13165,48,1
2031.7,1993.5,4.5764,1.028,452.2,366.06,0.13769,0.13602,48,1
2060.5,2022.3,4.5838,1.0206,473.73,387.6,0.13262,0.13095,47,1
2071.1,2032.8,4.472,1.1325,473.73,387.6,0.12857,0.1269,46,1
2114.1,2075.8,4.4937,1.1107,473.73,387.6,0.12446,0.12279,45,1
2184.7,2146.4,4.4884,1.1161,473.73,387.6,0.11749,0.11582,46,1
2185.4,2147.1,4.5165,1.0879,473.73,387.6,0.12291,0.12124,46,1
2233.7,2195.4,4.4116,1.1929,473.73,387.6,0.14514,0.14348,146,1
2209.6,2171.4,4.4455,1.159,473.73,387.6,0.12783,0.12616,146,1
2173.5,2135.3,4.5813,1.0232,452.2,366.06,0.1355,0.13383,48,1
1924.3,1886,4.6712,0.93325,452.2,366.06,0.13094,0.12927,49,1
1735.5,1697.2,4.661,0.94348,452.2,366.06,0.14022,0.13855,50,1
1765.7,1727.5,4.5676,1.0368,452.2,366.06,0.13634,0.13467,51,1
1869.5,1831.2,4.5541,1.0503,452.2,366.06,0.12206,0.12039,51,1
1798.6,1760.3,4.512,1.0925,452.2,366.06,0.1295,0.12783,52,1
1747.6,1709.3,4.6393,0.96518,452.2,366.06,0.12339,0.12172,51,1
1722.3,1684,4.5755,1.0289,452.2,366.06,0.13409,0.13242,52,1
1720.2,1682,4.363,1.2415,452.2,366.06,0.1454,0.14373,51,1
1711.9,1673.7,4.3348,1.2696,452.2,366.06,0.14124,0.13957,51,1
1762.5,1724.2,4.1706,1.4339,452.2,366.06,0.15077,0.1491,51,1
1824.1,1785.8,4.2908,1.3136,452.2,366.06,0.14887,0.1472,50,1
1832.6,1794.3,4.3072,1.2972,452.2,366.06,0.13653,0.13487,49,1
1824.5,1786.3,4.1329,1.4715,452.2,366.06,0.14599,0.14432,49,1
1920.3,1882,4.1325,1.472,452.2,366.06,0.1469,0.14523,48,1
1908,1869.7,4.0696,1.5349,452.2,366.06,0.14653,0.14486,48,1
2049.6,2011.3,4.1403,1.4642,452.2,366.06,0.15294,0.15127,48,1
2249.3,2211.1,4.0852,1.5192,473.73,387.6,0.16017,0.1585,47,1
2399.9,2361.6,4.2757,1.3287,473.73,387.6,0.15678,0.15511,45,1
2591.2,2552.9,4.3513,1.2531,473.73,387.6,0.13855,0.13688,43,1
2604.1,2565.8,4.5096,1.0948,473.73,387.6,0.10138,0.099715,44,1
2544.1,2505.8,4.0363,1.5682,473.73,387.6,0.15457,0.1529,44,1
2508,2469.7,4.0714,1.5331,473.73,387.6,0.1568,0.15513,43,1
2478.2,2439.9,4.1327,1.4718,473.73,387.6,0.14371,0.14204,43,1
2590.1,2551.8,4.1338,1.4707,495.26,409.13,0.14161,0.13994,42,1
2705.1,2666.9,4.1928,1.4116,495.26,409.13,0.1228,0.12113,41,1
2833,2794.7,4.1412,1.4632,495.26,409.13,0.11702,0.11535,41,1
2888.1,2849.9,4.2368,1.3677,495.26,409.13,0.10743,0.10576,133,1
2816.9,2778.6,4.2059,1.3986,495.26,409.13,0.12684,0.12517,40,1
2819.4,2781.1,4.3005,1.304,495.26,409.13,0.10834,0.10667,41,1
2814.3,2776,4.2836,1.3208,495.26,409.13,0.1114,0.10973,41,1
2917,2878.7,4.3106,1.2938,495.26,409.13,0.11893,0.11726,136,1
2872.7,2834.4,4.2781,1.3263,495.26,409.13,0.12233,0.12066,42,1
2828.6,2790.3,4.3428,1.2616,495.26,409.13,0.12061,0.11894,43,1
2764.6,2726.3,4.3345,1.2699,473.73,387.6,0.12352,0.12185,43,1
2578.2,2539.9,4.1917,1.4127,473.73,387.6,0.12167,0.12,43,1
2525.1,2486.8,4.1652,1.4393,473.73,387.6,0.12838,0.12671,43,1
2523.8,2485.5,4.325,1.2795,473.73,387.6,0.12289,0.12122,44,1
2587.2,2548.9,4.4136,1.1908,473.73,387.6,0.12259,0.12092,45,1
2608.4,2570.1,4.411,1.1934,473.73,387.6,0.11267,0.111,46,1
2346.9,2308.7,4.1003,1.5041,473.73,387.6,0.13786,0.13619,47,1
2353,2314.8,4.2374,1.367,452.2,366.06,0.12239,0.12072,48,1
2203.5,2165.2,4.3355,1.2689,452.2,366.06,0.12121,0.11954,49,1
2034.4,1996.1,4.3068,1.2977,452.2,366.06,0.11453,0.11286,50,1
2063.8,2025.5,4.2084,1.396,430.66,344.53,0.11033,0.10866,53,1
1859.5,1821.3,4.4652,1.1393,430.66,344.53,0.1025,0.10083,55,1
1898,1859.7,4.3652,1.2393,796.73,710.6,0.10114,0.099471,60,1
2037.9,1999.6,4.32,1.2844,753.66,667.53,0.088199,0.08653,67,1
2146.6,2108.4,4.2261,1.3783,732.13,646,0.099594,0.097925,71,1
1933.3,1895,4.3082,1.2963,710.6,624.46,0.08674,0.085071,78,1
1187.9,1149.7,4.3928,1.2116,689.06,602.93,0.070556,0.068886,78,1
1048.8,1010.5,4.4876,1.1169,689.06,602.93,0.060864,0.059194,77,1
1022,983.71,4.5219,1.0826,732.13,646,0.0357,0.034031,79,1
659.38,621.11,4.6122,0.99221,387.6,301.46,0.032542,0.030872,72,1
818.35,780.08,4.7145,0.88995,732.13,646,0.012945,0.011275,71,1
1021.4,983.14,4.6123,0.99218,732.13,646,0.01853,0.016861,69,1
966.49,928.22,4.5398,1.0647,689.06,602.93,0.017347,0.015678,76,1
584.48,546.2,4.5428,1.0616,430.66,344.53,0.02206,0.020391,66,1
1154.4,1116.1,4.3201,1.2844,710.6,624.46,0.013994,0.012325,10,1
983.25,944.98,4.293,1.3114,710.6,624.46,0.017349,0.01568,28,1
718.3,680.03,4.3291,1.2753,452.2,366.06,0.014303,0.012633,32,1
937.52,899.25,4.1903,1.4141,538.33,452.2,0.022836,0.021167,24,1
750.76,712.49,3.9878,1.6166,495.26,409.13,0.017481,0.015811,131,1
640.72,602.45,3.8042,1.8002,495.26,409.13,0.027325,0.025655,125,1
299.65,261.37,3.604,2.0005,495.26,409.13,0.030753,0.029084,39,1
23.064,0,4.6371,0.96739,473.73,387.6,0.012566,0.010897,41,1
10.189,0,4.4872,1.1172,409.13,323,0.014635,0.012965,39,1
21.964,11.775,4.5071,1.0974,430.66,344.53,0.011583,0.0099133,57,1
47.214,37.024,4.8589,0.7456,430.66,344.53,0.010285,0.0086158,41,1
66.043,55.854,5.2049,0.3996,452.2,366.06,0.011345,0.0096754,54,1
50.648,40.459,4.9431,0.66132,452.2,366.06,0.014957,0.013287,57,1
