@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
4474.4,4300.7,5.0997,0.47918,5921.6,5792.4,1
5705,5531.3,5.4547,0.12424,5900.1,5770.9,1
4901.4,4727.8,5.3846,0.19431,5986.2,5857,1
4462.2,4288.6,5.3632,0.2157,5878.6,5749.4,1
4845.1,4671.4,5.4064,0.17246,495.26,366.06,1
4445,4271.3,5.4945,0.084368,5749.4,5620.2,1
3946,3772.3,5.5042,0.074735,1119.7,990.53,1
3555.8,3382.1,5.5185,0.060437,1033.6,904.39,1
3223.4,3049.7,5.5025,0.076444,5749.4,5620.2,1
2694.1,2520.4,5.3802,0.1987,5749.4,5620.2,1
2630.2,2456.5,5.599,0,5814,5684.8,1
2399.6,2226,5.5307,0.068304,236.87,107.67,1
1943.8,1770.1,5.5608,0.038245,236.87,107.67,1
1595.5,1421.9,5.5472,0.051855,236.87,107.67,1
1327.8,1154.2,5.5993,0,258.4,129.2,1
1341.4,1167.7,5.6037,0,215.33,86.133,1
1727.2,1553.6,5.5837,0.019954,193.8,64.6,1
3305.9,3132.2,5.4989,0.10477,5986.2,5857,1
4360.5,4186.9,5.4498,0.15382,6093.9,5964.7,1
5503.9,5330.2,5.431,0.17261,6115.4,5986.2,1
6252.4,6078.7,5.3783,0.22532,6137,6007.8,1
6283.3,6109.7,5.3812,0.22248,6115.4,5986.2,1
7054.4,6880.7,5.3876,0.21607,6244.6,6115.4,1
7641.4,7467.7,5.3495,0.25419,1894.9,1765.7,1
8338.9,8165.2,5.2245,0.37916,1938,1808.8,1
7493.5,7319.9,5.0599,0.54377,2002.6,1873.4,1
7230.7,7057,4.9587,0.64496,2024.1,1894.9,1
6985,6811.4,4.8276,0.77604,2024.1,1894.9,1
7325.4,7151.8,4.8517,0.75194,2045.7,1916.5,1
7318.6,7145,4.7683,0.83539,2067.2,1938,1
7179.8,7006.1,4.7528,0.85089,2067.2,1938,1
7237.2,7063.6,4.7223,0.8814,2067.2,1938,1
7239.3,7065.6,4.6826,0.92107,2067.2,1938,1
7295,7121.3,4.6751,0.92856,2067.2,1938,1
7408.4,7234.7,4.7733,0.83039,2067.2,1938,1
7712.5,7538.9,4.8042,0.79949,2067.2,1938,1
7980.7,7807,4.8017,0.802,2088.7,1959.5,1
7937.6,7764,4.8135,0.7902,1571.9,1442.7,1
8898.9,8725.2,4.8962,0.70743,1593.5,1464.3,1
10333,10160,5.1106,0.49302,1615,1485.8,1
9421.8,9248.1,5.1818,0.42186,1636.5,1507.3,1
8223.3,8049.6,5.1464,0.45728,1658.1,1528.9,1
9937,9763.3,5.3739,0.22979,1055.1,925.93,1
5192.1,5018.4,5.4754,0.12826,990.53,861.33,1
1499.5,1325.8,5.4166,0.18709,323,193.8,1
1020.2,846.54,5.4193,0.18435,279.93,150.73,1
2274.5,2100.9,5.1351,0.46857,236.87,107.67,1
4787.8,4614.2,4.7888,0.81485,968.99,839.79,1
3258.6,3084.9,4.9315,0.67212,904.39,775.2,1
3307,3133.3,4.6547,0.94894,904.39,775.2,1
3187,3013.3,4.6622,0.94151,882.86,753.66,1
1360.9,1187.3,4.9676,0.63609,818.26,689.06,1
637.8,464.14,5.0928,0.51086,236.87,107.67,1
793.3,619.64,4.9638,0.63982,215.33,86.133,1
270.55,96.886,5.4287,0.17498,258.4,129.2,1
372.61,198.94,5.3585,0.24517,215.33,86.133,1
511.36,337.7,5.4286,0.17508,344.53,215.33,1
667.65,493.99,5.4223,0.18135,258.4,129.2,1
758.68,585.02,5.3625,0.24115,193.8,64.6,0
816.93,643.27,5.3196,0.28406,215.33,86.133,0
744.33,570.67,5.3607,0.243,236.87,107.67,0
619.66,446,5.3922,0.2115,193.8,64.6,0
410.75,237.09,5.3833,0.22033,215.33,86.133,0
495.18,321.51,5.2255,0.37812,215.33,86.133,0
255.58,81.917,5.4757,0.128,193.8,64.6,0
645.56,471.89,5.1309,0.47273,193.8,64.6,0
908.69,735.03,4.9794,0.62429,323,193.8,0
