@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.024841,0.0097975,47,0
0.026755,0.011712,148,0
0.024651,0.0096082,82,0
0.018676,0.0036329,80,0
0.030876,0.015832,26,0
0.02336,0.0083171,179,1
0.023999,0.0089552,34,1
0.029956,0.014912,11,1
0.056086,0.041043,169,1
0.055893,0.04085,183,1
0.03921,0.024167,184,1
0.075306,0.060263,177,1
0.06357,0.048526,175,1
0.056011,0.040967,167,1
0.054951,0.039907,160,1
0.053469,0.038426,140,1
0.08723,0.072186,130,1
0.072509,0.057466,124,1
0.076468,0.061425,108,1
0.05518,0.040137,101,1
0.075147,0.060103,88,1
0.13529,0.12024,84,1
0.16038,0.14534,83,1
0.16184,0.14679,82,1
0.13085,0.1158,80,1
0.13978,0.12474,80,1
0.13529,0.12024,80,1
0.13821,0.12317,82,1
0.10116,0.08612,83,1
0.099648,0.084605,187,1
0.10036,0.085312,186,1
0.10719,0.092147,83,1
0.11443,0.099392,189,1
0.075843,0.0608,81,1
0.11747,0.10242,79,1
0.11263,0.09759,75,1
0.129,0.11396,73,1
0.12741,0.11237,72,1
0.11833,0.10329,162,1
0.10222,0.087177,72,1
0.13313,0.11809,73,1
0.13935,0.12431,75,1
0.10318,0.088136,77,1
0.11395,0.098906,79,1
0.11023,0.095191,81,1
0.11168,0.096641,80,1
0.14168,0.12664,79,1
0.12037,0.10533,79,1
0.12308,0.10804,78,1
0.12852,0.11348,79,1
0.11463,0.099584,78,1
0.1318,0.11675,78,1
0.1258,0.11075,79,1
0.14747,0.13242,79,1
0.12092,0.10588,77,1
0.12921,0.11417,75,1
0.13595,0.12091,75,1
0.15095,0.13591,76,1
0.17036,0.15532,75,1
0.15768,0.14264,75,1
0.1881,0.17305,74,1
0.16161,0.14656,75,1
0.15119,0.13615,79,1
0.15021,0.13516,81,1
0.080247,0.065204,82,1
0.087677,0.072634,193,1
0.074912,0.059869,89,1
0.078164,0.063121,87,1
0.073691,0.058648,88,1
0.077771,0.062727,90,1
0.081682,0.066638,89,1
0.065258,0.050215,87,1
0.095049,0.080006,89,1
0.10546,0.090416,95,1
0.10081,0.08577,95,1
0.097995,0.082951,89,1
0.12429,0.10925,196,1
0.084452,0.069409,90,1
0.066534,0.051491,198,1
0.087605,0.072562,89,1
0.12123,0.10619,91,1
0.20656,0.19152,91,1
0.17375,0.15871,89,1
0.11901,0.10397,86,1
0.13644,0.12139,84,1
0.15689,0.14185,82,1
0.13696,0.12192,80,1
0.19245,0.17741,78,1
0.15562,0.14057,76,1
0.19508,0.18003,76,1
0.17455,0.15951,76,1
0.19692,0.18188,75,1
0.21457,0.19953,75,1
0.18128,0.16624,75,1
0.22727,0.21222,75,1
0.20625,0.1912,74,1
0.22079,0.20574,74,1
0.25033,0.23529,73,1
0.24695,0.23191,72,1
0.22426,0.20921,71,1
0.24214,0.22709,71,1
0.25843,0.24338,71,1
0.23732,0.22228,71,1
0.23601,0.22096,72,1
