@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
216.19,42.531,5.4671,0,258.4,129.2,0.022623,0.0062683,43,0
253.3,79.642,5.3111,0.15605,236.87,107.67,0.015043,0,100,0
367.91,194.25,5.2287,0.23841,301.46,172.27,0.020887,0.0058433,43,0
474.28,300.61,5.1655,0.30163,193.8,64.6,0.019282,0.004239,62,0
221.8,48.137,5.3623,0.10477,172.27,43.066,0.022323,0.0072798,83,0
312.26,138.6,5.2823,0.18479,193.8,64.6,0.030576,0.015532,118,0
322.87,149.21,5.2497,0.21739,258.4,129.2,0.026103,0.01106,152,0
453.57,279.91,5.1477,0.31941,279.93,150.73,0.025605,0.010562,106,0
440.02,266.36,5.2253,0.24185,215.33,86.133,0.029225,0.014182,112,0
392.23,218.57,5.2549,0.21218,215.33,86.133,0.024649,0.0096062,111,0
432.64,258.98,5.2627,0.20442,258.4,129.2,0.02397,0.0089265,41,0
913.53,739.87,5.1807,0.28645,258.4,129.2,0.033564,0.018521,109,0
1339.9,1166.3,5.3792,0.087903,796.73,667.53,0.042379,0.027336,32,0
1294,1120.3,5.387,0.080114,818.26,689.06,0.047364,0.032321,34,0
894.2,720.54,5.3911,0.075977,172.27,43.066,0.033748,0.018705,97,0
859.87,686.2,5.3526,0.11454,1658.1,1528.9,0.034404,0.019361,109,0
1115.7,942,5.2775,0.18959,258.4,129.2,0.036009,0.020966,143,0
862.02,688.36,5.229,0.23815,193.8,64.6,0.031119,0.016076,39,0
905.17,731.51,5.1845,0.28265,215.33,86.133,0.027887,0.012844,148,0
777.91,604.24,5.2175,0.24961,193.8,64.6,0.025608,0.010565,59,0
524.98,351.32,5.2587,0.20843,172.27,43.066,0.027729,0.012686,116,0
431.49,257.82,5.271,0.19608,150.73,21.533,0.028131,0.013088,110,0
577.71,404.04,5.1234,0.34375,236.87,107.67,0.022551,0.0075081,102,0
485.7,312.03,5.2686,0.19851,172.27,43.066,0.025062,0.010019,120,0
328.14,154.48,5.3653,0.10176,193.8,64.6,0.01785,0.0028066,87,0
384.51,210.85,5.2337,0.23343,236.87,107.67,0.02408,0.0090368,89,0
340.1,166.44,5.2104,0.25676,236.87,107.67,0.019997,0.0049537,7,0
330.43,156.77,5.3387,0.12845,193.8,64.6,0.025643,0.010599,91,0
346.24,172.58,5.1987,0.26844,193.8,64.6,0.025094,0.010051,111,0
284.99,111.32,5.351,0.11615,193.8,64.6,0.019379,0.0043356,137,0
516.27,342.61,5.0601,0.40702,193.8,64.6,0.018751,0.0037079,94,0
233.28,59.62,5.3565,0.11063,258.4,129.2,0.019736,0.0046931,29,0
267.17,93.512,5.376,0.091086,236.87,107.67,0.021405,0.0063621,83,0
313.42,139.76,5.2829,0.18418,193.8,64.6,0.030112,0.015069,88,0
271.3,97.638,5.2841,0.18305,301.46,172.27,0.020045,0.0050021,144,0
412.07,238.41,5.1635,0.30361,258.4,129.2,0.024241,0.0091975,79,0
281.29,107.63,5.3199,0.14719,258.4,129.2,0.026959,0.011916,75,0
428.93,255.27,5.0762,0.39092,236.87,107.67,0.029526,0.014483,16,0
319.54,145.88,5.189,0.27812,258.4,129.2,0.018104,0.0030604,55,0
287,113.33,5.3454,0.12174,193.8,64.6,0.018652,0.0036087,108,0
629.44,455.77,4.8925,0.57463,236.87,107.67,0.024244,0.0092003,153,0
508.61,334.95,5.0695,0.3976,193.8,64.6,0.022956,0.0079129,44,0
738.91,565.25,4.9418,0.52527,193.8,64.6,0.022156,0.0071128,87,0
366.62,192.96,5.2401,0.22704,193.8,64.6,0.021419,0.006376,30,0
349.74,176.08,5.2337,0.23339,172.27,43.066,0.022156,0.0071125,97,0
389.05,215.39,5.2151,0.25199,236.87,107.67,0.02839,0.013346,144,0
530.17,356.5,5.0768,0.39031,215.33,86.133,0.026764,0.011721,180,0
784.39,610.73,4.8285,0.63857,236.87,107.67,0.025457,0.010414,153,0
451.02,277.36,5.1999,0.26723,215.33,86.133,0.023275,0.0082316,150,1
1007.5,833.89,5.5165,0,215.33,86.133,0.061022,0.045979,7,1
2230.1,2056.4,5.5078,0.0086846,215.33,86.133,0.064265,0.049222,7,1
2401.7,2228,5.4321,0.084414,6287.7,6158.5,0.10883,0.093791,93,1
2636.2,2462.5,5.0811,0.43538,6287.7,6158.5,0.18744,0.1724,93,1
3116.1,2942.4,5.214,0.30253,6244.6,6115.4,0.16641,0.15137,94,1
4031.9,3858.3,5.2936,0.22292,258.4,129.2,0.13396,0.11892,98,1
3520.7,3347.1,5.5056,0.010913,236.87,107.67,0.071952,0.056908,105,1
2585.1,2411.4,5.5789,0,6266.2,6137,0.063255,0.048212,8,1
2130.7,1957.1,5.5373,0.041629,236.87,107.67,0.068302,0.053259,6,1
1097.7,924,5.5011,0.077838,193.8,64.6,0.04916,0.034117,7,1
829.86,656.19,5.4021,0.17677,193.8,64.6,0.032249,0.017205,8,1
663.52,489.86,5.4863,0.092572,258.4,129.2,0.033642,0.018598,8,1
523.73,350.07,5.2715,0.30738,258.4,129.2,0.023585,0.0085416,49,1
838.58,664.92,5.407,0.17189,279.93,150.73,0.0396,0.024557,8,1
1033.4,859.74,5.5781,0.00084734,215.33,86.133,0.04044,0.025396,8,1
1292.4,1118.8,5.5285,0.050446,6352.3,6223.1,0.057599,0.042556,196,1
1871.2,1697.6,5.5161,0.062807,150.73,21.533,0.068049,0.053006,167,1
2425.9,2252.2,5.4658,0.11312,6223.1,6093.9,0.078324,0.063281,137,1
