@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0031419,0.0031419,2,27,0
0.36326,0.36326,3,26,0
0.51818,0.51818,1,28,0
0.27176,0.27176,1,28,0
0.027362,0.027362,1,28,0
0.0026694,0.0026694,1,28,0
0.097586,0.097586,1,28,0
0.02187,0.02187,1,28,0
0,0,1,28,0
0.18018,0.18018,1,28,0
0.44782,0.44782,1,28,0
0.07873,0.07873,1,28,0
0.016162,0.016162,1,28,0
0.30004,0.30004,1,28,0
0,0,1,28,0
0,0,1,28,0
0.013005,0.013005,2,27,0
0.0025294,0.0025294,1,28,0
0.10433,0.10433,4,25,0
0.020135,0.020135,1,28,0
0.016282,0.016282,1,28,0
0.0056674,0.0056674,2,27,0
0.17869,0.17869,1,28,0
0.11146,0.11146,1,28,0
0.042109,0.042109,2,27,0
0.079094,0.079094,4,25,0
0.01091,0.01091,3,26,0
0.03832,0.03832,9,20,0
0.0034905,0.0034905,2,27,0
0.032692,0.032692,2,27,0
0.0071255,0.0071255,4,25,0
0.059966,0.059966,8,21,0
0.0041699,0.0041699,4,25,0
0.005666,0.005666,2,27,0
0.0017794,0.0017794,2,27,0
0.10146,0.10146,2,27,0
0,0,1,28,0
0,0,1,28,0
0.0082074,0.0082074,5,24,0
0.11487,0.11487,8,21,1
0.026483,0.026483,15,14,1
0.032135,0.032135,19,10,1
0.26832,0.26832,22,7,1
0.30236,0.30236,25,4,1
0.22595,0.22595,25,4,1
0.26849,0.26849,24,5,1
0.12203,0.12203,22,7,1
0.09816,0.09816,18,11,1
0.20893,0.20893,22,7,1
0.24283,0.24283,27,2,1
0.30351,0.30351,28,1,1
0.41144,0.41144,29,0,1
0.31285,0.31285,29,0,1
0.091902,0.091902,22,7,1
0.158,0.158,18,11,1
0.91672,0.91672,17,12,1
1.2271,1.2271,22,7,1
1.2329,1.2329,10,19,1
1.3656,1.3656,7,22,1
1.3291,1.3291,8,21,1
1.207,1.207,7,22,1
1.2867,1.2867,9,20,1
1.012,1.012,10,19,1
0.85433,0.85433,12,17,1
1.1651,1.1651,11,18,1
1.0938,1.0938,7,22,1
0.81182,0.81182,9,20,1
0.86221,0.86221,8,21,1
1.1017,1.1017,4,25,1
1.0592,1.0592,4,25,1
1.211,1.211,6,23,1
1.2708,1.2708,6,23,1
1.2359,1.2359,7,22,1
1.2501,1.2501,5,24,1
1.0194,1.0194,6,23,1
1.078,1.078,9,20,1
0.85308,0.85308,6,23,1
0.9294,0.9294,4,25,1
1.233,1.233,4,25,1
1.3285,1.3285,4,25,1
1.3194,1.3194,4,25,1
1.1158,1.1158,8,21,1
0.96542,0.96542,5,24,1
0.96893,0.96893,8,21,1
1.1098,1.1098,6,23,1
1.1936,1.1936,7,22,1
1.0078,1.0078,4,25,1
1.0713,1.0713,4,25,1
1.1259,1.1259,6,23,1
1.1879,1.1879,9,20,1
1.261,1.261,9,20,1
1.2792,1.2792,15,14,1
1.352,1.352,13,16,1
1.3086,1.3086,12,17,1
1.3606,1.3606,11,18,1
1.2211,1.2211,7,22,1
1.0253,1.0253,5,24,1
0.95357,0.95357,8,21,1
0.82891,0.82891,19,10,1
0.50665,0.50665,24,5,1
0.51814,0.51814,23,6,1
0.51663,0.51663,25,4,1
0.40044,0.40044,29,0,1
0.43899,0.43899,28,1,1
0.44319,0.44319,26,3,1
0.54789,0.54789,26,3,1
0.52465,0.52465,24,5,1
0.5996,0.5996,22,7,1
0.55789,0.55789,23,6,1
0.58086,0.58086,26,3,1
0.64979,0.64979,26,3,1
0.61946,0.61946,26,3,1
0.61661,0.61661,26,3,1
0.5231,0.5231,21,8,1
0.69804,0.69804,20,9,1
0.92426,0.92426,24,5,1
