@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
166.02,-5.2644,107.67,0.42607,16,0
262.96,-5.2579,925.93,0.86692,17,0
291.73,-5.2256,925.93,0.71922,17,0
201.78,-5.3791,150.73,0.47066,16,0
243.2,-5.2815,452.2,0.62835,20,0
227.14,-5.3741,452.2,0.61378,15,0
102.95,-5.4908,430.66,0.50086,13,0
283.72,-5.3709,107.67,0.4305,24,0
82.061,-5.541,107.67,0.34914,31,0
72.068,-5.6496,452.2,0.45306,27,0
-9.3524,-5.7208,689.06,0.35065,28,0
26.326,-5.5286,710.6,0.46111,24,0
-11.694,-5.602,430.66,0.41294,21,0
-43.045,-5.6249,452.2,0.33758,29,0
44.133,-5.4149,323,0.50411,27,0
211.04,-5.398,344.53,0.47213,18,0
282.33,-5.3025,129.2,0.42929,24,0
260.58,-5.3078,279.93,0.26344,19,0
131.31,-5.4504,409.13,0.27157,23,0
154.09,-5.3717,129.2,0.26994,20,0
64.489,-5.5047,473.73,0.28501,27,0
102.21,-5.4741,667.53,0.24443,24,0
211.66,-5.393,624.46,0.2729,20,0
162.35,-5.4229,107.67,0.42784,21,0
89.786,-5.5615,258.4,0.43359,28,0
40.401,-5.631,689.06,0.44025,30,0
82.233,-5.5786,495.26,0.35903,27,0
98.513,-5.5833,387.6,0.36543,28,0
167.55,-5.5662,452.2,0.48663,32,0
78.019,-5.6305,473.73,0.44369,24,0
67.971,-5.6621,387.6,0.40555,26,0
17.651,-5.6912,430.66,0.4204,30,0
54.333,-5.5845,710.6,0.44007,34,0
-3.0602,-5.6052,452.2,0.38939,31,0
124.41,-5.6731,150.73,0.3241,32,0
138.5,-5.7083,1744.2,0.32796,31,0
173.18,-5.5169,452.2,0.57571,24,0
140.29,-5.5614,452.2,0.47053,22,0
372.37,-5.3787,452.2,0.62609,17,0
353.37,-5.3366,430.66,0.89769,8,0
448.71,-5.1433,430.66,1.1275,8,0
374.7,-5.3311,430.66,0.93699,8,0
454.65,-5.471,430.66,0.55052,13,0
596.04,-5.4592,430.66,0.82023,14,0
298.1,-5.5271,430.66,0.73764,9,0
446.73,-5.6041,430.66,0.67433,15,0
162.32,-5.805,452.2,0.61817,25,0
145.81,-5.7136,430.66,0.42759,40,0
30.213,-5.7118,710.6,0.37728,20,0
36.839,-5.6197,732.13,0.46073,17,0
113.82,-5.4253,732.13,0.40903,14,0
200.87,-5.2669,473.73,0.69473,11,0
889.7,-5.7369,323,0.47761,53,0
1282.9,-5.6605,279.93,0.45737,53,0
994.57,-5.5386,473.73,0.49597,35,0
887.19,-5.3494,473.73,0.5269,21,0
748.8,-5.3895,753.66,0.47079,18,1
