@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.37074,0.043557,4104,-4.9773,516.8,0.038382,3,3,1.3817,9,0.027968,-0.0099819,-107.62,0.11367,0,-0.01139,-0.5,0.5,0.11998,0.5,1
0.40237,0.029946,4152.1,-4.7876,516.8,0.024213,4,4,1.5393,10,0.013645,-0.0086207,-117.36,0.062929,0,0.0061541,0.5,0.5,0.049486,0.5,1
0.39803,0.026316,3869.3,-4.8514,516.8,0.05069,4,4,1.4807,10,-0.01031,0.0018149,-86.933,-0.0056204,0,0.013394,0,0,0.01171,0,1
0.38175,0.033575,3978.2,-4.7989,516.8,0.051002,4,4,1.5627,10,-0.017858,0.01225,-53.189,-0.023882,0,0.003346,-0.5,0,-0.0081798,-0.5,1
0.36232,0.050817,3762.9,-4.8992,516.8,0.057382,3,4,1.4643,9,-0.020876,0.011797,-206.89,-0.10351,0,0.0065211,0,0,-0.070305,-0.5,1
0.34,0.057169,3564.4,-5.0059,516.8,0.064044,4,4,1.4221,9,0.00050716,-0.0013612,55.38,0.014609,0,-0.0036033,0,0,0.030634,0,1
0.36333,0.048094,3873.7,-4.87,516.8,0.050175,3,4,1.5256,9,0.020512,-0.0086207,82.377,0.11476,0,-0.0072775,0,0,0.060529,0,1
0.38102,0.039927,3729.2,-4.7764,516.8,0.049489,4,4,1.5431,9,0.004794,-0.008167,-230.19,0.11948,0,-0.0072303,0,0,0.0077693,0,1
0.37292,0.03176,3413.3,-4.631,516.8,0.035715,3,4,1.5411,9,-0.0025106,-0.0068058,-211.39,0.10387,0,-0.0080376,0,0,-0.023486,0,1
0.376,0.026316,3306.4,-4.5686,516.8,0.033413,4,4,1.4962,9,0.0077296,-0.0040835,-36.877,0.071331,0,0.0015947,1,0,-0.0046409,0,1
0.38838,0.023593,3339.5,-4.4884,516.8,0.038904,5,4,1.5318,9,0.020756,-0.0018149,172.21,0.040428,0,-0.0063239,0,-0.5,0.00046649,0.5,1
0.41751,0.022686,3650.8,-4.4878,516.8,0.020766,4,3,1.4971,10,0.024079,0,213.66,0.082781,10.767,-0.012185,-1,3,0.029961,0.5,1
0.43654,0.023593,3766.9,-4.3228,538.33,0.014534,3,10,1.5918,10,-0.015883,0.00045372,-377.84,0.048408,10.767,0.0055255,-0.5,0,0.032895,0,1
0.38575,0.023593,2895.2,-4.3909,538.33,0.031817,3,3,1.5629,10,-0.067779,0,-705.32,-0.10618,0,0.0096938,0.5,-3.5,-0.0028745,0,1
0.30098,0.023593,2356.2,-4.5352,538.33,0.033921,4,3,1.586,10,-0.068029,0,-684.17,-0.13542,0,-0.0003501,0,0,-0.10973,0,1
0.24969,0.023593,1526.8,-4.6618,538.33,0.031116,3,3,1.3434,10,-0.051303,0,-423.21,-0.085506,-10.767,-0.00011226,-0.5,0,-0.077532,-0.5,1
0.19837,0.023593,1509.8,-4.7062,516.8,0.033697,3,3,1.431,9,-0.05868,0.0054446,-485.64,-0.34654,-43.066,-0.003108,-1,5,-0.21243,-1,1
0.13233,0.034483,555.53,-5.3548,452.2,0.0249,1,13,0.91857,8,-0.058299,0.0095281,-561.87,-0.40638,-32.3,-0.0011819,-1,5,-0.47442,2,1
0.081775,0.04265,386.06,-5.5189,452.2,0.031333,1,13,0.48213,13,-0.031415,0.0013612,-104.98,-0.043015,-150.73,-0.0024134,0.5,-0.5,-0.29088,9.5,1
0.0695,0.037205,345.58,-5.4409,150.73,0.020074,2,12,0.3368,27,-0.0044533,-0.0054446,13.82,0.16968,-64.6,-0.0090295,0,0,0.02393,-2,1
0.072868,0.03176,413.7,-5.1796,323,0.013274,1,13,0.52999,9,-5.0726e-05,-0.0022686,-30.26,0.15253,32.3,-0.0056193,-1,-6,0.068634,-7,1
0.069398,0.032668,285.06,-5.1358,215.33,0.0088349,0,0,0.47407,13,-0.0083569,0.0013612,-81.964,0.052125,-43.066,-0.00064385,0,1,0.002622,7,1
0.056154,0.034483,249.77,-5.0753,236.87,0.011986,1,15,0.53523,23,-0.007302,0.0022686,-55.11,0.0013391,-43.066,-0.0032798,0,0,0.054097,-2.5,0
0.054794,0.037205,174.84,-5.1331,129.2,0.0022754,0,0,0.58226,8,0.0027324,0,0.47384,0.084332,86.133,-0.0046309,-0.5,-7.5,0.062674,-6.5,0
0.061619,0.034483,250.72,-4.9066,409.13,0.0027245,0,0,0.66058,10,0.0055462,-0.0054446,86.485,0.18135,139.97,-0.00024803,0,0,0.12005,-0.5,0
0.065887,0.026316,347.81,-4.7704,409.13,0.0017793,0,0,0.82236,7,0.0031596,-0.008167,-4.3178,-0.028781,-139.97,0.0042127,0.5,7.5,-0.026001,-1.5,0
0.067939,0.018149,242.08,-4.9642,129.2,0.01115,1,15,0.60858,7,0.0098825,-0.0040835,25.977,-0.026764,-43.066,-0.00016657,0,0,-0.16986,2.5,0
0.085652,0.018149,399.76,-4.824,323,0.0014462,0,0,0.48264,12,0.030006,0.003176,343.33,0.23956,193.8,-0.0053258,-0.5,-7.5,0.17175,1.5,0
0.12795,0.024501,928.75,-4.4851,516.8,0.00049832,0,0,0.95207,10,0.055217,0.0022686,514.67,0.27193,96.899,-0.00012145,0,0,0.36381,-1,0
0.19609,0.022686,1429.1,-4.2801,516.8,0.0012033,0,0,1.2103,10,0.050261,-0.00045372,583.98,0.099554,0,0.0022922,0,0,0.15067,0,0
0.22847,0.023593,2096.7,-4.286,516.8,0.0050828,0,0,1.2534,10,0.016713,0,380.06,-0.05498,10.767,0.0037889,0,0,-0.012982,0,0
0.22951,0.022686,2189.2,-4.3901,538.33,0.008781,0,0,1.1843,10,0.014926,-0.00045372,115.92,-0.044314,10.767,0.0039913,0.5,12,-0.027008,0,0
0.25832,0.022686,2328.6,-4.3746,538.33,0.013065,1,24,1.1994,10,0.023482,0.00045372,121.82,0.028992,0,0.004372,1,7.5,0.050286,0,0
0.27648,0.023593,2432.9,-4.3321,538.33,0.017525,2,15,1.2849,10,0.0086467,0,142.51,-0.0037729,-10.767,-0.0010685,0,0,0.0061811,0,0
0.27562,0.022686,2613.6,-4.3822,516.8,0.010928,1,24,1.2118,10,-0.010684,0,52.487,-0.015377,-10.767,-0.0047178,-1,-7.5,-0.081052,-0.5,0
0.25511,0.023593,2537.8,-4.3628,516.8,0.0080894,0,0,1.1228,9,-0.041174,0.0022686,-521.87,-0.17043,0,-0.0021213,-0.5,-12,-0.16038,-0.5,0
0.19327,0.027223,1569.8,-4.723,516.8,0.0066859,0,0,0.89099,9,-0.032319,0.00090744,-379.37,-0.12509,-10.767,-0.0024584,0,0,-0.12162,0,0
0.19047,0.025408,1779.1,-4.613,495.26,0.0031726,0,0,0.87953,9,0.0019271,-0.0018149,274.02,0.10711,-10.767,0.0048978,0.5,7.5,-0.020186,0,0
0.19712,0.023593,2117.9,-4.5088,495.26,0.016482,1,15,0.85062,9,-0.010261,-0.0022686,-167.67,-0.02333,-139.97,0.0076056,0.5,7,-0.19925,0.5,0
0.16995,0.020871,1443.8,-4.6597,215.33,0.018384,1,14,0.48103,10,-0.0014613,0,-141.54,0.039893,-43.066,0.0012897,0,-0.5,0.0065086,-0.5,0
0.1942,0.023593,1834.8,-4.429,409.13,0.019061,1,14,0.86364,8,0.0084985,0.0068058,182.75,0.047692,86.133,0.0013402,0,-0.5,0.19208,-1.5,0
0.18695,0.034483,1809.3,-4.5643,387.6,0.021064,1,13,0.86519,7,-0.023662,0.0045372,-190.75,0.010505,43.066,-0.0053365,-0.5,-7,-0.084191,0.5,0
0.14688,0.032668,1453.3,-4.408,495.26,0.0083881,0,0,0.69525,9,-0.030992,-0.0058984,-513.52,-0.075832,43.066,-0.0098177,-0.5,-6.5,-0.086193,1,0
0.12496,0.022686,782.22,-4.716,473.73,0.0014289,0,0,0.6928,9,-0.028715,0.00090744,-423.5,-0.195,10.767,-0.0025275,0,0,-0.10147,-0.5,0
0.089448,0.034483,606.29,-4.798,516.8,0.003333,0,0,0.49232,8,-0.019846,0.0090744,-73.981,-0.090932,21.533,0.0031388,0,0,-0.0055378,0.5,0
0.085269,0.040835,634.26,-4.8978,516.8,0.0077064,0,0,0.68173,10,-7.4551e-05,-0.0013612,-82.118,-0.18164,-53.833,0.0055898,0.5,4,0.019286,2,0
0.089299,0.03176,442.05,-5.1613,409.13,0.014513,1,8,0.53089,12,-0.0064411,-0.0072595,-144.03,-0.21354,-75.366,0.0041012,1,4,-0.065858,1,0
0.072387,0.026316,346.2,-5.3249,366.06,0.015909,2,8,0.55001,12,0.0090492,-0.0027223,231.99,0.01563,64.6,-0.0052173,-0.5,-4,-0.030791,-1.5,1
0.1074,0.026316,906.02,-5.13,538.33,0.0040781,0,0,0.46931,9,0.036516,0.003176,332.31,0.10137,53.833,-0.0020107,0.5,2.5,0.23481,-1.5,1
0.14542,0.032668,1010.8,-5.1222,473.73,0.011888,3,13,1.0196,9,0.03272,0.0068058,391.97,0.036463,-32.3,0.017033,0.5,6.5,0.4256,0,1
0.17284,0.039927,1690,-5.0571,473.73,0.038145,1,13,1.3205,9,0.025565,0.0058984,439.95,0.050423,0,0.020074,0.5,-4.5,0.096121,0,1
0.19655,0.044465,1890.7,-5.0213,473.73,0.052036,4,4,1.2119,9,0.022661,-0.00045372,42.105,0.039262,0,0.002403,1,-4.5,-0.10114,2,1
0.21816,0.03902,1774.2,-4.9786,473.73,0.042951,3,4,1.1182,13,0.015551,-0.0040835,279.52,0.023797,10.767,-0.0047482,-0.5,0,0.043661,3,1
0.22765,0.036298,2449.8,-4.9737,495.26,0.04254,3,4,1.2992,15,0.0087304,0.00045372,459.06,-0.04685,10.767,0.010652,0.5,0,0.0065152,1,1
0.23562,0.039927,2692.3,-5.0723,495.26,0.064254,4,4,1.1313,15,0.001327,0.0049909,157.53,0.011184,0,0.0058608,0,0,-0.13963,3,1
0.23031,0.046279,2764.8,-4.9514,495.26,0.054261,3,4,1.0199,21,-0.0025404,0.0027223,-60.586,0.044966,0,-0.0043346,-0.5,0,0.0027587,1.5,1
0.23054,0.045372,2571.1,-4.9823,495.26,0.055585,3,4,1.1368,18,0.00042712,0.00045372,-285.97,-0.021411,0,0.00099206,0,0,0.098603,-6,1
0.23116,0.047187,2192.9,-4.9942,495.26,0.056245,3,4,1.2171,9,-0.0060507,0.003176,-252.12,-0.017463,0,-0.002209,0.5,0,0.048809,0.5,1
0.21844,0.051724,2066.9,-5.0173,495.26,0.051167,4,4,1.2344,19,4.0807e-05,-0.00090744,169.77,0.0071953,-10.767,-0.0080359,0.5,0,0.11347,5.5,1
0.23124,0.045372,2532.4,-4.9798,473.73,0.040174,4,4,1.4441,20,0.0046009,0,94.298,-0.035359,0,-0.00035552,-0.5,0,-0.016553,1.5,1
0.22764,0.051724,2255.5,-5.088,495.26,0.050456,3,4,1.2013,22,-0.0054508,0.0058984,-198.49,-0.058936,10.767,0.0010889,0,0,-0.081351,5.5,1
0.22034,0.057169,2135.5,-5.0977,495.26,0.042352,4,4,1.2814,31,0.00058425,-0.00090744,74.826,0.045036,-10.767,0.0025889,0,0,0.031566,-3.5,1
0.22881,0.049909,2405.1,-4.9979,473.73,0.055634,3,4,1.2644,15,0.007024,-0.008167,192.75,0.063523,-10.767,-0.00027254,0,0,0.02748,-11,1
0.23439,0.040835,2521,-4.9706,473.73,0.041806,4,4,1.3363,9,0.00038342,-0.0045372,-184.89,-0.023759,10.767,-0.0050055,0.5,0,-0.030096,-3,1
0.22957,0.040835,2035.4,-5.0454,495.26,0.045623,4,4,1.2042,9,0.0028649,-0.00045372,-54.442,0.033948,10.767,-0.00097469,-0.5,0,0.0010782,0,1
0.24012,0.039927,2412.1,-4.9027,495.26,0.039857,3,4,1.3385,9,0.0058681,0.0018149,254.61,0.038378,-10.767,0.0072738,-1,0,-0.010238,0,1
0.24131,0.044465,2544.6,-4.9687,473.73,0.060171,2,4,1.1838,9,-0.0012896,0.0054446,-72.42,-0.0078454,-10.767,0.008695,0,0,-0.080124,2.5,1
0.23754,0.050817,2267.2,-4.9184,473.73,0.057247,3,4,1.1782,14,0.0014031,0,19.915,-0.029562,0,0.0034958,0.5,0,0.027736,0,1
0.24412,0.044465,2584.4,-5.0278,473.73,0.067162,3,4,1.2392,9,-0.0092389,-0.0022686,89.505,-0.095305,0,0.015459,-0.5,0,-0.078682,-3,1
0.21906,0.046279,2446.2,-5.109,473.73,0.088165,2,4,1.0209,8,-0.018063,-0.0013612,-118.47,0.029745,-10.767,-0.0027383,-0.5,0,-0.091666,-0.5,1
0.20799,0.041742,2347.5,-4.9683,452.2,0.061685,2,4,1.0559,8,-0.0093677,0.003176,-148.17,0.057134,-10.767,-0.0149,0.5,0,0.083323,1,1
0.20032,0.052632,2149.9,-4.9948,452.2,0.058366,3,4,1.1875,10,-0.013936,0.014065,-173.94,-0.062518,0,-0.00165,1,0,-0.014186,8,1
0.18012,0.069873,1999.6,-5.0933,452.2,0.058386,4,4,1.0275,24,-0.017426,0.0095281,-323.38,-0.13175,0,0.0017995,0,0,-0.049225,8,1
0.16547,0.071688,1503.1,-5.2583,452.2,0.061965,3,4,1.0891,26,-0.013753,0.00090744,-307.34,-0.048738,0,-0.0019291,-0.5,0,-0.031377,22,1
0.15261,0.071688,1384.9,-5.1908,452.2,0.054527,3,4,0.96478,68,-0.0077392,0.0022686,49.952,0.070572,0,-0.0037517,0.5,0,-0.039656,28,1
0.15,0.076225,1603,-5.1171,452.2,0.054462,4,4,1.0098,82,0.0045513,0.00045372,24.821,0.014861,0,0.00077401,0.5,0,0.072472,-6.5,1
0.16171,0.072595,1434.6,-5.1611,452.2,0.056075,4,4,1.1097,55,0.0054749,-0.0036298,45.879,-0.013309,0,0.0050586,0,0,0.11614,-17,1
0.16095,0.068966,1694.8,-5.1437,452.2,0.064579,4,4,1.242,48,-0.00072282,-0.003176,52.28,0.0079265,0,0.0027947,-0.5,0,-0.02249,-15,1
0.16027,0.066243,1539.1,-5.1452,452.2,0.061665,3,4,1.0647,25,0.0091771,-0.0095281,-7.9878,0.02936,0,-0.0049475,0,0,-0.029033,-19.5,1
0.1793,0.049909,1678.8,-5.085,452.2,0.054684,4,4,1.184,9,0.014591,-0.0095281,183.73,0.050219,0,-0.0054689,0.5,0,0.085648,-5,1
0.18945,0.047187,1906.6,-5.0448,452.2,0.050727,4,4,1.236,15,0.0080531,0.0013612,171.34,0.014278,0,0.0034814,-0.5,0,-0.069412,3.5,1
0.19541,0.052632,2021.5,-5.0565,452.2,0.061647,3,4,1.0452,16,-0.00055787,0.0058984,142.02,-0.0071739,0,0.0010517,0,0,-0.16496,5.5,1
0.18833,0.058984,2190.6,-5.0591,452.2,0.05283,4,4,0.90612,26,-0.0080283,0.0063521,-84.719,-0.051183,0,-0.0046976,0,0,-0.048577,5.5,1
0.17935,0.065336,1852.1,-5.1588,452.2,0.052251,3,4,0.94801,27,-0.0045294,0.0040835,-195.16,0.032339,10.767,0.00087583,-0.5,0,0.15434,-6.5,1
0.17928,0.067151,1800.3,-4.9945,473.73,0.054582,3,4,1.2148,13,0.003301,-0.0049909,-79.552,0.051452,10.767,0.0011499,-0.5,0,0.14545,-8,1
0.18595,0.055354,1693,-5.0559,473.73,0.054551,2,4,1.2389,11,0.008515,-0.010436,-7.4557,-0.025127,0,0.00064802,0,0,0.022869,-2,1
0.19631,0.046279,1785.4,-5.0447,473.73,0.055878,3,4,1.2605,9,0.0022412,0.0013612,103.79,0.012113,0,0.0012264,0.5,0,0.05366,4.5,1
0.19043,0.058076,1900.5,-5.0317,473.73,0.057004,3,4,1.3462,20,-0.00032475,0.0095281,98.807,0.0095233,0,-0.0040184,-0.5,4,-0.0028506,8,1
0.19566,0.065336,1983,-5.0257,473.73,0.047841,2,12,1.2548,25,0.0040174,0.0036298,39.38,0.0025377,0,-0.0069125,0.5,0,-0.049517,7,1
0.19847,0.065336,1979.3,-5.0266,473.73,0.043179,4,4,1.2472,34,-0.0050462,0,-89.353,-0.083148,-10.767,0.0071456,0.5,-4,-0.075079,-1,1
0.18556,0.065336,1804.3,-5.192,452.2,0.062132,3,4,1.1047,23,-0.013075,0.003176,-147.92,-0.077442,-10.767,0.010577,-0.5,0,-0.12916,-5,1
0.17232,0.071688,1683.5,-5.1815,452.2,0.064334,3,4,0.98888,24,-0.014321,0.0049909,-37.871,-0.0010819,0,-0.0012009,0,0,-0.10079,0.5,1
0.15692,0.075318,1728.5,-5.1941,452.2,0.059731,3,4,0.9031,24,-0.0079367,-0.0040835,-39.546,0.030476,0,-0.002767,0,0,0.0026632,-0.5,1
0.15644,0.063521,1604.4,-5.1206,452.2,0.0588,3,4,0.9942,23,0.0015395,-0.0072595,-31.284,0.018209,0,-0.0036072,0,0,0.054264,-1,1
0.16,0.060799,1666,-5.1577,452.2,0.052516,3,4,1.0116,22,0.0024058,-0.00090744,36.679,-0.019318,0,-0.0045226,-0.5,4,-0.0080283,0.5,1
0.16126,0.061706,1677.7,-5.1592,452.2,0.049755,2,12,0.97815,24,0.0026145,0.003176,73.65,-0.0083997,-10.767,0.010941,0,0,-0.081266,0,1
0.16523,0.067151,1813.3,-5.1745,430.66,0.074398,3,4,0.84909,22,0.0034962,0.003176,108.61,0.016911,0,0.010862,-0.5,-0.5,-0.056326,-3,1
0.16825,0.068058,1894.9,-5.1254,452.2,0.071478,1,11,0.86549,18,-0.0003561,-0.0022686,-84.265,0.0092103,10.767,-0.0090135,-1,3.5,0.032615,-0.5,1
0.16452,0.062613,1644.7,-5.1561,452.2,0.056371,1,11,0.91432,21,-0.0036081,-0.0018149,-10.957,0.047049,-10.767,-0.011354,0,0,0.074376,1.5,1
0.16103,0.064428,1873,-5.0313,430.66,0.048769,1,11,1.0142,21,2.5494e-06,-0.0022686,36.605,0.11384,0,-0.0061577,0,0.5,0.09959,-2,1
