@relation featureMatrix


@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
-3.0602,-5.6052,452.2,35.037,-0.0443,-279.93,0
124.41,-5.6731,150.73,70.778,-0.05155,646,0
138.5,-5.7083,1744.2,24.388,0.078132,150.73,0
173.18,-5.5169,452.2,0.8966,0.073478,-646,0
140.29,-5.5614,452.2,99.593,0.069089,0,0
372.37,-5.3787,452.2,106.54,0.1124,-10.767,0
353.37,-5.3366,430.66,38.17,0.11771,-10.767,0
448.71,-5.1433,430.66,10.664,0.002731,0,0
374.7,-5.3311,430.66,2.973,-0.16384,0,0
454.65,-5.471,430.66,110.67,-0.064045,0,0
596.04,-5.4592,430.66,-78.279,-0.028074,0,0
298.1,-5.5271,430.66,-74.656,-0.072446,0,0
446.73,-5.6041,430.66,-67.89,-0.13896,10.767,0
162.32,-5.805,452.2,-150.46,-0.054754,0,0
145.81,-5.7136,430.66,-66.052,0.046618,129.2,0
30.213,-5.7118,710.6,-54.485,0.046935,150.73,0
36.839,-5.6197,732.13,41.804,0.14325,10.767,0
113.82,-5.4253,732.13,82.017,0.17642,-129.2,0
200.87,-5.2669,473.73,387.94,-0.15582,-204.57,0
889.7,-5.7369,323,541.03,-0.19681,-96.899,0
1282.9,-5.6605,279.93,52.435,0.099178,75.366,0
994.57,-5.5386,473.73,-197.87,0.15555,96.899,0
887.19,-5.3494,473.73,-122.88,0.074524,139.97,0
748.8,-5.3895,753.66,110.89,0.054931,118.43,1
1109,-5.2395,710.6,41.417,0.081951,10.767,1
831.64,-5.2256,775.2,-271.2,-0.0872,53.833,1
566.59,-5.4139,818.26,267.46,0.094965,-64.6,1
1366.6,-5.0357,646,392.68,0.26078,-53.833,1
1351.9,-4.8924,710.6,-256.93,-0.063558,-107.67,1
852.69,-5.1628,430.66,-191,-0.079886,-139.97,1
969.95,-5.0521,430.66,-14.056,0.084754,10.767,1
824.57,-4.9933,452.2,80.228,0.15393,10.767,1
1130.4,-4.7443,452.2,85.402,0.082081,0,1
995.38,-4.8291,452.2,-28.395,-0.051342,0,1
1073.6,-4.847,452.2,-44.576,-0.10028,0,1
906.23,-5.0297,452.2,-186.85,-0.12765,0,1
699.92,-5.1023,452.2,-135.37,-0.073109,-10.767,1
635.49,-5.1759,430.66,139.29,-0.084812,-10.767,1
978.5,-5.2719,430.66,152.37,-0.073812,-10.767,1
940.24,-5.3235,409.13,-132.34,-0.00030548,-10.767,1
713.82,-5.2725,409.13,-72.441,0.045341,172.27,1
795.36,-5.2328,753.66,46.373,0.017882,161.5,1
806.56,-5.2367,732.13,41.084,0.076776,-32.3,1
877.52,-5.0793,689.06,56.528,0.082456,-32.3,1
919.62,-5.0718,667.53,-30.213,-0.010487,-21.533,1
817.1,-5.1003,646,-70.345,-0.040345,-21.533,1
778.93,-5.1525,624.46,4.7652,-0.069734,-43.066,1
826.63,-5.2397,559.86,-70.135,-0.079472,-43.066,1
638.66,-5.3115,538.33,-50.359,-0.035479,-21.533,1
725.91,-5.3107,516.8,-57.093,-0.02763,-32.3,1
524.47,-5.3667,473.73,-108.7,-0.036995,-21.533,1
508.5,-5.3847,473.73,86.638,0.013095,0,1
697.75,-5.3405,473.73,80.083,0.052842,0,1
668.67,-5.279,473.73,42.419,0.031382,0,1
782.59,-5.2778,473.73,-43.879,-0.023415,107.67,1
580.91,-5.3258,689.06,-127.22,-0.064889,-10.767,1
528.14,-5.4076,452.2,-65.821,-0.0056303,0,1
449.27,-5.3371,689.06,-63.171,0.029553,129.2,1
401.8,-5.3485,710.6,29.224,0.0080516,-107.67,1
507.72,-5.321,473.73,156.14,0.086058,-107.67,1
714.09,-5.1763,495.26,91.529,0.023369,10.767,1
690.77,-5.2743,495.26,-54.208,-0.034182,64.6,1
605.67,-5.2447,624.46,-48.952,0.021682,0,1
592.87,-5.2309,495.26,-46.972,-0.097163,-53.833,1
511.73,-5.439,516.8,39.376,-0.032,10.767,1
671.62,-5.2949,516.8,-3.8483,0.04794,0,1
504.03,-5.3431,516.8,-53.053,0.020261,10.767,1
565.52,-5.2544,538.33,-4.1162,-0.13078,10.767,1
495.8,-5.6047,538.33,126.52,-0.12394,0,1
818.56,-5.5023,538.33,106.75,0.052896,10.767,1
709.29,-5.4989,559.86,78.632,0.077759,43.066,1
975.82,-5.3467,624.46,484.44,0.14966,-32.3,1
1678.2,-5.1996,495.26,1209.8,0.27605,-43.066,1
3395.4,-4.7946,538.33,955.54,0.26458,21.533,1
3589.3,-4.6704,538.33,-362.21,-0.074223,-10.767,1
2671,-4.9431,516.8,169.2,-0.07347,0,1
3927.7,-4.8174,538.33,1003.7,0.059356,32.3,1
4678.4,-4.8244,581.4,1570.5,0.018795,21.533,1
7068.7,-4.7798,581.4,987.55,0.24257,0,1
6653.5,-4.3392,581.4,-362.21,0.09696,0,1
6344.2,-4.5859,581.4,-328.1,-0.12592,-10.767,1
5997.3,-4.5911,559.86,-751.09,-0.023165,-10.767,1
4842.1,-4.6322,559.86,-868.53,-0.066768,-10.767,1
4260.3,-4.7246,538.33,-779.94,-0.17121,-10.767,1
3282.2,-4.9746,538.33,-913.94,-0.10455,-10.767,1
2432.4,-4.9337,516.8,-380.11,0.0611,-10.767,1
2522,-4.8524,516.8,-156.16,-0.098696,-10.767,1
2120.1,-5.1311,495.26,-411.62,-0.18931,-10.767,1
1698.7,-5.231,495.26,-80.179,0.014239,-10.767,1
1959.7,-5.1026,473.73,82.582,-0.022585,-10.767,1
1863.9,-5.2762,473.73,-131.25,-0.093542,0,1
1697.2,-5.2897,473.73,-91.546,0.099323,0,1
1680.8,-5.0776,473.73,-60.167,0.17542,0,1
