@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.012272,0.010044,0.023593,0.0054446,1.6478,1.565,2,0,0
0.0074759,0.005248,0.038113,0.019964,1.5955,1.5127,2,0,0
0.0043124,0.0020845,0.088929,0.07078,1.0409,0.9581,3,1,0
0.0029858,0.00075788,0.11887,0.10073,0.27649,0.1937,8,6,0
0.0023971,0.00016916,0.11434,0.096189,0.37876,0.29598,9,7,0
0.0025065,0.00027855,0.11434,0.096189,0.45043,0.36764,10,8,0
0.002229,1.0106e-06,0.12704,0.10889,0.33186,0.24908,10,8,0
0.0018429,0,0.14882,0.13067,0.38635,0.30356,12,10,0
0.0018017,0,0.15064,0.13249,0.35437,0.27159,9,7,0
0.0016858,0,0.14701,0.12886,0.28974,0.20695,10,8,0
0.0016838,0,0.13975,0.1216,0.20204,0.11925,10,8,0
0.0015937,0,0.13884,0.12069,0.20361,0.12083,24,22,0
0.0016213,2.7633e-05,0.14701,0.12886,0.23362,0.15084,21,19,0
0.0016503,5.6604e-05,0.15245,0.1343,0.2864,0.20361,17,15,0
0.001645,5.1336e-05,0.12976,0.11162,0.23546,0.15267,25,23,0
0.0016683,7.4598e-05,0.12341,0.10526,0.22973,0.14695,25,23,0
0.0014711,0,0.15336,0.13521,0.26332,0.18053,21,19,0
0.0013076,0,0.15971,0.14156,0.30105,0.21826,19,17,0
0.0013672,5.9596e-05,0.16515,0.14701,0.21128,0.1285,22,20,0
0.0013951,8.7509e-05,0.17695,0.1588,0.25875,0.17596,23,21,0
0.0012238,0,0.18603,0.16788,0.34098,0.25819,25,23,0
0.0010825,0,0.18421,0.16606,0.20821,0.12542,26,24,0
0.0011544,7.1899e-05,0.17604,0.15789,0.20203,0.11925,37,35,0
0.0013259,0.00024339,0.15426,0.13612,0.27987,0.19709,29,27,0
0.0012375,0.00015508,0.16969,0.15154,0.23314,0.15035,29,27,0
0.0010457,0,0.20871,0.19056,0.2286,0.14581,28,26,0
0.0009479,0,0.22232,0.20417,0.24537,0.16259,33,31,0
0.0010953,0.00014745,0.20236,0.18421,0.17273,0.089946,37,35,0
