@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1924.3,1886,4.6712,1.0909,452.2,366.06,0.13094,0.12927,49,45,1
1735.5,1697.2,4.661,1.0806,452.2,366.06,0.14022,0.13855,50,46,1
1765.7,1727.5,4.5676,0.98726,452.2,366.06,0.13634,0.13467,51,47,1
1869.5,1831.2,4.5541,0.97377,452.2,366.06,0.12206,0.12039,51,47,1
1798.6,1760.3,4.512,0.93163,452.2,366.06,0.1295,0.12783,52,48,1
1747.6,1709.3,4.6393,1.0589,452.2,366.06,0.12339,0.12172,51,47,1
1722.3,1684,4.5755,0.99519,452.2,366.06,0.13409,0.13242,52,48,1
1720.2,1682,4.363,0.78264,452.2,366.06,0.1454,0.14373,51,47,1
1711.9,1673.7,4.3348,0.75446,452.2,366.06,0.14124,0.13957,51,47,1
1762.5,1724.2,4.1706,0.59021,452.2,366.06,0.15077,0.1491,51,47,1
1824.1,1785.8,4.2908,0.71047,452.2,366.06,0.14887,0.1472,50,46,1
1832.6,1794.3,4.3072,0.72687,452.2,366.06,0.13653,0.13487,49,45,1
1824.5,1786.3,4.1329,0.55257,452.2,366.06,0.14599,0.14432,49,45,1
1920.3,1882,4.1325,0.55215,452.2,366.06,0.1469,0.14523,48,44,1
1908,1869.7,4.0696,0.48922,452.2,366.06,0.14653,0.14486,48,44,1
2049.6,2011.3,4.1403,0.55994,452.2,366.06,0.15294,0.15127,48,44,1
2249.3,2211.1,4.0852,0.5049,473.73,387.6,0.16017,0.1585,47,43,1
2399.9,2361.6,4.2757,0.69539,473.73,387.6,0.15678,0.15511,45,41,1
2591.2,2552.9,4.3513,0.77098,473.73,387.6,0.13855,0.13688,43,39,1
2604.1,2565.8,4.5096,0.92926,473.73,387.6,0.10138,0.099715,44,40,1
2544.1,2505.8,4.0363,0.45591,473.73,387.6,0.15457,0.1529,44,40,1
2508,2469.7,4.0714,0.49104,473.73,387.6,0.1568,0.15513,43,39,1
2478.2,2439.9,4.1327,0.55232,473.73,387.6,0.14371,0.14204,43,39,1
2590.1,2551.8,4.1338,0.55344,495.26,409.13,0.14161,0.13994,42,38,1
2705.1,2666.9,4.1928,0.61247,495.26,409.13,0.1228,0.12113,41,37,1
2833,2794.7,4.1412,0.56087,495.26,409.13,0.11702,0.11535,41,37,1
2888.1,2849.9,4.2368,0.65644,495.26,409.13,0.10743,0.10576,133,129,1
2816.9,2778.6,4.2059,0.62553,495.26,409.13,0.12684,0.12517,40,36,1
2819.4,2781.1,4.3005,0.72016,495.26,409.13,0.10834,0.10667,41,37,1
2814.3,2776,4.2836,0.70327,495.26,409.13,0.1114,0.10973,41,37,1
2917,2878.7,4.3106,0.73027,495.26,409.13,0.11893,0.11726,136,132,1
2872.7,2834.4,4.2781,0.69779,495.26,409.13,0.12233,0.12066,42,38,1
2828.6,2790.3,4.3428,0.76247,495.26,409.13,0.12061,0.11894,43,39,1
2764.6,2726.3,4.3345,0.75417,473.73,387.6,0.12352,0.12185,43,39,1
2578.2,2539.9,4.1917,0.61136,473.73,387.6,0.12167,0.12,43,39,1
2525.1,2486.8,4.1652,0.58485,473.73,387.6,0.12838,0.12671,43,39,1
2523.8,2485.5,4.325,0.74463,473.73,387.6,0.12289,0.12122,44,40,1
2587.2,2548.9,4.4136,0.8333,473.73,387.6,0.12259,0.12092,45,41,1
2608.4,2570.1,4.411,0.83069,473.73,387.6,0.11267,0.111,46,42,1
2346.9,2308.7,4.1003,0.51996,473.73,387.6,0.13786,0.13619,47,43,1
2353,2314.8,4.2374,0.65706,452.2,366.06,0.12239,0.12072,48,44,1
2203.5,2165.2,4.3355,0.7552,452.2,366.06,0.12121,0.11954,49,45,1
2034.4,1996.1,4.3068,0.72642,452.2,366.06,0.11453,0.11286,50,46,1
2063.8,2025.5,4.2084,0.6281,430.66,344.53,0.11033,0.10866,53,49,1
1859.5,1821.3,4.4652,0.88485,430.66,344.53,0.1025,0.10083,55,51,1
