@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2314.2,2275.9,4.5984,1.018,473.73,387.6,1.5548,1.472,2,0,1
2287.4,2249.1,4.7653,1.1849,473.73,387.6,1.5111,1.4283,2,0,1
2149.9,2111.7,4.5053,0.92494,452.2,366.06,1.495,1.4122,2,0,1
2098.3,2060.1,4.5778,0.99748,452.2,366.06,1.5156,1.4328,3,1,1
1998.9,1960.6,4.6164,1.036,452.2,366.06,1.4738,1.391,7,5,1
1828.9,1790.6,4.7082,1.1279,452.2,366.06,1.4037,1.3209,11,9,1
1783.8,1745.5,4.6883,1.108,452.2,366.06,1.4073,1.3245,13,11,1
1822.7,1784.4,4.6731,1.0927,452.2,366.06,1.4034,1.3206,13,11,1
1820.9,1782.6,4.6545,1.0742,452.2,366.06,1.4017,1.3189,12,10,1
1838.8,1800.6,4.6404,1.0601,452.2,366.06,1.4243,1.3415,8,6,1
1881.6,1843.4,4.6716,1.0912,452.2,366.06,1.4254,1.3426,3,1,1
1953.5,1915.2,4.612,1.0316,452.2,366.06,1.4667,1.384,3,1,1
2037.7,1999.4,4.5662,0.98589,452.2,366.06,1.4564,1.3736,4,2,1
2038.6,2000.3,4.5699,0.98956,452.2,366.06,1.4185,1.3357,3,1,1
2031.7,1993.5,4.5764,0.9961,452.2,366.06,1.3903,1.3075,4,2,1
2060.5,2022.3,4.5838,1.0035,473.73,387.6,1.4145,1.3317,4,2,1
2071.1,2032.8,4.472,0.89166,473.73,387.6,1.4765,1.3937,2,0,1
2114.1,2075.8,4.4937,0.91336,473.73,387.6,1.4856,1.4028,2,0,1
2184.7,2146.4,4.4884,0.90804,473.73,387.6,1.4991,1.4163,2,0,1
2185.4,2147.1,4.5165,0.9362,473.73,387.6,1.4656,1.3828,2,0,1
2233.7,2195.4,4.4116,0.83121,473.73,387.6,1.4584,1.3756,5,3,1
2209.6,2171.4,4.4455,0.86511,473.73,387.6,1.444,1.3612,9,7,1
2173.5,2135.3,4.5813,1.0009,452.2,366.06,1.4106,1.3278,9,7,1
1924.3,1886,4.6712,1.0909,452.2,366.06,1.2956,1.2129,8,6,1
1735.5,1697.2,4.661,1.0806,452.2,366.06,1.2175,1.1347,5,3,1
1765.7,1727.5,4.5676,0.98726,452.2,366.06,1.1821,1.0993,5,3,1
1869.5,1831.2,4.5541,0.97377,452.2,366.06,1.2098,1.127,5,3,1
1798.6,1760.3,4.512,0.93163,452.2,366.06,1.1936,1.1108,5,3,1
1747.6,1709.3,4.6393,1.0589,452.2,366.06,1.1992,1.1165,5,3,1
1722.3,1684,4.5755,0.99519,452.2,366.06,1.2226,1.1398,5,3,1
1720.2,1682,4.363,0.78264,452.2,366.06,1.2179,1.1352,5,3,1
1711.9,1673.7,4.3348,0.75446,452.2,366.06,1.2204,1.1376,5,3,1
1762.5,1724.2,4.1706,0.59021,452.2,366.06,1.2249,1.1421,6,4,1
1824.1,1785.8,4.2908,0.71047,452.2,366.06,1.2347,1.1519,5,3,1
1832.6,1794.3,4.3072,0.72687,452.2,366.06,1.3963,1.3136,8,6,1
1824.5,1786.3,4.1329,0.55257,452.2,366.06,1.4617,1.3789,8,6,1
1920.3,1882,4.1325,0.55215,452.2,366.06,1.5104,1.4276,8,6,1
1908,1869.7,4.0696,0.48922,452.2,366.06,1.5096,1.4269,8,6,1
2049.6,2011.3,4.1403,0.55994,452.2,366.06,1.495,1.4122,8,6,1
2249.3,2211.1,4.0852,0.5049,473.73,387.6,1.4642,1.3814,9,7,1
2399.9,2361.6,4.2757,0.69539,473.73,387.6,1.4348,1.352,9,7,1
2591.2,2552.9,4.3513,0.77098,473.73,387.6,1.514,1.4312,5,3,1
2604.1,2565.8,4.5096,0.92926,473.73,387.6,1.5597,1.4769,2,0,1
2544.1,2505.8,4.0363,0.45591,473.73,387.6,1.5367,1.454,9,7,1
2508,2469.7,4.0714,0.49104,473.73,387.6,1.5368,1.454,5,3,1
2478.2,2439.9,4.1327,0.55232,473.73,387.6,1.5687,1.4859,2,0,1
2590.1,2551.8,4.1338,0.55344,495.26,409.13,1.5821,1.4993,2,0,1
2705.1,2666.9,4.1928,0.61247,495.26,409.13,1.5701,1.4873,2,0,1
2833,2794.7,4.1412,0.56087,495.26,409.13,1.5675,1.4847,2,0,1
2888.1,2849.9,4.2368,0.65644,495.26,409.13,1.5706,1.4879,2,0,1
2816.9,2778.6,4.2059,0.62553,495.26,409.13,1.5701,1.4873,2,0,1
2819.4,2781.1,4.3005,0.72016,495.26,409.13,1.5661,1.4833,2,0,1
2814.3,2776,4.2836,0.70327,495.26,409.13,1.5555,1.4727,2,0,1
2917,2878.7,4.3106,0.73027,495.26,409.13,1.5628,1.4801,2,0,1
2872.7,2834.4,4.2781,0.69779,495.26,409.13,1.5506,1.4678,2,0,1
2828.6,2790.3,4.3428,0.76247,495.26,409.13,1.5204,1.4376,2,0,1
2764.6,2726.3,4.3345,0.75417,473.73,387.6,1.505,1.4222,2,0,1
2578.2,2539.9,4.1917,0.61136,473.73,387.6,1.5193,1.4365,2,0,1
2525.1,2486.8,4.1652,0.58485,473.73,387.6,1.502,1.4192,2,0,1
2523.8,2485.5,4.325,0.74463,473.73,387.6,1.4488,1.366,2,0,1
2587.2,2548.9,4.4136,0.8333,473.73,387.6,1.3631,1.2803,3,1,1
2608.4,2570.1,4.411,0.83069,473.73,387.6,1.3068,1.224,5,3,1
2346.9,2308.7,4.1003,0.51996,473.73,387.6,1.2969,1.2141,5,3,1
2353,2314.8,4.2374,0.65706,452.2,366.06,1.2975,1.2147,5,3,1
2203.5,2165.2,4.3355,0.7552,452.2,366.06,1.2862,1.2035,5,3,1
2034.4,1996.1,4.3068,0.72642,452.2,366.06,1.2461,1.1633,5,3,1
2063.8,2025.5,4.2084,0.6281,430.66,344.53,1.283,1.2002,4,2,1
1859.5,1821.3,4.4652,0.88485,430.66,344.53,1.2351,1.1523,4,2,1
1898,1859.7,4.3652,0.78482,796.73,710.6,1.3359,1.2532,3,1,1
2037.9,1999.6,4.32,0.73967,753.66,667.53,1.4526,1.3698,3,1,1
2146.6,2108.4,4.2261,0.64578,732.13,646,1.5509,1.4681,3,1,1
1933.3,1895,4.3082,0.72781,710.6,624.46,1.4876,1.4048,3,1,1
1187.9,1149.7,4.3928,0.81249,689.06,602.93,1.4817,1.3989,3,1,1
1048.8,1010.5,4.4876,0.90723,689.06,602.93,1.4242,1.3414,3,1,1
1022,983.71,4.5219,0.94152,732.13,646,1.3886,1.3058,3,1,1
659.38,621.11,4.6122,1.0319,387.6,301.46,1.0132,0.93037,3,1,1
818.35,780.08,4.7145,1.1342,732.13,646,0.41867,0.33588,3,1,1
1021.4,983.14,4.6123,1.0319,732.13,646,0.57269,0.4899,3,1,1
966.49,928.22,4.5398,0.95944,689.06,602.93,0.52781,0.44503,3,1,1
584.48,546.2,4.5428,0.96248,430.66,344.53,0.49905,0.41626,3,1,1
1154.4,1116.1,4.3201,0.73973,710.6,624.46,0.78661,0.70382,3,1,1
983.25,944.98,4.293,0.71266,710.6,624.46,0.5668,0.48402,3,1,1
718.3,680.03,4.3291,0.7488,452.2,366.06,0.65086,0.56808,3,1,1
937.52,899.25,4.1903,0.60998,538.33,452.2,0.80738,0.7246,2,0,1
750.76,712.49,3.9878,0.40749,495.26,409.13,1.1338,1.051,2,0,1
640.72,602.45,3.8042,0.22387,495.26,409.13,1.5058,1.423,2,0,1
299.65,261.37,3.604,0.023609,495.26,409.13,1.6389,1.5561,2,0,1
23.064,0,4.6371,1.0567,473.73,387.6,1.0455,0.96268,2,0,1
10.189,0,4.4872,0.90689,409.13,323,1.3359,1.2531,2,0,1
