@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
546.2,4.5428,344.53,0.020391,66,1
1116.1,4.3201,624.46,0.012325,10,1
944.98,4.293,624.46,0.01568,28,1
680.03,4.3291,366.06,0.012633,32,1
899.25,4.1903,452.2,0.021167,24,1
712.49,3.9878,409.13,0.015811,131,1
602.45,3.8042,409.13,0.025655,125,1
261.37,3.604,409.13,0.029084,39,1
0,4.6371,387.6,0.010897,41,1
0,4.4872,323,0.012965,39,1
11.775,4.5071,344.53,0.0099133,57,1
37.024,4.8589,344.53,0.0086158,41,1
55.854,5.2049,366.06,0.0096754,54,1
40.459,4.9431,366.06,0.013287,57,1
24.833,4.6361,387.6,0.01473,48,0
21.947,4.4768,387.6,0.01009,42,0
32.332,4.8134,387.6,0.0081948,42,0
42.127,5.2624,387.6,0.0049164,53,0
45.873,5.4435,2153.3,0.0018954,130,0
39.456,5.476,387.6,0.0014139,46,0
37.816,5.3485,387.6,0.0033031,41,0
35.565,5.462,1916.5,0.00069403,102,0
30.738,5.5172,2217.9,0.00050324,63,0
32.843,5.4499,2217.9,0.001553,58,0
29.594,5.4607,2239.5,0.0011373,61,0
29.015,5.5109,129.2,0.0004631,139,0
31.006,5.5835,2088.7,0.00028822,136,0
33.428,5.5383,1894.9,0.00069578,59,0
29.986,5.5134,473.73,0.00040983,102,0
26.987,5.4623,64.6,8.2091e-06,53,0
29.427,5.4663,107.67,0.00040258,33,0
30.429,5.5813,473.73,0.00094913,114,0
26.829,5.6439,452.2,0.00036389,35,0
28.45,5.6086,387.6,0.00052865,39,0
27.744,5.5888,215.33,0.00041248,120,0
24.707,5.6354,193.8,0,90,0
21.17,5.6076,64.6,0.00026117,7,0
19.643,5.5367,279.93,0,28,0
23.08,5.5329,236.87,0.00023169,106,0
25.659,5.612,409.13,0.00034933,42,0
21.382,5.5983,344.53,0,61,0
16.346,5.5745,323,0,45,0
18.96,5.4579,215.33,0,26,0
19.308,5.4393,215.33,0.00032875,96,0
18.37,5.479,215.33,2.8443e-05,116,0
14.414,5.4603,0,0,111,0
17.025,5.4828,366.06,0.00024058,60,0
17.689,5.4346,193.8,0,60,0
19.751,5.4653,129.2,0.00036578,66,0
17.72,5.5718,0,6.1027e-05,65,0
18.507,5.4901,0,0.00025737,89,0
19.328,5.5073,215.33,0.00025084,42,0
21.667,5.5451,193.8,0.00022903,35,0
21.006,5.551,236.87,0.00093521,106,0
22.692,5.5113,193.8,0.00053119,65,0
29.311,5.5868,0,0.001684,62,0
40.282,5.6946,2347.1,0.0018076,58,0
32.772,5.6581,2347.1,0.0013759,67,0
33.072,5.6332,753.66,0.001409,117,0
36.574,5.6879,409.13,0.0014223,21,0
41.301,5.687,1464.3,0.0016054,73,0
39.165,5.6596,1464.3,0.0015027,68,0
43.188,5.6241,2390.2,0.0020639,59,0
50.521,5.7018,1485.8,0.0034572,36,0
48.524,5.5993,2282.5,0.0033537,60,0
39.071,5.5316,2024.1,0.0016076,148,0
36.824,5.3725,236.87,0.0013782,108,0
36.272,5.1589,129.2,0.0013218,94,0
25.511,5.0582,430.66,0.0022101,56,0
29.854,5.2878,193.8,0.00044003,50,0
18.62,4.9608,215.33,0.00023841,114,0
16.951,5.2824,172.27,4.3821e-05,67,0
19.405,5.3975,129.2,0.00059063,88,0
19.598,5.6018,215.33,0.00016683,89,0
15.495,5.1735,236.87,0,105,0
