@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
39.643,5.4158,43.066,0
42.625,5.5327,0,0
130.49,4.4432,646,1
831.48,4.586,689.06,1
656.35,4.4722,753.66,1
649.94,4.8548,538.33,1
1196.3,4.5296,624.46,1
1530.1,4.3542,689.06,1
1049.8,4.5143,387.6,1
1123.2,4.3783,409.13,1
1116,4.2569,430.66,1
1312.5,4.0254,430.66,1
1300.4,3.9388,430.66,1
1294.1,3.8637,430.66,1
1171.3,4.0757,430.66,1
1007.5,4.1023,430.66,1
912.21,4.244,409.13,1
786.47,4.3047,409.13,1
765.47,4.2886,387.6,1
767.42,4.3184,387.6,1
725.05,4.4002,732.13,1
659.55,4.3291,710.6,1
803.11,4.3405,667.53,1
798.85,4.2494,646,1
974.99,4.021,624.46,1
889.44,4.3373,602.93,1
738.39,4.5756,559.86,1
531.77,4.7488,516.8,1
455.33,4.7217,473.73,1
368.08,4.6896,452.2,1
355.37,4.5492,452.2,1
357.94,4.4735,452.2,1
344.64,4.6022,452.2,1
645.58,4.9509,452.2,1
586.41,4.8292,430.66,1
426.67,4.7403,452.2,1
467.23,4.6878,452.2,1
411.41,4.6578,473.73,1
407.47,4.5076,473.73,1
389.6,4.5249,473.73,1
414.74,4.6057,473.73,1
427.35,4.5818,473.73,1
407.26,4.4808,495.26,1
405.78,4.4695,495.26,1
449.85,4.4835,495.26,1
495.36,4.3678,495.26,1
453.54,4.397,516.8,1
442.81,4.5672,516.8,1
404.24,4.529,516.8,1
579.43,4.8364,538.33,1
983.29,4.7931,624.46,1
2177.9,4.7904,473.73,1
3930.4,4.3673,516.8,1
3926.2,3.9116,516.8,1
3246.5,4.0267,495.26,1
4168.2,4.0459,516.8,1
5155.9,4.2773,559.86,1
7591.3,4.3571,559.86,1
7332.8,4.0566,559.86,1
6606,4.0607,559.86,1
5751.1,3.6061,538.33,1
4977.5,3.6456,538.33,1
4527,3.8054,516.8,1
3660.8,3.9457,516.8,1
2968.3,3.9594,495.26,1
2645.2,3.8707,495.26,1
2105.8,3.9154,473.73,1
1675.1,3.9882,473.73,1
1888.7,4.0715,452.2,1
1718.3,4.0796,452.2,1
1582,4.0084,452.2,1
1756.2,3.8685,452.2,1
1922.3,3.8023,452.2,1
1943.8,3.8147,452.2,1
1910,3.7969,452.2,1
1825.5,3.8546,452.2,1
1705.2,3.864,430.66,1
1544.6,3.9169,430.66,1
1432.1,3.9625,430.66,1
1377,4.0172,430.66,1
1462,3.8932,430.66,1
1422.7,3.9345,430.66,1
1871.7,4.4543,430.66,1
1831.6,4.1552,452.2,1
1960,3.9815,452.2,1
2087.9,3.8902,452.2,1
2103.2,3.9398,452.2,1
2054.5,4.0526,452.2,1
1988.2,4.1913,452.2,1
1987.2,4.0902,473.73,1
2101.1,4.0524,473.73,1
2330.5,3.9457,473.73,1
2403.5,3.9674,473.73,1
2366.1,4.0902,473.73,1
2458.7,4.0526,473.73,1
2557.6,4.042,495.26,1
2814.8,3.8393,495.26,1
3124.8,3.7409,495.26,1
3204.5,3.6095,495.26,1
3207.8,3.6284,495.26,1
3307.7,3.5427,495.26,1
3351.8,3.5841,495.26,1
3370.2,3.5865,495.26,1
3453.6,3.5727,495.26,1
3554.6,3.4922,495.26,1
3507.9,3.43,495.26,1
3379.1,3.417,495.26,1
3330.5,3.2986,495.26,1
3262.1,3.3895,473.73,1
2981.9,3.5429,473.73,1
2909.2,3.4838,473.73,1
3529.8,3.3648,473.73,1
4153.6,3.1399,473.73,1
4432.2,3.1448,473.73,1
4665.1,3.2275,473.73,1
4297.6,3.1811,473.73,1
4036.4,3.0872,452.2,1
3231.5,3.1587,452.2,1
2110.6,3.0293,430.66,1
1271.5,3.1874,409.13,1
468.85,3.5469,409.13,1
0,4.3118,387.6,1
9.6218,4.2153,473.73,1
21.408,4.3215,430.66,0
32.87,5.0057,409.13,0
35.01,4.9093,452.2,0
38.981,5.315,473.73,0
37.336,5.0981,409.13,0
40.884,5.2784,430.66,0
40.335,5.432,2088.7,0
41.025,5.2596,2024.1,0
43.782,5.2768,2174.9,0
45.625,5.2671,559.86,0
45.992,5.36,2067.2,0
43.575,5.3385,2110.3,0
43.776,5.4426,2153.3,0
44.22,5.3866,2196.4,0
41.013,5.4316,2217.9,0
37.229,5.516,2088.7,0
38.648,5.6026,689.06,0
48.971,5.7246,86.133,0
49.866,5.6746,0,0
54.732,5.7092,129.2,0
54.015,5.7247,1119.7,0
53.287,5.6946,0,0
56.207,5.7106,43.066,0
64.719,5.6902,0,0
61.955,5.7018,323,0
57.196,5.5488,0,0
47.726,5.0158,753.66,0
39.396,5.0244,775.2,0
49.204,5.2754,753.66,0
44.291,5.0539,732.13,0
26.454,4.8283,732.13,0
56.814,5.5357,775.2,0
35.413,5.1599,753.66,0
