@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.33936,7,0
0.34084,5,0
0.29064,5,0
0.21058,7,0
0.28357,5,0
0.42569,4,0
0.2107,5,0
0.25736,6,0
0.23637,4,0
0.27195,4,0
0.14161,8,0
0.076299,9,0
0.30101,5,0
0.36564,6,0
0.099412,5,0
0,6,0
0.18901,6,0
0.0027361,12,0
0.48485,3,0
0.5469,4,0
0.28556,14,0
0.24456,14,0
0.22758,12,0
0.53921,11,0
0.53566,6,0
0.28563,6,0
0.3862,6,0
0.7284,3,0
1.0304,3,0
0.84176,3,0
0.73661,3,0
1.1807,3,0
1.2671,3,0
0.96859,3,0
0.86867,4,0
0.64908,5,0
0.29165,6,0
0.29941,14,0
0.24113,13,0
0.72832,3,0
0.61524,5,0
0.26316,7,0
0.26486,8,1
0.17853,8,1
0.58563,3,1
1.2963,2,1
1.1489,2,1
0.80423,2,1
0.81433,3,1
0.94848,2,1
1.3461,3,1
1.3343,2,1
1.1051,2,1
0.58253,6,1
0.49634,8,1
0.52954,7,1
0.26055,8,1
0.23587,8,1
0.23441,10,1
0.29042,8,0
0.74456,2,0
0.3945,9,0
0.30504,9,0
0.26345,9,0
0.10952,8,0
0.12546,9,0
0.16411,8,0
0.39298,8,0
0.42989,7,0
0.50614,7,0
0.78682,2,0
1.1479,2,0
1.1884,2,0
0.91125,2,0
0.99554,2,0
0.95475,2,0
0.83392,3,0
0.72193,2,0
0.47858,3,0
0.95745,2,0
1.2773,2,0
1.096,2,0
0.63514,3,0
0.66255,3,0
0.74567,2,0
0.97906,2,0
1.2224,2,0
1.1531,2,0
1.114,2,0
1.1495,2,0
1.0347,2,0
1.0178,2,0
0.60275,2,0
0.07235,2,0
0.09737,3,0
0.54412,2,0
0.50678,2,0
0.2892,2,0
0.13825,5,0
0.19248,7,0
0.28038,2,0
0.47819,2,0
0.36797,2,0
0.78899,2,0
1.1181,2,0
0.65711,3,0
0.52039,2,0
0.64428,2,0
0.31787,3,0
0.41823,3,0
0.37191,3,0
0.3747,4,0
0.42872,4,0
0.56083,4,0
0.37775,4,0
0.25425,2,0
0.34935,2,0
0.26637,3,0
0.65238,3,0
0.58745,2,0
0.52198,2,0
0.63899,3,0
0.82438,3,0
0.83196,1,0
1.1593,1,0
0.591,1,0
0.23292,5,0
0.27745,3,0
0.77018,2,0
0.71855,2,0
0.3831,2,0
0.20908,3,0
0.085231,4,0
0.47323,2,0
0.22196,4,0
0.2958,4,0
0.26815,3,0
0.8387,2,0
1.2252,2,0
0.65908,2,0
0.42696,6,0
0.19594,13,0
0.06264,13,0
0.24144,11,0
0.22851,23,0
0.18146,29,0
0.52493,24,0
0.4855,18,0
0.30318,12,0
0.40476,12,0
0.74898,4,0
0.40218,6,0
0.19098,6,0
0.31389,7,0
0.46602,4,0
0.64874,2,0
0.34978,4,0
0.35576,3,0
0.25253,3,0
0.3618,3,0
0.18286,4,0
0.61059,2,0
1.0576,2,0
1.121,2,0
0.66828,2,0
0.52945,2,0
0.52891,2,0
0.70421,2,0
0.22176,2,0
0.50935,2,0
0.60561,2,0
0.57754,2,0
0.54091,2,0
0.38009,6,0
0.084161,5,0
0.0318,5,0
0.18147,8,0
0.36538,10,0
0.31767,14,0
0.4623,10,0
0.53798,6,1
0.55306,1,1
0.65058,1,1
0.58554,1,1
0.43833,2,1
0.17565,4,1
0.38534,3,1
0.57742,3,1
0.16456,7,1
0.16636,4,1
0.98861,2,1
1.2484,2,1
1.1452,2,1
0.59727,2,1
0.24415,4,1
0.19198,5,1
0.10887,5,1
0.13957,4,1
0.13308,6,1
0.24693,4,1
