@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00027855,0.11434,0
1.0106e-06,0.12704,0
0,0.14882,0
0,0.15064,0
0,0.14701,0
0,0.13975,0
0,0.13884,0
2.7633e-05,0.14701,0
5.6604e-05,0.15245,0
5.1336e-05,0.12976,0
7.4598e-05,0.12341,0
0,0.15336,0
0,0.15971,0
5.9596e-05,0.16515,0
8.7509e-05,0.17695,0
0,0.18603,0
0,0.18421,0
7.1899e-05,0.17604,0
0.00024339,0.15426,0
0.00015508,0.16969,0
0,0.20871,0
0,0.22232,0
0.00014745,0.20236,0
0.00025095,0.16606,0
0.00011661,0.18421,0
0,0.22323,0
0,0.20599,0
0.00021293,0.15154,0
0.00034809,0.14247,0
0.00020177,0.16697,0
0.00017586,0.16243,0
0.00019072,0.1588,0
0.00010736,0.16788,0
0.00021436,0.16515,0
0.00038191,0.16969,0
0.00051866,0.18784,0
0.0008113,0.20871,0
0.0007997,0.21234,0
0.00061142,0.21688,0
0.00083367,0.20871,0
0.0010392,0.18784,0
0.0010359,0.19782,0
0.0012234,0.19056,0
0.0014884,0.19056,0
0.0015258,0.16969,0
0.0012594,0.14338,0
0.0023775,0.11162,0
0.0028125,0.056261,0
0.0019744,0.057169,0
0.0019713,0.058076,0
0.0015957,0.062613,0
0.00065501,0.10436,0
0.0003864,0.18149,0
0.00041048,0.17514,0
0.00035077,0.12613,0
0.00032659,0.11978,0
0.00056504,0.11434,0
0.00059519,0.13612,0
0.00071476,0.11525,0
0.00086906,0.087114,0
0.00083652,0.10254,0
0.00071063,0.10799,0
0.00050476,0.13067,0
0.00031368,0.17423,0
0.0003907,0.13158,0
0.00041637,0.13249,0
0.00035628,0.17423,0
0.00084759,0.11797,0
0.0010697,0.077132,0
0.00063524,0.11252,0
0.00030294,0.13521,0
0.00028847,0.11525,0
0.00035413,0.14247,0
0.00051737,0.14882,0
0.0005182,0.12341,0
0.00044245,0.11797,0
0.00041346,0.098911,0
0.00066756,0.065336,0
0.00064446,0.088022,0
0.00037197,0.10889,0
0.00036535,0.11525,0
0.00020303,0.19147,0
0.00016987,0.20599,0
0.00027651,0.16425,0
9.7487e-05,0.17604,0
0.00014248,0.1833,0
0.00050887,0.16425,0
0.00083794,0.12886,0
0.00081255,0.10799,0
0.00064619,0.12432,0
0.0005172,0.13702,0
0.00040285,0.13339,0
0.00054472,0.13612,0
0.0005546,0.13702,0
0.00052764,0.16334,0
0.00035793,0.17151,0
9.81e-05,0.14882,0
3.3739e-05,0.15789,0
8.421e-05,0.17604,0
8.6258e-05,0.18784,0
7.8802e-05,0.18603,0
0.00015504,0.15426,0
0.00019073,0.14065,0
0.00079638,0.11525,0
0.0010223,0.07441,0
0.00056282,0.097096,0
0.00054813,0.11343,0
0.00061732,0.11071,0
0.00054418,0.13702,0
0.00064215,0.11706,0
0.00060827,0.096189,0
0.0005313,0.12341,0
0.0015169,0.13067,0
0.0026282,0.13612,0
0.002709,0.13249,0
0.0022102,0.11797,0
0.0015136,0.12432,0
0.00091696,0.12341,0
0.00075627,0.12795,0
0.0013286,0.15426,0
0.0019268,0.18421,0
0.0018797,0.20508,0
0.0015453,0.17786,0
0.0022416,0.1225,0
0.0032147,0.080762,0
0.0031256,0.07804,0
0.0025835,0.11797,0
0.0023188,0.13702,0
0.0018882,0.15971,0
0.0013109,0.1824,0
0.0012967,0.16606,0
0.0025173,0.12613,0
0.0043235,0.10254,0
0.0064093,0.11162,0
0.0083151,0.11797,0
0.009307,0.13975,0
0.0095802,0.14247,0
0.0093254,0.13339,0
0.0095473,0.13249,0
0.0098761,0.12613,0
0.0091874,0.11343,0
0.0079536,0.11162,0
0.0069238,0.11615,0
0.0063841,0.10345,0
0.0049129,0.079855,0
0.0031839,0.075318,0
0.0028384,0.085299,0
0.0025896,0.08167,0
0.002669,0.073503,0
0.0032164,0.075318,0
0.0035845,0.096189,0
0.0071573,0.11434,0
0.010819,0.13521,0
0.013148,0.15336,0
0.01539,0.14519,0
0.014984,0.20054,0
0.016342,0.24319,0
0.017215,0.17786,0
0.0132,0.1216,0
0.0097308,0.098004,0
0.0080118,0.065336,0
0.0071162,0.056261,0
0.0092681,0.040835,0
0.0096285,0.024501,0
0.0064565,0.034483,0
0.0039111,0.041742,0
0.063823,0.03539,1
0.091265,0.03176,1
0.094333,0.033575,1
0.10106,0.03539,1
0.14924,0.033575,1
0.16525,0.03176,1
0.13945,0.03539,1
0.13462,0.038113,1
0.15036,0.036298,1
0.16635,0.028131,1
0.1678,0.029946,1
0.16325,0.038113,1
0.14709,0.040835,1
0.13183,0.040835,1
0.12228,0.03902,1
0.1102,0.038113,1
0.10798,0.03902,1
0.11016,0.038113,1
0.10397,0.040835,1
0.10393,0.037205,1
0.11375,0.030853,1
0.12768,0.028131,1
0.13985,0.027223,1
0.13561,0.026316,1
0.11001,0.024501,1
0.081256,0.029038,1
0.073994,0.032668,1
0.072387,0.029946,1
0.071918,0.029946,1
0.068703,0.030853,1
0.070024,0.030853,1
0.080188,0.037205,1
0.08085,0.036298,1
0.078517,0.036298,1
0.077362,0.041742,1
0.072669,0.03902,1
0.071709,0.034483,1
0.07222,0.03176,1
0.07364,0.029946,1
0.074866,0.027223,1
0.074415,0.028131,1
0.076621,0.026316,1
0.08167,0.022686,1
0.081964,0.023593,1
0.07901,0.021779,1
0.077056,0.021779,1
