@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0019268,0.18421,0.0029533,115,0
0.0018797,0.20508,0.0039519,26,0
0.0015453,0.17786,0.003317,51,0
0.0022416,0.1225,0.0022628,15,0
0.0032147,0.080762,0.0032445,30,0
0.0031256,0.07804,0.0045874,141,0
0.0025835,0.11797,0.0038098,64,0
0.0023188,0.13702,0.0021739,45,0
0.0018882,0.15971,0.0028835,131,0
0.0013109,0.1824,0.0016873,45,0
0.0012967,0.16606,0.0017858,61,0
0.0025173,0.12613,0.0032485,136,0
0.0043235,0.10254,0.0061421,128,0
0.0064093,0.11162,0.0070724,61,0
0.0083151,0.11797,0.0090347,72,0
0.009307,0.13975,0.011252,65,0
0.0095802,0.14247,0.0090391,120,0
0.0093254,0.13339,0.010066,38,0
0.0095473,0.13249,0.011834,55,0
0.0098761,0.12613,0.011697,82,0
0.0091874,0.11343,0.0096458,54,0
0.0079536,0.11162,0.011153,54,0
0.0069238,0.11615,0.0087062,57,0
0.0063841,0.10345,0.0073576,100,0
0.0049129,0.079855,0.0049214,110,0
0.0031839,0.075318,0.0035691,40,0
0.0028384,0.085299,0.0031153,52,0
0.0025896,0.08167,0.0037902,51,0
0.002669,0.073503,0.0023911,53,0
0.0032164,0.075318,0.0023237,51,0
0.0035845,0.096189,0.0038138,52,0
0.0071573,0.11434,0.0098314,18,0
0.010819,0.13521,0.013313,72,0
0.013148,0.15336,0.011763,19,0
0.01539,0.14519,0.011418,120,0
0.014984,0.20054,0.014504,121,0
0.016342,0.24319,0.017469,6,0
0.017215,0.17786,0.016936,95,0
0.0132,0.1216,0.010906,20,0
0.0097308,0.098004,0.0075171,60,0
0.0080118,0.065336,0.0046072,40,0
0.0071162,0.056261,0.0036486,43,0
0.0092681,0.040835,0.001432,160,0
0.0096285,0.024501,0.0016372,43,0
0.0064565,0.034483,0.002715,79,0
0.0039111,0.041742,0.0018922,127,0
0.063823,0.03539,0.016982,82,1
0.091265,0.03176,0.031662,111,1
0.094333,0.033575,0.0599,123,1
0.10106,0.03539,0.042487,108,1
0.14924,0.033575,0.045698,88,1
0.16525,0.03176,0.04696,65,1
0.13945,0.03539,0.074808,59,1
0.13462,0.038113,0.10006,53,1
0.15036,0.036298,0.10148,50,1
0.16635,0.028131,0.09507,49,1
0.1678,0.029946,0.09795,49,1
0.16325,0.038113,0.098288,49,1
0.14709,0.040835,0.1046,50,1
0.13183,0.040835,0.099923,52,1
0.12228,0.03902,0.10031,53,1
0.1102,0.038113,0.088292,57,1
0.10798,0.03902,0.091438,60,1
0.11016,0.038113,0.08662,64,1
0.10397,0.040835,0.084362,69,1
0.10393,0.037205,0.076696,72,1
0.11375,0.030853,0.075922,78,1
0.12768,0.028131,0.075422,85,1
0.13985,0.027223,0.07794,88,1
0.13561,0.026316,0.052294,98,1
0.11001,0.024501,0.053752,109,1
0.081256,0.029038,0.043786,122,1
0.073994,0.032668,0.055933,130,1
0.072387,0.029946,0.054729,141,1
0.071918,0.029946,0.062243,142,1
0.068703,0.030853,0.05579,144,1
0.070024,0.030853,0.04831,140,1
0.080188,0.037205,0.02019,52,1
0.08085,0.036298,0.026281,145,1
0.078517,0.036298,0.046424,145,1
0.077362,0.041742,0.04701,141,1
0.072669,0.03902,0.058246,136,1
0.071709,0.034483,0.06324,135,1
0.07222,0.03176,0.068653,134,1
0.07364,0.029946,0.063878,134,1
0.074866,0.027223,0.065644,130,1
0.074415,0.028131,0.078386,127,1
0.076621,0.026316,0.071752,125,1
0.08167,0.022686,0.067544,124,1
0.081964,0.023593,0.077453,121,1
0.07901,0.021779,0.073626,120,1
0.077056,0.021779,0.065817,116,1
0.076607,0.023593,0.074919,119,1
0.085446,0.025408,0.031291,111,1
0.10426,0.036298,0.029873,74,1
0.24231,0.034483,0.047481,43,1
0.40014,0.023593,0.063123,34,1
0.46627,0.022686,0.08934,34,1
0.44948,0.022686,0.063524,34,1
0.47642,0.028131,0.074451,28,1
0.55806,0.03176,0.082692,25,1
0.65128,0.029038,0.081269,103,1
0.69158,0.026316,0.095755,24,1
0.66372,0.024501,0.097106,26,1
0.62079,0.024501,0.13944,28,1
0.57019,0.024501,0.14642,29,1
0.49284,0.023593,0.15196,31,1
0.41235,0.023593,0.12086,34,1
0.37944,0.022686,0.12299,36,1
0.33265,0.021779,0.12606,38,1
0.2672,0.021779,0.11236,39,1
0.23235,0.020871,0.11073,41,1
0.22155,0.024501,0.11341,44,1
0.20188,0.033575,0.12163,46,1
0.19473,0.038113,0.11537,46,1
0.21324,0.030853,0.11503,46,1
0.22513,0.021779,0.11751,46,1
0.22833,0.019964,0.11785,46,1
0.22529,0.019964,0.12242,46,1
0.2171,0.030853,0.12198,47,1
0.20368,0.039927,0.11721,48,1
0.186,0.03902,0.11349,48,1
0.17485,0.044465,0.11411,49,1
0.17067,0.050817,0.11108,49,1
0.17588,0.047187,0.11455,48,1
0.18241,0.040835,0.10628,48,1
0.18715,0.056261,0.089506,48,1
0.19768,0.061706,0.12082,46,1
0.21559,0.047187,0.11948,45,1
0.22753,0.048094,0.11915,44,1
0.22511,0.066243,0.12241,45,1
0.22236,0.060799,0.12178,44,1
0.22055,0.041742,0.1148,43,1
0.22239,0.041742,0.12053,41,1
0.23733,0.043557,0.11556,40,1
0.2565,0.04265,0.12849,40,1
0.2641,0.037205,0.13189,40,1
0.26328,0.038113,0.13199,39,1
0.26842,0.040835,0.13809,38,1
0.28479,0.037205,0.13892,37,1
0.3186,0.036298,0.13016,36,1
0.35197,0.03176,0.12954,35,1
0.37274,0.024501,0.13153,35,1
0.38415,0.022686,0.12114,35,1
0.39603,0.022686,0.12215,35,1
0.40672,0.022686,0.13255,35,1
0.40848,0.022686,0.13119,35,1
0.41343,0.022686,0.1259,36,1
0.42554,0.022686,0.12184,36,1
0.43043,0.021779,0.11715,36,1
0.42344,0.022686,0.1151,37,1
0.4185,0.022686,0.11372,37,1
0.40486,0.021779,0.12204,38,1
0.37485,0.021779,0.12754,39,1
0.38254,0.020871,0.11765,40,1
0.45161,0.020871,0.10642,41,1
0.51421,0.021779,0.098039,41,1
0.54769,0.021779,0.099459,40,1
0.55891,0.021779,0.094266,40,1
0.54686,0.020871,0.088154,41,1
0.51395,0.019964,0.10303,43,1
0.4334,0.019964,0.084648,45,1
0.33093,0.019964,0.060032,48,1
0.22471,0.019056,0.044628,52,1
0.10277,0.019056,0.029659,52,1
0.046807,0.019964,0.015573,52,1
0.015142,0.029038,0.015815,44,1
0.0086361,0.044465,0.012849,48,0
0.0043516,0.066243,0.0048284,51,0
0.0032675,0.080762,0.0066092,36,0
0.0026475,0.085299,0.0027644,44,0
0.0023815,0.075318,0.0043379,37,0
0.0022423,0.083485,0.0033211,76,0
0.0016705,0.10526,0.0020666,12,0
0.0017194,0.10889,0.0039791,35,0
0.0020657,0.10617,0.0029768,52,0
0.0023026,0.098004,0.0024107,31,0
0.0021811,0.094374,0.0026746,94,0
0.0019211,0.097096,0.0027063,71,0
0.0018722,0.11434,0.0024583,12,0
0.0016296,0.12886,0.004354,64,0
0.0012901,0.12886,0.0019947,91,0
0.0010955,0.14247,0.0019351,139,0
0.00087042,0.14428,0.0017887,70,0
0.0014827,0.1216,0.0016775,94,0
0.0016891,0.14247,0.0019541,86,0
0.0013596,0.18149,0.0025947,26,0
0.0013317,0.17332,0.0021533,61,0
0.0015155,0.16969,0.0018649,27,0
0.0016395,0.17786,0.0029043,20,0
