@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.37372,0.3155,0.03176,0.055354,3555.5,3309.6,4.3497,0.78506,516.8,366.06,1
0.37865,0.32043,0.028131,0.058984,3462.3,3216.5,4.2669,0.86795,516.8,366.06,1
0.38991,0.3317,0.025408,0.061706,3495.6,3249.7,4.1788,0.95596,516.8,366.06,1
0.41427,0.35606,0.024501,0.062613,3774.2,3528.3,4.2025,0.93232,516.8,366.06,1
0.43288,0.37466,0.025408,0.061706,3828.2,3582.3,3.9949,1.1399,538.33,387.6,1
0.3861,0.32788,0.023593,0.063521,2966.4,2720.5,4.0479,1.0869,538.33,387.6,1
0.30709,0.24887,0.022686,0.064428,2530.8,2284.9,4.1294,1.0054,538.33,387.6,1
0.2595,0.20128,0.022686,0.064428,1574,1328.1,4.2659,0.86892,538.33,387.6,1
0.20812,0.1499,0.023593,0.063521,1697.4,1451.5,4.3609,0.77391,516.8,366.06,1
0.14244,0.084225,0.036298,0.050817,733.96,488.08,5.014,0.12079,452.2,301.46,1
0.096529,0.038312,0.044465,0.04265,564.64,318.76,5.2233,0,473.73,323,1
0.088153,0.029936,0.037205,0.049909,541.72,295.84,5.1267,0.096556,150.73,0,1
0.093351,0.035134,0.029038,0.058076,607.13,361.25,4.8879,0.33531,323,172.27,1
0.088862,0.030645,0.03176,0.055354,438.41,192.53,4.8316,0.39168,344.53,193.8,1
0.072162,0.013944,0.03539,0.051724,361.03,115.15,4.8061,0.41718,236.87,86.133,0
0.07028,0.012062,0.037205,0.049909,287.23,41.352,4.8271,0.39611,129.2,0,0
0.079306,0.021088,0.03539,0.051724,391.86,145.98,4.5488,0.67446,409.13,279.93,0
0.085097,0.026879,0.028131,0.058984,494.51,248.63,4.4704,0.7529,409.13,279.93,0
0.087327,0.02911,0.019964,0.067151,260.92,15.035,4.8067,0.41655,129.2,0,0
0.11099,0.052777,0.016334,0.07078,598.51,352.63,4.5051,0.71811,323,193.8,0
0.16606,0.10784,0.022686,0.064428,1357.6,1111.7,4.1814,1.0418,516.8,387.6,0
0.25277,0.19455,0.022686,0.064428,2023,1777.1,3.985,1.2382,516.8,387.6,0
0.29402,0.2358,0.023593,0.063521,2760.8,2514.9,4.0556,1.1676,516.8,387.6,0
0.29637,0.23815,0.022686,0.064428,2889.6,2643.8,4.1077,1.1155,538.33,409.13,0
0.33279,0.27457,0.022686,0.064428,3050.3,2804.4,4.067,1.1562,538.33,409.13,0
0.35291,0.29469,0.023593,0.063521,3213,2967.1,4.0665,1.1568,538.33,409.13,0
0.34891,0.2907,0.022686,0.064428,3355.2,3109.3,4.1111,1.1121,516.8,387.6,0
0.3235,0.26528,0.023593,0.063521,3396.6,3150.7,4.1539,1.0694,516.8,387.6,0
0.24768,0.18946,0.027223,0.059891,2200.2,1954.3,4.4357,0.78755,516.8,387.6,0
0.24377,0.18555,0.025408,0.061706,2356.1,2110.2,4.3797,0.84351,495.26,366.06,0
0.25229,0.19407,0.023593,0.063521,2784,2538.1,4.3152,0.90807,495.26,366.06,0
0.22009,0.16187,0.020871,0.066243,1789.4,1543.6,4.4477,0.77551,215.33,86.133,0
0.25142,0.1932,0.023593,0.063521,2281,2035.1,4.2209,1.0023,409.13,279.93,0
0.24207,0.18385,0.034483,0.052632,2343.6,2097.7,4.3532,0.87008,387.6,258.4,0
0.19044,0.13223,0.032668,0.054446,1890.4,1644.5,4.1514,1.0718,495.26,366.06,0
0.16196,0.10374,0.022686,0.064428,1067.5,821.61,4.4716,0.75167,473.73,344.53,0
0.11591,0.057691,0.034483,0.052632,819.77,573.89,4.5391,0.68412,516.8,387.6,0
0.11055,0.052328,0.040835,0.046279,948.91,703.03,4.6188,0.60445,516.8,387.6,0
0.11565,0.057435,0.03176,0.055354,647.31,401.43,4.8599,0.36332,409.13,279.93,0
0.091342,0.033125,0.026316,0.060799,569.05,323.16,4.9818,0.24148,366.06,236.87,1
0.12037,0.062154,0.024501,0.062613,1139.8,893.88,4.881,0.34228,538.33,409.13,1
0.15569,0.097469,0.034483,0.052632,1197.9,951.99,4.8641,0.35915,473.73,344.53,1
0.18298,0.12476,0.043557,0.043557,2007.9,1762,4.851,0.37225,473.73,344.53,1
0.21113,0.15291,0.04265,0.044465,2255.2,2009.4,4.8055,0.41775,473.73,344.53,1
0.23747,0.17926,0.03539,0.051724,2072.8,1826.9,4.782,0.44129,473.73,344.53,1
