@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.2404,2530.9,409.13,0.051724,-4.9173,0.044426,2,5,1.2218,21,1
0.23685,2480.2,409.13,0.055354,-4.8526,0.038463,3,5,1.2194,21,1
0.23823,2490.7,409.13,0.046279,-4.7861,0.037212,2,4,1.2209,20,1
0.23379,2587.8,409.13,0.047187,-4.7636,0.03377,2,5,1.2224,21,1
0.23745,2570.4,409.13,0.052632,-4.8276,0.031901,2,5,1.2795,33,1
0.24627,2447.7,409.13,0.054446,-4.7797,0.033902,2,5,1.2965,36,1
0.25018,2522.3,430.66,0.059891,-4.7232,0.033246,2,5,1.3446,36,1
0.25724,2620.7,430.66,0.058984,-4.7294,0.030551,3,5,1.3787,36,1
0.26529,2605.4,430.66,0.050817,-4.7462,0.028252,3,5,1.3638,36,1
0.2783,2893.7,430.66,0.050817,-4.7614,0.034878,4,5,1.3799,37,1
0.29919,3110.3,430.66,0.054446,-4.7311,0.035541,4,5,1.4055,37,1
0.31931,3218,430.66,0.052632,-4.8345,0.049986,3,5,1.3253,31,1
0.34466,3594.6,452.2,0.046279,-4.823,0.057275,3,5,1.4329,8,1
0.34989,3719.1,452.2,0.046279,-4.9994,0.065708,3,5,1.4424,8,1
0.34953,3414.1,430.66,0.048094,-4.7565,0.043956,3,5,1.4724,8,1
0.35211,3640.6,452.2,0.055354,-4.7139,0.040084,3,5,1.5081,12,1
0.34811,3448.7,452.2,0.058984,-4.7458,0.050462,4,5,1.4708,8,1
0.35961,3497.7,452.2,0.048094,-4.7049,0.053032,3,5,1.5032,8,1
0.37031,3604.3,452.2,0.049002,-4.8218,0.067877,4,5,1.4785,8,1
0.37331,4108.1,452.2,0.045372,-4.9504,0.056222,3,5,1.4691,8,1
0.38674,4371.1,452.2,0.03902,-4.9465,0.034672,1,15,1.4139,8,1
0.38744,4348.4,452.2,0.033575,-4.9761,0.038793,3,15,1.361,8,1
0.3646,5188.9,452.2,0.036298,-5.1833,0.048319,1,15,1.2212,8,1
0.36648,5304.1,452.2,0.041742,-5.0889,0.045159,4,5,1.1443,11,1
0.38631,5517.9,452.2,0.033575,-5.1477,0.041737,3,15,1.0588,8,1
0.40831,5277.1,452.2,0.033575,-5.0122,0.033185,2,14,1.2964,8,1
0.39286,5028.3,452.2,0.041742,-5.036,0.032228,4,5,1.1722,9,1
0.3796,4615.6,452.2,0.03539,-5.1045,0.04889,4,5,1.1365,8,1
0.37536,4721.2,452.2,0.03539,-4.9164,0.039339,4,5,1.349,8,1
0.36145,4162.3,452.2,0.043557,-5.0158,0.037326,4,5,1.2506,8,1
0.37334,4076.6,430.66,0.040835,-4.9966,0.037781,4,5,1.3411,8,1
0.35548,4166.7,452.2,0.036298,-4.9519,0.040479,3,5,1.3269,8,1
0.32918,4217.1,430.66,0.037205,-5.147,0.042847,4,5,1.195,9,1
0.33486,3925.2,430.66,0.03902,-5.0234,0.039627,2,5,1.2297,10,1
0.32731,4186.8,430.66,0.036298,-5.0733,0.028833,3,14,1.233,10,1
0.31358,3806.7,430.66,0.034483,-4.9144,0.018757,2,12,1.223,10,1
0.30749,3492.9,430.66,0.03176,-4.9358,0.045785,2,14,1.2311,13,1
0.29058,3370.6,430.66,0.04265,-4.9831,0.059074,3,14,1.2117,16,1
0.27295,3181.2,409.13,0.048094,-4.9771,0.057554,3,14,1.2446,15,1
0.26898,3239.5,409.13,0.03902,-4.9554,0.034542,2,14,1.1994,14,1
0.27392,3236.7,775.2,0.041742,-5.083,0.040228,3,14,1.2031,14,1
0.2789,3487.4,753.66,0.045372,-5.2378,0.055027,1,13,1.1772,13,1
0.29536,3194.4,732.13,0.037205,-5.0048,0.043344,1,15,1.2347,12,1
0.31783,3044.3,689.06,0.03539,-4.8536,0.038459,1,14,1.5288,12,1
0.33023,3122.1,667.53,0.039927,-4.7882,0.044697,2,14,1.5209,11,1
0.29617,3032.8,646,0.04265,-4.7567,0.030967,1,14,1.4693,11,0
0.23276,2169.5,624.46,0.03539,-4.8043,0.055894,1,15,1.4211,11,0
0.20608,1823.3,646,0.030853,-4.8332,0.050632,2,15,1.4028,11,0
0.19542,2073.8,667.53,0.029946,-4.8124,0.052285,1,15,1.2966,11,0
0.15537,1213.2,689.06,0.034483,-4.9354,0.042897,1,15,0.96908,12,0
0.13073,1273.1,366.06,0.039927,-4.9976,0.03435,1,14,0.58474,12,0
0.14685,1400.7,667.53,0.036298,-4.8415,0.028867,1,15,0.62975,15,0
0.15482,1417.3,624.46,0.033575,-4.8763,0.040952,1,14,0.6216,12,0
0.14088,1256.4,409.13,0.03176,-4.7083,0.028914,1,14,0.75018,13,0
0.16474,1434.9,602.93,0.029946,-4.6938,0.021762,1,14,0.40236,11,0
0.19186,1836.9,667.53,0.029038,-4.4213,0.022756,1,15,1.2331,11,0
0.15301,1546.2,516.8,0.025408,-4.5861,0.0094915,0,0,0.81845,12,0
0.15286,1427.4,430.66,0.023593,-4.4732,0.0053594,0,0,0.58399,11,0
0.17447,1413.6,495.26,0.022686,-4.4214,0.011482,1,21,0.85862,9,0
0.16692,1211.5,452.2,0.019964,-4.2929,0.0044159,0,0,1.2239,8,0
0.16396,1020.3,452.2,0.019056,-4.2026,0.0096501,0,0,1.4097,8,0
0.12204,578.7,452.2,0.020871,-4.183,0.0047797,0,0,1.3945,8,0
0.058363,-23.398,430.66,0.025408,-5.2647,0.005374,0,0,0.85331,8,0
0.035073,3.7901,387.6,0.029946,-5.2145,0.0063098,0,0,1.0178,9,0
0.029772,0.47625,409.13,0.03902,-5.1154,0.0011649,0,0,0.93874,9,0
0.021431,-62.302,387.6,0.046279,-5.4143,0.00026316,0,0,0.75363,10,0
0.017423,-109.3,430.66,0.053539,-5.7007,0.0057817,0,0,0.37139,23,0
0.0216,-60.603,430.66,0.052632,-5.4367,0.0061947,0,0,0.77626,19,0
0.024114,-66.565,430.66,0.046279,-5.4522,0.0094812,0,0,0.83954,8,0
0.023217,-44.98,430.66,0.040835,-5.2726,0.0010261,0,0,1.0134,11,0
0.023655,-56.175,430.66,0.03539,-5.4248,0.0097794,0,0,0.57136,11,0
0.020949,-72.662,150.73,0.03902,-5.4648,0.0042437,0,0,0.50882,18,0
0.019126,-77.808,409.13,0.044465,-5.5313,0.0037742,0,0,0.45391,21,0
0.017719,-93.665,409.13,0.064428,-5.6065,0.0033187,0,0,0.58209,19,0
0.018382,-77.901,387.6,0.060799,-5.499,0.00087525,0,0,0.49949,16,0
0.019406,-80.592,409.13,0.047187,-5.471,0.00099374,0,0,0.4234,15,0
0.016382,-89.296,581.4,0.052632,-5.5337,0.0016764,0,0,0.41255,14,0
0.015322,-106.33,387.6,0.057169,-5.6865,0.0087737,0,0,0.31153,29,0
0.01651,-113.26,236.87,0.053539,-5.7443,0.0013434,0,0,0.23687,34,0
0.020382,-93.096,387.6,0.041742,-5.6273,0.0055066,0,0,0.57415,19,0
0.022596,-79.552,409.13,0.043557,-5.5362,0.0038901,0,0,0.73534,15,0
0.022394,-79.87,215.33,0.049909,-5.579,0.0047117,0,0,0.4615,24,0
0.024372,-95.866,236.87,0.061706,-5.722,0.0058506,0,0,0.45815,21,0
0.027804,-49.397,409.13,0.060799,-5.6459,0.0071351,0,0,0.6635,23,0
0.030795,-67.795,236.87,0.051724,-5.6625,0.0045893,0,0,0.77858,21,0
0.032912,-2.8338,775.2,0.053539,-5.4844,0.007559,0,0,0.95343,14,0
0.033463,-25.085,796.73,0.051724,-5.5478,0.0024738,0,0,0.8483,17,0
0.029139,-48.634,430.66,0.066243,-5.6225,0.004632,0,0,0.66681,17,0
0.023216,-105.03,775.2,0.068966,-5.7848,0.0040929,0,0,0.48131,22,0
0.022067,-79.227,775.2,0.061706,-5.6604,0.0057044,0,0,0.53697,24,0
0.022332,-113.16,409.13,0.072595,-5.8302,0.0098663,0,0,0.32022,37,0
0.026769,-54.779,775.2,0.064428,-5.6036,0.0046613,0,0,0.70019,22,0
0.031404,-7.3511,430.66,0.050817,-5.556,0.0050388,0,0,0.54028,19,0
0.033493,15.122,409.13,0.049909,-5.4684,0.0018933,0,0,0.82596,15,0
0.034372,-25.735,775.2,0.046279,-5.4955,0.0011158,0,0,0.72408,13,0
0.03526,33.437,775.2,0.047187,-5.433,0.0062201,0,0,0.60928,14,0
0.035691,5.8577,538.33,0.048094,-5.4809,0.0024727,0,0,0.4967,13,0
0.038962,23.887,215.33,0.050817,-5.4561,0.0017863,0,0,0.50504,17,0
0.042562,132.04,409.13,0.049002,-5.3367,0.0039972,0,0,0.82569,13,0
0.041578,65.774,215.33,0.043557,-5.4362,0.0098705,0,0,0.72765,16,0
0.041083,45.107,796.73,0.04265,-5.3357,0.0083229,0,0,0.78301,14,0
0.04137,54.762,796.73,0.03539,-5.2755,0.0014548,0,0,0.84034,14,0
0.040968,82.187,818.26,0.034483,-5.3498,0.0035328,0,0,0.77241,14,0
0.0423,91.677,387.6,0.04265,-5.3132,0.003662,0,0,0.69329,14,0
0.041789,84.989,818.26,0.046279,-5.1702,0.0049088,0,0,0.81937,15,0
0.043272,97.63,818.26,0.047187,-5.21,0.008704,0,0,0.80693,15,0
0.042187,107.46,236.87,0.049909,-5.3962,0.0062355,0,0,0.38534,24,0
0.038294,130.79,430.66,0.046279,-5.3023,0.0012267,0,0,0.35804,22,0
0.037897,31.668,818.26,0.043557,-5.3507,0.0050247,0,0,0.37807,22,0
0.03627,82.147,409.13,0.047187,-5.298,0.0040351,0,0,0.31751,25,0
0.043055,82.614,861.33,0.037205,-5.2022,0.0053152,0,0,0.45469,20,0
0.054667,215.56,409.13,0.028131,-5.0076,0.0019388,0,0,0.66422,10,0
0.057404,252.25,473.73,0.028131,-4.9164,0.00053688,0,0,0.64475,8,0
0.070513,393.81,516.8,0.024501,-4.8116,0.0016361,0,0,0.4668,9,0
0.097547,769.62,516.8,0.024501,-4.5482,0.00080972,0,0,0.74092,10,0
0.11701,827.43,516.8,0.024501,-4.4857,0,0,0,0.79899,10,0
0.099849,697.62,516.8,0.029946,-4.7168,0.0010866,0,0,0.59385,11,0
0.063629,249.68,193.8,0.039927,-5.0234,0.00092783,0,0,0.35718,17,0
0.056209,185.55,495.26,0.039927,-5.0836,0.00044039,0,0,0.57795,12,0
0.048031,181.17,516.8,0.040835,-5.1205,0.00048131,0,0,0.58915,15,0
0.046032,157.5,344.53,0.04265,-5.5152,0.019134,1,12,0.34536,19,0
0.048523,116.6,409.13,0.039927,-5.2747,0.0022495,0,0,0.44343,14,0
0.039469,93.877,538.33,0.043557,-5.3561,0.0049448,0,0,0.41637,16,0
0.034693,24.716,473.73,0.048094,-5.4052,0.0027316,0,0,0.48339,21,0
0.043653,143.21,452.2,0.038113,-5.1555,0.0054396,0,0,0.62152,11,0
0.055962,141.39,473.73,0.036298,-5.2868,0.0050634,0,0,0.59588,9,0
0.058356,243.74,452.2,0.034483,-5.387,0.023219,1,23,0.96507,8,0
0.05032,150.65,473.73,0.028131,-5.3104,0.0036402,0,0,0.75192,8,0
0.040455,36.624,473.73,0.043557,-5.4322,0.0070919,0,0,0.4292,13,0
0.041618,66.984,473.73,0.043557,-5.3511,0.001647,0,0,0.5611,13,0
0.044988,141.35,689.06,0.036298,-5.2566,0.0012871,0,0,0.52532,14,0
0.045356,178.59,473.73,0.046279,-5.2487,0.00097471,0,0,0.49183,15,0
0.047421,74.55,258.4,0.045372,-5.3874,0.0021895,0,0,0.37348,18,0
0.05138,219.66,452.2,0.045372,-5.3045,0.011542,1,22,0.52232,22,0
0.055246,261.12,452.2,0.053539,-5.297,0.003895,0,0,0.75016,16,0
0.047426,173.62,1055.1,0.061706,-5.2956,0.0011384,0,0,0.58228,20,0
0.045388,33.525,1033.6,0.059891,-5.5312,0.0069737,0,0,0.75593,21,0
0.053523,177.22,430.66,0.048094,-5.4888,0.008671,0,0,0.55038,16,0
0.054014,199.3,430.66,0.044465,-5.3271,0.005572,0,0,0.84718,12,0
0.045235,42.401,409.13,0.053539,-5.5014,0.0091378,0,0,0.44833,19,0
0.037877,41.526,710.6,0.053539,-5.4997,0.015109,1,9,0.47611,13,0
0.035894,16.59,215.33,0.058076,-5.5118,0.013065,1,9,0.5737,24,0
0.032112,-30.625,387.6,0.065336,-5.585,0.0040349,0,0,0.61427,27,0
0.028259,-72.971,538.33,0.07078,-5.7167,0.007339,0,0,0.44344,28,0
