@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE entropy 	REAL
@ATTRIBUTE domfreq 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.18041,0.22735,0.0097561,1
0.18715,0.24139,0.019512,1
0.19763,0.23591,0.029268,1
0.18691,0.17159,1.2195,1
0.1609,0.14951,0.019512,1
0.17582,0.1921,0.0097561,1
0.23304,0.23559,0.029268,1
0.24704,0.28593,0.019512,1
0.22463,0.29278,0.0097561,1
0.23461,0.31501,0.019512,1
0.24499,0.26504,1.2683,1
0.22051,0.26346,1.239,1
0.1914,0.21921,0.0097561,1
0.21041,0.25698,0.019512,1
0.24226,0.26333,1.2488,1
0.27265,0.38585,0.019512,1
0.26831,0.37677,1.2683,1
0.24954,0.26724,1.2683,1
0.2724,0.3881,1.2976,1
0.2855,0.41295,1.3073,1
0.27812,0.39886,1.3073,1
0.29093,0.44589,1.2878,1
0.31443,0.39544,1.278,1
0.30103,0.49756,1.3073,1
0.26677,0.38026,0.0097561,1
0.29325,0.44439,1.2878,1
0.31635,0.40632,1.278,1
0.27656,0.39941,1.2878,1
0.24954,0.38795,1.3073,1
0.24474,0.31959,0.029268,1
0.2737,0.36937,0.019512,1
0.28529,0.48606,0.0097561,1
0.23715,0.31544,0.019512,1
0.21978,0.28221,0.89756,1
0.23796,0.43507,0.0097561,1
0.26789,0.39153,1.2976,1
0.28801,0.3845,1.2976,1
0.28131,0.355,1.3073,1
0.24929,0.36408,1.3073,1
0.23402,0.33134,0.0097561,1
0.23396,0.34625,0.029268,1
0.21597,0.28951,1.3268,1
0.21385,0.30212,0.0097561,1
0.23476,0.34907,1.3268,1
0.2458,0.31392,0.029268,1
0.21818,0.33546,0.029268,1
0.2114,0.29589,1.3463,1
0.21789,0.31562,1.3366,1
0.19907,0.23292,0.029268,1
0.20214,0.27289,0.019512,1
0.22512,0.37149,0.0097561,1
0.2475,0.33173,2.3024,1
0.26985,0.39174,0.029268,1
0.35413,0.56993,1.1902,1
0.41483,0.58008,1.2195,1
0.39114,0.55906,1.239,1
0.34813,0.49873,1.2488,1
0.31511,0.4862,1.2098,1
0.31263,0.39646,1.1902,1
0.30958,0.39007,1.2,1
0.31178,0.47595,0.029268,1
0.30715,0.42274,1.0049,1
0.23766,0.32667,0.99512,1
0.17522,0.13442,0.029268,1
0.16855,0.14411,0.019512,1
