@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
4168.2,4.0459,1
5155.9,4.2773,1
7591.3,4.3571,1
7332.8,4.0566,1
6606,4.0607,1
5751.1,3.6061,1
4977.5,3.6456,1
4527,3.8054,1
3660.8,3.9457,1
2968.3,3.9594,1
2645.2,3.8707,1
2105.8,3.9154,1
1675.1,3.9882,1
1888.7,4.0715,1
1718.3,4.0796,1
1582,4.0084,1
1756.2,3.8685,1
1922.3,3.8023,1
1943.8,3.8147,1
1910,3.7969,1
1825.5,3.8546,1
1705.2,3.864,1
1544.6,3.9169,1
1432.1,3.9625,1
1377,4.0172,1
1462,3.8932,1
1422.7,3.9345,1
1871.7,4.4543,1
1831.6,4.1552,1
1960,3.9815,1
2087.9,3.8902,1
2103.2,3.9398,1
2054.5,4.0526,1
1988.2,4.1913,1
1987.2,4.0902,1
2101.1,4.0524,1
2330.5,3.9457,1
2403.5,3.9674,1
2366.1,4.0902,1
2458.7,4.0526,1
2557.6,4.042,1
2814.8,3.8393,1
3124.8,3.7409,1
3204.5,3.6095,1
3207.8,3.6284,1
3307.7,3.5427,1
3351.8,3.5841,1
3370.2,3.5865,1
3453.6,3.5727,1
3554.6,3.4922,1
3507.9,3.43,1
3379.1,3.417,1
3330.5,3.2986,1
3262.1,3.3895,1
2981.9,3.5429,1
2909.2,3.4838,1
3529.8,3.3648,1
4153.6,3.1399,1
4432.2,3.1448,1
4665.1,3.2275,1
4297.6,3.1811,1
4036.4,3.0872,1
3231.5,3.1587,1
2110.6,3.0293,1
1271.5,3.1874,1
468.85,3.5469,1
0,4.3118,1
9.6218,4.2153,1
21.408,4.3215,0
32.87,5.0057,0
35.01,4.9093,0
38.981,5.315,0
37.336,5.0981,0
40.884,5.2784,0
40.335,5.432,0
41.025,5.2596,0
43.782,5.2768,0
45.625,5.2671,0
45.992,5.36,0
43.575,5.3385,0
43.776,5.4426,0
44.22,5.3866,0
41.013,5.4316,0
37.229,5.516,0
38.648,5.6026,0
48.971,5.7246,0
49.866,5.6746,0
54.732,5.7092,0
54.015,5.7247,0
53.287,5.6946,0
56.207,5.7106,0
64.719,5.6902,0
61.955,5.7018,0
57.196,5.5488,0
47.726,5.0158,0
39.396,5.0244,0
49.204,5.2754,0
44.291,5.0539,0
26.454,4.8283,0
56.814,5.5357,0
35.413,5.1599,0
64.916,5.27,0
41.587,5.0589,0
21.256,5.027,0
6.6526,5.0321,0
37.858,4.8528,0
109.06,4.8069,0
99.887,4.7998,0
127.61,4.7323,0
94.392,4.8143,0
84.385,4.8491,0
74.199,4.8999,0
82.955,4.9538,0
17.783,5.0795,0
0,5.1647,0
9.4136,5.1305,0
12.958,5.1724,0
0,5.1307,0
4.3025,5.0876,0
73.494,5.0308,1
577.79,4.9725,1
2363.8,4.8317,1
3540.4,4.3348,1
3554.1,4.3635,1
2875.4,4.3846,1
4384.6,4.2538,1
4886.6,4.3489,1
3232.9,4.2313,1
3140.8,4.3396,1
2530.1,4.648,1
1773.2,4.7948,1
1515.6,4.7269,1
662.06,4.8445,1
210.73,4.9734,1
18.825,4.9743,1
44.015,4.9011,1
44.943,4.9116,0
42,4.9683,0
39.034,5.0445,0
41.184,5.3794,0
32.657,5.2361,0
35.544,5.2429,0
27.264,5.2277,0
26.835,5.2699,0
58.9,5.14,0
