@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4,6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
407.26,516.8,1
405.78,516.8,1
449.85,516.8,1
495.36,516.8,1
453.54,538.33,1
442.81,538.33,1
404.24,538.33,1
579.43,559.86,1
983.29,646,1
2177.9,495.26,1
3930.4,538.33,1
3926.2,538.33,1
3246.5,516.8,1
4168.2,538.33,1
5155.9,581.4,1
7591.3,581.4,1
7332.8,581.4,1
6606,581.4,1
5751.1,559.86,1
4977.5,559.86,1
4527,538.33,1
3660.8,538.33,1
2968.3,516.8,1
2645.2,516.8,1
2105.8,495.26,1
1675.1,495.26,1
1888.7,473.73,1
1718.3,473.73,1
1582,473.73,1
1756.2,473.73,1
1922.3,473.73,1
1943.8,473.73,1
1910,473.73,1
1825.5,473.73,1
1705.2,452.2,1
1544.6,452.2,1
1432.1,452.2,1
1377,452.2,1
1462,452.2,1
1422.7,452.2,1
1871.7,452.2,1
1831.6,473.73,1
1960,473.73,1
2087.9,473.73,1
2103.2,473.73,1
2054.5,473.73,1
1988.2,473.73,1
1987.2,495.26,1
2101.1,495.26,1
2330.5,495.26,1
2403.5,495.26,1
2366.1,495.26,1
2458.7,495.26,1
2557.6,516.8,1
2814.8,516.8,1
3124.8,516.8,1
3204.5,516.8,1
3207.8,516.8,1
3307.7,516.8,1
3351.8,516.8,1
3370.2,516.8,1
3453.6,516.8,1
3554.6,516.8,1
3507.9,516.8,1
3379.1,516.8,1
3330.5,516.8,1
3262.1,495.26,1
2981.9,495.26,1
2909.2,495.26,1
3529.8,495.26,1
4153.6,495.26,1
4432.2,495.26,1
4665.1,495.26,1
4297.6,495.26,1
4036.4,473.73,1
3231.5,473.73,1
2110.6,452.2,1
1271.5,430.66,1
468.85,430.66,1
0,409.13,1
9.6218,495.26,1
21.408,452.2,0
32.87,430.66,0
35.01,473.73,0
38.981,495.26,0
37.336,430.66,0
40.884,452.2,0
40.335,2110.3,0
41.025,2045.7,0
43.782,2196.4,0
45.625,581.4,0
45.992,2088.7,0
43.575,2131.8,0
43.776,2174.9,0
44.22,2217.9,0
41.013,2239.5,0
37.229,2110.3,0
38.648,710.6,0
48.971,107.67,0
49.866,21.533,0
54.732,150.73,0
54.015,1141.3,0
53.287,21.533,0
56.207,64.6,0
64.719,21.533,0
61.955,344.53,0
57.196,21.533,0
47.726,775.2,0
39.396,796.73,0
49.204,775.2,0
44.291,753.66,0
26.454,753.66,0
56.814,796.73,0
35.413,775.2,0
64.916,775.2,0
41.587,775.2,0
21.256,775.2,0
6.6526,732.13,0
37.858,796.73,0
109.06,796.73,0
99.887,775.2,0
127.61,796.73,0
94.392,689.06,0
84.385,689.06,0
74.199,818.26,0
82.955,775.2,0
17.783,2045.7,0
0,818.26,0
9.4136,775.2,0
12.958,775.2,0
0,2067.2,0
4.3025,2153.3,0
73.494,818.26,1
577.79,2217.9,1
2363.8,495.26,1
3540.4,516.8,1
3554.1,559.86,1
2875.4,516.8,1
4384.6,646,1
4886.6,559.86,1
3232.9,538.33,1
3140.8,516.8,1
2530.1,516.8,1
1773.2,473.73,1
1515.6,775.2,1
662.06,732.13,1
210.73,2153.3,1
18.825,516.8,1
44.015,538.33,1
44.943,2261,0
42,516.8,0
39.034,775.2,0
41.184,839.79,0
32.657,516.8,0
35.544,366.06,0
27.264,129.2,0
26.835,366.06,0
58.9,2261,0
48.125,775.2,0
24.974,753.66,0
3.9741,753.66,0
3.0188,753.66,0
0,732.13,0
11.973,753.66,0
22.566,796.73,0
17.889,732.13,0
28.833,732.13,0
26.226,775.2,0
13.193,753.66,0
9.1025,732.13,0
0,732.13,0
1.0661,732.13,0
3.4849,710.6,0
2.2107,796.73,0
17.883,732.13,0
23.424,753.66,0
19.357,796.73,0
29.832,796.73,0
55.208,775.2,0
29.491,775.2,0
54.068,775.2,0
56.39,2088.7,0
66.644,775.2,0
55.564,430.66,0
51.718,107.67,0
48.738,172.27,0
46.791,279.93,0
53.475,258.4,0
63.111,775.2,0
71.166,2131.8,0
43.268,409.13,0
32.401,107.67,0
29.586,236.87,0
29.097,21.533,0
27.765,301.46,0
34.045,236.87,0
43.262,172.27,0
42.333,430.66,0
43.021,279.93,0
71.943,2174.9,0
66.41,1421.2,0
52.744,753.66,0
69.209,753.66,0
54.077,732.13,0
57.116,710.6,0
64.642,732.13,0
68.186,710.6,0
60.05,732.13,0
66.102,236.87,0
65.334,1507.3,0
65.81,1571.9,0
66.251,796.73,0
65.263,473.73,0
60.024,452.2,0
72.219,1184.3,0
64.028,559.86,0
58.588,775.2,0
55.193,215.33,0
59.96,430.66,0
56.52,215.33,0
54.995,2002.6,0
56.601,516.8,0
57.71,301.46,0
53.994,21.533,0
56.941,559.86,0
55.939,279.93,0
55.796,258.4,0
53.11,21.533,0
54.567,516.8,0
55.96,516.8,0
53.567,21.533,0
49.152,1399.7,0
51.045,86.133,0
49.8,21.533,0
56.564,21.533,0
64.167,1033.6,0
74.626,1184.3,0
62.535,1851.9,0
61.137,107.67,0
56.171,193.8,0
54.94,21.533,0
63.74,344.53,0
63.174,732.13,0
57.927,2261,0
62.085,2174.9,0
66.316,2239.5,0
63.812,2325.6,0
63.908,2261,0
81.285,1959.5,0
73.804,1959.5,0
72.874,2153.3,0
67.784,2368.7,0
69.808,1959.5,0
63.06,1938,0
54.983,2153.3,0
51.433,1765.7,0
46.677,1808.8,0
51.949,1830.3,0
50.012,516.8,0
48.675,495.26,0
51.123,516.8,0
42.377,215.33,0
45.578,473.73,0
44.102,344.53,0
41.534,387.6,0
40.404,473.73,0
39.251,301.46,0
34.606,21.533,0
36.274,301.46,0
55.332,301.46,0
20.994,667.53,1
35.204,646,1
78.707,667.53,1
165.5,689.06,1
244.72,689.06,1
488.35,710.6,1
468.65,689.06,1
318.02,430.66,1
174.21,452.2,1
245.62,473.73,1
391.92,495.26,1
644.15,516.8,1
547.55,538.33,1
123.26,516.8,1
79.473,516.8,1
63.663,2196.4,1
94.744,2454.8,1
68.119,2476.3,1
89.458,2368.7,1
69.848,2390.2,1
94.231,2390.2,1
93.783,2196.4,1
87.832,2497.9,1
69.883,2433.3,0
49.117,21.533,0
31.98,21.533,0
28.947,172.27,0
35.839,452.2,0
26.613,495.26,0
41.825,21.533,0
44.999,21.533,0
34.696,129.2,0
31.443,129.2,0
48.868,64.6,0
47.338,86.133,0
42.577,129.2,0
33.747,21.533,0
29.381,43.066,0
34.926,107.67,0
33.54,236.87,0
27.073,258.4,0
0,710.6,0
0.45863,925.93,0
6.3191,1916.5,0
22.427,882.86,0
24.243,882.86,1
0,538.33,1
1161.8,495.26,1
1669.8,452.2,1
1406.8,430.66,1
1598.3,430.66,1
1842.1,452.2,1
1950.7,452.2,1
2226.7,452.2,1
2374.1,473.73,1
2356.4,452.2,1
2599.7,452.2,1
2746.4,473.73,1
2885.8,473.73,1
3029.3,473.73,1
3729.5,473.73,1
3421,495.26,1
3512.6,495.26,1
3401.3,473.73,1
3055.4,473.73,1
2941.8,473.73,1
2856,473.73,1
2993.9,473.73,1
2809.7,473.73,1
2895.9,495.26,1
2921.7,495.26,1
3195.5,495.26,1
3245.2,495.26,1
3263.2,495.26,1
3208.1,516.8,1
3209.3,516.8,1
3283.7,516.8,1
3416.8,516.8,1
3494.6,516.8,1
3595.2,516.8,1
3678.6,516.8,1
3759.5,516.8,1
3771.8,516.8,1
3837.2,516.8,1
3926.3,516.8,1
3925.7,516.8,1
3954.1,516.8,1
3807,516.8,1
3530,516.8,1
3354.9,516.8,1
3355.3,516.8,1
3542.3,516.8,1
3856.3,538.33,1
3258.7,538.33,1
2710.8,538.33,1
1808.1,538.33,1
1566.6,516.8,1
500.75,473.73,1
85.431,430.66,1
7.5169,2067.2,1
9.7042,516.8,1
13.657,538.33,1
0,516.8,0
10.603,538.33,0
11.41,495.26,0
14.938,258.4,0
16.106,129.2,0
22.965,86.133,0
29.404,301.46,0
36.511,1959.5,0
23.767,1981.1,0
0.46539,1851.9,0
36.161,1959.5,0
36.203,2024.1,0
53.207,193.8,0
53.944,2067.2,0
37.475,2002.6,0
47.488,215.33,0
48.389,236.87,0
32.914,172.27,0
23.124,409.13,0
9.8566,258.4,0
0,323,0
0,21.533,0
0.11197,64.6,0
22.578,258.4,0
43.835,516.8,0
44.711,538.33,1
844.94,516.8,1
1194.1,495.26,1
1654,473.73,1
1871,473.73,1
1941.4,473.73,1
2083.6,473.73,1
2266.9,495.26,1
2243.4,495.26,1
2307.4,495.26,1
2296.6,495.26,1
2306.2,495.26,1
2309.2,495.26,1
2329.7,495.26,1
2410.2,495.26,1
2364.5,495.26,1
2298.9,473.73,1
2312.6,495.26,1
2269,495.26,1
2287,473.73,1
2218.3,473.73,1
2274.8,473.73,1
2249.1,473.73,1
2109.3,452.2,1
2059,452.2,1
1960.1,452.2,1
1791.3,452.2,1
1747,452.2,1
1784.5,452.2,1
1782.4,452.2,1
1799.2,452.2,1
1843.9,452.2,1
1915.4,452.2,1
1998.7,452.2,1
1999.7,452.2,1
1993.6,452.2,1
2022.5,473.73,1
2032.3,473.73,1
2077.4,473.73,1
2146,473.73,1
2147,473.73,1
2194.9,473.73,1
2169.7,473.73,1
2136.9,452.2,1
1885.7,452.2,1
1695.8,452.2,1
1726.8,452.2,1
1831.4,452.2,1
1760.3,452.2,1
1709.1,452.2,1
1683.5,452.2,1
1683.2,452.2,1
1673,452.2,1
1723.2,452.2,1
1786.7,452.2,1
1793.6,452.2,1
1786.1,452.2,1
1882.2,452.2,1
1868.8,452.2,1
2011.4,452.2,1
2211.4,473.73,1
2360.8,473.73,1
2553,473.73,1
2564.8,473.73,1
2505.9,473.73,1
2469.1,473.73,1
2438.2,473.73,1
2550.9,495.26,1
2667.4,495.26,1
2793.9,495.26,1
2849.5,495.26,1
2777,495.26,1
2779,495.26,1
2778.3,495.26,1
2877.6,495.26,1
2833.4,495.26,1
2791.8,495.26,1
2724.2,473.73,1
2538.8,473.73,1
2486.7,473.73,1
2483.3,473.73,1
2549.3,473.73,1
2570.4,473.73,1
2307.2,473.73,1
2315.4,452.2,1
2156,452.2,1
1999.2,452.2,1
2014.3,430.66,1
1825.1,430.66,1
1858.4,796.73,1
1997.3,753.66,1
2107.6,732.13,1
1893.5,710.6,1
1155.1,689.06,1
1011.5,689.06,1
981.07,732.13,1
621.86,387.6,1
779.37,732.13,1
983.06,732.13,1
927.44,689.06,1
546.08,430.66,1
1116.6,710.6,1
946.34,710.6,1
680.78,452.2,1
896.49,538.33,1
713.94,495.26,1
601.08,495.26,1
263.82,495.26,1
0,473.73,1
0,409.13,1
10.875,430.66,1
35.479,430.66,1
55.273,452.2,1
40.288,452.2,1
24.633,473.73,0
21.045,473.73,0
31.315,473.73,0
41.65,473.73,0
44.461,2239.5,0
38.27,473.73,0
37.358,473.73,0
34.678,2002.6,0
30.138,2304.1,0
32.002,2304.1,0
28.566,2325.6,0
28.574,215.33,0
