@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
66.644,753.66,0
55.564,409.13,0
51.718,86.133,0
48.738,150.73,0
46.791,258.4,0
53.475,236.87,0
63.111,753.66,0
71.166,2110.3,0
43.268,387.6,0
32.401,86.133,0
29.586,215.33,0
29.097,0,0
27.765,279.93,0
34.045,215.33,0
43.262,150.73,0
42.333,409.13,0
43.021,258.4,0
71.943,2153.3,0
66.41,1399.7,0
52.744,732.13,0
69.209,732.13,0
54.077,710.6,0
57.116,689.06,0
64.642,710.6,0
68.186,689.06,0
60.05,710.6,0
66.102,215.33,0
65.334,1485.8,0
65.81,1550.4,0
66.251,775.2,0
65.263,452.2,0
60.024,430.66,0
72.219,1162.8,0
64.028,538.33,0
58.588,753.66,0
55.193,193.8,0
59.96,409.13,0
56.52,193.8,0
54.995,1981.1,0
56.601,495.26,0
57.71,279.93,0
53.994,0,0
56.941,538.33,0
55.939,258.4,0
55.796,236.87,0
53.11,0,0
54.567,495.26,0
55.96,495.26,0
53.567,0,0
49.152,1378.1,0
51.045,64.6,0
49.8,0,0
56.564,0,0
64.167,1012.1,0
74.626,1162.8,0
62.535,1830.3,0
61.137,86.133,0
56.171,172.27,0
54.94,0,0
63.74,323,0
63.174,710.6,0
57.927,2239.5,0
62.085,2153.3,0
66.316,2217.9,0
63.812,2304.1,0
63.908,2239.5,0
81.285,1938,0
73.804,1938,0
72.874,2131.8,0
67.784,2347.1,0
69.808,1938,0
63.06,1916.5,0
54.983,2131.8,0
51.433,1744.2,0
46.677,1787.3,0
51.949,1808.8,0
50.012,495.26,0
48.675,473.73,0
51.123,495.26,0
42.377,193.8,0
45.578,452.2,0
44.102,323,0
41.534,366.06,0
40.404,452.2,0
39.251,279.93,0
34.606,0,0
36.274,279.93,0
55.332,279.93,0
20.994,646,1
35.204,624.46,1
78.707,646,1
165.5,667.53,1
244.72,667.53,1
488.35,689.06,1
468.65,667.53,1
318.02,409.13,1
174.21,430.66,1
245.62,452.2,1
391.92,473.73,1
644.15,495.26,1
547.55,516.8,1
123.26,495.26,1
79.473,495.26,1
63.663,2174.9,1
94.744,2433.3,1
68.119,2454.8,1
89.458,2347.1,1
69.848,2368.7,1
94.231,2368.7,1
93.783,2174.9,1
87.832,2476.3,1
69.883,2411.7,0
49.117,0,0
31.98,0,0
28.947,150.73,0
35.839,430.66,0
26.613,473.73,0
41.825,0,0
44.999,0,0
34.696,107.67,0
31.443,107.67,0
48.868,43.066,0
47.338,64.6,0
42.577,107.67,0
33.747,0,0
29.381,21.533,0
34.926,86.133,0
33.54,215.33,0
27.073,236.87,0
0,0,0
0.45863,215.33,0
6.3191,1205.9,0
22.427,172.27,0
24.243,172.27,1
0,0,1
1161.8,0,1
1669.8,0,1
1406.8,0,1
1598.3,0,1
1842.1,21.533,1
1950.7,21.533,1
2226.7,21.533,1
2374.1,43.066,1
2356.4,21.533,1
2599.7,21.533,1
2746.4,43.066,1
2885.8,43.066,1
3029.3,43.066,1
3729.5,43.066,1
3421,64.6,1
3512.6,64.6,1
3401.3,43.066,1
3055.4,43.066,1
2941.8,43.066,1
2856,43.066,1
2993.9,43.066,1
2809.7,43.066,1
2895.9,64.6,1
2921.7,64.6,1
3195.5,64.6,1
3245.2,64.6,1
3263.2,64.6,1
3208.1,86.133,1
3209.3,86.133,1
3283.7,86.133,1
3416.8,86.133,1
3494.6,86.133,1
3595.2,86.133,1
3678.6,86.133,1
3759.5,86.133,1
3771.8,86.133,1
3837.2,86.133,1
3926.3,86.133,1
3925.7,86.133,1
3954.1,86.133,1
3807,86.133,1
3530,86.133,1
3354.9,86.133,1
3355.3,86.133,1
3542.3,86.133,1
3856.3,107.67,1
3258.7,107.67,1
2710.8,107.67,1
1808.1,107.67,1
1566.6,86.133,1
500.75,43.066,1
85.431,0,1
7.5169,1636.5,1
9.7042,86.133,1
13.657,107.67,1
0,86.133,0
10.603,107.67,0
11.41,64.6,0
14.938,0,0
16.106,0,0
22.965,0,0
29.404,215.33,0
36.511,1873.4,0
23.767,1894.9,0
0.46539,1765.7,0
36.161,1873.4,0
36.203,1938,0
53.207,107.67,0
53.944,1981.1,0
37.475,1916.5,0
47.488,129.2,0
48.389,150.73,0
