@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3'

@attribute energy_min numeric
@attribute zeroCrossingRate_min numeric
@attribute class {0,1}

@data
0.034512,-0.046279,0
0.026105,-0.039927,0
0.037607,-0.068058,0
0.044657,-0.084392,0
0.03665,-0.083485,0
0.044572,-0.075318,0
0.041362,-0.069873,0
0.018803,-0.050817,0
0.005175,-0.052632,0
0.012682,-0.076225,0
0.025166,-0.064428,0
0.032741,-0.068058,0
0.030595,-0.064428,0
0.032622,-0.063521,0
0.032,-0.067151,0
0.030498,-0.065336,1
0.061099,-0.063521,1
0.091588,-0.054446,1
0.10889,-0.046279,1
0.11842,-0.03539,1
0.1331,-0.041742,1
0.14482,-0.044465,1
0.13933,-0.043557,1
0.13624,-0.041742,1
0.14484,-0.039927,1
0.14801,-0.038113,1
0.14975,-0.03902,1
0.14355,-0.03902,1
0.15214,-0.044465,1
0.16717,-0.046279,1
0.16009,-0.034483,1
0.15098,-0.034483,1
0.14501,-0.040835,1
0.14715,-0.040835,1
0.13873,-0.03539,1
0.12847,-0.026316,1
0.13406,-0.024501,1
0.13513,-0.036298,1
0.12077,-0.03902,1
0.10674,-0.034483,1
0.10158,-0.028131,1
0.096478,-0.029946,1
0.094997,-0.032668,1
0.09881,-0.030853,1
0.10013,-0.029946,1
0.10055,-0.029038,1
0.097601,-0.029038,1
0.1062,-0.03539,1
0.12407,-0.039927,1
0.11943,-0.030853,1
0.10412,-0.025408,1
0.1069,-0.023593,1
0.12133,-0.025408,1
0.12549,-0.03176,1
0.14163,-0.041742,1
0.14072,-0.047187,1
0.1231,-0.032668,1
0.13112,-0.027223,1
0.14702,-0.041742,1
0.11821,-0.03176,1
0.078448,-0.022686,1
0.10045,-0.029038,1
0.10731,-0.028131,1
0.10229,-0.030853,1
0.10915,-0.03539,1
0.10807,-0.032668,1
0.097877,-0.03902,1
0.093202,-0.033575,1
0.095715,-0.019964,1
0.094018,-0.029946,1
0.09986,-0.040835,1
0.11573,-0.041742,1
0.11742,-0.03902,1
0.11519,-0.032668,1
0.12439,-0.03539,1
0.14336,-0.032668,1
0.15292,-0.029038,1
0.16033,-0.037205,1
0.16544,-0.034483,1
0.15716,-0.03176,1
0.15243,-0.03902,1
0.15295,-0.044465,1
0.172,-0.049909,1
0.18655,-0.049909,1
0.18227,-0.050817,1
0.18052,-0.050817,1
0.18303,-0.036298,1
0.17794,-0.040835,1
0.17056,-0.053539,1
0.18068,-0.047187,1
0.19135,-0.044465,1
0.18383,-0.051724,1
0.16807,-0.055354,1
0.15812,-0.050817,1
0.15357,-0.041742,1
0.15449,-0.043557,1
0.15171,-0.045372,1
0.14619,-0.04265,1
0.13993,-0.048094,1
0.13941,-0.054446,1
0.1271,-0.052632,1
0.12178,-0.052632,1
0.12959,-0.051724,1
0.10351,-0.045372,1
0.096525,-0.040835,1
0.13372,-0.048094,1
0.1371,-0.050817,1
0.10876,-0.050817,1
0.091801,-0.056261,1
0.077485,-0.051724,1
0.052588,-0.054446,1
0.042276,-0.068966,1
0.068368,-0.060799,1
0.071246,-0.059891,1
0.059595,-0.071688,1
0.04955,-0.067151,1
0.045406,-0.058984,1
0.050993,-0.055354,1
0.048864,-0.058076,1
0.048409,-0.061706,1
0.05069,-0.058984,1
0.050303,-0.055354,1
0.036552,-0.034483,1
0.022209,-0.049909,1
0.028697,-0.073503,1
0.03811,-0.07078,1
0.029327,-0.069873,1
0.034385,-0.067151,1
0.047823,-0.067151,1
0.044,-0.047187,0
0.052011,-0.049909,0
0.052459,-0.073503,0
0.039683,-0.065336,0
0.049062,-0.058076,0
0.044911,-0.050817,0
0.018398,-0.029946,0
0.014915,-0.03176,0
0.022937,-0.056261,0
0.027941,-0.076225,0
0.038687,-0.068058,0
0.023235,-0.049002,0
0.021396,-0.045372,0
0.035468,-0.061706,0
0.018748,-0.055354,0
0,-0.024501,0
0.009373,-0.045372,0
0.050174,-0.084392,0
0.064132,-0.084392,0
0.052731,-0.08167,0
0.047329,-0.076225,0
0.052355,-0.077132,0
0.048978,-0.057169,0
0.021094,-0.044465,0
0.015882,-0.069873,0
0.054928,-0.079855,0
0.067766,-0.072595,0
0.045909,-0.060799,0
0.03695,-0.067151,0
0.046699,-0.069873,0
0.037486,-0.052632,0
0.024969,-0.050817,0
0.046323,-0.07078,0
0.055331,-0.086207,0
0.03049,-0.073503,0
0.026184,-0.067151,0
0.035092,-0.080762,0
0.043369,-0.077132,0
0.061915,-0.07078,0
0.064017,-0.076225,0
0.057933,-0.082577,0
0.040398,-0.048094,0
0.042287,-0.041742,0
0.049627,-0.064428,0
0.030893,-0.038113,0
0.030443,-0.011797,0
0.043294,-0.00363,0
0.067352,-0.03176,0
0.066478,-0.064428,0
0.052756,-0.050817,0
0.050538,-0.045372,0
0.053589,-0.069873,0
0.064233,-0.080762,0
0.045808,-0.047187,0
0.036472,-0.04265,0
0.084824,-0.075318,0
0.10059,-0.079855,0
0.056889,-0.016334,0
0.026122,0,0
0.053808,-0.044465,0
0.052498,-0.058984,0
0.027869,-0.039927,0
0.040049,-0.023593,0
0.081474,-0.051724,0
0.078812,-0.085299,0
0.043665,-0.067151,0
0.066464,-0.079855,0
0.08271,-0.10617,0
0.057669,-0.10073,0
0.027604,-0.07804,0
0.030264,-0.084392,0
0.036946,-0.098911,0
0.042102,-0.096189,0
0.062839,-0.10345,0
0.066304,-0.098911,0
0.043485,-0.10073,0
