@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
886.63,-0.42325,1
1053.7,-0.44097,1
774.78,-0.36518,1
785.87,-0.36689,1
1048.5,-0.39224,1
996.83,-0.44254,1
1077.1,-0.42924,1
855.06,-0.41165,1
823.73,-0.34249,1
636.09,-0.40482,1
610.16,-0.39451,1
740.58,-0.4104,1
1057.4,-0.58173,1
973.68,-0.46231,1
828.04,-0.49523,1
821.87,-0.53073,1
714.53,-0.3063,1
975.92,-0.45713,1
719.65,-0.36988,1
799.11,-0.495,1
770.26,-0.15377,1
1218.6,-0.22272,1
1015.7,-0.24185,1
1284.7,-0.3619,1
1925,-0.4969,1
3658.7,-0.97923,1
3722.8,-1.2253,1
2911.4,-1.1369,1
4077.8,-1.2256,1
4670.4,-1.0631,1
6804.6,-1.0239,1
6356.7,-1.4244,1
6245.3,-1.114,1
6074.2,-1.0882,1
4948.3,-1.1393,1
4469.3,-1.0408,1
3647.9,-0.74561,1
2770,-0.83011,1
2963.5,-0.85935,1
2568.8,-0.59782,1
2132.7,-0.45433,1
2409.7,-0.57077,1
2326,-0.40476,1
2173.2,-0.40721,1
2049.3,-0.59215,1
1857,-0.70364,1
1908.1,-0.66641,1
2090.9,-0.75471,1
1748.5,-0.78414,1
1804.1,-0.85845,1
2103.4,-0.63974,1
1674.7,-0.44423,1
1896.8,-0.50519,1
2034.3,-0.58439,1
1980.4,-0.73695,1
2173.7,-0.61872,1
2252.6,-0.54872,1
2297.1,-0.75215,1
2785.6,-1.0436,1
3259.2,-0.97556,1
2755.1,-0.75515,1
1961.5,-0.59084,1
2501.2,-0.56944,1
2601.3,-0.47184,1
2801.6,-0.4927,1
2926.4,-0.60177,1
2231.9,-0.61396,1
2478.8,-0.78765,1
2863.2,-0.59331,1
3530.9,-0.67791,1
3600.9,-0.76401,1
4521.2,-0.50117,1
4579.5,-0.40272,1
4470,-0.50569,1
4894.2,-0.53188,1
4584.4,-0.47874,1
5710.3,-0.49254,1
5195.7,-0.53386,1
4481.5,-0.5965,1
4286.4,-0.63763,1
3913,-0.67681,1
3546.3,-0.77657,1
3191.1,-0.8265,1
3359.7,-0.82429,1
3356,-0.92019,1
4156.7,-1.3412,1
4216,-1.4146,1
5042.3,-1.0662,1
4445.6,-1.2203,1
4195.8,-1.0659,1
3494.8,-1.057,1
2193.4,-1.0563,1
3006.4,-0.40647,1
2379.2,-0.25073,1
1972.8,-0.28323,1
1405.9,-0.25136,1
1125.3,-0.26668,0
1247.8,-0.084839,0
1786.7,-0.15138,0
1056.9,-0.11258,0
854.7,-0.088793,0
658.52,-0.056056,0
673.28,-0.10063,0
438.35,-0.018914,0
554.48,-0.13621,0
478.37,-0.16728,0
388.41,-0.17128,0
480.66,-0.25384,0
318.71,-0.22126,0
487.38,-0.27186,0
281.48,-0.27266,0
172.15,-0.18726,0
367.58,-0.23409,0
261.38,-0.25494,0
117.09,-0.12548,0
53.255,-0.089526,0
81.421,-0.10873,0
87.361,-0.04961,0
142.44,-0.00812,0
119.07,-0.072053,0
82.886,-0.10029,0
105.69,-0.077076,0
81.636,-0.12215,0
120.89,-0.088981,0
151.06,-0.1874,0
251.33,-0.044933,0
754.23,0,0
484.23,-0.077694,0
534.58,-0.19627,0
520.96,-0.21445,0
436.32,-0.25435,0
456.13,-0.44043,0
373.66,-0.39129,0
393.28,-0.5207,0
439.42,-0.69355,0
346.68,-0.54697,0
517.89,-0.70043,0
716.98,-0.7515,0
555.32,-0.41635,0
807.85,-0.39539,0
583.34,-0.35008,0
250.15,-0.24497,0
400.44,-0.10217,0
291.73,-0.19858,0
377.93,-0.38585,0
144.49,-0.27713,0
340.11,-0.35327,0
627.62,-0.34282,1
1061.1,-0.32202,1
3026.6,-0.39012,1
3969.9,-0.77318,1
4003.1,-0.58252,1
3162.9,-0.53317,1
4181.1,-0.92734,1
4363.5,-1.0668,1
3118.4,-0.86434,1
2904.8,-0.76109,1
2774.1,-0.61559,1
1957,-0.49191,1
1516.9,-0.50122,1
1249.4,-0.34115,1
1022.9,-0.32095,1
644.74,-0.33802,1
612.07,-0.22899,1
448.65,-0.32646,0
352.84,-0.41145,0
847.1,-0.41572,0
1910.2,-0.41287,0
1100.4,-0.27998,0
689.53,-0.29008,0
659.02,-0.27827,0
690.35,-0.19997,0
599.57,-0.31316,0
360.53,-0.27616,0
496.19,-0.38917,0
868.53,-0.74569,0
994.22,-1.0933,0
1068.4,-0.98995,0
700.17,-0.61262,0
779.91,-0.63357,0
926,-0.81425,0
746.19,-0.73756,0
686.4,-0.70602,0
589.31,-0.72931,0
759.71,-0.89826,0
944.19,-0.90487,0
697.39,-0.72128,0
516.24,-0.64577,0
621.11,-0.8157,0
558.8,-0.69558,0
591.32,-0.76952,0
881.05,-0.8715,0
983.5,-0.81922,0
1128.4,-1.0238,0
825.57,-0.8921,0
796.7,-0.97218,0
893.36,-1.0214,0
612.72,-0.89487,0
476.45,-0.80775,0
273.01,-0.90208,0
211,-0.69847,0
225.7,-0.70135,0
219.08,-0.68923,0
47.604,-0.53592,0
72.427,-0.57897,0
111.83,-0.73176,0
94.2,-0.65264,0
277.8,-0.84844,0
344.41,-0.9496,0
237.3,-0.80663,0
203.07,-0.68253,0
373.73,-0.88135,0
539.01,-0.97205,0
230.22,-0.68019,0
493.63,-0.92645,0
247.78,-0.7592,0
582.99,-0.90099,0
280.83,-0.7666,0
402.67,-0.78123,0
286.16,-0.79188,0
377.64,-0.85355,0
555.9,-0.89922,0
453.89,-0.86931,0
589.78,-0.87789,0
634.06,-0.90112,0
501.13,-0.94913,0
307.17,-0.78635,0
330.33,-0.77207,0
191.9,-0.69122,0
332.76,-0.91777,0
575.14,-0.75098,0
633.57,-0.67675,0
350.9,-0.75088,0
508.84,-1.0799,0
617.47,-1.0663,0
294.72,-0.95102,0
171.51,-0.74185,0
188.55,-0.82648,0
36.87,-0.69323,0
33.642,-0.49201,0
198.49,-0.66992,0
328.26,-0.8278,0
524.72,-1.0455,0
1129.6,-1.419,0
352.79,-0.82236,0
213.03,-0.54417,0
243.13,-0.3568,0
340.66,-0.46839,0
79.868,-0.28919,0
178.87,-0.284,0
170.26,-0.2548,0
178.55,-0.27147,0
164.72,-0.2313,0
362.8,-0.45454,0
268.6,-0.43937,0
293.66,-0.47049,0
196.38,-0.35667,0
288.25,-0.47985,0
239.31,-0.57566,0
83.525,-0.47832,0
406.15,-0.78352,0
349.93,-0.73034,0
218.08,-0.69063,0
492.24,-0.86784,0
452.36,-0.92018,0
458.27,-0.96199,0
1077.1,-1.2688,0
2513.2,-1.6665,0
1965,-1.6618,0
1083.6,-1.286,0
957.9,-1.392,0
881.46,-1.28,0
894.94,-1.3237,0
265.41,-1.0179,0
620.84,-1.1826,0
763.9,-0.95935,0
632.74,-1.0256,0
1010.2,-0.74812,0
738.88,-0.63955,0
747.78,-0.64389,0
701.64,-0.51967,0
592.5,-0.58067,0
200.26,-0.28246,0
385.46,-0.45584,0
357.97,-0.47243,0
484.74,-0.64906,1
671.39,-0.80501,1
652.37,-0.80134,1
850.64,-0.9143,1
967.92,-0.90801,1
772.69,-0.88782,1
930.88,-1.018,1
735.48,-0.94337,1
366.52,-0.81271,1
403.95,-0.64637,1
579.05,-0.99628,1
608.39,-1.1254,1
642.05,-1.0732,1
342.11,-0.69562,1
242.77,-0.49634,1
134.22,-0.44777,1
212.43,-0.5846,1
252.23,-0.66255,1
52.867,-0.55685,1
128.65,-0.52498,1
184.23,-0.69158,1
189.89,-0.73643,1
799.18,-1.1603,1
491.75,-1.0237,0
519.33,-1.0698,0
846.63,-1.3143,0
993.9,-1.2664,0
900.33,-1.2855,0
714.83,-1.1919,0
459.95,-0.96931,0
429.69,-1.0313,0
509.97,-1.0727,0
464.2,-0.89394,0
338.14,-0.77293,0
416.5,-0.81275,0
1080.7,-1.0783,0
1359.4,-1.1508,0
1105.6,-1.047,0
1208.7,-0.91506,0
1893.1,-1.171,0
1491.9,-0.98124,0
0,0,0
26.922,0,0
38.302,0,0
43.815,0,0
2.7605,-0.19349,1
0,-0.17913,1
844.77,-0.4895,1
1111.1,-0.43149,1
953.75,-0.59378,1
1048.7,-0.4856,1
1223,-0.34977,1
1449.7,-0.52819,1
1666,-0.72049,1
1767.8,-0.55269,1
1759.6,-0.46647,1
1959,-0.34607,1
2001.3,-0.61647,1
2223.5,-0.50179,1
2272.2,-0.36308,1
2635.2,-0.50566,1
2493.1,-0.73006,1
2590.8,-0.67962,1
2438.9,-0.68512,1
2239.2,-0.69053,1
2190.6,-0.72757,1
2208.5,-0.78817,1
2325.2,-0.74611,1
2099.6,-0.65337,1
2168.2,-0.74571,1
2353.9,-0.82599,1
2588.8,-0.7227,1
2574,-0.83686,1
2626.7,-0.78878,1
2493.7,-0.78666,1
2576.3,-0.69187,1
2619.4,-0.72658,1
2786.7,-0.85964,1
2995.5,-0.89696,1
