@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
151.06,301.46,0
251.33,323,0
754.23,301.46,0
484.23,301.46,0
534.58,366.06,0
520.96,366.06,0
436.32,344.53,0
456.13,323,0
373.66,646,0
393.28,646,0
439.42,646,0
346.68,646,0
517.89,624.46,0
716.98,602.93,0
555.32,602.93,0
807.85,624.46,0
583.34,624.46,0
250.15,624.46,0
400.44,279.93,0
291.73,1033.6,0
377.93,624.46,0
144.49,624.46,0
340.11,279.93,0
627.62,1485.8,1
1061.1,538.33,1
3026.6,387.6,1
3969.9,409.13,1
4003.1,452.2,1
3162.9,409.13,1
4181.1,516.8,1
4363.5,452.2,1
3118.4,430.66,1
2904.8,409.13,1
2774.1,409.13,1
1957,366.06,1
1516.9,667.53,1
1249.4,646,1
1022.9,646,1
644.74,646,1
612.07,279.93,1
448.65,279.93,0
352.84,279.93,0
847.1,279.93,0
1910.2,2368.7,0
1100.4,947.46,0
689.53,107.67,0
659.02,236.87,0
690.35,258.4,0
599.57,258.4,0
360.53,258.4,0
496.19,236.87,0
868.53,344.53,0
994.22,366.06,0
1068.4,366.06,0
700.17,366.06,0
779.91,366.06,0
926,387.6,0
746.19,366.06,0
686.4,344.53,0
589.31,366.06,0
759.71,366.06,0
944.19,366.06,0
697.39,366.06,0
516.24,366.06,0
621.11,366.06,0
558.8,344.53,0
591.32,366.06,0
881.05,344.53,0
983.5,344.53,0
1128.4,366.06,0
825.57,366.06,0
796.7,344.53,0
893.36,344.53,0
612.72,129.2,0
476.45,129.2,0
273.01,150.73,0
211,323,0
225.7,366.06,0
219.08,150.73,0
47.604,129.2,0
72.427,150.73,0
111.83,387.6,0
94.2,344.53,0
277.8,366.06,0
344.41,387.6,0
237.3,344.53,0
203.07,366.06,0
373.73,366.06,0
539.01,473.73,0
230.22,150.73,0
493.63,452.2,0
247.78,947.46,0
582.99,193.8,0
280.83,1055.1,0
402.67,968.99,0
286.16,150.73,0
377.64,366.06,0
555.9,366.06,0
453.89,495.26,0
589.78,366.06,0
634.06,344.53,0
501.13,301.46,0
307.17,301.46,0
330.33,344.53,0
191.9,344.53,0
332.76,301.46,0
575.14,301.46,0
633.57,301.46,0
350.9,323,0
508.84,409.13,0
617.47,387.6,0
294.72,150.73,0
171.51,129.2,0
188.55,150.73,0
36.87,344.53,0
33.642,1076.7,0
198.49,344.53,0
328.26,172.27,0
524.72,387.6,0
1129.6,409.13,0
352.79,150.73,0
213.03,172.27,0
243.13,344.53,0
340.66,215.33,0
79.868,344.53,0
178.87,409.13,0
170.26,387.6,0
178.55,344.53,0
164.72,366.06,0
362.8,366.06,0
268.6,150.73,0
293.66,366.06,0
196.38,344.53,0
288.25,344.53,0
239.31,323,0
83.525,344.53,0
406.15,387.6,0
349.93,409.13,0
218.08,559.86,0
492.24,323,0
452.36,323,0
458.27,366.06,0
1077.1,409.13,0
2513.2,387.6,0
1965,387.6,0
1083.6,366.06,0
957.9,366.06,0
881.46,387.6,0
894.94,387.6,0
265.41,172.27,0
620.84,129.2,0
763.9,387.6,0
632.74,366.06,0
1010.2,366.06,0
738.88,344.53,0
747.78,150.73,0
701.64,150.73,0
592.5,129.2,0
200.26,344.53,0
385.46,301.46,0
357.97,366.06,0
484.74,279.93,1
671.39,301.46,1
652.37,279.93,1
850.64,301.46,1
967.92,301.46,1
772.69,732.13,1
930.88,581.4,1
735.48,538.33,1
366.52,129.2,1
403.95,129.2,1
579.05,387.6,1
608.39,409.13,1
642.05,430.66,1
342.11,409.13,1
242.77,323,1
134.22,215.33,1
212.43,129.2,1
252.23,129.2,1
52.867,129.2,1
128.65,473.73,1
184.23,323,1
189.89,430.66,1
799.18,150.73,1
491.75,559.86,0
519.33,559.86,0
846.63,516.8,0
993.9,559.86,0
900.33,323,0
714.83,323,0
459.95,366.06,0
429.69,323,0
509.97,301.46,0
464.2,818.26,0
338.14,107.67,0
416.5,839.79,0
1080.7,732.13,0
1359.4,732.13,0
1105.6,732.13,0
1208.7,775.2,0
1893.1,796.73,0
1491.9,839.79,0
0,0,0
26.922,43.066,0
38.302,43.066,0
43.815,21.533,0
2.7605,21.533,1
0,21.533,1
844.77,43.066,1
1111.1,0,1
953.75,21.533,1
1048.7,1248.9,1
1223,430.66,1
1449.7,430.66,1
1666,430.66,1
1767.8,430.66,1
1759.6,430.66,1
1959,21.533,1
2001.3,452.2,1
2223.5,452.2,1
2272.2,452.2,1
2635.2,452.2,1
2493.1,473.73,1
2590.8,473.73,1
2438.9,452.2,1
2239.2,452.2,1
2190.6,452.2,1
2208.5,452.2,1
2325.2,452.2,1
2099.6,452.2,1
2168.2,473.73,1
2353.9,473.73,1
2588.8,473.73,1
2574,473.73,1
2626.7,473.73,1
2493.7,495.26,1
2576.3,495.26,1
2619.4,495.26,1
2786.7,495.26,1
2995.5,495.26,1
2929.9,495.26,1
3022.5,495.26,1
3192.8,495.26,1
3054.5,495.26,1
3529,495.26,1
3372.8,495.26,1
3153.8,495.26,1
3526.8,495.26,1
3086.5,495.26,1
3004.6,495.26,1
2980.6,495.26,1
2656.3,495.26,1
3085.7,495.26,1
3435.3,516.8,1
2509.8,516.8,1
1961.5,516.8,1
1369.6,516.8,1
1172.1,495.26,1
429.04,0,1
101.33,21.533,1
27.527,43.066,1
4.8003,21.533,1
28.758,0,1
0,21.533,0
40.387,43.066,0
66.013,21.533,0
54.497,0,0
6.296,21.533,0
0,43.066,0
31.23,21.533,0
37.875,0,0
12.022,43.066,0
14.09,43.066,0
1.081,21.533,0
44.3,0,0
64.424,43.066,0
26.545,43.066,0
3.2721,0,0
33.946,21.533,0
5.9863,21.533,0
28.545,21.533,0
18.98,0,0
27.775,43.066,0
0.51975,43.066,0
3.5924,21.533,0
15.105,0,0
14.379,21.533,0
3.1429,43.066,0
13.779,21.533,1
662.42,0,1
826.36,473.73,1
1196.7,452.2,1
1215,0,1
1425.4,452.2,1
1410.5,452.2,1
1626.2,473.73,1
1699.1,473.73,1
1650.6,473.73,1
1710,473.73,1
1804.8,473.73,1
1680.8,473.73,1
1808.8,473.73,1
1899,473.73,1
1749.7,452.2,1
1720.3,452.2,1
1612.6,473.73,1
1548.1,473.73,1
1574.5,452.2,1
1716.6,452.2,1
1683.1,452.2,1
1612.9,452.2,1
1314.4,430.66,1
1479.7,430.66,1
1344.1,430.66,1
1190.2,430.66,1
1264.1,430.66,1
1293,430.66,1
1155.6,430.66,1
1221.4,430.66,1
1359.7,430.66,1
1403.3,430.66,1
1368.5,430.66,1
1385.3,430.66,1
1303.9,0,1
1375.6,430.66,1
1460.7,452.2,1
1494.4,452.2,1
1510.2,0,1
1533.8,452.2,1
1540.7,452.2,1
1476.6,0,1
1502.8,21.533,1
1266,0,1
1075.8,430.66,1
1103.8,0,1
1219.5,43.066,1
1213,430.66,1
1097.9,43.066,1
1220.3,0,1
1062,43.066,1
1149.7,430.66,1
1175.1,0,1
1298.7,430.66,1
1203.6,430.66,1
1303.1,430.66,1
1437.7,430.66,1
1396.3,0,1
1451.5,430.66,1
1625.2,452.2,1
