@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1900.7,1654.8,4.8885,0.33472,452.2,323,1.3667,1.32,11,6,1
1779,1533.1,4.9044,0.31887,452.2,323,1.2293,1.1826,11,6,1
1957.9,1712,4.8087,0.41454,452.2,323,1.3701,1.3234,3,14,1
2135,1889.1,4.8085,0.41475,473.73,344.53,1.3314,1.2847,3,14,1
2230.8,1985,4.7974,0.42589,452.2,323,1.0897,1.043,4,13,1
2471.2,2225.3,4.817,0.40623,452.2,323,1.0055,0.95886,6,11,1
2029.2,1783.3,4.9215,0.30178,452.2,323,1.0742,1.0276,7,10,1
1954.8,1708.9,4.7409,0.48231,473.73,344.53,1.3489,1.3022,3,14,1
1846.1,1600.2,4.7664,0.45684,473.73,344.53,1.4372,1.3906,2,15,1
2011.1,1765.2,4.7766,0.44661,473.73,344.53,1.4884,1.4417,2,15,1
2105.4,1859.5,4.7675,0.45578,473.73,344.53,1.487,1.4403,3,14,1
2260.3,2014.4,4.7671,0.4562,473.73,344.53,1.4211,1.3744,5,12,1
2229.8,1983.9,4.7454,0.47785,473.73,344.53,1.3963,1.3496,4,13,1
2054,1808.1,4.8963,0.32698,452.2,323,1.2951,1.2485,10,7,1
1896.7,1650.8,4.9031,0.32019,452.2,323,1.0926,1.0459,7,10,1
1968.8,1723,4.9313,0.29196,452.2,323,0.866,0.81932,6,11,1
1801.8,1555.9,4.8602,0.36304,452.2,323,0.90963,0.86295,6,11,1
1884.6,1638.8,4.913,0.31028,452.2,323,0.91465,0.86797,6,11,1
1884.1,1638.2,4.916,0.30726,452.2,323,0.86805,0.82137,6,11,1
1964.9,1719,4.9579,0.26533,430.66,301.46,0.70706,0.66038,7,10,1
2078.4,1832.6,4.9041,0.31915,452.2,323,0.72198,0.6753,6,11,1
1842,1596.1,4.9254,0.29787,452.2,323,0.8082,0.76151,6,11,1
2130.1,1884.2,4.8022,0.42109,430.66,301.46,0.94396,0.89728,6,11,1
1973.8,1727.9,4.714,0.50927,452.2,323,1.0656,1.0189,6,11,1
1670,1424.1,4.9202,0.30308,452.2,323,0.88274,0.83606,6,11,1
2015.1,1769.3,4.8525,0.37074,452.2,323,0.98523,0.93855,9,8,1
1865.7,1619.8,4.6931,0.53012,452.2,323,1.216,1.1693,9,8,1
1826.5,1580.6,4.6388,0.58441,452.2,323,1.3665,1.3198,9,8,1
1795.2,1549.3,4.548,0.67529,452.2,323,1.3876,1.3409,9,8,1
1881.6,1635.7,4.52,0.70323,452.2,323,1.3976,1.351,9,8,1
2073.9,1828,4.5151,0.70813,473.73,344.53,1.4753,1.4286,10,7,1
2224,1978.1,4.6219,0.60131,473.73,344.53,1.5067,1.46,9,8,1
2475,2229.2,4.4961,0.72719,473.73,344.53,1.6664,1.6197,2,15,1
2514.6,2268.7,4.6616,0.56165,473.73,344.53,1.6567,1.61,2,15,1
2218.8,1972.9,4.4077,0.81557,473.73,344.53,1.6511,1.6044,10,7,1
2472.2,2226.3,4.4681,0.75519,473.73,344.53,1.6551,1.6084,2,15,1
2319.5,2073.7,4.3517,0.87155,473.73,344.53,1.688,1.6413,2,15,1
2403.1,2157.3,4.3226,0.90063,473.73,344.53,1.6964,1.6497,2,15,1
2438.9,2193,4.4203,0.80296,495.26,366.06,1.6386,1.5919,2,15,1
