@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.17394,0.11572,0.049909,0.037205,0.084094,0.069431,85,1
0.1802,0.12198,0.060799,0.026316,0.097834,0.08317,84,1
0.18469,0.12647,0.07078,0.016334,0.099695,0.085032,85,1
0.18074,0.12252,0.064428,0.022686,0.10418,0.089522,84,1
0.17445,0.11624,0.062613,0.024501,0.10159,0.086928,84,1
0.17525,0.11704,0.056261,0.030853,0.10507,0.090405,84,1
0.17607,0.11785,0.058076,0.029038,0.099936,0.085273,83,1
0.1764,0.11818,0.066243,0.020871,0.089372,0.074709,82,1
0.18529,0.12707,0.057169,0.029946,0.096412,0.081749,82,1
0.1837,0.12548,0.053539,0.033575,0.097633,0.08297,81,1
0.18332,0.1251,0.058076,0.029038,0.10354,0.088873,81,1
0.19218,0.13397,0.059891,0.027223,0.11843,0.10376,81,1
0.2045,0.14628,0.061706,0.025408,0.12357,0.10891,80,1
0.23185,0.17363,0.057169,0.029946,0.12044,0.10577,78,1
0.25353,0.19531,0.051724,0.03539,0.11941,0.10474,76,1
0.25378,0.19556,0.054446,0.032668,0.087198,0.072535,77,1
0.24708,0.18886,0.062613,0.024501,0.11577,0.10111,77,1
0.25483,0.19662,0.059891,0.027223,0.12201,0.10734,76,1
0.26437,0.20615,0.053539,0.033575,0.11197,0.097308,76,1
0.26602,0.2078,0.049002,0.038113,0.11439,0.099723,75,1
0.26825,0.21003,0.044465,0.04265,0.10186,0.087195,74,1
0.27267,0.21445,0.034483,0.052632,0.091873,0.07721,74,1
0.28059,0.22238,0.032668,0.054446,0.10079,0.086122,73,1
0.29587,0.23765,0.028131,0.058984,0.11605,0.10139,73,1
0.28608,0.22786,0.026316,0.060799,0.092313,0.07765,74,1
0.2582,0.19998,0.036298,0.050817,0.089592,0.074929,75,1
0.25339,0.19517,0.03902,0.048094,0.088981,0.074317,169,1
0.27059,0.21238,0.040835,0.046279,0.097881,0.083218,75,1
0.28127,0.22305,0.043557,0.043557,0.083949,0.069286,75,1
0.29366,0.23544,0.03902,0.048094,0.087053,0.07239,76,1
0.29319,0.23498,0.03176,0.055354,0.084968,0.070304,76,1
0.27972,0.2215,0.03176,0.055354,0.09819,0.083527,76,1
0.26929,0.21107,0.03902,0.048094,0.099291,0.084628,76,1
0.25907,0.20086,0.036298,0.050817,0.09409,0.079427,78,1
0.30041,0.24219,0.03902,0.048094,0.057502,0.042838,177,1
0.31248,0.25427,0.049002,0.038113,0.050277,0.035614,80,1
0.37321,0.31499,0.038113,0.049002,0.057886,0.043222,81,1
0.45419,0.39598,0.030853,0.056261,0.054439,0.039775,81,1
0.46634,0.40812,0.034483,0.052632,0.06103,0.046367,59,1
0.4405,0.38228,0.03539,0.051724,0.034046,0.019383,15,1
0.42163,0.36341,0.032668,0.054446,0.030274,0.015611,88,1
0.43015,0.37193,0.029038,0.058076,0.04282,0.028157,94,1
0.39619,0.33797,0.034483,0.052632,0.029964,0.015301,80,1
0.35171,0.29349,0.037205,0.049909,0.042638,0.027975,104,1
0.3612,0.30298,0.03176,0.055354,0.042372,0.027709,111,1
0.33131,0.2731,0.03176,0.055354,0.039455,0.024792,62,1
0.27945,0.22123,0.045372,0.041742,0.035873,0.02121,113,1
0.26067,0.20245,0.049002,0.038113,0.0445,0.029837,117,1
