@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0014804,0.11434,0.29975,162,0
0.0015106,0.13612,0.41896,119,0
0.0016301,0.11525,0.65761,35,0
0.0017844,0.087114,0.54321,62,0
0.0017519,0.10254,0.59376,145,0
0.001626,0.10799,0.47422,117,0
0.0014201,0.13067,0.75159,112,0
0.0012291,0.17423,0.54129,117,0
0.0013061,0.13158,0.44764,133,0
0.0013318,0.13249,0.40157,180,0
0.0012717,0.17423,0.3038,204,0
0.001763,0.11797,0.50108,73,0
0.0019851,0.077132,0.84391,45,0
0.0015506,0.11252,0.60965,116,0
0.0012183,0.13521,0.45647,208,0
0.0012038,0.11525,0.44371,210,0
0.0012695,0.14247,0.47059,164,0
0.0014328,0.14882,0.46422,177,0
0.0014336,0.12341,0.49508,117,0
0.0013578,0.11797,0.64906,135,0
0.0013288,0.098911,0.36586,180,0
0.0015829,0.065336,0.66935,112,0
0.0015598,0.088022,0.97476,85,0
0.0012873,0.10889,0.55907,101,0
0.0012807,0.11525,0.54907,115,0
0.0011184,0.19147,0.27739,178,0
0.0010853,0.20599,0.26875,215,0
0.0011919,0.16425,0.38261,222,0
0.0010129,0.17604,0.72816,201,0
0.0010579,0.1833,0.29581,205,0
0.0014242,0.16425,0.24986,101,0
0.0017533,0.12886,0.36546,70,0
0.0017279,0.10799,0.25217,62,0
0.0015616,0.12432,0.31202,73,0
0.0014326,0.13702,0.32926,85,0
0.0013182,0.13339,0.3777,85,0
0.0014601,0.13612,0.27463,89,0
0.00147,0.13702,0.40934,112,0
0.001443,0.16334,0.24854,120,0
0.0012733,0.17151,0.27204,126,0
0.0010135,0.14882,0.23369,178,0
0.00094912,0.15789,0.21106,230,0
0.00099959,0.17604,0.31388,238,0
0.0010016,0.18784,0.33623,218,0
0.00099418,0.18603,0.27732,208,0
0.0010704,0.15426,0.2576,184,0
0.0011061,0.14065,0.46299,178,0
0.0017118,0.11525,0.40267,70,0
0.0019377,0.07441,0.36787,50,0
0.0014782,0.097096,0.46486,102,0
0.0014635,0.11343,0.35076,177,0
0.0015327,0.11071,0.3943,121,0
0.0014596,0.13702,0.44921,137,0
0.0015575,0.11706,0.51918,138,0
0.0015236,0.096189,0.48102,156,0
0.0014467,0.12341,0.39642,141,0
0.0024323,0.13067,0.26257,68,0
0.0035436,0.13612,0.28375,57,0
0.0036244,0.13249,0.23407,68,0
0.0031256,0.11797,0.22761,54,0
0.002429,0.12432,0.22129,58,0
0.0018323,0.12341,0.25701,65,0
0.0016716,0.12795,0.33646,70,0
0.0022439,0.15426,0.13595,95,0
0.0028422,0.18421,0.23718,102,0
0.0027951,0.20508,0.20525,97,0
0.0024607,0.17786,0.23636,88,0
0.003157,0.1225,0.27739,62,0
0.0041301,0.080762,0.38856,48,0
0.004041,0.07804,0.40408,27,0
0.0034989,0.11797,0.23691,58,0
0.0032342,0.13702,0.23443,74,0
0.0028036,0.15971,0.20311,84,0
0.0022262,0.1824,0.25922,89,0
0.0022121,0.16606,0.35819,74,0
0.0034327,0.12613,0.33571,53,0
0.0052389,0.10254,0.35395,47,0
0.0073247,0.11162,0.3892,63,0
0.0092305,0.11797,0.34711,42,0
0.010222,0.13975,0.33447,47,0
0.010496,0.14247,0.35085,50,0
0.010241,0.13339,0.34629,53,0
0.010463,0.13249,0.45147,54,0
0.010791,0.12613,0.34687,55,0
0.010103,0.11343,0.31495,56,0
0.008869,0.11162,0.27514,62,0
0.0078392,0.11615,0.32711,49,0
0.0072995,0.10345,0.41028,44,0
0.0058283,0.079855,0.29704,43,0
0.0040993,0.075318,0.37322,58,0
0.0037538,0.085299,0.35479,69,0
0.003505,0.08167,0.35174,52,0
0.0035843,0.073503,0.51391,42,0
0.0041317,0.075318,0.50081,31,0
0.0044999,0.096189,0.40822,51,0
0.0080727,0.11434,0.3085,40,0
0.011734,0.13521,0.34334,49,0
0.014064,0.15336,0.27518,88,0
0.016305,0.14519,0.32603,119,0
0.015899,0.20054,0.331,139,0
0.017257,0.24319,0.32009,140,0
0.018131,0.17786,0.33814,135,0
0.014116,0.1216,0.38788,73,0
0.010646,0.098004,0.31904,44,0
0.0089272,0.065336,0.47572,38,0
0.0080315,0.056261,0.81206,40,0
0.010183,0.040835,0.04562,14,0
0.010544,0.024501,0.00026753,4,0
0.0073719,0.034483,0.0087333,29,0
0.0048265,0.041742,0.30157,69,0
