@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.05323,0.07078,0.024708,0.050817,0
0.051742,0.058984,0.02322,0.03902,0
0.04799,0.058076,0.019468,0.038113,0
0.043185,0.063521,0.014663,0.043557,0
0.044389,0.064428,0.015867,0.044465,0
0.043541,0.072595,0.015019,0.052632,0
0.040551,0.071688,0.012029,0.051724,0
0.037222,0.07078,0.0086998,0.050817,0
0.030679,0.08167,0.002157,0.061706,0
0.030833,0.080762,0.0023107,0.060799,0
0.032041,0.083485,0.0035191,0.063521,0
0.035732,0.098004,0.0072101,0.07804,0
0.041869,0.068966,0.013347,0.049002,0
0.041601,0.048094,0.013079,0.028131,0
0.0371,0.058076,0.0085775,0.038113,0
0.035217,0.061706,0.0066947,0.041742,0
0.03929,0.060799,0.010768,0.040835,0
0.040401,0.077132,0.011879,0.057169,0
0.045857,0.11615,0.017335,0.096189,0
0.056194,0.13158,0.027672,0.11162,0
0.055673,0.1225,0.027151,0.10254,0
0.058412,0.090744,0.02989,0.07078,0
0.058478,0.072595,0.029956,0.052632,0
0.053965,0.079855,0.025443,0.059891,0
0.053593,0.076225,0.025071,0.056261,0
0.051746,0.066243,0.023224,0.046279,0
0.062696,0.051724,0.034174,0.03176,0
0.062212,0.043557,0.03369,0.023593,0
0.055486,0.048094,0.026964,0.028131,0
0.07471,0.039927,0.046188,0.019964,0
0.08778,0.039927,0.059258,0.019964,0
0.074766,0.068058,0.046244,0.048094,0
0.070578,0.079855,0.042056,0.059891,0
0.067796,0.075318,0.039273,0.055354,0
0.047802,0.079855,0.01928,0.059891,0
0.046847,0.10617,0.018324,0.086207,0
0.046406,0.11252,0.017884,0.092559,0
0.04695,0.079855,0.018428,0.059891,0
0.045729,0.072595,0.017207,0.052632,0
0.048765,0.073503,0.020243,0.053539,0
0.062486,0.076225,0.033964,0.056261,1
0.1056,0.07441,0.077074,0.054446,1
0.19322,0.062613,0.1647,0.04265,1
0.29789,0.04265,0.26937,0.022686,1
0.29075,0.04265,0.26222,0.022686,1
0.24726,0.047187,0.21874,0.027223,1
0.33872,0.03176,0.3102,0.011797,1
0.36174,0.030853,0.33322,0.010889,1
0.29943,0.046279,0.27091,0.026316,1
0.26423,0.068058,0.2357,0.048094,1
0.21663,0.078947,0.18811,0.058984,1
0.15745,0.083485,0.12893,0.063521,1
0.13664,0.073503,0.10812,0.053539,1
0.10725,0.071688,0.078727,0.051724,1
0.079003,0.080762,0.05048,0.060799,1
0.062458,0.088929,0.033936,0.068966,1
0.057595,0.07804,0.029073,0.058076,1
0.055304,0.065336,0.026782,0.045372,0
0.048978,0.062613,0.020455,0.04265,0
0.088813,0.071688,0.060291,0.051724,0
0.10217,0.096189,0.073648,0.076225,0
0.079929,0.098004,0.051407,0.07804,0
0.065533,0.083485,0.037011,0.063521,0
0.058695,0.088929,0.030173,0.068966,0
0.060829,0.094374,0.032307,0.07441,0
0.061837,0.077132,0.031158,0.057169,0
0.057418,0.072595,0.026739,0.052632,0
0.058965,0.067151,0.028286,0.047187,0
0.092213,0.043557,0.061534,0.023593,0
0.11195,0.029038,0.081268,0.0090744,0
0.10926,0.037205,0.078585,0.017241,0
0.092945,0.044465,0.062266,0.024501,0
0.094124,0.040835,0.063445,0.020871,0
0.10025,0.04265,0.069568,0.022686,0
0.088069,0.043557,0.05739,0.023593,0
0.079941,0.048094,0.049262,0.028131,0
0.077412,0.049002,0.046733,0.029038,0
0.097069,0.034483,0.06639,0.014519,0
0.10733,0.024501,0.076646,0.0045372,0
0.09202,0.030853,0.061341,0.010889,0
0.070976,0.044465,0.040297,0.024501,0
0.075728,0.041742,0.045049,0.021779,0
0.078464,0.036298,0.047785,0.016334,0
0.085242,0.032668,0.054563,0.012704,0
0.096071,0.030853,0.065392,0.010889,0
0.10244,0.028131,0.071764,0.008167,0
0.11176,0.028131,0.081077,0.008167,0
0.10675,0.024501,0.076067,0.0045372,0
0.096271,0.029038,0.065592,0.0090744,0
0.094254,0.038113,0.063575,0.018149,0
0.08713,0.028131,0.056451,0.008167,0
0.069445,0.023593,0.038766,0.0036298,0
0.053427,0.032668,0.022748,0.012704,0
0.044722,0.03902,0.014043,0.019056,0
0.046093,0.033575,0.015414,0.013612,0
0.046593,0.037205,0.015914,0.017241,0
0.040653,0.047187,0.0099734,0.027223,0
0.039229,0.051724,0.0085501,0.03176,0
0.039953,0.051724,0.009274,0.03176,0
0.046137,0.041742,0.015458,0.021779,0
0.052266,0.036298,0.021587,0.016334,0
0.053709,0.038113,0.023029,0.018149,0
0.054578,0.045372,0.023899,0.025408,0
0.051603,0.044465,0.020924,0.024501,0
0.060994,0.034483,0.030315,0.014519,0
0.061655,0.03539,0.030976,0.015426,0
0.054438,0.033575,0.023759,0.013612,0
0.055753,0.03539,0.025074,0.015426,0
0.060706,0.041742,0.030027,0.021779,0
0.059934,0.046279,0.029255,0.026316,0
0.051163,0.049002,0.020484,0.029038,0
0.052499,0.04265,0.02182,0.022686,0
0.059102,0.033575,0.028423,0.013612,0
0.063892,0.034483,0.033213,0.014519,0
0.065447,0.038113,0.034767,0.018149,0
0.062618,0.043557,0.031939,0.023593,0
0.068128,0.040835,0.037449,0.020871,0
