@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
369.39,5.4503,646,0.30778,35,297.13,1.1702,559.86,0.051175,28,1
829.47,5.1367,279.93,0.40453,26,757.2,0.85659,193.8,0.14793,19,1
564.21,5.0627,107.67,0.42961,18,491.95,0.78258,21.533,0.17301,11,1
522.6,5.0986,258.4,0.40645,19,450.33,0.81845,172.27,0.14985,12,1
356.69,5.1963,258.4,0.49542,18,284.43,0.91623,172.27,0.23882,11,0
196.48,5.315,366.06,0.68456,16,124.22,1.0349,279.93,0.42796,9,0
151.58,5.2687,279.93,0.31689,31,79.32,0.98861,193.8,0.060291,24,0
117.11,5.3216,258.4,0.48979,19,44.85,1.0415,172.27,0.23319,12,0
176.19,5.1642,279.93,0.56947,15,103.93,0.88408,193.8,0.31286,8,0
118.34,5.1615,279.93,0.62229,9,46.078,0.88138,193.8,0.36569,2,0
71.297,5.2231,258.4,0.71007,12,0,0.94301,172.27,0.45347,5,0
44.165,5.2872,258.4,0.40701,20,0,1.0071,172.27,0.15041,13,0
19.407,5.3507,581.4,0.50266,15,0,1.0706,495.26,0.24606,8,0
25.592,5.3161,258.4,0.48791,14,6.1852,1.036,172.27,0.23131,7,0
35.451,5.42,129.2,0.30251,26,16.044,1.1398,43.066,0.04591,19,0
76.76,5.592,107.67,0.36895,19,57.353,1.3119,21.533,0.11235,12,0
31.862,5.4581,559.86,0.41064,12,12.455,1.178,473.73,0.15404,5,0
20.129,5.4133,301.46,0.29416,19,0.72145,1.1332,215.33,0.037556,12,0
51.918,5.5397,258.4,0.31692,25,32.51,1.2596,172.27,0.060319,18,0
40.5,5.4734,387.6,0.31743,29,21.092,1.1932,301.46,0.060826,22,0
1.6389,5.3789,150.73,0.52536,22,0,1.0988,64.6,0.26876,15,0
46.959,5.5092,279.93,0.38283,29,45.32,1.2291,193.8,0.12623,22,0
75.383,5.6071,495.26,0.2943,37,73.744,1.327,409.13,0.037695,30,0
18.768,5.4726,150.73,0.47495,25,17.129,1.1925,64.6,0.21835,18,0
11.081,5.4097,150.73,0.46263,22,9.4419,1.1296,64.6,0.20603,15,0
32.667,5.3872,172.27,0.51553,22,31.028,1.1071,86.133,0.25893,15,0
6.4531,5.4119,409.13,0.54855,17,4.8142,1.1318,323,0.29195,10,0
8.9179,5.4334,387.6,0.52892,17,7.2791,1.1533,301.46,0.27232,10,0
6.3679,5.3849,409.13,0.40987,13,4.7291,1.1048,323,0.15327,6,0
28.502,5.4539,581.4,0.41745,18,26.864,1.1738,495.26,0.16085,11,0
40.129,5.6118,387.6,0.32427,26,38.49,1.3317,301.46,0.067665,19,0
39.679,5.6444,236.87,0.26365,32,38.04,1.3643,150.73,0.0070441,25,0
8.098,5.5721,387.6,0.53228,22,6.4592,1.292,301.46,0.27568,15,0
27.341,5.4843,409.13,0.71496,12,25.702,1.2041,323,0.45836,5,0
39.619,5.5428,215.33,0.46802,19,37.98,1.2627,129.2,0.21142,12,0
30.208,5.6895,236.87,0.46332,19,28.569,1.4094,150.73,0.20672,12,0
172.62,5.6098,409.13,0.67788,22,170.98,1.3297,323,0.42128,15,0
106.26,5.6494,236.87,0.78319,22,104.62,1.3692,150.73,0.52659,15,0
269.33,5.4397,775.2,0.97971,14,267.7,1.1596,689.06,0.72311,7,0
214.08,5.5293,796.73,0.84779,15,212.44,1.2492,710.6,0.59119,8,0
163.77,5.577,430.66,0.66521,18,162.14,1.2969,344.53,0.40861,11,0
