@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.36232,0.050817,3762.9,4.8992,516.8,0.057382,3,4,1.4643,9,0.31702,0.024501,3690.6,0.11159,366.06,0.055573,3,4,1.043,0,1
0.34,0.057169,3564.4,5.0059,516.8,0.064044,4,4,1.4221,9,0.2947,0.030853,3492.2,0.21826,366.06,0.062234,4,4,1.0007,0,1
0.36333,0.048094,3873.7,4.87,516.8,0.050175,3,4,1.5256,9,0.31803,0.021779,3801.4,0.082369,366.06,0.048366,3,4,1.1042,0,1
0.38102,0.039927,3729.2,4.7764,516.8,0.049489,4,4,1.5431,9,0.33572,0.013612,3656.9,0,366.06,0.047679,4,4,1.1218,0,1
0.37292,0.03176,3413.3,4.631,516.8,0.035715,3,4,1.5411,9,0.32762,0.0054446,3341,0,366.06,0.033905,3,4,1.1198,0,1
0.376,0.026316,3306.4,4.5686,516.8,0.033413,4,4,1.4962,9,0.3307,0,3234.1,0,366.06,0.031604,4,4,1.0748,0,1
0.38838,0.023593,3339.5,4.4884,516.8,0.038904,5,4,1.5318,9,0.34308,0,3267.3,0,366.06,0.037095,5,4,1.1105,0,1
0.41751,0.022686,3650.8,4.4878,516.8,0.020766,4,3,1.4971,10,0.37221,0,3578.6,0,366.06,0.018956,4,3,1.0758,1,1
0.43654,0.023593,3766.9,4.3228,538.33,0.014534,3,10,1.5918,10,0.39124,0.00090744,3694.6,0,387.6,0.012724,3,10,1.1704,1,1
0.38575,0.023593,2895.2,4.3909,538.33,0.031817,3,3,1.5629,10,0.34045,0.00090744,2822.9,0.068145,387.6,0.030007,3,3,1.1416,1,1
0.30098,0.023593,2356.2,4.5352,538.33,0.033921,4,3,1.586,10,0.25568,0.00090744,2284,0.21236,387.6,0.032112,4,3,1.1647,1,1
0.24969,0.023593,1526.8,4.6618,538.33,0.031116,3,3,1.3434,10,0.20439,0.00090744,1454.6,0.33898,387.6,0.029307,3,3,0.92209,1,1
0.19837,0.023593,1509.8,4.7062,516.8,0.033697,3,3,1.431,9,0.15307,0.00090744,1437.5,0.38337,366.06,0.031887,3,3,1.0096,0,1
0.13233,0.034483,555.53,5.3548,452.2,0.0249,1,13,0.91857,8,0.087029,0.011797,483.27,1.032,301.46,0.023091,1,13,0.49722,0,1
0.081775,0.04265,386.06,5.5189,452.2,0.031333,1,13,0.48213,13,0.036475,0.019964,313.8,1.1961,301.46,0.029524,1,13,0.060781,5,1
0.0695,0.037205,345.58,5.4409,150.73,0.020074,2,12,0.3368,27,0.0242,0.014519,273.32,1.1181,0,0.018264,2,12,0,19,1
0.072868,0.03176,413.7,5.1796,323,0.013274,1,13,0.52999,9,0.027569,0.0090744,341.44,0.85676,172.27,0.011465,1,13,0.19318,1,1
0.069398,0.032668,285.06,5.1358,215.33,0.0088349,0,0,0.47407,13,0.024099,0.0099819,212.8,0.81302,64.6,0.0070255,0,0,0.13727,5,1
0.056154,0.034483,249.77,5.0753,236.87,0.011986,1,15,0.53523,23,0.010855,0.011797,177.51,0.75251,86.133,0.010177,1,15,0.19843,15,0
0.054794,0.037205,174.84,5.1331,129.2,0.0022754,0,0,0.58226,8,0.0094947,0.014519,102.58,0.81034,0,0.000466,0,0,0.24546,0,0
0.061619,0.034483,250.72,4.9066,409.13,0.0027245,0,0,0.66058,10,0.01632,0.011797,178.46,0.58385,279.93,0.00091511,0,0,0.32377,2,0
0.065887,0.026316,347.81,4.7704,409.13,0.0017793,0,0,0.82236,7,0.020587,0.0036298,275.55,0.44764,279.93,0,0,0,0.48556,0,0
0.067939,0.018149,242.08,4.9642,129.2,0.01115,1,15,0.60858,7,0.022639,0,169.82,0.64141,0,0.0093707,1,15,0.27177,0,0
0.085652,0.018149,399.76,4.824,323,0.0014462,0,0,0.48264,12,0.040352,0,327.5,0.50117,193.8,0,0,0,0.14584,5,0
0.12795,0.024501,928.75,4.4851,516.8,0.00049832,0,0,0.95207,10,0.082651,0.0063521,856.49,0.16229,387.6,0,0,0,0.61527,3,0
0.19609,0.022686,1429.1,4.2801,516.8,0.0012033,0,0,1.2103,10,0.15079,0.0045372,1356.8,0,387.6,0.00070495,0,0,0.87345,3,0
0.22847,0.023593,2096.7,4.286,516.8,0.0050828,0,0,1.2534,10,0.18317,0.0054446,2024.4,0.0058656,387.6,0.0045845,0,0,0.91661,3,0
0.22951,0.022686,2189.2,4.3901,538.33,0.008781,0,0,1.1843,10,0.18421,0.0045372,2117,0.10996,409.13,0.0082827,0,0,0.84749,3,0
0.25832,0.022686,2328.6,4.3746,538.33,0.013065,1,24,1.1994,10,0.21302,0.0045372,2256.3,0.094493,409.13,0.012567,1,24,0.86259,3,0
0.27648,0.023593,2432.9,4.3321,538.33,0.017525,2,15,1.2849,10,0.23118,0.0054446,2360.6,0.051977,409.13,0.017027,2,15,0.94806,3,0
0.27562,0.022686,2613.6,4.3822,516.8,0.010928,1,24,1.2118,10,0.23032,0.0045372,2541.3,0.10204,387.6,0.01043,1,24,0.87495,3,0
0.25511,0.023593,2537.8,4.3628,516.8,0.0080894,0,0,1.1228,9,0.20981,0.0054446,2465.6,0.082731,387.6,0.0075911,0,0,0.78596,2,0
0.19327,0.027223,1569.8,4.723,516.8,0.0066859,0,0,0.89099,9,0.14797,0.0090744,1497.6,0.4429,387.6,0.0061876,0,0,0.55419,2,0
0.19047,0.025408,1779.1,4.613,495.26,0.0031726,0,0,0.87953,9,0.14517,0.0072595,1706.8,0.33292,366.06,0.0026742,0,0,0.54273,2,0
0.19712,0.023593,2117.9,4.5088,495.26,0.016482,1,15,0.85062,9,0.15182,0.0054446,2045.6,0.22867,366.06,0.015983,1,15,0.51382,2,0
0.16995,0.020871,1443.8,4.6597,215.33,0.018384,1,14,0.48103,10,0.12465,0.0027223,1371.5,0.37958,86.133,0.017885,1,14,0.14423,3,0
0.1942,0.023593,1834.8,4.429,409.13,0.019061,1,14,0.86364,8,0.1489,0.0054446,1762.5,0.14889,279.93,0.018563,1,14,0.52684,1,0
0.18695,0.034483,1809.3,4.5643,387.6,0.021064,1,13,0.86519,7,0.14165,0.016334,1737,0.28419,258.4,0.020566,1,13,0.52839,0,0
0.14688,0.032668,1453.3,4.408,495.26,0.0083881,0,0,0.69525,9,0.10158,0.014519,1381,0.12788,366.06,0.0078897,0,0,0.35845,2,0
0.12496,0.022686,782.22,4.716,473.73,0.0014289,0,0,0.6928,9,0.079663,0.0045372,709.96,0.43586,344.53,0.00093053,0,0,0.356,2,0
0.089448,0.034483,606.29,4.798,516.8,0.003333,0,0,0.49232,8,0.044149,0.016334,534.02,0.51787,387.6,0.0028346,0,0,0.15552,1,0
0.085269,0.040835,634.26,4.8978,516.8,0.0077064,0,0,0.68173,10,0.03997,0.022686,561.99,0.61772,387.6,0.0072081,0,0,0.34493,3,0
0.089299,0.03176,442.05,5.1613,409.13,0.014513,1,8,0.53089,12,0.043999,0.013612,369.79,0.88115,279.93,0.014014,1,8,0.19409,5,0
0.072387,0.026316,346.2,5.3249,366.06,0.015909,2,8,0.55001,12,0.027088,0.008167,273.94,1.0448,236.87,0.015411,2,8,0.21321,5,1
0.1074,0.026316,906.02,5.13,538.33,0.0040781,0,0,0.46931,9,0.062098,0.008167,833.76,0.84989,409.13,0.0035798,0,0,0.13251,2,1
0.14542,0.032668,1010.8,5.1222,473.73,0.011888,3,13,1.0196,9,0.10012,0.014519,938.56,0.84206,344.53,0.011389,3,13,0.68282,2,1
0.17284,0.039927,1690,5.0571,473.73,0.038145,1,13,1.3205,9,0.12754,0.021779,1617.7,0.77697,344.53,0.037646,1,13,0.98371,2,1
0.19655,0.044465,1890.7,5.0213,473.73,0.052036,4,4,1.2119,9,0.15125,0.026316,1818.5,0.74121,344.53,0.051538,4,4,0.87507,2,1
0.21816,0.03902,1774.2,4.9786,473.73,0.042951,3,4,1.1182,13,0.17286,0.020871,1701.9,0.69844,344.53,0.042452,3,4,0.78144,6,1
0.22765,0.036298,2449.8,4.9737,495.26,0.04254,3,4,1.2992,15,0.18235,0.018149,2377.5,0.69362,366.06,0.042042,3,4,0.96239,8,1
0.23562,0.039927,2692.3,5.0723,495.26,0.064254,4,4,1.1313,15,0.19032,0.021779,2620,0.79214,366.06,0.063756,4,4,0.79447,8,1
0.23031,0.046279,2764.8,4.9514,495.26,0.054261,3,4,1.0199,21,0.18501,0.028131,2692.6,0.67125,366.06,0.053763,3,4,0.68312,14,1
0.23054,0.045372,2571.1,4.9823,495.26,0.055585,3,4,1.1368,18,0.18524,0.027223,2498.9,0.70221,366.06,0.055087,3,4,0.79999,11,1
0.23116,0.047187,2192.9,4.9942,495.26,0.056245,3,4,1.2171,9,0.18586,0.029038,2120.6,0.71407,366.06,0.055747,3,4,0.88032,2,1
0.21844,0.051724,2066.9,5.0173,495.26,0.051167,4,4,1.2344,19,0.17314,0.033575,1994.6,0.73714,366.06,0.050669,4,4,0.89761,12,1
0.23124,0.045372,2532.4,4.9798,473.73,0.040174,4,4,1.4441,20,0.18594,0.027223,2460.2,0.69968,344.53,0.039675,4,4,1.1073,13,1
0.22764,0.051724,2255.5,5.088,495.26,0.050456,3,4,1.2013,22,0.18234,0.033575,2183.2,0.80786,366.06,0.049958,3,4,0.8645,15,1
0.22034,0.057169,2135.5,5.0977,495.26,0.042352,4,4,1.2814,31,0.17504,0.03902,2063.2,0.81755,366.06,0.041853,4,4,0.94457,24,1
0.22881,0.049909,2405.1,4.9979,473.73,0.055634,3,4,1.2644,15,0.18351,0.03176,2332.9,0.71778,344.53,0.055136,3,4,0.92763,8,1
0.23439,0.040835,2521,4.9706,473.73,0.041806,4,4,1.3363,9,0.18909,0.022686,2448.7,0.69051,344.53,0.041308,4,4,0.99953,2,1
0.22957,0.040835,2035.4,5.0454,495.26,0.045623,4,4,1.2042,9,0.18427,0.022686,1963.1,0.7653,366.06,0.045125,4,4,0.86744,2,1
0.24012,0.039927,2412.1,4.9027,495.26,0.039857,3,4,1.3385,9,0.19482,0.021779,2339.8,0.62261,366.06,0.039359,3,4,1.0017,2,1
0.24131,0.044465,2544.6,4.9687,473.73,0.060171,2,4,1.1838,9,0.19601,0.026316,2472.3,0.68855,344.53,0.059672,2,4,0.84697,2,1
0.23754,0.050817,2267.2,4.9184,473.73,0.057247,3,4,1.1782,14,0.19224,0.032668,2195,0.6383,344.53,0.056749,3,4,0.84144,7,1
0.24412,0.044465,2584.4,5.0278,473.73,0.067162,3,4,1.2392,9,0.19882,0.026316,2512.2,0.74767,344.53,0.066664,3,4,0.90244,2,1
0.21906,0.046279,2446.2,5.109,473.73,0.088165,2,4,1.0209,8,0.17376,0.028131,2374,0.82891,344.53,0.087667,2,4,0.68408,1,1
0.20799,0.041742,2347.5,4.9683,452.2,0.061685,2,4,1.0559,8,0.16269,0.023593,2275.2,0.68818,323,0.061187,2,4,0.71911,1,1
0.20032,0.052632,2149.9,4.9948,452.2,0.058366,3,4,1.1875,10,0.15503,0.034483,2077.6,0.71465,323,0.057868,3,4,0.85072,3,1
0.18012,0.069873,1999.6,5.0933,452.2,0.058386,4,4,1.0275,24,0.13482,0.051724,1927.3,0.81322,323,0.057887,4,4,0.69073,17,1
0.16547,0.071688,1503.1,5.2583,452.2,0.061965,3,4,1.0891,26,0.12017,0.053539,1430.9,0.97815,323,0.061467,3,4,0.75227,19,1
0.15261,0.071688,1384.9,5.1908,452.2,0.054527,3,4,0.96478,68,0.10731,0.053539,1312.7,0.91069,323,0.054029,3,4,0.62798,61,1
