@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.16547,0.071688,1.0891,26,0.12017,0.053539,0.75227,19,1
0.15261,0.071688,0.96478,68,0.10731,0.053539,0.62798,61,1
0.15,0.076225,1.0098,82,0.1047,0.058076,0.67296,75,1
0.16171,0.072595,1.1097,55,0.11641,0.054446,0.77292,48,1
0.16095,0.068966,1.242,48,0.11565,0.050817,0.90525,41,1
0.16027,0.066243,1.0647,25,0.11497,0.048094,0.72794,18,1
0.1793,0.049909,1.184,9,0.134,0.03176,0.84718,2,1
0.18945,0.047187,1.236,15,0.14415,0.029038,0.89924,8,1
0.19541,0.052632,1.0452,16,0.15011,0.034483,0.70836,9,1
0.18833,0.058984,0.90612,26,0.14303,0.040835,0.56932,19,1
0.17935,0.065336,0.94801,27,0.13405,0.047187,0.61121,20,1
0.17928,0.067151,1.2148,13,0.13398,0.049002,0.87799,6,1
0.18595,0.055354,1.2389,11,0.14065,0.037205,0.9021,4,1
0.19631,0.046279,1.2605,9,0.15101,0.028131,0.92373,2,1
0.19043,0.058076,1.3462,20,0.14513,0.039927,1.0094,13,1
0.19566,0.065336,1.2548,25,0.15036,0.047187,0.91803,18,1
0.19847,0.065336,1.2472,34,0.15317,0.047187,0.91039,27,1
0.18556,0.065336,1.1047,23,0.14026,0.047187,0.76787,16,1
0.17232,0.071688,0.98888,24,0.12702,0.053539,0.65208,17,1
0.15692,0.075318,0.9031,24,0.11162,0.057169,0.56629,17,1
0.15644,0.063521,0.9942,23,0.11115,0.045372,0.6574,16,1
0.16,0.060799,1.0116,22,0.1147,0.04265,0.67482,15,1
0.16126,0.061706,0.97815,24,0.11596,0.043557,0.64134,17,1
0.16523,0.067151,0.84909,22,0.11993,0.049002,0.51229,15,1
0.16825,0.068058,0.86549,18,0.12295,0.049909,0.52869,11,1
0.16452,0.062613,0.91432,21,0.11922,0.044465,0.57752,14,1
0.16103,0.064428,1.0142,21,0.11573,0.046279,0.67744,14,1
0.16452,0.058076,1.1135,17,0.11922,0.039927,0.7767,10,1
0.16513,0.056261,0.98631,22,0.11983,0.038113,0.64951,15,1
0.16596,0.057169,1.0032,39,0.12066,0.03902,0.6664,32,1
0.17543,0.055354,1.1788,40,0.13013,0.037205,0.84204,33,1
0.17488,0.060799,1.2647,40,0.12958,0.04265,0.92789,33,1
0.17577,0.061706,1.2526,40,0.13047,0.043557,0.91576,33,1
0.18495,0.061706,1.2583,40,0.13965,0.043557,0.92153,33,1
0.19904,0.063521,1.3222,40,0.15374,0.045372,0.9854,33,1
0.22474,0.057169,1.2719,24,0.17944,0.03902,0.93513,17,1
0.24348,0.053539,1.4728,10,0.19818,0.03539,1.136,3,1
0.24503,0.054446,1.4861,9,0.19973,0.036298,1.1493,2,1
0.23996,0.062613,1.4916,34,0.19466,0.044465,1.1548,27,1
0.24476,0.065336,1.4765,14,0.19946,0.047187,1.1397,7,1
0.25166,0.058984,1.5036,9,0.20636,0.040835,1.1668,2,1
0.25494,0.051724,1.5215,9,0.20964,0.033575,1.1847,2,1
0.2607,0.044465,1.4738,9,0.2154,0.026316,1.137,2,1
0.26662,0.034483,1.4122,9,0.22132,0.016334,1.0754,2,1
0.27321,0.030853,1.4524,9,0.22791,0.012704,1.1156,2,1
0.28496,0.026316,1.4223,9,0.23966,0.008167,1.0855,2,1
0.27571,0.022686,1.3535,9,0.23041,0.0045372,1.0167,2,1
0.25164,0.029038,1.2218,9,0.20634,0.010889,0.88498,2,1
0.24935,0.03539,1.3728,9,0.20405,0.017241,1.036,2,1
0.26437,0.03902,1.2971,9,0.21907,0.020871,0.96031,2,1
0.27066,0.041742,1.197,9,0.22536,0.023593,0.86021,2,1
0.27894,0.03902,1.2798,9,0.23364,0.020871,0.94295,2,1
0.27663,0.03176,1.345,9,0.23133,0.013612,1.0082,2,1
0.26483,0.03176,1.3389,9,0.21953,0.013612,1.0021,2,1
0.25671,0.038113,1.2934,9,0.21141,0.019964,0.95657,2,1
0.24612,0.036298,1.1186,9,0.20082,0.018149,0.78176,2,1
0.27263,0.03902,0.83022,14,0.22733,0.020871,0.49342,7,1
0.27362,0.050817,0.59826,24,0.22832,0.032668,0.26146,17,1
0.33495,0.040835,0.74884,14,0.28965,0.022686,0.41204,7,1
0.41876,0.032668,0.96818,12,0.37346,0.014519,0.63138,5,1
